"Date","Close"
"2013-12-31","835.46"
"2013-12-30","833.30"
"2013-12-27","827.87"
"2013-12-26","821.90"
"2013-12-24","813.20"
"2013-12-23","815.10"
"2013-12-20","817.05"
"2013-12-19","805.38"
"2013-12-18","802.06"
"2013-12-17","797.95"
"2013-12-16","796.75"
"2013-12-13","787.97"
"2013-12-12","782.54"
"2013-12-11","790.57"
"2013-12-10","763.61"
"2013-12-09","758.86"
"2013-12-06","758.47"
"2013-12-05","751.50"
"2013-12-04","748.17"
"2013-12-03","754.10"
"2013-12-02","756.12"
"2013-11-29","760.81"
"2013-11-27","760.40"
"2013-11-26","757.04"
"2013-11-25","756.49"
"2013-11-22","754.45"
"2013-11-21","747.00"
"2013-11-20","745.93"
"2013-11-19","746.95"
"2013-11-18","754.55"
"2013-11-15","752.26"
"2013-11-14","743.53"
"2013-11-13","735.48"
"2013-11-12","737.68"
"2013-11-11","741.16"
"2013-11-08","734.47"
"2013-11-07","721.32"
"2013-11-06","733.87"
"2013-11-05","736.38"
"2013-11-04","728.40"
"2013-11-01","737.48"
"2013-10-31","717.10"
"2013-10-30","725.68"
"2013-10-29","732.44"
"2013-10-28","729.94"
"2013-10-25","723.78"
"2013-10-24","724.69"
"2013-10-23","710.97"
"2013-10-22","718.68"
"2013-10-21","717.84"
"2013-10-18","715.19"
"2013-10-17","704.64"
"2013-10-16","695.50"
"2013-10-15","686.39"
"2013-10-14","689.10"
"2013-10-11","684.18"
"2013-10-10","678.59"
"2013-10-09","657.23"
"2013-10-08","653.87"
"2013-10-07","666.07"
"2013-10-04","673.33"
"2013-10-03","669.06"
"2013-10-02","676.31"
"2013-10-01","677.79"
"2013-09-30","672.78"
"2013-09-27","681.85"
"2013-09-26","677.58"
"2013-09-25","671.94"
"2013-09-24","685.37"
"2013-09-23","682.99"
"2013-09-20","685.74"
"2013-09-19","686.37"
"2013-09-18","687.64"
"2013-09-17","679.17"
"2013-09-16","671.00"
"2013-09-13","666.41"
"2013-09-12","667.52"
"2013-09-11","658.46"
"2013-09-10","651.50"
"2013-09-09","640.40"
"2013-09-06","636.62"
"2013-09-05","629.00"
"2013-09-04","623.40"
"2013-09-03","623.45"
"2013-08-30","606.08"
"2013-08-29","612.57"
"2013-08-28","610.61"
"2013-08-27","607.92"
"2013-08-26","615.18"
"2013-08-23","626.11"
"2013-08-22","621.08"
"2013-08-21","619.31"
"2013-08-20","622.41"
"2013-08-19","619.89"
"2013-08-16","618.21"
"2013-08-15","618.74"
"2013-08-14","629.98"
"2013-08-13","633.33"
"2013-08-12","630.72"
"2013-08-09","637.96"
"2013-08-08","645.84"
"2013-08-07","646.32"
"2013-08-06","654.00"
"2013-08-05","642.45"
"2013-08-02","645.57"
"2013-08-01","646.38"
"2013-07-31","610.61"
"2013-07-30","601.42"
"2013-07-29","597.02"
"2013-07-26","598.15"
"2013-07-25","598.98"
"2013-07-24","590.99"
"2013-07-23","598.00"
"2013-07-22","602.60"
"2013-07-19","593.33"
"2013-07-18","596.92"
"2013-07-17","593.35"
"2013-07-16","589.79"
"2013-07-15","595.87"
"2013-07-12","598.86"
"2013-07-11","601.02"
"2013-07-10","590.91"
"2013-07-09","593.59"
"2013-07-08","589.29"
"2013-07-05","595.03"
"2013-07-03","586.18"
"2013-07-02","583.06"
"2013-07-01","583.21"
"2013-06-28","574.50"
"2013-06-27","570.68"
"2013-06-26","570.00"
"2013-06-25","564.58"
"2013-06-24","562.60"
"2013-06-21","573.29"
"2013-06-20","572.72"
"2013-06-19","586.37"
"2013-06-18","584.41"
"2013-06-17","578.19"
"2013-06-14","571.16"
"2013-06-13","573.72"
"2013-06-12","557.98"
"2013-06-11","560.44"
"2013-06-10","565.78"
"2013-06-07","566.25"
"2013-06-06","564.95"
"2013-06-05","559.57"
"2013-06-04","568.22"
"2013-06-03","575.91"
"2013-05-31","570.25"
"2013-05-30","576.16"
"2013-05-29","573.01"
"2013-05-28","575.74"
"2013-05-24","571.46"
"2013-05-23","569.73"
"2013-05-22","576.71"
"2013-05-21","584.85"
"2013-05-20","583.34"
"2013-05-17","584.78"
"2013-05-16","570.14"
"2013-05-15","574.36"
"2013-05-14","569.68"
"2013-05-13","555.84"
"2013-05-10","555.13"
"2013-05-09","551.88"
"2013-05-08","553.72"
"2013-05-07","551.26"
"2013-05-06","547.73"
"2013-05-03","553.55"
"2013-05-02","545.53"
"2013-05-01","539.82"
"2013-04-30","552.93"
"2013-04-29","539.01"
"2013-04-26","535.33"
"2013-04-25","535.14"
"2013-04-24","532.02"
"2013-04-23","531.00"
"2013-04-22","522.11"
"2013-04-19","521.96"
"2013-04-18","521.00"
"2013-04-17","525.76"
"2013-04-16","531.58"
"2013-04-15","521.71"
"2013-04-12","532.99"
"2013-04-11","541.24"
"2013-04-10","534.43"
"2013-04-09","527.64"
"2013-04-08","534.37"
"2013-04-05","531.60"
"2013-04-04","534.22"
"2013-04-03","533.25"
"2013-04-02","540.59"
"2013-04-01","537.23"
"2013-03-28","541.13"
"2013-03-27","538.03"
"2013-03-26","535.47"
"2013-03-25","519.99"
"2013-03-22","517.50"
"2013-03-21","514.01"
"2013-03-20","518.62"
"2013-03-19","511.60"
"2013-03-18","515.01"
"2013-03-15","519.37"
"2013-03-14","527.18"
"2013-03-13","527.48"
"2013-03-12","523.16"
"2013-03-11","530.89"
"2013-03-08","529.23"
"2013-03-07","526.67"
"2013-03-06","527.58"
"2013-03-05","527.10"
"2013-03-04","521.41"
"2013-03-01","518.30"
