"Date","Close"
"2013-12-31","58.89"
"2013-12-30","59.35"
"2013-12-27","59.17"
"2013-12-26","59.44"
"2013-12-24","59.40"
"2013-12-23","59.36"
"2013-12-20","58.96"
"2013-12-19","58.64"
"2013-12-18","59.54"
"2013-12-17","58.71"
"2013-12-16","58.49"
"2013-12-13","58.51"
"2013-12-12","58.50"
"2013-12-11","58.65"
"2013-12-10","60.01"
"2013-12-09","60.34"
"2013-12-06","60.49"
"2013-12-05","59.28"
"2013-12-04","58.36"
"2013-12-03","57.27"
"2013-12-02","56.74"
"2013-11-29","56.94"
"2013-11-27","57.57"
"2013-11-26","56.85"
"2013-11-25","57.30"
"2013-11-22","57.67"
"2013-11-21","57.68"
"2013-11-20","57.38"
"2013-11-19","57.79"
"2013-11-18","58.25"
"2013-11-15","58.89"
"2013-11-14","58.01"
"2013-11-13","57.15"
"2013-11-12","56.68"
"2013-11-11","56.91"
"2013-11-08","56.56"
"2013-11-07","56.95"
"2013-11-06","58.36"
"2013-11-05","58.85"
"2013-11-04","59.77"
"2013-11-01","59.93"
"2013-10-31","59.21"
"2013-10-30","58.51"
"2013-10-29","58.56"
"2013-10-28","59.10"
"2013-10-25","59.76"
"2013-10-24","59.51"
"2013-10-23","59.07"
"2013-10-22","59.24"
"2013-10-21","58.32"
"2013-10-18","59.09"
"2013-10-17","59.20"
"2013-10-16","57.79"
"2013-10-15","55.88"
"2013-10-14","56.59"
"2013-10-11","56.25"
"2013-10-10","56.23"
"2013-10-09","55.25"
"2013-10-08","55.32"
"2013-10-07","55.80"
"2013-10-04","55.68"
"2013-10-03","56.29"
"2013-10-02","57.05"
"2013-10-01","56.91"
"2013-09-30","56.44"
"2013-09-27","57.26"
"2013-09-26","57.80"
"2013-09-25","57.06"
"2013-09-24","57.47"
"2013-09-23","57.91"
"2013-09-20","58.12"
"2013-09-19","59.61"
"2013-09-18","59.96"
"2013-09-17","57.98"
"2013-09-16","58.08"
"2013-09-13","57.20"
"2013-09-12","57.00"
"2013-09-11","57.33"
"2013-09-10","57.30"
"2013-09-09","57.67"
"2013-09-06","56.61"
"2013-09-05","55.98"
"2013-09-04","56.44"
"2013-09-03","55.73"
"2013-08-30","56.28"
"2013-08-29","56.57"
"2013-08-28","56.10"
"2013-08-27","56.17"
"2013-08-26","56.55"
"2013-08-23","56.72"
"2013-08-22","56.45"
"2013-08-21","56.05"
"2013-08-20","56.77"
"2013-08-19","55.57"
"2013-08-16","56.72"
"2013-08-15","58.56"
"2013-08-14","59.98"
"2013-08-13","60.14"
"2013-08-12","61.49"
"2013-08-09","61.81"
"2013-08-08","61.78"
"2013-08-07","61.88"
"2013-08-06","62.35"
"2013-08-05","61.12"
"2013-08-02","61.85"
"2013-08-01","62.14"
"2013-07-31","62.05"
"2013-07-30","63.51"
"2013-07-29","63.34"
"2013-07-26","63.63"
"2013-07-25","64.28"
"2013-07-24","64.26"
"2013-07-23","65.93"
"2013-07-22","65.69"
"2013-07-19","65.35"
"2013-07-18","65.33"
"2013-07-17","64.86"
"2013-07-16","64.48"
"2013-07-15","64.49"
"2013-07-12","63.78"
"2013-07-11","64.13"
"2013-07-10","62.80"
"2013-07-09","62.96"
"2013-07-08","62.04"
"2013-07-05","61.40"
"2013-07-03","61.18"
"2013-07-02","61.72"
"2013-07-01","60.54"
"2013-06-28","60.97"
"2013-06-27","61.01"
"2013-06-26","60.52"
"2013-06-25","59.38"
"2013-06-24","57.84"
"2013-06-21","58.45"
"2013-06-20","57.98"
"2013-06-19","60.79"
"2013-06-18","62.70"
"2013-06-17","62.40"
"2013-06-14","62.25"
"2013-06-13","62.80"
"2013-06-12","60.76"
"2013-06-11","61.58"
"2013-06-10","62.69"
"2013-06-07","62.75"
"2013-06-06","62.82"
"2013-06-05","61.61"
"2013-06-04","62.69"
"2013-06-03","63.94"
"2013-05-31","64.91"
"2013-05-30","65.86"
"2013-05-29","65.85"
"2013-05-28","66.43"
"2013-05-24","66.86"
"2013-05-23","67.09"
"2013-05-22","68.63"
"2013-05-21","70.65"
"2013-05-20","70.84"
"2013-05-17","70.41"
"2013-05-16","70.05"
"2013-05-15","70.70"
"2013-05-14","70.34"
"2013-05-13","70.34"
"2013-05-10","70.24"
"2013-05-09","69.66"
"2013-05-08","70.00"
"2013-05-07","70.65"
"2013-05-06","70.81"
"2013-05-03","70.42"
"2013-05-02","69.04"
"2013-05-01","68.79"
"2013-04-30","70.05"
"2013-04-29","69.56"
"2013-04-26","68.80"
"2013-04-25","68.45"
"2013-04-24","67.63"
"2013-04-23","67.16"
"2013-04-22","66.72"
"2013-04-19","67.18"
"2013-04-18","66.18"
"2013-04-17","66.41"
"2013-04-16","67.42"
"2013-04-15","65.99"
"2013-04-12","67.54"
"2013-04-11","67.16"
"2013-04-10","66.64"
"2013-04-09","65.54"
"2013-04-08","65.78"
"2013-04-05","65.06"
"2013-04-04","65.15"
"2013-04-03","64.23"
"2013-04-02","64.64"
"2013-04-01","64.50"
"2013-03-28","64.38"
"2013-03-27","63.82"
"2013-03-26","63.71"
"2013-03-25","63.21"
"2013-03-22","62.87"
"2013-03-21","62.43"
"2013-03-20","62.57"
"2013-03-19","62.05"
"2013-03-18","62.30"
"2013-03-15","62.61"
"2013-03-14","62.38"
"2013-03-13","61.99"
"2013-03-12","61.97"
"2013-03-11","62.21"
"2013-03-08","62.01"
"2013-03-07","62.09"
"2013-03-06","61.86"
"2013-03-05","61.35"
"2013-03-04","60.65"
"2013-03-01","60.11"
"2013-02-28","60.11"
"2013-02-27","60.31"
"2013-02-26","59.72"
"2013-02-25","59.59"
"2013-02-22","60.50"
"2013-02-21","60.51"
"2013-02-20","60.88"
"2013-02-19","62.03"
"2013-02-15","61.53"
"2013-02-14","61.62"
"2013-02-13","61.88"
"2013-02-12","61.87"
"2013-02-11","61.52"
"2013-02-08","61.64"
"2013-02-07","61.50"
"2013-02-06","61.51"
"2013-02-05","60.05"
"2013-02-04","60.43"
"2013-02-01","60.46"
"2013-01-31","59.72"
"2013-01-30","59.83"
"2013-01-29","59.99"
"2013-01-28","59.70"
"2013-01-25","59.34"
"2013-01-24","59.28"
"2013-01-23","59.00"
"2013-01-22","59.21"
"2013-01-18","58.61"
"2013-01-17","58.08"
"2013-01-16","58.08"
"2013-01-15","58.37"
"2013-01-14","58.02"
