"Date","Close"
"2013-12-31","47.58"
"2013-12-30","47.82"
"2013-12-27","46.99"
"2013-12-26","46.33"
"2013-12-24","45.79"
"2013-12-23","45.97"
"2013-12-20","45.52"
"2013-12-19","45.07"
"2013-12-18","45.18"
"2013-12-17","44.70"
"2013-12-16","45.13"
"2013-12-13","45.37"
"2013-12-12","45.31"
"2013-12-11","45.43"
"2013-12-10","46.26"
"2013-12-09","46.16"
"2013-12-06","46.26"
"2013-12-05","45.79"
"2013-12-04","45.57"
"2013-12-03","45.83"
"2013-12-02","45.80"
"2013-11-29","46.27"
"2013-11-27","46.29"
"2013-11-26","45.93"
"2013-11-25","45.54"
"2013-11-22","45.71"
"2013-11-21","45.81"
"2013-11-20","45.63"
"2013-11-19","45.81"
"2013-11-18","46.05"
"2013-11-15","46.18"
"2013-11-14","45.84"
"2013-11-13","45.55"
"2013-11-12","44.51"
"2013-11-11","44.34"
"2013-11-08","44.17"
"2013-11-07","44.20"
"2013-11-06","44.90"
"2013-11-05","45.04"
"2013-11-04","45.54"
"2013-11-01","44.81"
"2013-10-31","44.38"
"2013-10-30","44.66"
"2013-10-29","44.91"
"2013-10-28","44.12"
"2013-10-25","44.05"
"2013-10-24","43.91"
"2013-10-23","43.16"
"2013-10-22","43.00"
"2013-10-21","42.72"
"2013-10-18","42.69"
"2013-10-17","42.41"
"2013-10-16","41.97"
"2013-10-15","41.55"
"2013-10-14","41.94"
"2013-10-11","41.75"
"2013-10-10","41.22"
"2013-10-09","40.76"
"2013-10-08","40.39"
"2013-10-07","41.15"
"2013-10-04","42.55"
"2013-10-03","42.18"
"2013-10-02","42.41"
"2013-10-01","42.31"
"2013-09-30","41.88"
"2013-09-27","42.09"
"2013-09-26","42.16"
"2013-09-25","42.13"
"2013-09-24","42.75"
"2013-09-23","42.67"
"2013-09-20","43.04"
"2013-09-19","43.41"
"2013-09-18","42.69"
"2013-09-17","42.12"
"2013-09-16","41.93"
"2013-09-13","42.03"
"2013-09-12","41.53"
"2013-09-11","41.86"
"2013-09-10","42.10"
"2013-09-09","41.90"
"2013-09-06","41.23"
"2013-09-05","41.11"
"2013-09-04","41.13"
"2013-09-03","40.82"
"2013-08-30","40.50"
"2013-08-29","40.39"
"2013-08-28","40.72"
"2013-08-27","40.53"
"2013-08-26","41.42"
"2013-08-23","41.73"
"2013-08-22","41.69"
"2013-08-21","41.55"
"2013-08-20","42.02"
"2013-08-19","41.61"
"2013-08-16","41.65"
"2013-08-15","42.03"
"2013-08-14","42.61"
"2013-08-13","42.57"
"2013-08-12","42.38"
"2013-08-09","42.88"
"2013-08-08","42.94"
"2013-08-07","42.33"
"2013-08-06","42.63"
"2013-08-05","42.86"
"2013-08-02","42.84"
"2013-08-01","42.70"
"2013-07-31","42.03"
"2013-07-30","42.10"
"2013-07-29","42.53"
"2013-07-26","42.77"
"2013-07-25","42.43"
"2013-07-24","42.12"
"2013-07-23","42.41"
"2013-07-22","42.08"
"2013-07-19","42.38"
"2013-07-18","43.61"
"2013-07-17","43.16"
"2013-07-16","46.33"
"2013-07-15","46.63"
"2013-07-12","47.08"
"2013-07-11","46.69"
"2013-07-10","46.52"
"2013-07-09","46.38"
"2013-07-08","46.02"
"2013-07-05","45.69"
"2013-07-03","44.93"
"2013-07-02","45.04"
"2013-07-01","45.65"
"2013-06-28","45.31"
"2013-06-27","44.97"
"2013-06-26","44.44"
"2013-06-25","44.36"
"2013-06-24","43.92"
"2013-06-21","44.12"
"2013-06-20","44.02"
"2013-06-19","45.21"
"2013-06-18","45.05"
"2013-06-17","44.46"
"2013-06-14","44.71"
"2013-06-13","44.89"
"2013-06-12","43.97"
"2013-06-11","44.73"
"2013-06-10","44.93"
"2013-06-07","45.18"
"2013-06-06","44.32"
"2013-06-05","43.99"
"2013-06-04","44.81"
"2013-06-03","44.94"
"2013-05-31","44.75"
"2013-05-30","45.01"
"2013-05-29","44.85"
"2013-05-28","45.73"
"2013-05-24","45.63"
"2013-05-23","45.35"
"2013-05-22","45.87"
"2013-05-21","46.65"
"2013-05-20","46.17"
"2013-05-17","46.79"
"2013-05-16","46.19"
"2013-05-15","46.65"
"2013-05-14","46.58"
"2013-05-13","46.17"
"2013-05-10","45.98"
"2013-05-09","46.08"
"2013-05-08","46.26"
"2013-05-07","45.89"
"2013-05-06","45.52"
"2013-05-03","45.35"
"2013-05-02","44.79"
"2013-05-01","44.93"
"2013-04-30","45.66"
"2013-04-29","44.81"
"2013-04-26","44.65"
"2013-04-25","44.82"
"2013-04-24","44.24"
"2013-04-23","44.21"
"2013-04-22","44.07"
"2013-04-19","44.01"
"2013-04-18","43.98"
"2013-04-17","43.78"
"2013-04-16","42.98"
"2013-04-15","43.02"
"2013-04-12","44.02"
"2013-04-11","44.22"
"2013-04-10","44.06"
"2013-04-09","43.26"
"2013-04-08","42.91"
"2013-04-05","42.64"
"2013-04-04","43.28"
"2013-04-03","42.99"
"2013-04-02","44.02"
"2013-04-01","43.55"
"2013-03-28","43.77"
"2013-03-27","43.35"
"2013-03-26","43.56"
"2013-03-25","43.51"
"2013-03-22","43.24"
"2013-03-21","42.58"
"2013-03-20","42.30"
"2013-03-19","41.81"
"2013-03-18","41.79"
"2013-03-15","42.14"
"2013-03-14","42.30"
"2013-03-13","41.92"
"2013-03-12","41.61"
"2013-03-11","41.67"
"2013-03-08","41.43"
"2013-03-07","41.26"
"2013-03-06","40.94"
"2013-03-05","41.17"
"2013-03-04","40.60"
"2013-03-01","40.50"
"2013-02-28","40.75"
"2013-02-27","40.82"
"2013-02-26","40.20"
"2013-02-25","39.96"
"2013-02-22","40.52"
"2013-02-21","40.42"
"2013-02-20","40.77"
"2013-02-19","41.20"
"2013-02-15","40.85"
"2013-02-14","41.15"
"2013-02-13","40.99"
"2013-02-12","40.67"
"2013-02-11","40.27"
"2013-02-08","40.32"
"2013-02-07","39.67"
"2013-02-06","39.51"
"2013-02-05","39.37"
"2013-02-04","38.78"
"2013-02-01","38.26"
"2013-01-31","37.63"
"2013-01-30","37.11"
"2013-01-29","37.26"
"2013-01-28","36.95"
"2013-01-25","37.15"
"2013-01-24","38.04"
"2013-01-23","37.98"
"2013-01-22","38.16"
"2013-01-18","38.03"
"2013-01-17","37.78"
"2013-01-16","37.32"
"2013-01-15","37.03"
"2013-01-14","36.82"
"2013-01-11","37.13"
"2013-01-10","37.00"
"2013-01-09","36.81"
"2013-01-08","35.70"
"2013-01-07","36.02"
"2013-01-04","36.45"
"2013-01-03","36.72"
"2013-01-02","36.80"
"2012-12-31","36.62"
"2012-12-28","35.84"
"2012-12-27","36.14"
"2012-12-26","36.21"
"2012-12-24","36.60"
"2012-12-21","36.89"
"2012-12-20","37.34"
"2012-12-19","37.38"
"2012-12-18","37.53"
"2012-12-17","37.20"
"2012-12-14","36.94"
"2012-12-13","36.85"
"2012-12-12","37.19"
"2012-12-11","37.33"
"2012-12-10","37.07"
"2012-12-07","37.07"
"2012-12-06","37.11"
"2012-12-05","36.71"
"2012-12-04","36.79"
"2012-12-03","36.90"
"2012-11-30","37.51"
"2012-11-29","37.02"
"2012-11-28","36.80"
"2012-11-27","36.44"
"2012-11-26","36.72"
"2012-11-23","36.87"
"2012-11-21","36.27"
"2012-11-20","36.19"
"2012-11-19","35.84"
"2012-11-16","35.31"
"2012-11-15","35.12"
"2012-11-14","35.11"
"2012-11-13","35.50"
"2012-11-12","35.80"
"2012-11-09","35.99"
"2012-11-08","35.90"
"2012-11-07","36.25"
"2012-11-06","36.81"
"2012-11-05","36.48"
"2012-11-02","36.46"
"2012-11-01","37.16"
"2012-10-31","36.78"
"2012-10-26","36.85"
"2012-10-25","37.06"
"2012-10-24","36.79"
"2012-10-23","36.74"
"2012-10-22","37.15"
"2012-10-19","37.50"
"2012-10-18","37.79"
"2012-10-17","37.40"
"2012-10-16","37.20"
"2012-10-15","35.42"
"2012-10-12","36.01"
"2012-10-11","35.25"
"2012-10-10","35.18"
"2012-10-09","35.36"
"2012-10-08","35.95"
"2012-10-05","35.94"
"2012-10-04","35.78"
"2012-10-03","35.35"
"2012-10-02","35.43"
"2012-10-01","35.29"
"2012-09-28","35.47"
"2012-09-27","35.55"
"2012-09-26","35.31"
"2012-09-25","35.57"
"2012-09-24","35.78"
"2012-09-21","35.84"
"2012-09-20","36.00"
"2012-09-19","35.25"
"2012-09-18","35.99"
"2012-09-17","36.14"
"2012-09-14","36.17"
"2012-09-13","35.66"
"2012-09-12","35.54"
"2012-09-11","35.54"
"2012-09-10","35.55"
"2012-09-07","35.50"
"2012-09-06","35.64"
"2012-09-05","34.76"
"2012-09-04","34.97"
"2012-08-31","35.14"
"2012-08-30","35.21"
"2012-08-29","35.36"
"2012-08-28","35.01"
"2012-08-27","35.19"
"2012-08-24","35.65"
"2012-08-23","35.37"
"2012-08-22","35.48"
"2012-08-21","35.54"
"2012-08-20","35.73"
"2012-08-17","35.76"
"2012-08-16","35.67"
"2012-08-15","35.52"
"2012-08-14","35.66"
"2012-08-13","35.59"
"2012-08-10","35.65"
"2012-08-09","35.44"
"2012-08-08","35.59"
"2012-08-07","35.38"
"2012-08-06","35.28"
"2012-08-03","35.22"
"2012-08-02","34.56"
"2012-08-01","34.76"
"2012-07-31","35.17"
"2012-07-30","35.46"
"2012-07-27","35.28"
"2012-07-26","34.64"
"2012-07-25","34.50"
"2012-07-24","34.47"
"2012-07-23","34.34"
"2012-07-20","34.39"
"2012-07-19","34.58"
"2012-07-18","34.23"
"2012-07-17","34.05"
"2012-07-16","31.04"
"2012-07-13","31.23"
"2012-07-12","31.09"
"2012-07-11","31.43"
"2012-07-10","31.58"
"2012-07-09","31.80"
"2012-07-06","32.41"
"2012-07-05","32.82"
"2012-07-03","32.74"
"2012-07-02","32.51"
"2012-06-29","32.44"
"2012-06-28","31.81"
"2012-06-27","31.85"
"2012-06-26","31.94"
"2012-06-25","31.67"
"2012-06-22","32.21"
"2012-06-21","32.02"
"2012-06-20","32.44"
"2012-06-19","32.43"
"2012-06-18","32.42"
"2012-06-15","32.40"
"2012-06-14","32.13"
"2012-06-13","31.76"
"2012-06-12","32.11"
"2012-06-11","31.39"
"2012-06-08","31.69"
"2012-06-07","31.54"
"2012-06-06","31.57"
"2012-06-05","30.78"
"2012-06-04","30.58"
"2012-06-01","30.56"
"2012-05-31","31.13"
"2012-05-30","31.17"
"2012-05-29","31.51"
"2012-05-25","31.26"
"2012-05-24","31.04"
"2012-05-23","31.17"
"2012-05-22","31.36"
"2012-05-21","31.25"
"2012-05-18","31.13"
"2012-05-17","31.07"
"2012-05-16","32.08"
"2012-05-15","31.98"
"2012-05-14","31.87"
"2012-05-11","32.47"
"2012-05-10","32.42"
"2012-05-09","32.09"
"2012-05-08","32.52"
"2012-05-07","32.93"
"2012-05-04","32.98"
"2012-05-03","33.59"
"2012-05-02","33.87"
"2012-05-01","33.80"
"2012-04-30","33.60"
"2012-04-27","33.52"
"2012-04-26","33.24"
"2012-04-25","32.88"
"2012-04-24","32.33"
"2012-04-23","31.81"
"2012-04-20","32.06"
"2012-04-19","31.76"
"2012-04-18","32.11"
"2012-04-17","31.80"
"2012-04-16","31.01"
"2012-04-13","34.13"
"2012-04-12","34.30"
"2012-04-11","33.68"
"2012-04-10","33.00"
"2012-04-09","33.64"
"2012-04-05","33.92"
"2012-04-04","33.88"
"2012-04-03","34.24"
"2012-04-02","34.13"
"2012-03-30","33.66"
"2012-03-29","34.03"
"2012-03-28","34.10"
"2012-03-27","34.38"
"2012-03-26","34.38"
"2012-03-23","33.76"
"2012-03-22","33.64"
"2012-03-21","33.32"
"2012-03-20","33.50"
"2012-03-19","33.53"
"2012-03-16","33.06"
"2012-03-15","33.36"
"2012-03-14","33.42"
"2012-03-13","33.53"
"2012-03-12","33.39"
"2012-03-09","33.39"
"2012-03-08","33.06"
"2012-03-07","32.50"
"2012-03-06","32.23"
"2012-03-05","33.03"
"2012-03-02","32.68"
"2012-03-01","32.82"
