"Date","Close"
"2013-12-31","53.92"
"2013-12-30","53.50"
"2013-12-27","53.96"
"2013-12-26","54.02"
"2013-12-24","53.67"
"2013-12-23","53.17"
"2013-12-20","53.12"
"2013-12-19","52.27"
"2013-12-18","51.90"
"2013-12-17","50.74"
"2013-12-16","51.31"
"2013-12-13","51.19"
"2013-12-12","51.19"
"2013-12-11","51.43"
"2013-12-10","51.85"
"2013-12-09","51.70"
"2013-12-06","51.67"
"2013-12-05","51.05"
"2013-12-04","51.27"
"2013-12-03","51.34"
"2013-12-02","52.21"
"2013-11-29","52.19"
"2013-11-27","52.40"
"2013-11-26","52.53"
"2013-11-25","52.44"
"2013-11-22","52.65"
"2013-11-21","52.95"
"2013-11-20","52.04"
"2013-11-19","52.32"
"2013-11-18","52.18"
"2013-11-15","52.01"
"2013-11-14","51.39"
"2013-11-13","50.03"
"2013-11-12","49.31"
"2013-11-11","49.90"
"2013-11-08","50.14"
"2013-11-07","47.59"
"2013-11-06","47.96"
"2013-11-05","48.07"
"2013-11-04","48.07"
"2013-11-01","47.32"
"2013-10-31","47.31"
"2013-10-30","49.00"
"2013-10-29","49.20"
"2013-10-28","48.59"
"2013-10-25","48.63"
"2013-10-24","48.57"
"2013-10-23","48.26"
"2013-10-22","49.16"
"2013-10-21","49.58"
"2013-10-18","49.45"
"2013-10-17","49.28"
"2013-10-16","49.30"
"2013-10-15","48.34"
"2013-10-14","48.67"
"2013-10-11","48.74"
"2013-10-10","48.11"
"2013-10-09","46.38"
"2013-10-08","46.45"
"2013-10-07","46.92"
"2013-10-04","47.69"
"2013-10-03","46.92"
"2013-10-02","47.10"
"2013-10-01","47.43"
"2013-09-30","46.95"
"2013-09-27","47.21"
"2013-09-26","47.58"
"2013-09-25","47.85"
"2013-09-24","47.11"
"2013-09-23","47.36"
"2013-09-20","47.49"
"2013-09-19","47.08"
"2013-09-18","48.63"
"2013-09-17","49.88"
"2013-09-16","49.35"
"2013-09-13","48.83"
"2013-09-12","49.28"
"2013-09-11","49.55"
"2013-09-10","49.62"
"2013-09-09","48.47"
"2013-09-06","47.98"
"2013-09-05","48.40"
"2013-09-04","48.38"
"2013-09-03","47.09"
"2013-08-30","46.19"
"2013-08-29","46.44"
"2013-08-28","45.96"
"2013-08-27","45.85"
"2013-08-26","47.92"
"2013-08-23","48.26"
"2013-08-22","48.64"
"2013-08-21","47.83"
"2013-08-20","47.88"
"2013-08-19","47.61"
"2013-08-16","48.28"
"2013-08-15","47.95"
"2013-08-14","48.69"
"2013-08-13","49.54"
"2013-08-12","48.88"
"2013-08-09","49.77"
"2013-08-08","49.76"
"2013-08-07","49.50"
"2013-08-06","49.58"
"2013-08-05","50.53"
"2013-08-02","50.80"
"2013-08-01","51.47"
"2013-07-31","48.42"
"2013-07-30","48.23"
"2013-07-29","48.61"
"2013-07-26","48.93"
"2013-07-25","48.87"
"2013-07-24","49.07"
"2013-07-23","49.35"
"2013-07-22","49.27"
"2013-07-19","48.64"
"2013-07-18","48.84"
"2013-07-17","47.83"
"2013-07-16","48.06"
"2013-07-15","48.54"
"2013-07-12","49.08"
"2013-07-11","48.56"
"2013-07-10","48.61"
"2013-07-09","48.78"
"2013-07-08","48.05"
"2013-07-05","47.52"
"2013-07-03","46.27"
"2013-07-02","46.57"
"2013-07-01","46.54"
"2013-06-28","45.76"
"2013-06-27","46.10"
"2013-06-26","45.40"
"2013-06-25","44.82"
"2013-06-24","43.97"
"2013-06-21","45.04"
"2013-06-20","45.12"
"2013-06-19","45.22"
"2013-06-18","45.41"
"2013-06-17","44.90"
"2013-06-14","43.97"
"2013-06-13","44.91"
"2013-06-12","44.47"
"2013-06-11","44.48"
"2013-06-10","45.60"
"2013-06-07","45.06"
"2013-06-06","43.72"
"2013-06-05","42.99"
"2013-06-04","43.96"
"2013-06-03","44.41"
"2013-05-31","44.21"
"2013-05-30","44.34"
"2013-05-29","43.93"
"2013-05-28","43.24"
"2013-05-24","42.04"
"2013-05-23","42.49"
"2013-05-22","42.26"
"2013-05-21","42.82"
"2013-05-20","43.30"
"2013-05-17","43.28"
"2013-05-16","42.57"
"2013-05-15","43.04"
"2013-05-14","42.76"
"2013-05-13","41.60"
"2013-05-10","41.16"
"2013-05-09","40.59"
"2013-05-08","41.25"
"2013-05-07","40.78"
"2013-05-06","40.75"
"2013-05-03","40.48"
"2013-05-02","39.97"
"2013-05-01","38.40"
"2013-04-30","38.99"
"2013-04-29","39.15"
"2013-04-26","38.53"
"2013-04-25","38.91"
"2013-04-24","38.32"
"2013-04-23","37.74"
"2013-04-22","35.79"
"2013-04-19","35.60"
"2013-04-18","35.53"
"2013-04-17","36.35"
"2013-04-16","36.86"
"2013-04-15","36.04"
"2013-04-12","36.80"
"2013-04-11","37.38"
"2013-04-10","37.67"
"2013-04-09","36.99"
"2013-04-08","36.39"
"2013-04-05","36.58"
"2013-04-04","37.39"
"2013-04-03","37.15"
"2013-04-02","38.16"
"2013-04-01","37.64"
"2013-03-28","38.02"
"2013-03-27","38.16"
"2013-03-26","38.58"
"2013-03-25","38.20"
"2013-03-22","38.40"
"2013-03-21","38.05"
"2013-03-20","38.55"
"2013-03-19","38.68"
"2013-03-18","39.15"
"2013-03-15","40.20"
"2013-03-14","40.18"
"2013-03-13","39.98"
"2013-03-12","39.49"
"2013-03-11","39.61"
"2013-03-08","39.03"
"2013-03-07","37.21"
"2013-03-06","36.54"
"2013-03-05","36.43"
"2013-03-04","35.45"
"2013-03-01","35.32"
"2013-02-28","35.44"
"2013-02-27","35.70"
"2013-02-26","34.86"
"2013-02-25","34.64"
"2013-02-22","35.78"
"2013-02-21","35.29"
"2013-02-20","35.89"
"2013-02-19","37.00"
"2013-02-15","36.44"
"2013-02-14","36.69"
"2013-02-13","37.50"
"2013-02-12","37.13"
"2013-02-11","36.90"
"2013-02-08","36.90"
"2013-02-07","36.94"
"2013-02-06","37.57"
"2013-02-05","37.61"
"2013-02-04","37.23"
"2013-02-01","38.20"
"2013-01-31","37.34"
"2013-01-30","37.25"
"2013-01-29","37.72"
"2013-01-28","37.63"
"2013-01-25","37.65"
"2013-01-24","36.83"
"2013-01-23","37.35"
"2013-01-22","37.14"
"2013-01-18","36.31"
"2013-01-17","36.36"
"2013-01-16","36.35"
"2013-01-15","36.29"
"2013-01-14","36.30"
"2013-01-11","36.34"
"2013-01-10","36.59"
"2013-01-09","36.05"
"2013-01-08","36.00"
"2013-01-07","35.79"
"2013-01-04","35.95"
"2013-01-03","35.10"
"2013-01-02","35.15"
"2012-12-31","32.94"
"2012-12-28","32.27"
"2012-12-27","32.88"
"2012-12-26","32.79"
"2012-12-24","32.89"
"2012-12-21","33.07"
"2012-12-20","33.80"
"2012-12-19","33.22"
"2012-12-18","33.14"
"2012-12-17","32.03"
"2012-12-14","31.84"
"2012-12-13","32.83"
"2012-12-12","33.61"
"2012-12-11","33.21"
"2012-12-10","33.07"
"2012-12-07","32.89"
"2012-12-06","32.91"
"2012-12-05","33.32"
"2012-12-04","33.32"
"2012-12-03","33.38"
"2012-11-30","33.19"
"2012-11-29","33.35"
"2012-11-28","32.94"
"2012-11-27","32.62"
"2012-11-26","33.13"
"2012-11-23","33.23"
"2012-11-21","32.84"
"2012-11-20","32.38"
"2012-11-19","32.02"
"2012-11-16","31.56"
"2012-11-15","31.34"
"2012-11-14","30.91"
"2012-11-13","31.47"
"2012-11-12","32.04"
"2012-11-09","32.02"
"2012-11-08","32.00"
"2012-11-07","32.59"
"2012-11-06","35.03"
"2012-11-05","34.69"
"2012-11-02","34.70"
"2012-11-01","35.48"
"2012-10-31","35.49"
"2012-10-26","35.22"
"2012-10-25","35.65"
"2012-10-24","34.91"
"2012-10-23","34.98"
