"Date","Close"
"2013-12-31","78.20"
"2013-12-30","77.58"
"2013-12-27","77.47"
"2013-12-26","77.19"
"2013-12-24","76.74"
"2013-12-23","76.23"
"2013-12-20","76.00"
"2013-12-19","73.82"
"2013-12-18","74.25"
"2013-12-17","72.84"
"2013-12-16","73.66"
"2013-12-13","72.20"
"2013-12-12","72.01"
"2013-12-11","71.96"
"2013-12-10","73.81"
"2013-12-09","74.29"
"2013-12-06","74.73"
"2013-12-05","73.70"
"2013-12-04","73.94"
"2013-12-03","73.40"
"2013-12-02","74.28"
"2013-11-29","74.50"
"2013-11-27","74.58"
"2013-11-26","73.70"
"2013-11-25","73.82"
"2013-11-22","74.28"
"2013-11-21","73.75"
"2013-11-20","73.29"
"2013-11-19","73.56"
"2013-11-18","72.84"
"2013-11-15","72.12"
"2013-11-14","72.29"
"2013-11-13","71.23"
"2013-11-12","71.17"
"2013-11-11","71.53"
"2013-11-08","71.42"
"2013-11-07","69.87"
"2013-11-06","70.87"
"2013-11-05","71.03"
"2013-11-04","71.32"
"2013-11-01","71.08"
"2013-10-31","69.68"
"2013-10-30","70.61"
"2013-10-29","71.70"
"2013-10-28","70.43"
"2013-10-25","71.35"
"2013-10-24","71.42"
"2013-10-23","70.77"
"2013-10-22","70.65"
"2013-10-21","69.79"
"2013-10-18","68.93"
"2013-10-17","69.22"
"2013-10-16","68.77"
"2013-10-15","67.21"
"2013-10-14","67.89"
"2013-10-11","67.85"
"2013-10-10","67.90"
"2013-10-09","66.00"
"2013-10-08","65.55"
"2013-10-07","65.87"
"2013-10-04","66.03"
"2013-10-03","65.79"
"2013-10-02","66.65"
"2013-10-01","67.03"
"2013-09-30","65.59"
"2013-09-27","65.92"
"2013-09-26","66.00"
"2013-09-25","65.48"
"2013-09-24","66.03"
"2013-09-23","65.58"
"2013-09-20","65.68"
"2013-09-19","65.42"
"2013-09-18","64.75"
"2013-09-17","64.49"
"2013-09-16","63.01"
"2013-09-13","61.74"
"2013-09-12","62.03"
"2013-09-11","62.22"
"2013-09-10","61.95"
"2013-09-09","61.18"
"2013-09-06","60.03"
"2013-09-05","59.85"
"2013-09-04","59.80"
"2013-09-03","59.92"
"2013-08-30","58.37"
"2013-08-29","58.61"
"2013-08-28","58.68"
"2013-08-27","58.46"
"2013-08-26","60.17"
"2013-08-23","60.00"
"2013-08-22","60.01"
"2013-08-21","59.25"
"2013-08-20","60.15"
"2013-08-19","60.00"
"2013-08-16","60.66"
"2013-08-15","60.30"
"2013-08-14","61.53"
"2013-08-13","63.57"
"2013-08-12","62.71"
"2013-08-09","62.76"
"2013-08-08","62.95"
"2013-08-07","62.88"
"2013-08-06","63.34"
"2013-08-05","63.01"
"2013-08-02","62.76"
"2013-08-01","62.61"
"2013-07-31","61.86"
"2013-07-30","60.28"
"2013-07-29","59.79"
"2013-07-26","60.50"
"2013-07-25","60.10"
"2013-07-24","59.48"
"2013-07-23","57.86"
"2013-07-22","59.00"
"2013-07-19","58.49"
"2013-07-18","57.95"
"2013-07-17","57.58"
"2013-07-16","57.56"
"2013-07-15","58.80"
"2013-07-12","57.44"
"2013-07-11","57.56"
"2013-07-10","55.89"
"2013-07-09","55.51"
"2013-07-08","55.69"
"2013-07-05","54.87"
"2013-07-03","54.28"
"2013-07-02","53.99"
"2013-07-01","54.06"
"2013-06-28","53.19"
"2013-06-27","53.27"
"2013-06-26","53.15"
"2013-06-25","53.04"
"2013-06-24","53.20"
"2013-06-21","54.41"
"2013-06-20","54.57"
"2013-06-19","55.51"
"2013-06-18","56.08"
"2013-06-17","55.05"
"2013-06-14","54.73"
"2013-06-13","55.07"
"2013-06-12","54.54"
"2013-06-11","54.45"
"2013-06-10","54.82"
"2013-06-07","54.74"
"2013-06-06","54.07"
"2013-06-05","53.80"
"2013-06-04","54.62"
"2013-06-03","55.00"
"2013-05-31","54.55"
"2013-05-30","55.21"
"2013-05-29","54.09"
"2013-05-28","54.40"
"2013-05-24","53.45"
"2013-05-23","54.03"
"2013-05-22","54.70"
"2013-05-21","55.57"
"2013-05-20","54.99"
"2013-05-17","55.70"
"2013-05-16","55.50"
"2013-05-15","55.92"
"2013-05-14","55.60"
"2013-05-13","55.18"
"2013-05-10","55.69"
"2013-05-09","54.74"
"2013-05-08","54.99"
"2013-05-07","54.61"
"2013-05-06","54.28"
"2013-05-03","54.43"
"2013-05-02","53.85"
"2013-05-01","54.01"
"2013-04-30","54.11"
"2013-04-29","53.45"
"2013-04-26","52.00"
"2013-04-25","51.55"
"2013-04-24","51.81"
"2013-04-23","51.93"
"2013-04-22","52.00"
"2013-04-19","51.85"
"2013-04-18","51.48"
"2013-04-17","51.81"
"2013-04-16","52.01"
"2013-04-15","51.23"
"2013-04-12","51.80"
"2013-04-11","51.82"
"2013-04-10","51.93"
"2013-04-09","51.42"
"2013-04-08","51.93"
"2013-04-05","51.54"
"2013-04-04","51.37"
