"Date","Close"
"2013-12-31","148.90"
"2013-12-30","147.47"
"2013-12-27","146.75"
"2013-12-26","146.33"
"2013-12-24","146.36"
"2013-12-23","145.43"
"2013-12-20","141.44"
"2013-12-19","143.50"
"2013-12-18","146.47"
"2013-12-17","139.80"
"2013-12-16","140.86"
"2013-12-13","139.64"
"2013-12-12","140.64"
"2013-12-11","139.52"
"2013-12-10","141.02"
"2013-12-09","143.27"
"2013-12-06","138.95"
"2013-12-05","137.47"
"2013-12-04","135.83"
"2013-12-03","137.56"
"2013-12-02","137.68"
"2013-11-29","140.02"
"2013-11-27","140.95"
"2013-11-26","142.22"
"2013-11-25","141.21"
"2013-11-22","142.32"
"2013-11-21","143.58"
"2013-11-20","139.37"
"2013-11-19","139.75"
"2013-11-18","140.98"
"2013-11-15","144.68"
"2013-11-14","142.46"
"2013-11-13","139.60"
"2013-11-12","136.76"
"2013-11-11","135.21"
"2013-11-08","134.30"
"2013-11-07","133.62"
"2013-11-06","135.17"
"2013-11-05","135.80"
"2013-11-04","137.64"
"2013-11-01","137.56"
"2013-10-31","132.42"
"2013-10-30","132.92"
"2013-10-29","134.08"
"2013-10-28","132.27"
"2013-10-25","131.78"
"2013-10-24","131.73"
"2013-10-23","128.26"
"2013-10-22","127.64"
"2013-10-21","125.01"
"2013-10-18","124.28"
"2013-10-17","124.96"
"2013-10-16","126.34"
"2013-10-15","125.86"
"2013-10-14","128.98"
"2013-10-11","129.95"
"2013-10-10","128.88"
"2013-10-09","125.46"
"2013-10-08","125.00"
"2013-10-07","127.41"
"2013-10-04","130.70"
"2013-10-03","130.87"
"2013-10-02","133.79"
"2013-10-01","133.42"
"2013-09-30","130.25"
"2013-09-27","130.09"
"2013-09-26","129.54"
"2013-09-25","129.20"
"2013-09-24","129.32"
"2013-09-23","127.81"
"2013-09-20","130.45"
"2013-09-19","133.52"
"2013-09-18","133.06"
"2013-09-17","130.00"
"2013-09-16","128.90"
"2013-09-13","127.69"
"2013-09-12","126.87"
"2013-09-11","127.59"
"2013-09-10","125.80"
"2013-09-09","124.98"
"2013-09-06","121.38"
"2013-09-05","117.19"
"2013-09-04","118.08"
"2013-09-03","117.64"
"2013-08-30","117.49"
"2013-08-29","120.07"
"2013-08-28","118.34"
"2013-08-27","120.15"
"2013-08-26","124.29"
"2013-08-23","123.05"
"2013-08-22","125.33"
"2013-08-21","123.20"
"2013-08-20","124.08"
"2013-08-19","119.59"
"2013-08-16","121.96"
"2013-08-15","122.09"
"2013-08-14","124.35"
"2013-08-13","127.43"
"2013-08-12","128.68"
"2013-08-09","128.00"
"2013-08-08","128.47"
"2013-08-07","126.42"
"2013-08-06","127.86"
"2013-08-05","129.97"
"2013-08-02","129.97"
"2013-08-01","121.29"
"2013-07-31","118.99"
"2013-07-30","117.56"
"2013-07-29","114.60"
"2013-07-26","114.42"
"2013-07-25","115.02"
"2013-07-24","116.50"
"2013-07-23","117.25"
"2013-07-22","115.79"
"2013-07-19","117.76"
"2013-07-18","117.60"
"2013-07-17","117.64"
"2013-07-16","117.04"
"2013-07-15","117.52"
"2013-07-12","117.03"
"2013-07-11","116.46"
"2013-07-10","112.77"
"2013-07-09","113.42"
"2013-07-08","109.03"
"2013-07-05","111.58"
"2013-07-03","111.58"
"2013-07-02","110.60"
"2013-07-01","112.10"
"2013-06-28","112.49"
"2013-06-27","113.67"
"2013-06-26","110.12"
"2013-06-25","110.23"
"2013-06-24","106.36"
"2013-06-21","108.95"
"2013-06-20","109.89"
"2013-06-19","114.63"
"2013-06-18","114.71"
"2013-06-17","113.23"
"2013-06-14","111.08"
"2013-06-13","111.16"
"2013-06-12","106.45"
"2013-06-11","107.22"
"2013-06-10","110.36"
"2013-06-07","111.64"
"2013-06-06","109.85"
"2013-06-05","106.08"
"2013-06-04","107.00"
"2013-06-03","108.64"
"2013-05-31","111.17"
"2013-05-30","113.35"
"2013-05-29","113.64"
"2013-05-28","116.63"
"2013-05-24","114.23"
"2013-05-23","114.25"
"2013-05-22","113.93"
"2013-05-21","115.63"
"2013-05-20","115.59"
"2013-05-17","117.90"
"2013-05-16","116.85"
"2013-05-15","119.42"
"2013-05-14","119.53"
"2013-05-13","118.63"
