"Date","Close"
"2013-12-31","68.92"
"2013-12-30","69.14"
"2013-12-27","68.76"
"2013-12-26","68.95"
"2013-12-24","68.68"
"2013-12-23","68.38"
"2013-12-20","68.61"
"2013-12-19","68.40"
"2013-12-18","68.05"
"2013-12-17","67.48"
"2013-12-16","67.70"
"2013-12-13","67.66"
"2013-12-12","68.01"
"2013-12-11","68.94"
"2013-12-10","68.51"
"2013-12-09","69.88"
"2013-12-06","69.37"
"2013-12-05","68.02"
"2013-12-04","68.59"
"2013-12-03","68.84"
"2013-12-02","68.91"
"2013-11-29","69.00"
"2013-11-27","69.39"
"2013-11-26","69.14"
"2013-11-25","68.79"
"2013-11-22","69.36"
"2013-11-21","68.93"
"2013-11-20","68.61"
"2013-11-19","69.31"
"2013-11-18","69.78"
"2013-11-15","70.09"
"2013-11-14","70.20"
"2013-11-13","69.80"
"2013-11-12","69.19"
"2013-11-11","69.12"
"2013-11-08","69.10"
"2013-11-07","68.91"
"2013-11-06","70.15"
"2013-11-05","69.11"
"2013-11-04","68.97"
"2013-11-01","68.71"
"2013-10-31","69.15"
"2013-10-30","69.30"
"2013-10-29","69.97"
"2013-10-28","69.61"
"2013-10-25","69.15"
"2013-10-24","68.62"
"2013-10-23","68.58"
"2013-10-22","68.51"
"2013-10-21","67.32"
"2013-10-18","67.92"
"2013-10-17","68.06"
"2013-10-16","67.39"
"2013-10-15","65.87"
"2013-10-14","66.44"
"2013-10-11","66.28"
"2013-10-10","66.27"
"2013-10-09","64.67"
"2013-10-08","65.03"
"2013-10-07","64.89"
"2013-10-04","64.66"
"2013-10-03","64.07"
"2013-10-02","64.79"
"2013-10-01","64.88"
"2013-09-30","64.70"
"2013-09-27","65.40"
"2013-09-26","66.56"
"2013-09-25","68.05"
"2013-09-24","68.57"
"2013-09-23","68.72"
"2013-09-20","68.91"
"2013-09-19","69.20"
"2013-09-18","69.48"
"2013-09-17","68.64"
"2013-09-16","68.68"
"2013-09-13","67.79"
"2013-09-12","67.30"
"2013-09-11","67.97"
"2013-09-10","67.33"
"2013-09-09","68.15"
"2013-09-06","67.42"
"2013-09-05","67.39"
"2013-09-04","67.67"
"2013-09-03","67.46"
"2013-08-30","67.65"
"2013-08-29","67.61"
"2013-08-28","67.09"
"2013-08-27","68.07"
"2013-08-26","68.77"
"2013-08-23","70.16"
"2013-08-22","70.31"
"2013-08-21","69.85"
"2013-08-20","70.65"
"2013-08-19","70.67"
"2013-08-16","70.69"
"2013-08-15","70.84"
"2013-08-14","72.10"
"2013-08-13","73.22"
"2013-08-12","73.10"
"2013-08-09","72.80"
"2013-08-08","73.11"
"2013-08-07","72.56"
"2013-08-06","73.34"
"2013-08-05","72.53"
"2013-08-02","72.74"
"2013-08-01","72.54"
"2013-07-31","71.61"
"2013-07-30","71.60"
"2013-07-29","71.85"
"2013-07-26","71.95"
"2013-07-25","72.21"
"2013-07-24","71.60"
"2013-07-23","72.45"
"2013-07-22","72.46"
"2013-07-19","73.07"
"2013-07-18","72.25"
