"Date","Close"
"2013-12-31","140.25"
"2013-12-30","139.42"
"2013-12-27","139.35"
"2013-12-26","138.29"
"2013-12-24","136.99"
"2013-12-23","136.80"
"2013-12-20","136.72"
"2013-12-19","136.41"
"2013-12-18","135.80"
"2013-12-17","131.39"
"2013-12-16","127.66"
"2013-12-13","126.43"
"2013-12-12","126.58"
"2013-12-11","126.77"
"2013-12-10","127.55"
"2013-12-09","128.57"
"2013-12-06","128.61"
"2013-12-05","126.83"
"2013-12-04","126.46"
"2013-12-03","126.60"
"2013-12-02","127.68"
"2013-11-29","133.51"
"2013-11-27","133.50"
"2013-11-26","132.15"
"2013-11-25","131.23"
"2013-11-22","131.02"
"2013-11-21","130.35"
"2013-11-20","129.18"
"2013-11-19","130.05"
"2013-11-18","130.13"
"2013-11-15","129.85"
"2013-11-14","129.79"
"2013-11-13","128.59"
"2013-11-12","128.36"
"2013-11-11","127.95"
"2013-11-08","127.99"
"2013-11-07","126.41"
"2013-11-06","127.13"
"2013-11-05","126.12"
"2013-11-04","126.32"
"2013-11-01","125.90"
"2013-10-31","125.85"
"2013-10-30","124.79"
"2013-10-29","125.28"
"2013-10-28","124.92"
"2013-10-25","124.42"
"2013-10-24","123.49"
"2013-10-23","123.20"
"2013-10-22","123.80"
"2013-10-21","123.25"
"2013-10-18","122.84"
"2013-10-17","122.62"
"2013-10-16","120.94"
"2013-10-15","119.82"
"2013-10-14","121.40"
"2013-10-11","120.72"
"2013-10-10","119.34"
"2013-10-09","117.57"
"2013-10-08","117.16"
"2013-10-07","118.69"
"2013-10-04","119.40"
"2013-10-03","118.55"
"2013-10-02","119.20"
"2013-10-01","119.62"
"2013-09-30","119.41"
"2013-09-27","120.22"
"2013-09-26","120.66"
"2013-09-25","120.20"
"2013-09-24","120.80"
"2013-09-23","121.11"
"2013-09-20","120.01"
"2013-09-19","121.57"
"2013-09-18","121.29"
"2013-09-17","119.93"
"2013-09-16","119.23"
"2013-09-13","118.60"
"2013-09-12","118.20"
"2013-09-11","118.71"
"2013-09-10","117.59"
"2013-09-09","116.74"
"2013-09-06","115.04"
"2013-09-05","114.87"
"2013-09-04","114.55"
"2013-09-03","113.22"
"2013-08-30","113.58"
"2013-08-29","113.32"
"2013-08-28","113.00"
"2013-08-27","112.73"
"2013-08-26","114.33"
"2013-08-23","114.40"
"2013-08-22","114.67"
"2013-08-21","113.42"
"2013-08-20","115.42"
"2013-08-19","115.61"
"2013-08-16","115.90"
"2013-08-15","115.85"
"2013-08-14","117.62"
"2013-08-13","118.67"
"2013-08-12","118.38"
"2013-08-09","118.31"
"2013-08-08","118.68"
"2013-08-07","117.83"
"2013-08-06","117.50"
"2013-08-05","117.92"
"2013-08-02","118.26"
"2013-08-01","118.41"
"2013-07-31","117.43"
"2013-07-30","116.84"
"2013-07-29","116.61"
"2013-07-26","116.91"
"2013-07-25","116.55"
"2013-07-24","116.33"
"2013-07-23","116.75"
"2013-07-22","116.28"
"2013-07-19","116.19"
"2013-07-18","115.48"
"2013-07-17","114.64"
"2013-07-16","114.34"
"2013-07-15","114.85"
"2013-07-12","115.14"
"2013-07-11","114.53"
"2013-07-10","113.43"
"2013-07-09","113.35"
"2013-07-08","112.13"
"2013-07-05","111.54"
"2013-07-03","109.45"
"2013-07-02","108.73"
"2013-07-01","109.31"
"2013-06-28","109.35"
"2013-06-27","110.24"
"2013-06-26","109.68"
"2013-06-25","108.24"
"2013-06-24","107.50"
"2013-06-21","109.59"
"2013-06-20","108.78"
"2013-06-19","111.57"
"2013-06-18","112.97"
"2013-06-17","111.91"
"2013-06-14","111.03"
"2013-06-13","111.20"
"2013-06-12","109.03"
"2013-06-11","110.22"
"2013-06-10","110.81"
"2013-06-07","111.11"
"2013-06-06","108.67"
"2013-06-05","108.59"
"2013-06-04","110.02"
"2013-06-03","110.61"
"2013-05-31","110.27"
"2013-05-30","111.42"
"2013-05-29","111.13"
"2013-05-28","111.59"
"2013-05-24","110.27"
"2013-05-23","110.41"
"2013-05-22","110.79"
"2013-05-21","112.01"
"2013-05-20","111.72"
"2013-05-17","111.39"
"2013-05-16","111.07"
"2013-05-15","111.50"
"2013-05-14","110.59"
"2013-05-13","110.50"
"2013-05-10","110.48"
"2013-05-09","109.92"
"2013-05-08","108.20"
"2013-05-07","108.01"
"2013-05-06","107.84"
"2013-05-03","107.83"
"2013-05-02","106.04"
"2013-05-01","104.55"
"2013-04-30","104.71"
"2013-04-29","103.83"
"2013-04-26","103.79"
"2013-04-25","104.88"
"2013-04-24","107.87"
"2013-04-23","107.39"
"2013-04-22","105.80"
"2013-04-19","105.71"
"2013-04-18","104.98"
"2013-04-17","105.48"
"2013-04-16","106.15"
"2013-04-15","105.76"
"2013-04-12","107.68"
"2013-04-11","108.25"
"2013-04-10","107.69"
"2013-04-09","105.95"
"2013-04-08","105.75"
"2013-04-05","105.78"
"2013-04-04","105.82"
"2013-04-03","105.68"
"2013-04-02","106.52"
"2013-04-01","105.65"
"2013-03-28","106.31"
"2013-03-27","105.29"
"2013-03-26","106.07"
"2013-03-25","105.17"
"2013-03-22","106.42"
"2013-03-21","104.94"
"2013-03-20","105.66"
"2013-03-19","105.18"
"2013-03-18","105.41"
"2013-03-15","106.40"
"2013-03-14","106.02"
"2013-03-13","105.09"
"2013-03-12","105.13"
"2013-03-11","105.81"
"2013-03-08","105.71"
"2013-03-07","104.54"
"2013-03-06","104.66"
"2013-03-05","104.45"
"2013-03-04","103.28"
"2013-03-01","103.77"
"2013-02-28","104.00"
"2013-02-27","103.57"
"2013-02-26","102.31"
"2013-02-25","101.75"
"2013-02-22","103.54"
"2013-02-21","102.72"
"2013-02-20","103.15"
"2013-02-19","104.18"
"2013-02-15","103.23"
"2013-02-14","102.78"
"2013-02-13","102.86"
"2013-02-12","103.46"
"2013-02-11","102.62"
"2013-02-08","102.66"
"2013-02-07","102.22"
"2013-02-06","102.69"
"2013-02-05","101.49"
"2013-02-04","100.77"
"2013-02-01","101.56"
"2013-01-31","100.55"
"2013-01-30","100.80"
"2013-01-29","101.81"
"2013-01-28","100.65"
"2013-01-25","100.59"
"2013-01-24","99.67"
"2013-01-23","99.49"
"2013-01-22","99.33"
"2013-01-18","98.74"
"2013-01-17","98.08"
"2013-01-16","97.60"
"2013-01-15","97.29"
"2013-01-14","97.08"
"2013-01-11","96.28"
"2013-01-10","96.89"
"2013-01-09","96.41"
"2013-01-08","95.50"
"2013-01-07","95.49"
"2013-01-04","95.37"
"2013-01-03","94.67"
"2013-01-02","94.78"
"2012-12-31","92.85"
"2012-12-28","91.78"
"2012-12-27","92.64"
"2012-12-26","93.07"
"2012-12-24","93.19"
"2012-12-21","93.10"
"2012-12-20","94.13"
"2012-12-19","93.02"
"2012-12-18","93.85"
"2012-12-17","93.03"
"2012-12-14","92.28"
"2012-12-13","92.50"
"2012-12-12","93.12"
"2012-12-11","93.68"
"2012-12-10","91.87"
"2012-12-07","91.51"
"2012-12-06","90.95"
"2012-12-05","90.76"
"2012-12-04","90.12"
"2012-12-03","90.30"
"2012-11-30","90.95"
"2012-11-29","90.65"
"2012-11-28","90.93"
"2012-11-27","90.31"
"2012-11-26","90.09"
"2012-11-23","90.28"
"2012-11-21","88.94"
"2012-11-20","89.02"
"2012-11-19","89.57"
"2012-11-16","88.50"
"2012-11-15","88.02"
"2012-11-14","87.31"
"2012-11-13","89.08"
"2012-11-12","89.18"
"2012-11-09","88.81"
"2012-11-08","88.55"
"2012-11-07","89.38"
"2012-11-06","90.86"
"2012-11-05","89.60"
"2012-11-02","88.97"
"2012-11-01","89.25"
"2012-10-31","87.60"
"2012-10-26","88.03"
"2012-10-25","87.81"
"2012-10-24","88.39"
"2012-10-23","88.73"
"2012-10-22","92.53"
"2012-10-19","92.94"
"2012-10-18","94.74"
"2012-10-17","94.81"
"2012-10-16","94.23"
"2012-10-15","92.79"
"2012-10-12","92.75"
"2012-10-11","92.83"
"2012-10-10","93.28"
"2012-10-09","93.94"
"2012-10-08","95.37"
"2012-10-05","94.96"
"2012-10-04","94.43"
"2012-10-03","93.78"
"2012-10-02","93.54"
"2012-10-01","93.29"
"2012-09-28","92.42"
"2012-09-27","92.82"
"2012-09-26","92.59"
"2012-09-25","92.83"
"2012-09-24","93.73"
"2012-09-21","93.21"
"2012-09-20","93.58"
"2012-09-19","93.63"
"2012-09-18","93.43"
"2012-09-17","93.78"
"2012-09-14","93.98"
"2012-09-13","92.06"
"2012-09-12","90.81"
"2012-09-11","91.17"
"2012-09-10","90.67"
"2012-09-07","92.82"
"2012-09-06","93.28"
"2012-09-05","91.75"
"2012-09-04","91.68"
"2012-08-31","92.60"
"2012-08-30","91.76"
"2012-08-29","92.43"
"2012-08-28","92.30"
"2012-08-27","92.59"
"2012-08-24","92.83"
"2012-08-23","91.98"
"2012-08-22","92.68"
"2012-08-21","93.21"
"2012-08-20","93.89"
"2012-08-17","94.24"
"2012-08-16","93.74"
"2012-08-15","92.54"
"2012-08-14","92.30"
"2012-08-13","92.40"
"2012-08-10","92.29"
"2012-08-09","91.59"
"2012-08-08","91.63"
"2012-08-07","91.70"
"2012-08-06","91.41"
"2012-08-03","91.70"
"2012-08-02","90.08"
"2012-08-01","91.20"
"2012-07-31","91.23"
"2012-07-30","91.28"
"2012-07-27","91.71"
"2012-07-26","90.59"
"2012-07-25","88.75"
"2012-07-24","88.24"
"2012-07-23","89.36"
"2012-07-20","89.99"
"2012-07-19","90.83"
"2012-07-18","90.87"
"2012-07-17","88.98"
"2012-07-16","88.10"
"2012-07-13","87.59"
"2012-07-12","86.41"
"2012-07-11","87.85"
"2012-07-10","88.25"
"2012-07-09","88.96"
"2012-07-06","88.99"
"2012-07-05","89.57"
"2012-07-03","89.70"
"2012-07-02","89.28"
"2012-06-29","89.60"
"2012-06-28","87.16"
