"Date","Close"
"2013-12-31","67.77"
"2013-12-30","67.80"
"2013-12-27","67.42"
"2013-12-26","67.46"
"2013-12-24","67.36"
"2013-12-23","67.11"
"2013-12-20","66.24"
"2013-12-19","66.24"
"2013-12-18","65.16"
"2013-12-17","63.39"
"2013-12-16","63.60"
"2013-12-13","61.46"
"2013-12-12","61.59"
"2013-12-11","62.69"
"2013-12-10","63.27"
"2013-12-09","63.11"
"2013-12-06","63.05"
"2013-12-05","62.29"
"2013-12-04","62.49"
"2013-12-03","61.27"
"2013-12-02","59.51"
"2013-11-29","59.18"
"2013-11-27","59.85"
"2013-11-26","58.80"
"2013-11-25","57.22"
"2013-11-22","57.32"
"2013-11-21","57.14"
"2013-11-20","56.85"
"2013-11-19","57.06"
"2013-11-18","57.03"
"2013-11-15","57.46"
"2013-11-14","57.72"
"2013-11-13","57.09"
"2013-11-12","55.99"
"2013-11-11","55.80"
"2013-11-08","55.16"
"2013-11-07","57.11"
"2013-11-06","57.83"
"2013-11-05","57.52"
"2013-11-04","56.70"
"2013-11-01","56.69"
"2013-10-31","57.23"
"2013-10-30","58.00"
"2013-10-29","58.53"
"2013-10-28","58.50"
"2013-10-25","58.15"
"2013-10-24","57.36"
"2013-10-23","56.74"
"2013-10-22","57.58"
"2013-10-21","57.43"
"2013-10-18","57.72"
"2013-10-17","57.45"
"2013-10-16","56.47"
"2013-10-15","55.56"
"2013-10-14","55.13"
"2013-10-11","53.75"
"2013-10-10","53.85"
"2013-10-09","53.26"
"2013-10-08","53.59"
"2013-10-07","51.65"
"2013-10-04","51.87"
"2013-10-03","51.75"
"2013-10-02","52.22"
"2013-10-01","52.60"
"2013-09-30","52.25"
"2013-09-27","53.07"
"2013-09-26","53.57"
"2013-09-25","54.34"
"2013-09-24","54.74"
"2013-09-23","54.86"
"2013-09-20","55.90"
"2013-09-19","56.17"
"2013-09-18","58.03"
"2013-09-17","57.03"
"2013-09-16","55.75"
"2013-09-13","55.05"
"2013-09-12","55.10"
"2013-09-11","55.52"
"2013-09-10","56.03"
"2013-09-09","56.22"
"2013-09-06","55.25"
"2013-09-05","56.14"
"2013-09-04","56.05"
"2013-09-03","54.02"
"2013-08-30","57.39"
"2013-08-29","56.98"
"2013-08-28","57.66"
"2013-08-27","57.98"
"2013-08-26","58.99"
"2013-08-23","59.60"
"2013-08-22","60.09"
"2013-08-21","58.99"
"2013-08-20","59.24"
"2013-08-19","59.11"
"2013-08-16","58.24"
"2013-08-15","58.58"
"2013-08-14","60.57"
"2013-08-13","61.80"
"2013-08-12","62.76"
"2013-08-09","63.70"
"2013-08-08","63.47"
"2013-08-07","62.46"
"2013-08-06","62.98"
"2013-08-05","63.44"
"2013-08-02","63.37"
"2013-08-01","62.52"
"2013-07-31","60.99"
"2013-07-30","60.27"
"2013-07-29","60.61"
"2013-07-26","62.88"
"2013-07-25","63.30"
"2013-07-24","63.23"
"2013-07-23","64.65"
"2013-07-22","64.63"
"2013-07-19","63.39"
"2013-07-18","63.26"
"2013-07-17","62.72"
"2013-07-16","60.63"
"2013-07-15","60.80"
"2013-07-12","59.86"
"2013-07-11","60.45"
"2013-07-10","59.60"
"2013-07-09","59.78"
"2013-07-08","60.62"
"2013-07-05","60.59"
"2013-07-03","60.25"
"2013-07-02","60.40"
"2013-07-01","60.82"
"2013-06-28","60.83"
"2013-06-27","59.65"
"2013-06-26","57.75"
"2013-06-25","57.20"
"2013-06-24","56.82"
"2013-06-21","56.22"
"2013-06-20","56.04"
"2013-06-19","58.36"
"2013-06-18","59.63"
"2013-06-17","59.61"
"2013-06-14","59.26"
"2013-06-13","62.00"
"2013-06-12","61.90"
"2013-06-11","61.37"
