"Date","Close"
"2013-12-31","38.39"
"2013-12-30","38.36"
"2013-12-27","38.31"
"2013-12-26","38.25"
"2013-12-24","38.08"
"2013-12-23","38.14"
"2013-12-20","38.57"
"2013-12-19","38.22"
"2013-12-18","38.16"
"2013-12-17","37.45"
"2013-12-16","37.24"
"2013-12-13","37.10"
"2013-12-12","37.20"
"2013-12-11","37.67"
"2013-12-10","37.32"
"2013-12-09","37.69"
"2013-12-06","37.46"
"2013-12-05","36.96"
"2013-12-04","37.23"
"2013-12-03","37.17"
"2013-12-02","36.95"
"2013-11-29","36.98"
"2013-11-27","37.15"
"2013-11-26","37.00"
"2013-11-25","37.12"
"2013-11-22","37.27"
"2013-11-21","37.14"
"2013-11-20","37.61"
"2013-11-19","37.83"
"2013-11-18","38.03"
"2013-11-15","38.00"
"2013-11-14","37.70"
"2013-11-13","37.58"
"2013-11-12","37.31"
"2013-11-11","37.45"
"2013-11-08","37.55"
"2013-11-07","37.50"
"2013-11-06","37.82"
"2013-11-05","37.54"
"2013-11-04","37.43"
"2013-11-01","37.33"
"2013-10-31","37.23"
"2013-10-30","37.06"
"2013-10-29","37.43"
"2013-10-28","36.81"
"2013-10-25","36.25"
"2013-10-24","35.96"
"2013-10-23","36.38"
"2013-10-22","36.41"
"2013-10-21","36.02"
"2013-10-18","35.86"
"2013-10-17","35.62"
"2013-10-16","35.69"
"2013-10-15","35.33"
"2013-10-14","35.74"
"2013-10-11","35.54"
"2013-10-10","35.48"
"2013-10-09","34.45"
"2013-10-08","34.68"
"2013-10-07","34.75"
"2013-10-04","34.65"
"2013-10-03","34.70"
"2013-10-02","34.75"
"2013-10-01","34.71"
"2013-09-30","34.35"
"2013-09-27","34.71"
"2013-09-26","35.00"
"2013-09-25","34.79"
"2013-09-24","35.08"
"2013-09-23","35.25"
"2013-09-20","35.55"
"2013-09-19","35.80"
"2013-09-18","35.79"
"2013-09-17","35.36"
"2013-09-16","35.13"
"2013-09-13","34.84"
"2013-09-12","34.54"
"2013-09-11","35.41"
"2013-09-10","34.98"
"2013-09-09","34.59"
"2013-09-06","34.40"
"2013-09-05","34.25"
"2013-09-04","34.17"
"2013-09-03","33.83"
"2013-08-30","33.88"
"2013-08-29","33.94"
"2013-08-28","33.60"
"2013-08-27","33.99"
"2013-08-26","34.05"
"2013-08-23","34.28"
"2013-08-22","33.56"
"2013-08-21","33.46"
"2013-08-20","33.77"
"2013-08-19","33.93"
"2013-08-16","34.29"
"2013-08-15","34.57"
"2013-08-14","35.06"
"2013-08-13","35.22"
"2013-08-12","35.16"
"2013-08-09","35.37"
"2013-08-08","35.57"
"2013-08-07","35.20"
"2013-08-06","35.40"
"2013-08-05","35.61"
"2013-08-02","35.68"
"2013-08-01","35.54"
"2013-07-31","35.06"
"2013-07-30","35.56"
"2013-07-29","35.67"
"2013-07-26","35.90"
"2013-07-25","35.91"
"2013-07-24","35.57"
"2013-07-23","35.99"
"2013-07-22","36.88"
"2013-07-19","37.15"
"2013-07-18","37.00"
"2013-07-17","37.02"
"2013-07-16","37.23"
"2013-07-15","37.05"
"2013-07-12","36.92"
"2013-07-11","36.86"
"2013-07-10","36.50"
"2013-07-09","36.27"
"2013-07-08","36.04"
"2013-07-05","35.49"
"2013-07-03","35.49"
"2013-07-02","35.46"
"2013-07-01","35.38"
"2013-06-28","34.99"
"2013-06-27","35.45"
"2013-06-26","35.27"
"2013-06-25","34.93"
"2013-06-24","34.63"
"2013-06-21","34.93"
"2013-06-20","34.34"
"2013-06-19","35.19"
"2013-06-18","36.15"
"2013-06-17","35.79"
"2013-06-14","35.58"
"2013-06-13","35.76"
"2013-06-12","35.60"
"2013-06-11","36.16"
"2013-06-10","36.23"
"2013-06-07","36.15"
"2013-06-06","35.81"
"2013-06-05","35.71"
"2013-06-04","36.21"
"2013-06-03","36.46"
"2013-05-31","36.10"
"2013-05-30","36.43"
"2013-05-29","36.44"
"2013-05-28","37.07"
"2013-05-24","37.09"
"2013-05-23","36.86"
"2013-05-22","36.90"
"2013-05-21","36.92"
"2013-05-20","37.34"
"2013-05-17","37.44"
"2013-05-16","37.18"
"2013-05-15","37.46"
"2013-05-14","37.06"
"2013-05-13","36.92"
"2013-05-10","36.68"
"2013-05-09","36.35"
"2013-05-08","36.52"
"2013-05-07","36.47"
"2013-05-06","36.08"
"2013-05-03","36.51"
"2013-05-02","36.65"
"2013-05-01","36.32"
"2013-04-30","36.51"
"2013-04-29","36.61"
"2013-04-26","36.07"
"2013-04-25","35.94"
"2013-04-24","35.53"
"2013-04-23","35.53"
"2013-04-22","35.28"
"2013-04-19","35.02"
"2013-04-18","34.68"
"2013-04-17","35.14"
"2013-04-16","35.38"
"2013-04-15","34.81"
"2013-04-12","35.91"
"2013-04-11","35.62"
"2013-04-10","35.66"
"2013-04-09","35.48"
"2013-04-08","35.26"
"2013-04-05","34.84"
"2013-04-04","35.16"
"2013-04-03","34.82"
"2013-04-02","35.20"
"2013-04-01","34.30"
"2013-03-28","34.39"
"2013-03-27","34.41"
"2013-03-26","34.36"
"2013-03-25","33.88"
"2013-03-22","33.91"
"2013-03-21","33.86"
"2013-03-20","34.04"
"2013-03-19","33.69"
"2013-03-18","33.47"
"2013-03-15","33.68"
"2013-03-14","33.80"
"2013-03-13","33.93"
"2013-03-12","34.16"
"2013-03-11","34.26"
"2013-03-08","34.00"
"2013-03-07","33.96"
"2013-03-06","34.13"
"2013-03-05","34.24"
"2013-03-04","33.93"
"2013-03-01","33.49"
"2013-02-28","33.55"
"2013-02-27","34.07"
"2013-02-26","34.30"
"2013-02-25","34.65"
"2013-02-22","35.32"
"2013-02-21","35.20"
"2013-02-20","34.89"
"2013-02-19","34.77"
"2013-02-15","34.38"
"2013-02-14","34.11"
"2013-02-13","34.78"
"2013-02-12","34.66"
"2013-02-11","34.75"
"2013-02-08","34.69"
"2013-02-07","34.61"
"2013-02-06","34.12"
"2013-02-05","34.18"
"2013-02-04","33.89"
"2013-02-01","34.20"
"2013-01-31","33.68"
"2013-01-30","33.70"
"2013-01-29","33.70"
"2013-01-28","33.70"
"2013-01-25","33.45"
"2013-01-24","33.41"
"2013-01-23","33.01"
"2013-01-22","33.15"
"2013-01-18","33.27"
"2013-01-17","32.99"
"2013-01-16","32.78"
"2013-01-15","32.78"
"2013-01-14","32.99"
"2013-01-11","32.93"
"2013-01-10","32.70"
"2013-01-09","31.90"
"2013-01-08","32.14"
"2013-01-07","32.46"
"2013-01-04","32.54"
"2013-01-03","32.56"
"2013-01-02","32.54"
"2012-12-31","31.44"
"2012-12-28","31.09"
"2012-12-27","31.40"
"2012-12-26","31.32"
"2012-12-24","31.66"
"2012-12-21","31.85"
"2012-12-20","32.66"
"2012-12-19","32.39"
"2012-12-18","32.59"
"2012-12-17","32.99"
"2012-12-14","33.16"
"2012-12-13","33.26"
"2012-12-12","33.25"
"2012-12-11","32.96"
"2012-12-10","33.42"
"2012-12-07","33.47"
"2012-12-06","33.18"
"2012-12-05","33.30"
"2012-12-04","33.49"
"2012-12-03","33.66"
"2012-11-30","33.81"
"2012-11-29","33.57"
"2012-11-28","33.41"
"2012-11-27","33.15"
"2012-11-26","33.21"
"2012-11-23","33.48"
"2012-11-21","32.86"
"2012-11-20","32.85"
"2012-11-19","32.56"
"2012-11-16","31.24"
"2012-11-15","30.49"
"2012-11-14","30.79"
"2012-11-13","31.18"
"2012-11-12","31.10"
"2012-11-09","31.48"
"2012-11-08","31.28"
"2012-11-07","31.40"
"2012-11-06","31.94"
"2012-11-05","31.88"
"2012-11-02","31.70"
"2012-11-01","31.97"
"2012-10-31","31.80"
"2012-10-26","31.76"
"2012-10-25","32.10"
"2012-10-24","32.13"
"2012-10-23","32.35"
"2012-10-22","32.92"
"2012-10-19","32.63"
"2012-10-18","33.09"
"2012-10-17","33.50"
"2012-10-16","33.26"
"2012-10-15","33.17"
"2012-10-12","33.12"
"2012-10-11","32.71"
"2012-10-10","33.34"
"2012-10-09","33.52"
"2012-10-08","33.98"
"2012-10-05","34.00"
"2012-10-04","34.00"
"2012-10-03","34.05"
"2012-10-02","33.73"
"2012-10-01","33.64"
"2012-09-28","33.39"
"2012-09-27","33.90"
"2012-09-26","34.17"
"2012-09-25","34.01"
"2012-09-24","34.21"
"2012-09-21","34.06"
"2012-09-20","33.61"
"2012-09-19","33.15"
"2012-09-18","33.29"
"2012-09-17","33.21"
"2012-09-14","32.94"
"2012-09-13","33.81"
"2012-09-12","33.30"
"2012-09-11","34.39"
"2012-09-10","34.45"
"2012-09-07","34.27"
"2012-09-06","34.59"
"2012-09-05","34.25"
"2012-09-04","34.40"
"2012-08-31","33.96"
"2012-08-30","34.44"
"2012-08-29","34.59"
"2012-08-28","34.51"
"2012-08-27","34.26"
"2012-08-24","34.08"
"2012-08-23","33.45"
"2012-08-22","33.92"
"2012-08-21","34.42"
"2012-08-20","35.18"
"2012-08-17","35.41"
"2012-08-16","35.40"
"2012-08-15","35.13"
"2012-08-14","35.44"
"2012-08-13","35.21"
"2012-08-10","34.96"
"2012-08-09","34.72"
"2012-08-08","35.01"
"2012-08-07","34.95"
"2012-08-06","35.79"
"2012-08-03","35.92"
"2012-08-02","35.56"
"2012-08-01","36.03"
"2012-07-31","35.97"
"2012-07-30","36.16"
"2012-07-27","35.90"
"2012-07-26","35.63"
"2012-07-25","35.40"
"2012-07-24","35.57"
"2012-07-23","35.49"
"2012-07-20","35.91"
"2012-07-19","35.94"
"2012-07-18","35.92"
"2012-07-17","35.81"
"2012-07-16","35.59"
"2012-07-13","35.62"
"2012-07-12","35.12"
"2012-07-11","35.32"
"2012-07-10","35.43"
"2012-07-09","35.16"
"2012-07-06","34.97"
"2012-07-05","34.89"
"2012-07-03","34.99"
"2012-07-02","34.96"
"2012-06-29","34.55"
"2012-06-28","34.03"
"2012-06-27","34.00"
"2012-06-26","33.67"
"2012-06-25","33.72"
"2012-06-22","33.87"
"2012-06-21","33.89"
"2012-06-20","33.91"
"2012-06-19","33.92"
"2012-06-18","33.85"
"2012-06-15","33.77"
"2012-06-14","33.68"
"2012-06-13","33.27"
"2012-06-12","33.43"
"2012-06-11","32.96"
"2012-06-08","32.91"
"2012-06-07","32.75"
"2012-06-06","32.58"
"2012-06-05","31.80"
"2012-06-04","31.93"
"2012-06-01","31.69"
"2012-05-31","32.19"
"2012-05-30","32.02"
"2012-05-29","32.13"
"2012-05-25","32.11"
"2012-05-24","32.26"
"2012-05-23","31.72"
"2012-05-22","31.76"
"2012-05-21","31.85"
"2012-05-18","31.68"
"2012-05-17","31.64"
"2012-05-16","31.86"
"2012-05-15","31.75"
"2012-05-14","31.69"
"2012-05-11","31.79"
"2012-05-10","31.73"
"2012-05-09","31.75"
"2012-05-08","32.26"
"2012-05-07","32.20"
"2012-05-04","32.43"
"2012-05-03","32.55"
"2012-05-02","32.37"
"2012-05-01","32.42"
"2012-04-30","32.21"
"2012-04-27","32.13"
"2012-04-26","31.93"
"2012-04-25","31.69"
"2012-04-24","31.70"
"2012-04-23","31.76"
"2012-04-20","31.89"
"2012-04-19","31.78"
"2012-04-18","31.66"
"2012-04-17","31.61"
"2012-04-16","31.38"
"2012-04-13","31.49"
"2012-04-12","31.31"
"2012-04-11","31.21"
"2012-04-10","30.95"
"2012-04-09","31.16"
"2012-04-05","31.36"
"2012-04-04","31.11"
"2012-04-03","31.09"
"2012-04-02","31.16"
"2012-03-30","30.87"
"2012-03-29","30.59"
"2012-03-28","30.52"
"2012-03-27","30.61"
"2012-03-26","30.66"
"2012-03-23","30.40"
"2012-03-22","30.14"
"2012-03-21","30.15"
"2012-03-20","30.13"
"2012-03-19","30.11"
"2012-03-16","30.03"
"2012-03-15","30.03"
"2012-03-14","29.95"
"2012-03-13","30.10"
"2012-03-12","30.44"
"2012-03-09","30.46"
"2012-03-08","30.46"
"2012-03-07","30.10"
"2012-03-06","30.08"
"2012-03-05","30.26"
"2012-03-02","29.96"
"2012-03-01","30.02"
"2012-02-29","30.10"
"2012-02-28","30.02"
"2012-02-27","30.03"
"2012-02-24","29.99"
"2012-02-23","29.70"
"2012-02-22","29.65"
"2012-02-21","29.62"
"2012-02-17","29.65"
"2012-02-16","29.54"
"2012-02-15","29.25"
"2012-02-14","29.27"
"2012-02-13","29.23"
"2012-02-10","29.21"
"2012-02-09","29.30"
"2012-02-08","28.84"
"2012-02-07","28.82"
"2012-02-06","28.64"
"2012-02-03","28.84"
"2012-02-02","28.54"
"2012-02-01","28.43"
"2012-01-31","28.40"
"2012-01-30","28.39"
"2012-01-27","28.14"
"2012-01-26","28.66"
"2012-01-25","28.67"
"2012-01-24","28.28"
"2012-01-23","28.61"
"2012-01-20","28.70"
"2012-01-19","28.61"
"2012-01-18","28.96"
"2012-01-17","28.90"
"2012-01-13","28.96"
"2012-01-12","28.84"
"2012-01-11","28.84"
"2012-01-10","28.91"
"2012-01-09","28.50"
"2012-01-06","28.72"
"2012-01-05","28.83"
"2012-01-04","28.40"
"2012-01-03","28.56"
"2011-12-30","29.65"
"2011-12-29","29.79"
"2011-12-28","29.72"
"2011-12-27","29.72"
"2011-12-23","29.84"
"2011-12-22","29.82"
"2011-12-21","30.31"
"2011-12-20","29.86"
"2011-12-19","29.34"
"2011-12-16","29.14"
"2011-12-15","29.11"
"2011-12-14","28.73"
"2011-12-13","28.99"
"2011-12-12","28.87"
"2011-12-09","28.78"
"2011-12-08","28.53"
"2011-12-07","28.83"
"2011-12-06","28.76"
"2011-12-05","28.22"
"2011-12-02","28.41"
"2011-12-01","28.68"
"2011-11-30","28.69"
"2011-11-29","27.95"
"2011-11-28","27.60"
"2011-11-25","27.25"
"2011-11-23","27.12"
"2011-11-22","27.37"
"2011-11-21","27.30"
"2011-11-18","27.64"
"2011-11-17","27.54"
"2011-11-16","27.50"
"2011-11-15","27.77"
"2011-11-14","27.62"
"2011-11-11","27.78"
"2011-11-10","27.63"
"2011-11-09","27.17"
"2011-11-08","27.65"
"2011-11-07","27.52"
"2011-11-04","27.37"
"2011-11-03","27.47"
"2011-11-02","27.19"
"2011-11-01","27.10"
"2011-10-31","27.55"
"2011-10-28","27.56"
"2011-10-27","27.66"
"2011-10-26","27.28"
"2011-10-25","27.00"
"2011-10-24","27.31"
"2011-10-21","27.45"
