"Date","Close"
"2013-12-31","35.30"
"2013-12-30","35.20"
"2013-12-27","35.63"
"2013-12-26","35.28"
"2013-12-24","35.25"
"2013-12-23","35.18"
"2013-12-20","35.16"
"2013-12-19","34.91"
"2013-12-18","34.72"
"2013-12-17","34.85"
"2013-12-16","35.59"
"2013-12-13","35.80"
"2013-12-12","36.18"
"2013-12-11","35.69"
"2013-12-10","36.10"
"2013-12-09","36.41"
"2013-12-06","36.56"
"2013-12-05","36.31"
"2013-12-04","36.74"
"2013-12-03","36.22"
"2013-12-02","36.46"
"2013-11-29","36.04"
"2013-11-27","36.23"
"2013-11-26","36.78"
"2013-11-25","36.95"
"2013-11-22","37.61"
"2013-11-21","37.93"
"2013-11-20","37.26"
"2013-11-19","36.93"
"2013-11-18","36.51"
"2013-11-15","36.73"
"2013-11-14","36.43"
"2013-11-13","36.15"
"2013-11-12","35.82"
"2013-11-11","36.29"
"2013-11-08","36.39"
"2013-11-07","35.73"
"2013-11-06","36.45"
"2013-11-05","35.67"
"2013-11-04","35.50"
"2013-11-01","35.27"
"2013-10-31","35.26"
"2013-10-30","35.76"
"2013-10-29","35.99"
"2013-10-28","36.07"
"2013-10-25","35.59"
"2013-10-24","35.60"
"2013-10-23","34.85"
"2013-10-22","35.33"
"2013-10-21","35.01"
"2013-10-18","35.28"
"2013-10-17","34.90"
"2013-10-16","34.87"
"2013-10-15","34.71"
"2013-10-14","34.83"
"2013-10-11","34.86"
"2013-10-10","35.06"
"2013-10-09","34.21"
"2013-10-08","34.16"
"2013-10-07","34.72"
"2013-10-04","34.79"
"2013-10-03","34.06"
"2013-10-02","34.60"
"2013-10-01","35.04"
"2013-09-30","34.88"
"2013-09-27","34.90"
"2013-09-26","35.28"
"2013-09-25","35.46"
"2013-09-24","35.57"
"2013-09-23","35.55"
"2013-09-20","35.90"
"2013-09-19","36.42"
"2013-09-18","36.40"
"2013-09-17","35.93"
"2013-09-16","35.46"
"2013-09-13","35.57"
"2013-09-12","35.98"
"2013-09-11","36.49"
"2013-09-10","35.77"
"2013-09-09","36.24"
"2013-09-06","35.69"
"2013-09-05","35.89"
"2013-09-04","35.50"
"2013-09-03","35.17"
"2013-08-30","34.43"
"2013-08-29","34.54"
"2013-08-28","34.60"
"2013-08-27","33.38"
"2013-08-26","33.32"
"2013-08-23","33.38"
"2013-08-22","33.47"
"2013-08-21","32.80"
"2013-08-20","33.25"
"2013-08-19","32.61"
"2013-08-16","34.26"
"2013-08-15","34.65"
"2013-08-14","34.60"
"2013-08-13","34.36"
"2013-08-12","34.65"
"2013-08-09","34.55"
"2013-08-08","34.67"
"2013-08-07","35.13"
"2013-08-06","36.88"
"2013-08-05","37.83"
"2013-08-02","37.56"
"2013-08-01","37.52"
"2013-07-31","36.36"
"2013-07-30","36.28"
"2013-07-29","36.18"
"2013-07-26","36.41"
"2013-07-25","36.80"
"2013-07-24","36.81"
"2013-07-23","37.73"
"2013-07-22","37.23"
"2013-07-19","37.48"
"2013-07-18","36.75"
"2013-07-17","36.55"
"2013-07-16","36.19"
"2013-07-15","36.57"
"2013-07-12","36.84"
"2013-07-11","36.62"
"2013-07-10","36.24"
"2013-07-09","36.37"
"2013-07-08","35.83"
"2013-07-05","35.62"
"2013-07-03","35.17"
"2013-07-02","34.60"
"2013-07-01","34.83"
"2013-06-28","34.58"
"2013-06-27","35.12"
"2013-06-26","35.36"
"2013-06-25","35.01"
"2013-06-24","33.71"
"2013-06-21","34.27"
"2013-06-20","34.29"
"2013-06-19","35.67"
"2013-06-18","36.05"
"2013-06-17","34.99"
"2013-06-14","34.38"
"2013-06-13","34.37"
"2013-06-12","33.40"
"2013-06-11","34.03"
"2013-06-10","34.71"
"2013-06-07","34.73"
"2013-06-06","34.63"
"2013-06-05","34.05"
"2013-06-04","34.94"
"2013-06-03","35.46"
"2013-05-31","34.39"
"2013-05-30","35.15"
"2013-05-29","35.46"
"2013-05-28","35.48"
"2013-05-24","35.15"
"2013-05-23","35.23"
"2013-05-22","35.39"
"2013-05-21","36.09"
"2013-05-20","36.38"
"2013-05-17","36.15"
"2013-05-16","35.15"
"2013-05-15","35.00"
"2013-05-14","35.38"
"2013-05-13","34.46"
"2013-05-10","34.35"
"2013-05-09","34.78"
"2013-05-08","34.72"
"2013-05-07","34.33"
"2013-05-06","33.58"
"2013-05-03","33.53"
"2013-05-02","32.46"
"2013-05-01","31.89"
"2013-04-30","32.67"
"2013-04-29","32.60"
"2013-04-26","31.72"
"2013-04-25","31.87"
"2013-04-24","31.37"
"2013-04-23","30.69"
"2013-04-22","30.40"
"2013-04-19","29.85"
"2013-04-18","30.11"
"2013-04-17","29.99"
"2013-04-16","31.06"
"2013-04-15","30.62"
"2013-04-12","32.54"
"2013-04-11","33.80"
"2013-04-10","33.91"
"2013-04-09","33.47"
"2013-04-08","32.84"
"2013-04-05","32.48"
"2013-04-04","32.69"
"2013-04-03","33.19"
"2013-04-02","33.57"
"2013-04-01","33.60"
"2013-03-28","33.72"
"2013-03-27","34.01"
"2013-03-26","34.07"
"2013-03-25","33.72"
"2013-03-22","34.16"
"2013-03-21","34.15"
"2013-03-20","34.60"
"2013-03-19","33.96"
"2013-03-18","34.98"
"2013-03-15","35.07"
"2013-03-14","34.76"
"2013-03-13","34.37"
"2013-03-12","34.07"
"2013-03-11","33.72"
"2013-03-08","33.51"
"2013-03-07","33.34"
"2013-03-06","32.75"
"2013-03-05","32.54"
"2013-03-04","32.37"
"2013-03-01","32.89"
"2013-02-28","33.50"
"2013-02-27","33.42"
"2013-02-26","32.86"
"2013-02-25","32.94"
"2013-02-22","34.71"
"2013-02-21","34.38"
"2013-02-20","34.57"
"2013-02-19","35.71"
"2013-02-15","34.66"
"2013-02-14","35.34"
"2013-02-13","34.96"
"2013-02-12","34.61"
"2013-02-11","34.31"
"2013-02-08","34.53"
"2013-02-07","34.00"
"2013-02-06","34.40"
"2013-02-05","34.72"
"2013-02-04","34.17"
"2013-02-01","34.21"
"2013-01-31","33.61"
"2013-01-30","33.55"
"2013-01-29","33.93"
"2013-01-28","33.52"
"2013-01-25","33.78"
"2013-01-24","33.77"
"2013-01-23","33.66"
"2013-01-22","33.54"
"2013-01-18","33.08"
"2013-01-17","33.16"
"2013-01-16","32.32"
"2013-01-15","31.93"
"2013-01-14","32.06"
"2013-01-11","32.15"
"2013-01-10","32.28"
"2013-01-09","31.65"
"2013-01-08","31.94"
"2013-01-07","31.85"
"2013-01-04","32.01"
"2013-01-03","31.59"
"2013-01-02","31.65"
"2012-12-31","30.66"
"2012-12-28","29.81"
"2012-12-27","30.32"
"2012-12-26","30.47"
"2012-12-24","30.69"
"2012-12-21","31.05"
"2012-12-20","31.46"
"2012-12-19","31.23"
"2012-12-18","31.28"
"2012-12-17","30.70"
"2012-12-14","30.82"
"2012-12-13","30.19"
"2012-12-12","30.51"
"2012-12-11","30.22"
"2012-12-10","30.36"
"2012-12-07","30.92"
"2012-12-06","30.72"
"2012-12-05","30.47"
