"Date","Close"
"2013-12-31","31.36"
"2013-12-30","30.85"
"2013-12-27","31.06"
"2013-12-26","31.10"
"2013-12-24","31.01"
"2013-12-23","31.11"
"2013-12-20","30.93"
"2013-12-19","30.86"
"2013-12-18","31.62"
"2013-12-17","30.52"
"2013-12-16","30.92"
"2013-12-13","31.09"
"2013-12-12","30.48"
"2013-12-11","30.12"
"2013-12-10","30.77"
"2013-12-09","30.39"
"2013-12-06","30.46"
"2013-12-05","30.21"
"2013-12-04","31.13"
"2013-12-03","30.97"
"2013-12-02","31.43"
"2013-11-29","31.30"
"2013-11-27","31.41"
"2013-11-26","31.39"
"2013-11-25","31.54"
"2013-11-22","31.34"
"2013-11-21","30.89"
"2013-11-20","30.27"
"2013-11-19","30.34"
"2013-11-18","30.33"
"2013-11-15","30.30"
"2013-11-14","30.34"
"2013-11-13","30.05"
"2013-11-12","29.76"
"2013-11-11","30.09"
"2013-11-08","29.44"
"2013-11-07","28.72"
"2013-11-06","29.13"
"2013-11-05","28.99"
"2013-11-04","29.34"
"2013-11-01","29.20"
"2013-10-31","28.73"
"2013-10-30","29.11"
"2013-10-29","29.36"
"2013-10-28","28.97"
"2013-10-25","29.23"
"2013-10-24","29.39"
"2013-10-23","29.08"
"2013-10-22","29.46"
"2013-10-21","29.43"
"2013-10-18","29.69"
"2013-10-17","28.93"
"2013-10-16","28.63"
"2013-10-15","27.99"
"2013-10-14","28.18"
"2013-10-11","27.95"
"2013-10-10","27.64"
"2013-10-09","26.77"
"2013-10-08","26.55"
"2013-10-07","26.84"
"2013-10-04","26.99"
"2013-10-03","26.85"
"2013-10-02","27.12"
"2013-10-01","27.14"
"2013-09-30","26.95"
"2013-09-27","27.08"
"2013-09-26","27.15"
"2013-09-25","27.22"
"2013-09-24","27.27"
"2013-09-23","27.22"
"2013-09-20","28.19"
"2013-09-19","28.60"
"2013-09-18","29.02"
"2013-09-17","29.01"
"2013-09-16","28.73"
"2013-09-13","28.13"
"2013-09-12","28.02"
"2013-09-11","28.25"
"2013-09-10","28.04"
"2013-09-09","27.44"
"2013-09-06","26.81"
"2013-09-05","26.65"
"2013-09-04","26.51"
"2013-09-03","26.27"
"2013-08-30","25.76"
"2013-08-29","25.91"
"2013-08-28","25.58"
"2013-08-27","25.45"
"2013-08-26","26.38"
"2013-08-23","26.32"
"2013-08-22","26.22"
"2013-08-21","26.01"
"2013-08-20","26.31"
"2013-08-19","25.81"
"2013-08-16","26.47"
"2013-08-15","26.36"
"2013-08-14","26.79"
"2013-08-13","26.96"
"2013-08-12","26.62"
"2013-08-09","26.76"
"2013-08-08","26.92"
"2013-08-07","27.07"
"2013-08-06","27.31"
