"Date","Close"
"2013-12-31","37.41"
"2013-12-30","37.29"
"2013-12-27","37.29"
"2013-12-26","37.44"
"2013-12-24","37.08"
"2013-12-23","36.62"
"2013-12-20","36.80"
"2013-12-19","36.25"
"2013-12-18","36.58"
"2013-12-17","36.52"
"2013-12-16","36.89"
"2013-12-13","36.69"
"2013-12-12","37.22"
"2013-12-11","37.61"
"2013-12-10","38.11"
"2013-12-09","38.71"
"2013-12-06","38.36"
"2013-12-05","38.00"
"2013-12-04","38.94"
"2013-12-03","38.31"
"2013-12-02","38.45"
"2013-11-29","38.13"
"2013-11-27","37.60"
"2013-11-26","37.35"
"2013-11-25","37.64"
"2013-11-22","37.57"
"2013-11-21","37.40"
"2013-11-20","37.08"
"2013-11-19","36.74"
"2013-11-18","37.20"
"2013-11-15","37.84"
"2013-11-14","38.02"
"2013-11-13","38.16"
"2013-11-12","37.36"
"2013-11-11","37.59"
"2013-11-08","37.78"
"2013-11-07","37.50"
"2013-11-06","38.18"
"2013-11-05","36.64"
"2013-11-04","35.94"
"2013-11-01","35.53"
"2013-10-31","35.41"
"2013-10-30","35.54"
"2013-10-29","35.52"
"2013-10-28","35.57"
"2013-10-25","35.73"
"2013-10-24","33.72"
"2013-10-23","33.76"
"2013-10-22","34.58"
"2013-10-21","34.99"
"2013-10-18","34.96"
"2013-10-17","34.92"
"2013-10-16","34.64"
"2013-10-15","34.49"
"2013-10-14","34.45"
"2013-10-11","34.13"
"2013-10-10","33.76"
"2013-10-09","33.07"
"2013-10-08","33.01"
"2013-10-07","33.30"
"2013-10-04","33.88"
"2013-10-03","33.86"
"2013-10-02","33.92"
"2013-10-01","33.58"
"2013-09-30","33.28"
"2013-09-27","33.27"
"2013-09-26","32.77"
"2013-09-25","32.51"
"2013-09-24","32.45"
"2013-09-23","32.74"
"2013-09-20","32.79"
"2013-09-19","33.64"
"2013-09-18","33.32"
"2013-09-17","32.93"
"2013-09-16","32.80"
"2013-09-13","33.03"
"2013-09-12","32.69"
"2013-09-11","32.74"
"2013-09-10","32.39"
"2013-09-09","31.66"
"2013-09-06","31.15"
