"Date","Close"
"2013-12-31","67.50"
"2013-12-30","67.25"
"2013-12-27","67.33"
"2013-12-26","67.18"
"2013-12-24","67.10"
"2013-12-23","66.78"
"2013-12-20","65.61"
"2013-12-19","65.85"
"2013-12-18","66.16"
"2013-12-17","65.52"
"2013-12-16","65.36"
"2013-12-13","65.05"
"2013-12-12","64.86"
"2013-12-11","64.60"
"2013-12-10","65.41"
"2013-12-09","65.79"
"2013-12-06","66.18"
"2013-12-05","65.23"
"2013-12-04","64.93"
"2013-12-03","65.79"
"2013-12-02","65.66"
"2013-11-29","65.88"
"2013-11-27","65.50"
"2013-11-26","65.57"
"2013-11-25","65.79"
"2013-11-22","65.88"
"2013-11-21","65.41"
"2013-11-20","64.58"
"2013-11-19","64.61"
"2013-11-18","65.42"
"2013-11-15","65.57"
"2013-11-14","64.58"
"2013-11-13","64.45"
"2013-11-12","64.24"
"2013-11-11","63.51"
"2013-11-08","63.12"
"2013-11-07","62.49"
"2013-11-06","62.65"
"2013-11-05","62.68"
"2013-11-04","62.71"
"2013-11-01","62.39"
"2013-10-31","62.52"
"2013-10-30","62.25"
"2013-10-29","62.73"
"2013-10-28","62.44"
"2013-10-25","62.99"
"2013-10-24","62.51"
"2013-10-23","62.40"
"2013-10-22","60.43"
"2013-10-21","61.18"
"2013-10-18","60.81"
"2013-10-17","60.92"
"2013-10-16","60.71"
"2013-10-15","60.49"
"2013-10-14","61.03"
"2013-10-11","60.52"
"2013-10-10","60.61"
"2013-10-09","59.39"
"2013-10-08","59.62"
"2013-10-07","60.89"
"2013-10-04","61.14"
"2013-10-03","60.56"
"2013-10-02","60.70"
"2013-10-01","60.89"
"2013-09-30","59.38"
"2013-09-27","59.75"
"2013-09-26","59.87"
"2013-09-25","59.85"
"2013-09-24","59.99"
"2013-09-23","60.37"
"2013-09-20","60.39"
"2013-09-19","59.69"
"2013-09-18","59.26"
"2013-09-17","58.28"
"2013-09-16","57.81"
"2013-09-13","57.46"
"2013-09-12","57.50"
"2013-09-11","57.25"
"2013-09-10","57.37"
"2013-09-09","57.59"
"2013-09-06","56.47"
"2013-09-05","56.17"
"2013-09-04","56.08"
"2013-09-03","56.28"
"2013-08-30","56.01"
"2013-08-29","56.19"
"2013-08-28","56.39"
"2013-08-27","56.12"
"2013-08-26","56.55"
"2013-08-23","56.74"
"2013-08-22","56.33"
"2013-08-21","56.06"
"2013-08-20","57.05"
"2013-08-19","57.09"
"2013-08-16","57.15"
"2013-08-15","56.96"
"2013-08-14","57.71"
"2013-08-13","57.84"
