"Date","Close"
"2013-12-31","64.88"
"2013-12-30","64.14"
"2013-12-27","64.42"
"2013-12-26","64.12"
"2013-12-24","63.72"
"2013-12-23","63.67"
"2013-12-20","63.59"
"2013-12-19","64.41"
"2013-12-18","63.90"
"2013-12-17","63.11"
"2013-12-16","63.30"
"2013-12-13","63.01"
"2013-12-12","63.15"
"2013-12-11","63.45"
"2013-12-10","64.10"
"2013-12-09","64.12"
"2013-12-06","63.90"
"2013-12-05","63.54"
"2013-12-04","64.55"
"2013-12-03","65.55"
"2013-12-02","65.12"
"2013-11-29","64.93"
"2013-11-27","65.09"
"2013-11-26","64.95"
"2013-11-25","64.22"
"2013-11-22","64.25"
"2013-11-21","63.55"
"2013-11-20","62.88"
"2013-11-19","63.10"
"2013-11-18","62.99"
"2013-11-15","62.83"
"2013-11-14","62.24"
"2013-11-13","61.56"
"2013-11-12","61.87"
"2013-11-11","61.84"
"2013-11-08","61.04"
"2013-11-07","59.93"
"2013-11-06","60.25"
"2013-11-05","60.36"
"2013-11-04","61.36"
"2013-11-01","60.40"
"2013-10-31","60.32"
"2013-10-30","62.02"
"2013-10-29","62.83"
"2013-10-28","62.11"
"2013-10-25","61.75"
"2013-10-24","61.65"
"2013-10-23","61.34"
"2013-10-22","61.72"
"2013-10-21","61.55"
"2013-10-18","62.44"
"2013-10-17","61.95"
"2013-10-16","62.10"
"2013-10-15","61.93"
"2013-10-14","61.38"
"2013-10-11","61.88"
"2013-10-10","61.53"
"2013-10-09","60.23"
"2013-10-08","61.16"
"2013-10-07","61.84"
"2013-10-04","62.92"
"2013-10-03","61.81"
"2013-10-02","62.01"
"2013-10-01","60.85"
"2013-09-30","60.32"
"2013-09-27","61.27"
"2013-09-26","61.54"
"2013-09-25","61.36"
"2013-09-24","61.44"
"2013-09-23","61.06"
"2013-09-20","61.52"
"2013-09-19","61.73"
"2013-09-18","62.27"
"2013-09-17","61.72"
"2013-09-16","61.61"
"2013-09-13","61.56"
"2013-09-12","61.88"
"2013-09-11","62.54"
"2013-09-10","62.30"
"2013-09-09","62.26"
"2013-09-06","61.77"
"2013-09-05","61.07"
"2013-09-04","60.43"
"2013-09-03","59.80"
"2013-08-30","67.42"
"2013-08-29","65.81"
"2013-08-28","66.06"
"2013-08-27","65.41"
"2013-08-26","66.13"
"2013-08-23","66.97"
"2013-08-22","67.20"
"2013-08-21","66.49"
"2013-08-20","67.65"
"2013-08-19","67.84"
"2013-08-16","68.69"
"2013-08-15","69.84"
"2013-08-14","69.84"
"2013-08-13","70.44"
"2013-08-12","71.23"
"2013-08-09","70.90"
"2013-08-08","70.23"
"2013-08-07","69.67"
"2013-08-06","70.48"
"2013-08-05","70.99"
"2013-08-02","71.28"
"2013-08-01","71.84"
"2013-07-31","67.72"
"2013-07-30","67.31"
"2013-07-29","67.17"
"2013-07-26","67.69"
"2013-07-25","68.32"
"2013-07-24","67.71"
"2013-07-23","68.55"
"2013-07-22","67.30"
"2013-07-19","66.90"
"2013-07-18","65.73"
"2013-07-17","65.03"
"2013-07-16","64.38"
"2013-07-15","64.88"
"2013-07-12","64.58"
"2013-07-11","64.18"
"2013-07-10","62.89"
"2013-07-09","62.65"
"2013-07-08","61.78"
"2013-07-05","61.59"
"2013-07-03","61.19"
"2013-07-02","60.89"
"2013-07-01","61.19"
"2013-06-28","60.89"
"2013-06-27","61.55"
"2013-06-26","61.19"
"2013-06-25","61.23"
"2013-06-24","60.31"
"2013-06-21","61.29"
"2013-06-20","61.15"
"2013-06-19","62.71"
"2013-06-18","63.60"
"2013-06-17","63.62"
"2013-06-14","63.06"
"2013-06-13","63.96"
"2013-06-12","63.36"
"2013-06-11","64.65"
"2013-06-10","66.09"
"2013-06-07","65.74"
"2013-06-06","64.05"
"2013-06-05","63.05"
"2013-06-04","63.02"
"2013-06-03","63.32"
"2013-05-31","63.32"
"2013-05-30","64.12"
"2013-05-29","62.96"
"2013-05-28","61.70"
"2013-05-24","61.58"
"2013-05-23","61.99"
"2013-05-22","62.63"
"2013-05-21","64.39"
