"Date","Close"
"2013-12-31","36.93"
"2013-12-30","36.61"
"2013-12-27","36.67"
"2013-12-26","36.68"
"2013-12-24","36.64"
"2013-12-23","36.27"
"2013-12-20","35.85"
"2013-12-19","36.16"
"2013-12-18","36.67"
"2013-12-17","35.95"
"2013-12-16","35.56"
"2013-12-13","35.16"
"2013-12-12","34.96"
"2013-12-11","34.96"
"2013-12-10","35.34"
"2013-12-09","35.65"
"2013-12-06","35.71"
"2013-12-05","35.33"
"2013-12-04","35.03"
"2013-12-03","34.99"
"2013-12-02","35.13"
"2013-11-29","35.11"
"2013-11-27","35.42"
"2013-11-26","35.01"
"2013-11-25","34.95"
"2013-11-22","35.19"
"2013-11-21","34.56"
"2013-11-20","34.02"
"2013-11-19","34.43"
"2013-11-18","34.56"
"2013-11-15","34.78"
"2013-11-14","34.26"
"2013-11-13","33.95"
"2013-11-12","34.00"
"2013-11-11","34.25"
"2013-11-08","33.99"
"2013-11-07","33.50"
"2013-11-06","34.09"
"2013-11-05","34.18"
"2013-11-04","35.33"
"2013-11-01","35.13"
"2013-10-31","34.85"
"2013-10-30","35.10"
"2013-10-29","35.13"
"2013-10-28","38.77"
"2013-10-25","39.31"
"2013-10-24","39.12"
"2013-10-23","38.56"
"2013-10-22","38.87"
"2013-10-21","38.53"
"2013-10-18","38.68"
"2013-10-17","38.53"
"2013-10-16","37.50"
"2013-10-15","37.52"
"2013-10-14","38.04"
"2013-10-11","37.76"
"2013-10-10","37.51"
"2013-10-09","36.72"
"2013-10-08","36.89"
"2013-10-07","37.52"
"2013-10-04","37.52"
"2013-10-03","37.46"
"2013-10-02","38.11"
"2013-10-01","38.47"
"2013-09-30","38.38"
"2013-09-27","38.69"
"2013-09-26","39.03"
"2013-09-25","38.36"
"2013-09-24","38.62"
"2013-09-23","38.46"
"2013-09-20","38.31"
"2013-09-19","38.79"
"2013-09-18","38.85"
"2013-09-17","38.27"
"2013-09-16","38.55"
"2013-09-13","38.56"
"2013-09-12","38.12"
"2013-09-11","38.30"
"2013-09-10","38.06"
"2013-09-09","37.91"
"2013-09-06","36.98"
"2013-09-05","37.10"
"2013-09-04","36.81"
"2013-09-03","36.35"
"2013-08-30","35.85"
"2013-08-29","36.31"
"2013-08-28","36.27"
"2013-08-27","36.24"
"2013-08-26","36.75"
"2013-08-23","36.33"
"2013-08-22","36.32"
"2013-08-21","36.13"
"2013-08-20","36.26"
"2013-08-19","36.13"
"2013-08-16","36.37"
"2013-08-15","36.14"
"2013-08-14","37.06"
"2013-08-13","37.15"
"2013-08-12","37.15"
"2013-08-09","36.90"
"2013-08-08","37.02"
"2013-08-07","37.07"
"2013-08-06","37.16"
"2013-08-05","37.37"
"2013-08-02","37.61"
"2013-08-01","37.71"
"2013-07-31","36.95"
"2013-07-30","36.30"
"2013-07-29","36.17"
"2013-07-26","36.35"
"2013-07-25","36.59"
"2013-07-24","36.28"
"2013-07-23","36.45"
"2013-07-22","36.65"
"2013-07-19","36.64"
"2013-07-18","36.60"
"2013-07-17","36.10"
"2013-07-16","35.85"
"2013-07-15","36.07"
"2013-07-12","36.04"
"2013-07-11","35.63"
"2013-07-10","34.78"
"2013-07-09","34.88"
"2013-07-08","34.66"
"2013-07-05","34.48"
"2013-07-03","34.18"
"2013-07-02","34.27"
"2013-07-01","34.72"
"2013-06-28","34.11"
"2013-06-27","34.33"
"2013-06-26","34.26"
"2013-06-25","33.86"
"2013-06-24","33.75"
"2013-06-21","34.65"
"2013-06-20","34.52"
"2013-06-19","35.00"
"2013-06-18","35.41"
"2013-06-17","35.70"
"2013-06-14","35.72"
"2013-06-13","35.71"
"2013-06-12","35.14"
"2013-06-11","35.46"
"2013-06-10","35.60"
"2013-06-07","35.67"
"2013-06-06","35.19"
"2013-06-05","34.67"
"2013-06-04","35.03"
"2013-06-03","35.50"
"2013-05-31","35.00"
"2013-05-30","35.52"
"2013-05-29","35.45"
"2013-05-28","35.69"
"2013-05-24","35.00"
"2013-05-23","35.28"
"2013-05-22","34.69"
"2013-05-21","35.29"
"2013-05-20","35.30"
"2013-05-17","35.77"
"2013-05-16","36.30"
"2013-05-15","36.24"
"2013-05-14","35.74"
"2013-05-13","35.57"
"2013-05-10","35.24"
"2013-05-09","35.11"
"2013-05-08","35.03"
"2013-05-07","34.74"
"2013-05-06","34.57"
"2013-05-03","34.50"
"2013-05-02","33.86"
"2013-05-01","33.60"
"2013-04-30","34.48"
"2013-04-29","34.54"
"2013-04-26","34.19"
"2013-04-25","34.70"
"2013-04-24","35.10"
"2013-04-23","35.05"
"2013-04-22","34.79"
"2013-04-19","34.40"
"2013-04-18","34.00"
"2013-04-17","34.40"
"2013-04-16","34.69"
"2013-04-15","34.48"
"2013-04-12","35.77"
"2013-04-11","36.18"
"2013-04-10","36.37"
"2013-04-09","36.19"
"2013-04-08","36.42"
"2013-04-05","36.01"
"2013-04-04","36.13"
"2013-04-03","36.04"
"2013-04-02","36.53"
"2013-04-01","36.22"
"2013-03-28","36.30"
"2013-03-27","36.19"
"2013-03-26","36.39"
"2013-03-25","36.34"
"2013-03-22","36.67"
"2013-03-21","36.77"
"2013-03-20","38.00"
"2013-03-19","37.86"
"2013-03-18","37.68"
"2013-03-15","37.70"
"2013-03-14","37.63"
"2013-03-13","37.18"
"2013-03-12","36.76"
"2013-03-11","36.76"
"2013-03-08","36.42"
"2013-03-07","35.86"
"2013-03-06","35.91"
"2013-03-05","35.82"
"2013-03-04","35.58"
"2013-03-01","35.60"
"2013-02-28","35.71"
"2013-02-27","35.64"
"2013-02-26","34.91"
"2013-02-25","34.34"
"2013-02-22","34.96"
"2013-02-21","34.29"
"2013-02-20","34.51"
"2013-02-19","35.17"
"2013-02-15","35.65"
"2013-02-14","31.68"
"2013-02-13","31.62"
"2013-02-12","31.51"
"2013-02-11","31.49"
"2013-02-08","31.72"
"2013-02-07","31.44"
"2013-02-06","31.62"
"2013-02-05","31.70"
"2013-02-04","31.58"
"2013-02-01","31.98"
"2013-01-31","31.35"
"2013-01-30","31.63"
"2013-01-29","32.93"
"2013-01-28","32.77"
"2013-01-25","33.05"
"2013-01-24","32.38"
"2013-01-23","31.98"
"2013-01-22","32.49"
"2013-01-18","32.49"
"2013-01-17","32.58"
"2013-01-16","32.42"
"2013-01-15","32.72"
"2013-01-14","32.75"
"2013-01-11","33.06"
"2013-01-10","32.61"
"2013-01-09","32.80"
"2013-01-08","32.77"
"2013-01-07","32.99"
"2013-01-04","33.21"
"2013-01-03","32.81"
"2013-01-02","32.52"
"2012-12-31","31.87"
"2012-12-28","31.38"
"2012-12-27","31.68"
"2012-12-26","31.69"
"2012-12-24","31.56"
"2012-12-21","31.48"
"2012-12-20","31.69"
"2012-12-19","31.11"
"2012-12-18","31.15"
"2012-12-17","30.81"
"2012-12-14","30.29"
"2012-12-13","30.30"
"2012-12-12","30.65"
"2012-12-11","30.99"
"2012-12-10","30.82"
"2012-12-07","30.69"
"2012-12-06","30.49"
"2012-12-05","30.34"
"2012-12-04","30.55"
"2012-12-03","30.66"
"2012-11-30","30.91"
"2012-11-29","30.71"
"2012-11-28","30.45"
"2012-11-27","30.11"
"2012-11-26","29.38"
"2012-11-23","29.42"
"2012-11-21","29.03"
"2012-11-20","28.90"
"2012-11-19","29.27"
"2012-11-16","28.66"
"2012-11-15","28.28"
"2012-11-14","28.87"
"2012-11-13","29.42"
"2012-11-12","29.58"
"2012-11-09","29.52"
"2012-11-08","29.51"
"2012-11-07","29.90"
"2012-11-06","30.26"
"2012-11-05","30.03"
"2012-11-02","29.92"
"2012-11-01","30.38"
"2012-10-31","29.69"
"2012-10-26","29.61"
"2012-10-25","29.59"
"2012-10-24","29.60"
"2012-10-23","29.82"
"2012-10-22","30.39"
"2012-10-19","30.37"
"2012-10-18","30.89"
"2012-10-17","30.67"
"2012-10-16","30.58"
"2012-10-15","30.15"
"2012-10-12","30.08"
"2012-10-11","30.09"
"2012-10-10","30.06"
"2012-10-09","30.14"
"2012-10-08","30.34"
"2012-10-05","30.45"
"2012-10-04","31.20"
"2012-10-03","31.15"
"2012-10-02","30.88"
"2012-10-01","30.89"
"2012-09-28","30.60"
"2012-09-27","30.66"
"2012-09-26","30.54"
"2012-09-25","30.55"
"2012-09-24","30.86"
"2012-09-21","30.70"
"2012-09-20","30.55"
"2012-09-19","30.30"
"2012-09-18","30.30"
"2012-09-17","30.29"
"2012-09-14","30.81"
"2012-09-13","30.46"
"2012-09-12","29.88"
"2012-09-11","29.55"
"2012-09-10","29.50"
"2012-09-07","29.63"
"2012-09-06","29.29"
"2012-09-05","28.80"
"2012-09-04","28.71"
"2012-08-31","28.76"
"2012-08-30","28.64"
"2012-08-29","28.89"
"2012-08-28","28.61"
"2012-08-27","28.67"
"2012-08-24","28.74"
"2012-08-23","28.53"
"2012-08-22","28.83"
"2012-08-21","28.62"
"2012-08-20","28.69"
"2012-08-17","28.76"
"2012-08-16","28.73"
"2012-08-15","28.24"
"2012-08-14","28.19"
"2012-08-13","28.23"
"2012-08-10","28.18"
"2012-08-09","27.89"
"2012-08-08","27.57"
"2012-08-07","27.97"
"2012-08-06","27.74"
"2012-08-03","27.79"
"2012-08-02","27.29"
"2012-08-01","27.78"
"2012-07-31","28.40"
"2012-07-30","28.34"
"2012-07-27","28.70"
"2012-07-26","28.37"
"2012-07-25","28.27"
"2012-07-24","27.92"
"2012-07-23","28.60"
"2012-07-20","29.07"
"2012-07-19","29.21"
"2012-07-18","29.06"
"2012-07-17","28.64"
"2012-07-16","28.43"
"2012-07-13","28.57"
"2012-07-12","28.43"
"2012-07-11","28.56"
"2012-07-10","28.39"
"2012-07-09","28.09"
"2012-07-06","28.22"
"2012-07-05","28.65"
"2012-07-03","28.83"
"2012-07-02","28.50"
"2012-06-29","28.75"
"2012-06-28","27.96"
"2012-06-27","27.89"
"2012-06-26","28.12"
"2012-06-25","27.95"
"2012-06-22","28.18"
"2012-06-21","27.77"
"2012-06-20","28.37"
"2012-06-19","28.54"
"2012-06-18","28.39"
"2012-06-15","28.21"
"2012-06-14","27.86"
"2012-06-13","27.62"
"2012-06-12","28.03"
"2012-06-11","27.48"
"2012-06-08","27.99"
"2012-06-07","27.47"
"2012-06-06","27.34"
"2012-06-05","26.74"
"2012-06-04","26.56"
"2012-06-01","26.34"
"2012-05-31","27.50"
"2012-05-30","27.53"
"2012-05-29","28.18"
"2012-05-25","27.73"
"2012-05-24","27.97"
"2012-05-23","27.83"
"2012-05-22","27.38"
"2012-05-21","27.75"
"2012-05-18","26.83"
"2012-05-17","27.03"
"2012-05-16","27.44"
"2012-05-15","27.90"
"2012-05-14","27.85"
"2012-05-11","27.86"
"2012-05-10","27.86"
"2012-05-09","27.61"
"2012-05-08","27.97"
"2012-05-07","28.25"
"2012-05-04","28.29"
"2012-05-03","28.63"
"2012-05-02","28.66"
"2012-05-01","28.99"
"2012-04-30","31.82"
"2012-04-27","31.82"
"2012-04-26","31.76"
"2012-04-25","32.29"
"2012-04-24","31.56"
"2012-04-23","31.51"
"2012-04-20","31.98"
"2012-04-19","31.43"
"2012-04-18","31.06"
"2012-04-17","31.27"
"2012-04-16","31.15"
"2012-04-13","31.03"
"2012-04-12","31.22"
"2012-04-11","30.44"
"2012-04-10","30.13"
"2012-04-09","30.97"
"2012-04-05","31.32"
"2012-04-04","31.32"
"2012-04-03","31.38"
"2012-04-02","31.60"
"2012-03-30","31.59"
"2012-03-29","31.46"
"2012-03-28","31.51"
"2012-03-27","31.60"
"2012-03-26","31.32"
"2012-03-23","30.78"
"2012-03-22","30.51"
