"Date","Close"
"2013-12-31","43.40"
"2013-12-30","42.91"
"2013-12-27","42.78"
"2013-12-26","42.82"
"2013-12-24","42.57"
"2013-12-23","42.72"
"2013-12-20","42.51"
"2013-12-19","42.53"
"2013-12-18","42.84"
"2013-12-17","41.86"
"2013-12-16","41.90"
"2013-12-13","41.78"
"2013-12-12","41.86"
"2013-12-11","41.42"
"2013-12-10","42.61"
"2013-12-09","43.86"
"2013-12-06","44.14"
"2013-12-05","43.35"
"2013-12-04","42.97"
"2013-12-03","43.22"
"2013-12-02","44.35"
"2013-11-29","44.13"
"2013-11-27","44.14"
"2013-11-26","44.50"
"2013-11-25","44.22"
"2013-11-22","42.67"
"2013-11-21","42.38"
"2013-11-20","42.32"
"2013-11-19","41.90"
"2013-11-18","41.81"
"2013-11-15","42.36"
"2013-11-14","41.98"
"2013-11-13","41.62"
"2013-11-12","41.42"
"2013-11-11","41.06"
"2013-11-08","40.41"
"2013-11-07","38.99"
"2013-11-06","39.51"
"2013-11-05","39.88"
"2013-11-04","39.38"
"2013-11-01","38.01"
"2013-10-31","37.87"
"2013-10-30","38.41"
"2013-10-29","38.65"
"2013-10-28","38.24"
"2013-10-25","38.43"
"2013-10-24","38.49"
"2013-10-23","38.63"
"2013-10-22","38.99"
"2013-10-21","38.56"
"2013-10-18","38.55"
"2013-10-17","39.71"
"2013-10-16","39.69"
"2013-10-15","39.19"
"2013-10-14","39.48"
"2013-10-11","39.91"
"2013-10-10","39.74"
"2013-10-09","38.92"
"2013-10-08","38.87"
"2013-10-07","40.06"
"2013-10-04","40.25"
"2013-10-03","39.99"
"2013-10-02","39.49"
"2013-10-01","39.45"
"2013-09-30","38.17"
"2013-09-27","38.32"
"2013-09-26","38.37"
"2013-09-25","38.14"
"2013-09-24","38.13"
"2013-09-23","38.07"
"2013-09-20","38.66"
"2013-09-19","38.33"
"2013-09-18","38.60"
"2013-09-17","38.50"
"2013-09-16","38.95"
"2013-09-13","38.92"
"2013-09-12","38.72"
"2013-09-11","38.05"
"2013-09-10","38.24"
"2013-09-09","36.49"
"2013-09-06","35.29"
"2013-09-05","35.88"
"2013-09-04","35.93"
"2013-09-03","35.71"
"2013-08-30","35.34"
"2013-08-29","35.34"
"2013-08-28","35.06"
"2013-08-27","34.76"
"2013-08-26","35.52"
"2013-08-23","35.79"
"2013-08-22","35.58"
"2013-08-21","35.44"
"2013-08-20","35.73"
"2013-08-19","35.99"
"2013-08-16","36.19"
"2013-08-15","36.20"
"2013-08-14","36.82"
"2013-08-13","37.15"
"2013-08-12","37.19"
"2013-08-09","37.19"
"2013-08-08","37.05"
"2013-08-07","37.08"
"2013-08-06","36.82"
"2013-08-05","36.88"
"2013-08-02","36.40"
"2013-08-01","33.98"
