"Date","Close"
"2013-12-31","16.99"
"2013-12-30","16.87"
"2013-12-27","16.84"
"2013-12-26","16.39"
"2013-12-24","16.48"
"2013-12-23","16.24"
"2013-12-20","16.26"
"2013-12-19","16.15"
"2013-12-18","15.92"
"2013-12-17","15.77"
"2013-12-16","15.80"
"2013-12-13","15.72"
"2013-12-12","15.53"
"2013-12-11","15.45"
"2013-12-10","15.83"
"2013-12-09","15.93"
"2013-12-06","15.75"
"2013-12-05","16.13"
"2013-12-04","16.82"
"2013-12-03","16.78"
"2013-12-02","16.60"
"2013-11-29","16.55"
"2013-11-27","16.65"
"2013-11-26","16.87"
"2013-11-25","16.81"
"2013-11-22","17.21"
"2013-11-21","17.34"
"2013-11-20","17.22"
"2013-11-19","17.24"
"2013-11-18","17.27"
"2013-11-15","17.79"
"2013-11-14","17.66"
"2013-11-13","17.61"
"2013-11-12","17.61"
"2013-11-11","18.14"
"2013-11-08","17.92"
"2013-11-07","17.25"
"2013-11-06","17.92"
"2013-11-05","17.82"
"2013-11-04","17.95"
"2013-11-01","17.74"
"2013-10-31","17.48"
"2013-10-30","17.49"
"2013-10-29","17.63"
"2013-10-28","17.13"
"2013-10-25","16.76"
"2013-10-24","16.69"
"2013-10-23","16.86"
"2013-10-22","17.83"
"2013-10-21","17.59"
"2013-10-18","17.80"
"2013-10-17","17.49"
"2013-10-16","17.41"
"2013-10-15","17.01"
"2013-10-14","17.29"
"2013-10-11","17.09"
"2013-10-10","17.14"
"2013-10-09","16.77"
"2013-10-08","16.79"
"2013-10-07","16.97"
"2013-10-04","17.45"
"2013-10-03","17.12"
"2013-10-02","16.83"
"2013-10-01","16.51"
"2013-09-30","16.06"
"2013-09-27","16.42"
"2013-09-26","16.43"
"2013-09-25","16.36"
"2013-09-24","16.26"
"2013-09-23","16.15"
"2013-09-20","16.36"
"2013-09-19","16.45"
"2013-09-18","16.45"
"2013-09-17","16.16"
"2013-09-16","16.28"
"2013-09-13","16.37"
"2013-09-12","16.34"
"2013-09-11","16.39"
"2013-09-10","16.41"
"2013-09-09","16.29"
"2013-09-06","15.96"
"2013-09-05","16.14"
"2013-09-04","15.59"
"2013-09-03","15.42"
"2013-08-30","15.40"
"2013-08-29","15.50"
"2013-08-28","15.71"
"2013-08-27","15.38"
"2013-08-26","15.83"
"2013-08-23","15.90"
"2013-08-22","15.81"
"2013-08-21","15.41"
"2013-08-20","15.76"
"2013-08-19","15.53"
"2013-08-16","15.63"
"2013-08-15","15.71"
"2013-08-14","15.70"
"2013-08-13","15.85"
"2013-08-12","15.57"
"2013-08-09","15.58"
"2013-08-08","15.65"
"2013-08-07","15.46"
"2013-08-06","15.31"
"2013-08-05","15.75"
"2013-08-02","15.74"
"2013-08-01","15.79"
"2013-07-31","15.39"
"2013-07-30","15.18"
"2013-07-29","14.86"
"2013-07-26","14.93"
"2013-07-25","15.11"
"2013-07-24","15.09"
"2013-07-23","15.29"
"2013-07-22","15.25"
"2013-07-19","15.62"
"2013-07-18","15.69"
"2013-07-17","15.24"
"2013-07-16","14.87"
"2013-07-15","14.88"
"2013-07-12","14.80"
"2013-07-11","14.60"
"2013-07-10","14.99"
"2013-07-09","16.00"
"2013-07-08","16.06"
"2013-07-05","16.17"
"2013-07-03","15.78"
"2013-07-02","15.98"
