"Date","Close"
"2013-12-31","23.03"
"2013-12-30","22.93"
"2013-12-27","23.59"
"2013-12-26","23.33"
"2013-12-24","23.15"
"2013-12-23","22.49"
"2013-12-20","22.64"
"2013-12-19","22.76"
"2013-12-18","23.14"
"2013-12-17","23.11"
"2013-12-16","23.16"
"2013-12-13","23.28"
"2013-12-12","23.28"
"2013-12-11","23.47"
"2013-12-10","24.18"
"2013-12-09","23.60"
"2013-12-06","23.02"
"2013-12-05","23.20"
"2013-12-04","23.88"
"2013-12-03","23.38"
"2013-12-02","23.83"
"2013-11-29","24.83"
"2013-11-27","24.62"
"2013-11-26","24.72"
"2013-11-25","25.53"
"2013-11-22","25.74"
"2013-11-21","25.86"
"2013-11-20","26.39"
"2013-11-19","27.35"
"2013-11-18","27.04"
"2013-11-15","27.79"
"2013-11-14","28.07"
"2013-11-13","27.30"
"2013-11-12","26.98"
"2013-11-11","27.58"
"2013-11-08","27.57"
"2013-11-07","27.35"
"2013-11-06","27.92"
"2013-11-05","27.35"
"2013-11-04","27.33"
"2013-11-01","25.98"
"2013-10-31","27.26"
"2013-10-30","28.04"
"2013-10-29","27.65"
"2013-10-28","28.08"
"2013-10-25","27.83"
"2013-10-24","27.65"
"2013-10-23","27.29"
"2013-10-22","28.46"
"2013-10-21","27.50"
"2013-10-18","26.92"
"2013-10-17","27.06"
"2013-10-16","25.88"
"2013-10-15","26.10"
"2013-10-14","25.74"
"2013-10-11","25.62"
"2013-10-10","26.30"
"2013-10-09","26.50"
"2013-10-08","26.35"
"2013-10-07","27.17"
"2013-10-04","26.80"
"2013-10-03","26.96"
"2013-10-02","27.53"
"2013-10-01","27.21"
"2013-09-30","28.10"
"2013-09-27","27.98"
"2013-09-26","28.17"
"2013-09-25","28.31"
"2013-09-24","28.00"
"2013-09-23","27.88"
"2013-09-20","28.07"
"2013-09-19","29.78"
"2013-09-18","30.87"
"2013-09-17","28.52"
"2013-09-16","28.13"
"2013-09-13","28.20"
"2013-09-12","28.23"
"2013-09-11","29.46"
"2013-09-10","29.20"
"2013-09-09","30.38"
"2013-09-06","30.43"
"2013-09-05","30.30"
"2013-09-04","31.62"
"2013-09-03","31.47"
"2013-08-30","31.77"
"2013-08-29","31.83"
"2013-08-28","31.34"
"2013-08-27","32.11"
"2013-08-26","33.29"
"2013-08-23","33.00"
"2013-08-22","32.17"
"2013-08-21","31.84"
"2013-08-20","32.81"
"2013-08-19","32.08"
"2013-08-16","32.38"
"2013-08-15","33.22"
"2013-08-14","31.94"
"2013-08-13","30.08"
"2013-08-12","30.90"
"2013-08-09","29.51"
"2013-08-08","28.78"
"2013-08-07","26.48"
"2013-08-06","26.63"
"2013-08-05","28.48"
"2013-08-02","28.79"
"2013-08-01","29.59"
"2013-07-31","30.00"
"2013-07-30","30.15"
"2013-07-29","30.11"
"2013-07-26","30.38"
"2013-07-25","29.93"
"2013-07-24","29.61"
"2013-07-23","31.14"
"2013-07-22","30.35"
"2013-07-19","28.69"
"2013-07-18","28.06"
"2013-07-17","28.03"
"2013-07-16","28.45"
