"Date","Close"
"2013-12-31","24.63"
"2013-12-30","24.03"
"2013-12-27","24.54"
"2013-12-26","24.07"
"2013-12-24","24.13"
"2013-12-23","24.12"
"2013-12-20","23.98"
"2013-12-19","23.85"
"2013-12-18","23.28"
"2013-12-17","23.15"
"2013-12-16","23.01"
"2013-12-13","23.36"
"2013-12-12","23.52"
"2013-12-11","23.85"
"2013-12-10","23.71"
"2013-12-09","24.33"
"2013-12-06","26.43"
"2013-12-05","27.66"
"2013-12-04","28.39"
"2013-12-03","28.32"
"2013-12-02","28.30"
"2013-11-29","28.10"
"2013-11-27","28.26"
"2013-11-26","29.48"
"2013-11-25","28.98"
"2013-11-22","30.03"
"2013-11-21","29.79"
"2013-11-20","29.34"
"2013-11-19","29.23"
"2013-11-18","29.18"
"2013-11-15","29.67"
"2013-11-14","29.55"
"2013-11-13","29.61"
"2013-11-12","29.59"
"2013-11-11","29.77"
"2013-11-08","29.46"
"2013-11-07","29.03"
"2013-11-06","30.09"
"2013-11-05","30.80"
"2013-11-04","31.02"
"2013-11-01","30.45"
"2013-10-31","30.45"
"2013-10-30","30.56"
"2013-10-29","31.41"
"2013-10-28","31.32"
"2013-10-25","31.26"
"2013-10-24","31.29"
"2013-10-23","30.74"
"2013-10-22","31.68"
"2013-10-21","30.86"
"2013-10-18","30.34"
"2013-10-17","29.96"
"2013-10-16","29.78"
"2013-10-15","29.20"
"2013-10-14","29.40"
"2013-10-11","29.17"
"2013-10-10","28.48"
"2013-10-09","28.16"
"2013-10-08","28.29"
"2013-10-07","28.54"
"2013-10-04","28.70"
"2013-10-03","28.02"
"2013-10-02","27.88"
"2013-10-01","27.90"
"2013-09-30","27.37"
"2013-09-27","27.38"
"2013-09-26","27.60"
"2013-09-25","28.02"
"2013-09-24","27.74"
"2013-09-23","27.05"
"2013-09-20","26.83"
"2013-09-19","26.49"
"2013-09-18","26.67"
"2013-09-17","26.05"
"2013-09-16","25.79"
"2013-09-13","25.60"
"2013-09-12","25.76"
"2013-09-11","26.07"
"2013-09-10","24.25"
"2013-09-09","24.22"
"2013-09-06","23.86"
"2013-09-05","23.85"
"2013-09-04","23.70"
"2013-09-03","23.74"
"2013-08-30","23.82"
"2013-08-29","23.68"
"2013-08-28","23.98"
"2013-08-27","23.42"
"2013-08-26","23.61"
"2013-08-23","23.52"
"2013-08-22","23.37"
"2013-08-21","22.73"
"2013-08-20","23.11"
"2013-08-19","22.94"
"2013-08-16","23.78"
"2013-08-15","23.89"
"2013-08-14","23.54"
"2013-08-13","24.48"
"2013-08-12","24.47"
"2013-08-09","24.65"
"2013-08-08","24.56"
"2013-08-07","23.91"
"2013-08-06","24.24"
"2013-08-05","24.79"
"2013-08-02","24.55"
"2013-08-01","25.09"
"2013-07-31","24.60"
