"Date","Close"
"2013-12-31","32.88"
"2013-12-30","32.64"
"2013-12-27","32.64"
"2013-12-26","32.47"
"2013-12-24","32.76"
"2013-12-23","32.57"
"2013-12-20","32.86"
"2013-12-19","31.50"
"2013-12-18","31.61"
"2013-12-17","31.06"
"2013-12-16","31.08"
"2013-12-13","30.94"
"2013-12-12","30.98"
"2013-12-11","30.80"
"2013-12-10","31.09"
"2013-12-09","31.46"
"2013-12-06","31.56"
"2013-12-05","31.31"
"2013-12-04","31.77"
"2013-12-03","31.66"
"2013-12-02","31.58"
"2013-11-29","31.62"
"2013-11-27","31.67"
"2013-11-26","31.76"
"2013-11-25","31.88"
"2013-11-22","31.86"
"2013-11-21","31.48"
"2013-11-20","31.58"
"2013-11-19","32.03"
"2013-11-18","32.23"
"2013-11-15","32.45"
"2013-11-14","32.16"
"2013-11-13","31.50"
"2013-11-12","30.96"
"2013-11-11","31.31"
"2013-11-08","31.32"
"2013-11-07","31.42"
"2013-11-06","31.88"
"2013-11-05","31.58"
"2013-11-04","31.69"
"2013-11-01","31.72"
"2013-10-31","31.52"
"2013-10-30","31.70"
"2013-10-29","31.95"
"2013-10-28","32.03"
"2013-10-25","32.32"
"2013-10-24","32.13"
"2013-10-23","32.16"
"2013-10-22","32.22"
"2013-10-21","31.56"
"2013-10-18","31.68"
"2013-10-17","31.31"
"2013-10-16","30.88"
"2013-10-15","30.37"
"2013-10-14","30.82"
"2013-10-11","30.79"
"2013-10-10","30.71"
"2013-10-09","30.16"
"2013-10-08","30.21"
"2013-10-07","30.30"
"2013-10-04","30.59"
"2013-10-03","30.51"
"2013-10-02","30.91"
"2013-10-01","31.00"
"2013-09-30","30.89"
"2013-09-27","30.67"
"2013-09-26","30.66"
"2013-09-25","30.66"
"2013-09-24","30.84"
"2013-09-23","30.83"
"2013-09-20","30.38"
"2013-09-19","30.55"
"2013-09-18","30.79"
"2013-09-17","30.25"
"2013-09-16","30.15"
"2013-09-13","29.95"
"2013-09-12","29.61"
"2013-09-11","29.59"
"2013-09-10","29.79"
"2013-09-09","29.28"
"2013-09-06","29.11"
"2013-09-05","29.01"
"2013-09-04","29.17"
"2013-09-03","29.13"
"2013-08-30","29.26"
"2013-08-29","29.17"
"2013-08-28","29.31"
"2013-08-27","29.41"
"2013-08-26","29.38"
"2013-08-23","29.63"
"2013-08-22","29.38"
"2013-08-21","29.30"
"2013-08-20","29.63"
"2013-08-19","29.51"
"2013-08-16","29.81"
"2013-08-15","30.14"
"2013-08-14","30.79"
"2013-08-13","30.81"
"2013-08-12","30.66"
"2013-08-09","30.67"
"2013-08-08","30.76"
"2013-08-07","30.59"
"2013-08-06","30.41"
"2013-08-05","30.86"
"2013-08-02","31.09"
"2013-08-01","31.11"
"2013-07-31","30.72"
"2013-07-30","30.85"
"2013-07-29","30.81"
"2013-07-26","31.43"
"2013-07-25","31.44"
"2013-07-24","30.59"
"2013-07-23","31.15"
"2013-07-22","31.03"
"2013-07-19","30.99"
"2013-07-18","30.94"
"2013-07-17","30.73"
"2013-07-16","30.64"
"2013-07-15","30.73"
"2013-07-12","30.29"
"2013-07-11","30.14"
"2013-07-10","29.89"
"2013-07-09","29.71"
"2013-07-08","29.24"
"2013-07-05","28.62"
"2013-07-03","28.62"
"2013-07-02","28.70"
"2013-07-01","28.54"
"2013-06-28","28.64"
"2013-06-27","28.43"
"2013-06-26","28.10"
"2013-06-25","27.86"
"2013-06-24","27.69"
"2013-06-21","28.06"
"2013-06-20","27.62"
"2013-06-19","28.68"
"2013-06-18","29.38"
"2013-06-17","29.17"
"2013-06-14","29.11"
"2013-06-13","28.81"
"2013-06-12","28.14"
"2013-06-11","28.17"
"2013-06-10","28.43"
"2013-06-07","28.53"
"2013-06-06","28.38"
"2013-06-05","27.99"
"2013-06-04","28.27"
"2013-06-03","28.70"
"2013-05-31","28.73"
"2013-05-30","28.77"
"2013-05-29","28.50"
"2013-05-28","28.87"
"2013-05-24","28.77"
"2013-05-23","28.81"
"2013-05-22","29.02"
"2013-05-21","29.60"
"2013-05-20","29.63"
"2013-05-17","29.78"
"2013-05-16","29.51"
"2013-05-15","29.65"
"2013-05-14","29.09"
"2013-05-13","28.77"
"2013-05-10","28.74"
"2013-05-09","28.85"
"2013-05-08","29.84"
"2013-05-07","30.19"
"2013-05-06","30.18"
"2013-05-03","30.53"
"2013-05-02","30.57"
"2013-05-01","30.61"
"2013-04-30","30.73"
"2013-04-29","31.15"
"2013-04-26","30.82"
"2013-04-25","31.17"
"2013-04-24","31.14"
"2013-04-23","31.06"
"2013-04-22","31.04"
"2013-04-19","31.09"
"2013-04-18","30.67"
"2013-04-17","30.45"
"2013-04-16","30.51"
"2013-04-15","30.02"
"2013-04-12","30.63"
"2013-04-11","30.54"
"2013-04-10","30.66"
"2013-04-09","30.17"
"2013-04-08","30.18"
"2013-04-05","29.87"
"2013-04-04","29.62"
"2013-04-03","29.28"
"2013-04-02","29.28"
"2013-04-01","29.17"
"2013-03-28","29.34"
"2013-03-27","28.77"
"2013-03-26","28.63"
"2013-03-25","28.38"
"2013-03-22","28.39"
"2013-03-21","28.51"
"2013-03-20","28.58"
"2013-03-19","28.33"
"2013-03-18","28.10"
"2013-03-15","28.28"
"2013-03-14","28.35"
"2013-03-13","28.42"
"2013-03-12","28.35"
"2013-03-11","28.54"
"2013-03-08","28.29"
"2013-03-07","28.03"
"2013-03-06","28.24"
"2013-03-05","28.32"
"2013-03-04","28.17"
"2013-03-01","27.93"
"2013-02-28","27.70"
"2013-02-27","27.42"
"2013-02-26","27.15"
"2013-02-25","26.90"
"2013-02-22","27.20"
"2013-02-21","26.97"
"2013-02-20","27.04"
"2013-02-19","27.26"
"2013-02-15","26.78"
"2013-02-14","26.91"
"2013-02-13","27.18"
"2013-02-12","27.03"
"2013-02-11","26.94"
"2013-02-08","26.92"
"2013-02-07","26.91"
"2013-02-06","26.83"
"2013-02-05","26.92"
"2013-02-04","26.89"
"2013-02-01","27.19"
"2013-01-31","27.03"
"2013-01-30","27.10"
"2013-01-29","27.27"
"2013-01-28","26.76"
"2013-01-25","26.66"
"2013-01-24","26.50"
"2013-01-23","26.52"
"2013-01-22","26.54"
"2013-01-18","26.24"
"2013-01-17","26.03"
"2013-01-16","25.88"
"2013-01-15","25.90"
"2013-01-14","25.88"
"2013-01-11","25.76"
"2013-01-10","25.50"
"2013-01-09","25.19"
"2013-01-08","24.95"
"2013-01-07","25.15"
"2013-01-04","25.40"
"2013-01-03","25.22"
"2013-01-02","25.25"
"2012-12-31","24.89"
"2012-12-28","24.63"
"2012-12-27","24.72"
"2012-12-26","24.71"
"2012-12-24","24.91"
