"Date","Close"
"2013-12-31","78.64"
"2013-12-30","78.74"
"2013-12-27","78.16"
"2013-12-26","78.19"
"2013-12-24","77.66"
"2013-12-23","77.11"
"2013-12-20","77.34"
"2013-12-19","78.26"
"2013-12-18","78.55"
"2013-12-17","76.76"
"2013-12-16","76.44"
"2013-12-13","76.40"
"2013-12-12","76.23"
"2013-12-11","76.84"
"2013-12-10","79.22"
"2013-12-09","79.78"
"2013-12-06","79.86"
"2013-12-05","78.95"
"2013-12-04","78.82"
"2013-12-03","79.13"
"2013-12-02","79.09"
"2013-11-29","79.14"
"2013-11-27","79.33"
"2013-11-26","79.60"
"2013-11-25","79.13"
"2013-11-22","78.87"
"2013-11-21","78.09"
"2013-11-20","77.84"
"2013-11-19","77.81"
"2013-11-18","78.58"
"2013-11-15","79.22"
"2013-11-14","78.64"
"2013-11-13","77.85"
"2013-11-12","76.87"
"2013-11-11","77.16"
"2013-11-08","77.12"
"2013-11-07","75.70"
"2013-11-06","76.76"
"2013-11-05","77.20"
"2013-11-04","76.37"
"2013-11-01","76.06"
"2013-10-31","75.76"
"2013-10-30","76.13"
"2013-10-29","75.91"
"2013-10-28","75.51"
"2013-10-25","75.70"
"2013-10-24","75.51"
"2013-10-23","75.56"
"2013-10-22","75.96"
"2013-10-21","76.09"
"2013-10-18","75.93"
"2013-10-17","74.54"
"2013-10-16","74.52"
"2013-10-15","73.71"
"2013-10-14","74.06"
"2013-10-11","73.46"
"2013-10-10","73.44"
"2013-10-09","70.89"
"2013-10-08","70.28"
"2013-10-07","71.34"
"2013-10-04","72.14"
"2013-10-03","71.64"
"2013-10-02","71.89"
"2013-10-01","72.42"
"2013-09-30","72.64"
"2013-09-27","73.64"
"2013-09-26","70.34"
"2013-09-25","68.92"
"2013-09-24","69.43"
"2013-09-23","68.98"
"2013-09-20","69.37"
"2013-09-19","69.50"
"2013-09-18","69.48"
"2013-09-17","68.32"
"2013-09-16","68.19"
"2013-09-13","67.91"
"2013-09-12","68.08"
"2013-09-11","67.59"
"2013-09-10","66.82"
"2013-09-09","65.40"
"2013-09-06","64.98"
"2013-09-05","65.38"
"2013-09-04","65.13"
"2013-09-03","64.29"
"2013-08-30","62.82"
"2013-08-29","63.48"
"2013-08-28","63.37"
"2013-08-27","62.81"
"2013-08-26","63.92"
"2013-08-23","64.21"
"2013-08-22","64.86"
"2013-08-21","64.13"
"2013-08-20","64.63"
"2013-08-19","64.71"
"2013-08-16","63.65"
"2013-08-15","63.49"
"2013-08-14","64.35"
"2013-08-13","65.81"
"2013-08-12","66.51"
"2013-08-09","66.31"
"2013-08-08","66.05"
"2013-08-07","65.63"
"2013-08-06","66.54"
"2013-08-05","66.40"
"2013-08-02","66.30"
"2013-08-01","65.97"
"2013-07-31","62.92"
"2013-07-30","62.85"
"2013-07-29","62.71"
"2013-07-26","62.53"
"2013-07-25","62.49"
"2013-07-24","62.63"
"2013-07-23","63.19"
"2013-07-22","63.29"
"2013-07-19","63.35"
"2013-07-18","63.32"
"2013-07-17","63.33"
"2013-07-16","62.70"
"2013-07-15","63.35"
"2013-07-12","63.67"
"2013-07-11","63.72"
"2013-07-10","63.60"
"2013-07-09","63.93"
"2013-07-08","63.72"
"2013-07-05","63.64"
"2013-07-03","62.86"
"2013-07-02","62.62"
"2013-07-01","62.33"
"2013-06-28","63.68"
"2013-06-27","62.32"
"2013-06-26","61.85"
"2013-06-25","60.39"
"2013-06-24","59.95"
"2013-06-21","60.57"
"2013-06-20","60.78"
"2013-06-19","61.75"
"2013-06-18","62.15"
"2013-06-17","61.94"
"2013-06-14","61.89"
"2013-06-13","61.76"
"2013-06-12","61.41"
"2013-06-11","62.15"
"2013-06-10","63.04"
"2013-06-07","62.75"
"2013-06-06","62.16"
"2013-06-05","61.75"
"2013-06-04","62.78"
"2013-06-03","63.03"
"2013-05-31","61.66"
"2013-05-30","62.41"
"2013-05-29","62.93"
"2013-05-28","63.28"
"2013-05-24","62.79"
"2013-05-23","63.33"
"2013-05-22","64.45"
"2013-05-21","65.23"
"2013-05-20","65.33"
"2013-05-17","65.32"
"2013-05-16","64.44"
"2013-05-15","65.83"
"2013-05-14","65.91"
"2013-05-13","64.65"
"2013-05-10","64.76"
"2013-05-09","63.74"
"2013-05-08","63.90"
"2013-05-07","63.91"
"2013-05-06","63.96"
"2013-05-03","64.55"
"2013-05-02","63.32"
"2013-05-01","63.36"
"2013-04-30","63.60"
"2013-04-29","62.63"
"2013-04-26","61.89"
"2013-04-25","62.07"
"2013-04-24","61.53"
"2013-04-23","61.68"
"2013-04-22","61.36"
"2013-04-19","60.92"
"2013-04-18","60.18"
"2013-04-17","60.90"
"2013-04-16","60.50"
"2013-04-15","59.67"
"2013-04-12","60.58"
"2013-04-11","61.20"
"2013-04-10","60.29"
"2013-04-09","59.89"
"2013-04-08","59.95"
"2013-04-05","58.97"
"2013-04-04","59.34"
"2013-04-03","58.91"
"2013-04-02","58.90"
"2013-04-01","58.26"
"2013-03-28","59.01"
"2013-03-27","58.45"
"2013-03-26","59.47"
"2013-03-25","59.56"
"2013-03-22","59.53"
"2013-03-21","53.60"
"2013-03-20","54.83"
"2013-03-19","53.83"
"2013-03-18","54.16"
