"Date","Close"
"2013-12-31","79.53"
"2013-12-30","78.68"
"2013-12-27","79.44"
"2013-12-26","78.77"
"2013-12-24","78.53"
"2013-12-23","77.77"
"2013-12-20","78.37"
"2013-12-19","77.78"
"2013-12-18","77.91"
"2013-12-17","78.14"
"2013-12-16","78.92"
"2013-12-13","78.74"
"2013-12-12","78.54"
"2013-12-11","78.37"
"2013-12-10","79.14"
"2013-12-09","80.19"
"2013-12-06","81.59"
"2013-12-05","81.61"
"2013-12-04","81.85"
"2013-12-03","82.62"
"2013-12-02","81.69"
"2013-11-29","81.50"
"2013-11-27","81.46"
"2013-11-26","81.75"
"2013-11-25","82.61"
"2013-11-22","83.66"
"2013-11-21","83.86"
"2013-11-20","83.36"
"2013-11-19","83.16"
"2013-11-18","83.45"
"2013-11-15","84.30"
"2013-11-14","83.56"
"2013-11-13","82.42"
"2013-11-12","82.55"
"2013-11-11","82.97"
"2013-11-08","82.20"
"2013-11-07","80.41"
"2013-11-06","81.40"
"2013-11-05","80.32"
"2013-11-04","80.91"
"2013-11-01","80.83"
"2013-10-31","81.18"
"2013-10-30","81.78"
"2013-10-29","81.80"
"2013-10-28","82.91"
"2013-10-25","82.72"
"2013-10-24","79.13"
"2013-10-23","78.81"
"2013-10-22","81.40"
"2013-10-21","81.87"
"2013-10-18","82.16"
"2013-10-17","80.99"
"2013-10-16","81.15"
"2013-10-15","79.95"
"2013-10-14","80.08"
"2013-10-11","79.32"
"2013-10-10","79.26"
"2013-10-09","77.77"
"2013-10-08","78.18"
"2013-10-07","78.56"
"2013-10-04","79.54"
"2013-10-03","78.82"
"2013-10-02","79.39"
"2013-10-01","78.80"
"2013-09-30","78.11"
"2013-09-27","78.01"
"2013-09-26","79.12"
"2013-09-25","79.10"
"2013-09-24","78.68"
"2013-09-23","78.50"
"2013-09-20","78.81"
"2013-09-19","79.83"
"2013-09-18","79.51"
"2013-09-17","78.90"
"2013-09-16","78.73"
"2013-09-13","78.24"
"2013-09-12","77.95"
"2013-09-11","78.73"
"2013-09-10","78.63"
"2013-09-09","78.42"
"2013-09-06","78.01"
"2013-09-05","77.52"
"2013-09-04","76.09"
"2013-09-03","75.68"
"2013-08-30","74.30"
"2013-08-29","74.33"
"2013-08-28","74.46"
"2013-08-27","73.15"
"2013-08-26","73.34"
"2013-08-23","72.54"
"2013-08-22","72.00"
"2013-08-21","70.67"
"2013-08-20","71.60"
"2013-08-19","70.98"
"2013-08-16","72.73"
"2013-08-15","73.62"
"2013-08-14","73.40"
"2013-08-13","73.47"
"2013-08-12","72.86"
"2013-08-09","72.49"
"2013-08-08","72.78"
"2013-08-07","72.46"
"2013-08-06","72.08"
"2013-08-05","71.92"
"2013-08-02","72.31"
"2013-08-01","71.20"
"2013-07-31","70.17"
"2013-07-30","69.40"
"2013-07-29","71.14"
"2013-07-26","71.58"
"2013-07-25","71.91"
"2013-07-24","72.37"
"2013-07-23","72.74"
"2013-07-22","73.67"
"2013-07-19","74.05"
"2013-07-18","72.93"
"2013-07-17","72.08"
"2013-07-16","72.64"
"2013-07-15","72.97"
"2013-07-12","72.96"
"2013-07-11","73.33"
"2013-07-10","72.69"
"2013-07-09","73.14"
"2013-07-08","72.79"
"2013-07-05","71.85"
"2013-07-03","70.31"
"2013-07-02","70.03"
"2013-07-01","69.65"
"2013-06-28","68.90"
"2013-06-27","68.46"
"2013-06-26","68.28"
"2013-06-25","67.67"
"2013-06-24","67.06"
"2013-06-21","68.21"
"2013-06-20","68.55"
"2013-06-19","70.97"
"2013-06-18","71.49"
"2013-06-17","70.44"
"2013-06-14","69.58"
"2013-06-13","70.10"
"2013-06-12","69.21"
"2013-06-11","69.17"
"2013-06-10","70.20"
"2013-06-07","70.20"
"2013-06-06","70.02"
"2013-06-05","68.99"
"2013-06-04","69.90"
"2013-06-03","70.74"
"2013-05-31","70.30"
"2013-05-30","71.01"
"2013-05-29","71.57"
"2013-05-28","71.49"
"2013-05-24","69.98"
"2013-05-23","68.90"
"2013-05-22","69.17"
"2013-05-21","70.43"
"2013-05-20","70.17"
"2013-05-17","68.53"
"2013-05-16","66.70"
"2013-05-15","68.19"
"2013-05-14","68.04"
"2013-05-13","67.64"
"2013-05-10","68.22"
"2013-05-09","68.30"
"2013-05-08","68.80"
"2013-05-07","68.55"
"2013-05-06","68.04"
"2013-05-03","66.88"
"2013-05-02","65.61"
"2013-05-01","65.09"
"2013-04-30","65.22"
"2013-04-29","65.92"
"2013-04-26","66.32"
"2013-04-25","67.21"
"2013-04-24","67.17"
"2013-04-23","66.20"
"2013-04-22","65.04"
"2013-04-19","64.31"
"2013-04-18","64.61"
"2013-04-17","64.14"
"2013-04-16","66.68"
"2013-04-15","65.85"
"2013-04-12","68.86"
"2013-04-11","70.14"
"2013-04-10","69.16"
"2013-04-09","68.36"
"2013-04-08","67.83"
"2013-04-05","67.62"
"2013-04-04","66.83"
"2013-04-03","67.98"
"2013-04-02","69.55"
"2013-04-01","69.77"
"2013-03-28","70.75"
"2013-03-27","70.69"
"2013-03-26","69.47"
"2013-03-25","68.51"
"2013-03-22","68.26"
"2013-03-21","67.81"
"2013-03-20","68.74"
"2013-03-19","68.03"
"2013-03-18","69.33"
"2013-03-15","70.53"
"2013-03-14","68.79"
"2013-03-13","67.52"
"2013-03-12","67.63"
"2013-03-11","67.68"
"2013-03-08","68.19"
"2013-03-07","67.76"
"2013-03-06","67.59"
"2013-03-05","67.03"
"2013-03-04","66.33"
"2013-03-01","66.96"
"2013-02-28","68.13"
"2013-02-27","68.51"
"2013-02-26","66.84"
"2013-02-25","66.26"
"2013-02-22","68.10"
"2013-02-21","66.78"
"2013-02-20","67.84"
"2013-02-19","69.48"
"2013-02-15","69.33"
"2013-02-14","70.29"
"2013-02-13","68.96"
"2013-02-12","68.92"
"2013-02-11","68.26"
"2013-02-08","69.08"
"2013-02-07","68.10"
"2013-02-06","66.57"
"2013-02-05","68.21"
"2013-02-04","70.17"
"2013-02-01","71.26"
"2013-01-31","74.14"
"2013-01-30","73.66"
"2013-01-29","74.12"
"2013-01-28","73.62"
"2013-01-25","74.00"
"2013-01-24","73.76"
"2013-01-23","73.67"
"2013-01-22","73.79"
"2013-01-18","72.76"
"2013-01-17","71.73"
"2013-01-16","70.42"
"2013-01-15","70.24"
"2013-01-14","70.34"
"2013-01-11","70.89"
"2013-01-10","70.41"
"2013-01-09","69.86"
"2013-01-08","69.40"
"2013-01-07","71.35"
"2013-01-04","71.75"
"2013-01-03","69.67"
"2013-01-02","70.04"
"2012-12-31","68.35"
"2012-12-28","65.88"
"2012-12-27","66.97"
"2012-12-26","66.78"
"2012-12-24","67.82"
"2012-12-21","68.33"
"2012-12-20","69.54"
"2012-12-19","68.69"
"2012-12-18","68.71"
"2012-12-17","66.30"
"2012-12-14","64.87"
"2012-12-13","65.58"
"2012-12-12","66.48"
"2012-12-11","67.99"
"2012-12-10","67.89"
"2012-12-07","68.28"
"2012-12-06","68.06"
"2012-12-05","68.61"
"2012-12-04","68.79"
"2012-12-03","67.96"
"2012-11-30","68.30"
"2012-11-29","70.35"
"2012-11-28","70.18"
"2012-11-27","70.02"
"2012-11-26","71.13"
"2012-11-23","72.60"
"2012-11-21","71.60"
"2012-11-20","71.63"
"2012-11-19","73.29"
"2012-11-16","70.61"
"2012-11-15","70.44"
"2012-11-14","69.55"
"2012-11-13","70.73"
"2012-11-12","70.79"
"2012-11-09","68.97"
"2012-11-08","69.48"
"2012-11-07","71.10"
"2012-11-06","72.98"
"2012-11-05","71.63"
"2012-11-02","71.65"
"2012-11-01","73.11"
"2012-10-31","73.70"
"2012-10-26","74.57"
"2012-10-25","74.88"
"2012-10-24","76.77"
"2012-10-23","78.74"
"2012-10-22","80.93"
"2012-10-19","80.70"
"2012-10-18","82.03"
"2012-10-17","81.21"
"2012-10-16","79.65"
"2012-10-15","78.62"
"2012-10-12","78.22"
"2012-10-11","78.97"
"2012-10-10","78.29"
"2012-10-09","80.09"
"2012-10-08","80.42"
"2012-10-05","79.92"
"2012-10-04","80.34"
"2012-10-03","79.49"
"2012-10-02","80.73"
"2012-10-01","80.55"
"2012-09-28","80.11"
"2012-09-27","80.14"
"2012-09-26","78.38"
"2012-09-25","80.19"
"2012-09-24","80.93"
"2012-09-21","81.72"
"2012-09-20","80.60"
"2012-09-19","82.03"
"2012-09-18","82.76"
"2012-09-17","83.80"
"2012-09-14","84.83"
"2012-09-13","84.39"
"2012-09-12","83.56"
"2012-09-11","83.13"
"2012-09-10","81.02"
"2012-09-07","81.92"
"2012-09-06","79.66"
"2012-09-05","78.57"
"2012-09-04","78.07"
"2012-08-31","78.80"
"2012-08-30","76.20"
"2012-08-29","77.15"
"2012-08-28","77.21"
"2012-08-27","78.12"
"2012-08-24","77.03"
"2012-08-23","77.32"
"2012-08-22","78.15"
"2012-08-21","78.16"
"2012-08-20","77.80"
"2012-08-17","78.51"
"2012-08-16","78.21"
"2012-08-15","76.62"
"2012-08-14","76.26"
"2012-08-13","76.47"
"2012-08-10","77.36"
"2012-08-09","76.98"
"2012-08-08","76.34"
"2012-08-07","76.75"
"2012-08-06","75.54"
"2012-08-03","75.36"
"2012-08-02","72.74"
"2012-08-01","73.70"
"2012-07-31","72.30"
"2012-07-30","74.04"
"2012-07-27","73.66"
"2012-07-26","73.31"
"2012-07-25","67.33"
"2012-07-24","67.77"
"2012-07-23","68.57"
"2012-07-20","69.21"
"2012-07-19","70.47"
"2012-07-18","69.01"
"2012-07-17","68.14"
"2012-07-16","68.60"
"2012-07-13","67.66"
"2012-07-12","66.84"
"2012-07-11","66.88"
"2012-07-10","66.07"
"2012-07-09","66.99"
"2012-07-06","66.66"
"2012-07-05","66.91"
"2012-07-03","67.65"
"2012-07-02","64.40"
"2012-06-29","64.44"
"2012-06-28","62.14"
