"Date","Close"
"2013-12-31","28.72"
"2013-12-30","28.63"
"2013-12-27","28.59"
"2013-12-26","28.48"
"2013-12-24","28.38"
"2013-12-23","28.37"
"2013-12-20","28.40"
"2013-12-19","28.42"
"2013-12-18","28.10"
"2013-12-17","27.87"
"2013-12-16","27.86"
"2013-12-13","27.95"
"2013-12-12","27.98"
"2013-12-11","27.95"
"2013-12-10","28.37"
"2013-12-09","28.73"
"2013-12-06","28.59"
"2013-12-05","28.10"
"2013-12-04","27.95"
"2013-12-03","27.40"
"2013-12-02","26.83"
"2013-11-29","26.46"
"2013-11-27","26.65"
"2013-11-26","26.60"
"2013-11-25","26.94"
"2013-11-22","27.22"
"2013-11-21","27.57"
"2013-11-20","27.23"
"2013-11-19","27.17"
"2013-11-18","27.12"
"2013-11-15","27.27"
"2013-11-14","27.12"
"2013-11-13","27.26"
"2013-11-12","27.06"
"2013-11-11","28.04"
"2013-11-08","28.32"
"2013-11-07","27.98"
"2013-11-06","28.16"
"2013-11-05","28.30"
"2013-11-04","28.25"
"2013-11-01","28.39"
"2013-10-31","28.53"
"2013-10-30","28.84"
"2013-10-29","29.18"
"2013-10-28","29.48"
"2013-10-25","30.11"
"2013-10-24","28.19"
"2013-10-23","28.42"
"2013-10-22","28.89"
"2013-10-21","28.86"
"2013-10-18","29.30"
"2013-10-17","27.96"
"2013-10-16","27.48"
"2013-10-15","27.56"
"2013-10-14","27.94"
"2013-10-11","28.13"
"2013-10-10","27.86"
"2013-10-09","27.37"
"2013-10-08","27.47"
"2013-10-07","27.26"
"2013-10-04","27.43"
"2013-10-03","27.34"
"2013-10-02","27.55"
"2013-10-01","27.45"
"2013-09-30","27.33"
"2013-09-27","27.72"
"2013-09-26","27.94"
"2013-09-25","28.04"
"2013-09-24","28.02"
"2013-09-23","27.95"
"2013-09-20","27.53"
"2013-09-19","27.80"
"2013-09-18","27.91"
"2013-09-17","27.92"
"2013-09-16","27.56"
"2013-09-13","27.14"
"2013-09-12","26.36"
"2013-09-11","26.25"
"2013-09-10","26.79"
"2013-09-09","26.35"
"2013-09-06","26.06"
"2013-09-05","25.73"
"2013-09-04","25.99"
"2013-09-03","26.10"
"2013-08-30","26.25"
"2013-08-29","26.00"
"2013-08-28","25.98"
"2013-08-27","25.90"
"2013-08-26","25.93"
"2013-08-23","26.32"
"2013-08-22","26.37"
"2013-08-21","26.43"
"2013-08-20","26.49"
"2013-08-19","26.05"
"2013-08-16","26.15"
"2013-08-15","26.40"
"2013-08-14","26.52"
"2013-08-13","25.52"
"2013-08-12","25.97"
"2013-08-09","26.35"
"2013-08-08","26.90"
"2013-08-07","26.39"
"2013-08-06","26.30"
"2013-08-05","26.91"
"2013-08-02","27.04"
"2013-08-01","27.08"
"2013-07-31","26.82"
"2013-07-30","27.00"
"2013-07-29","27.25"
"2013-07-26","27.67"
"2013-07-25","27.53"
"2013-07-24","27.43"
"2013-07-23","27.94"
"2013-07-22","27.98"
"2013-07-19","28.46"
"2013-07-18","28.42"
"2013-07-17","28.41"
"2013-07-16","28.79"
"2013-07-15","29.08"
"2013-07-12","28.64"
"2013-07-11","28.67"
"2013-07-10","27.85"
"2013-07-09","27.65"
"2013-07-08","27.23"
"2013-07-05","26.14"
"2013-07-03","26.26"
"2013-07-02","26.09"
"2013-07-01","26.26"
"2013-06-28","26.70"
"2013-06-27","26.70"
"2013-06-26","26.54"
"2013-06-25","26.55"
"2013-06-24","25.94"
"2013-06-21","25.42"
"2013-06-20","25.44"
"2013-06-19","26.35"
"2013-06-18","26.79"
"2013-06-17","26.74"
"2013-06-14","27.00"
"2013-06-13","26.69"
"2013-06-12","26.44"
"2013-06-11","27.12"
"2013-06-10","27.43"
"2013-06-07","27.10"
"2013-06-06","25.65"
"2013-06-05","25.24"
"2013-06-04","25.19"
"2013-06-03","25.53"
"2013-05-31","25.52"
"2013-05-30","25.68"
"2013-05-29","25.92"
"2013-05-28","26.17"
"2013-05-24","27.17"
"2013-05-23","27.81"
"2013-05-22","27.77"
"2013-05-21","28.18"
"2013-05-20","28.09"
"2013-05-17","28.01"
"2013-05-16","27.72"
"2013-05-15","28.01"
"2013-05-14","27.67"
"2013-05-13","27.20"
"2013-05-10","27.18"
"2013-05-09","26.87"
"2013-05-08","27.22"
"2013-05-07","27.39"
"2013-05-06","27.64"
"2013-05-03","27.61"
"2013-05-02","27.15"
"2013-05-01","27.60"
"2013-04-30","27.87"
"2013-04-29","27.94"
"2013-04-26","27.92"
"2013-04-25","27.98"
"2013-04-24","27.88"
"2013-04-23","27.48"
"2013-04-22","27.41"
"2013-04-19","27.26"
"2013-04-18","26.64"
"2013-04-17","26.40"
"2013-04-16","26.77"
"2013-04-15","26.38"
"2013-04-12","27.14"
"2013-04-11","27.27"
"2013-04-10","27.20"
"2013-04-09","26.93"
"2013-04-08","26.76"
"2013-04-05","26.35"
