"Date","Close"
"2013-12-31","92.83"
"2013-12-30","91.96"
"2013-12-27","92.33"
"2013-12-26","92.87"
"2013-12-24","92.20"
"2013-12-23","91.83"
"2013-12-20","91.32"
"2013-12-19","90.51"
"2013-12-18","90.74"
"2013-12-17","89.16"
"2013-12-16","89.41"
"2013-12-13","87.97"
"2013-12-12","87.51"
"2013-12-11","88.06"
"2013-12-10","89.78"
"2013-12-09","90.49"
"2013-12-06","89.67"
"2013-12-05","88.17"
"2013-12-04","87.19"
"2013-12-03","87.79"
"2013-12-02","88.25"
"2013-11-29","87.69"
"2013-11-27","87.67"
"2013-11-26","86.98"
"2013-11-25","87.02"
"2013-11-22","87.12"
"2013-11-21","86.82"
"2013-11-20","86.05"
"2013-11-19","86.30"
"2013-11-18","87.23"
"2013-11-15","87.15"
"2013-11-14","87.34"
"2013-11-13","87.62"
"2013-11-12","86.65"
"2013-11-11","86.36"
"2013-11-08","85.62"
"2013-11-07","85.48"
"2013-11-06","86.46"
"2013-11-05","86.43"
"2013-11-04","86.84"
"2013-11-01","87.00"
"2013-10-31","86.02"
"2013-10-30","86.52"
"2013-10-29","87.99"
"2013-10-28","88.11"
"2013-10-25","87.65"
"2013-10-24","87.87"
"2013-10-23","86.06"
"2013-10-22","80.60"
"2013-10-21","80.00"
"2013-10-18","79.89"
"2013-10-17","78.52"
"2013-10-16","79.91"
"2013-10-15","78.74"
"2013-10-14","79.06"
"2013-10-11","78.75"
"2013-10-10","78.96"
"2013-10-09","76.88"
"2013-10-08","76.27"
"2013-10-07","76.82"
"2013-10-04","77.51"
"2013-10-03","77.37"
"2013-10-02","78.52"
"2013-10-01","78.23"
"2013-09-30","77.35"
"2013-09-27","77.79"
"2013-09-26","78.30"
"2013-09-25","77.86"
"2013-09-24","78.28"
"2013-09-23","78.11"
"2013-09-20","77.72"
"2013-09-19","78.17"
"2013-09-18","77.82"
"2013-09-17","76.86"
"2013-09-16","76.44"
"2013-09-13","75.64"
"2013-09-12","75.40"
"2013-09-11","76.32"
"2013-09-10","76.34"
"2013-09-09","74.97"
"2013-09-06","74.39"
"2013-09-05","74.13"
"2013-09-04","73.94"
"2013-09-03","72.57"
"2013-08-30","72.16"
"2013-08-29","72.70"
"2013-08-28","73.08"
"2013-08-27","72.89"
"2013-08-26","74.65"
"2013-08-23","74.46"
"2013-08-22","73.75"
"2013-08-21","72.52"
"2013-08-20","73.02"
"2013-08-19","72.95"
"2013-08-16","74.00"
"2013-08-15","73.55"
"2013-08-14","73.77"
"2013-08-13","74.29"
"2013-08-12","74.35"
"2013-08-09","73.98"
"2013-08-08","74.41"
"2013-08-07","74.09"
"2013-08-06","73.93"
"2013-08-05","74.82"
"2013-08-02","75.50"
"2013-08-01","76.00"
"2013-07-31","73.16"
"2013-07-30","73.55"
"2013-07-29","73.86"
"2013-07-26","73.92"
"2013-07-25","74.07"
"2013-07-24","74.66"
"2013-07-23","76.87"
"2013-07-22","77.38"
"2013-07-19","78.08"
"2013-07-18","77.64"
"2013-07-17","76.47"
"2013-07-16","76.16"
"2013-07-15","75.63"
"2013-07-12","75.20"
"2013-07-11","74.94"
"2013-07-10","73.42"
"2013-07-09","74.39"
"2013-07-08","72.86"
"2013-07-05","72.33"
"2013-07-03","71.66"
"2013-07-02","72.24"
"2013-07-01","72.61"
"2013-06-28","72.65"
"2013-06-27","73.49"
"2013-06-26","73.35"
"2013-06-25","72.50"
"2013-06-24","70.46"
"2013-06-21","72.90"
"2013-06-20","73.48"
"2013-06-19","75.45"
"2013-06-18","77.03"
"2013-06-17","76.46"
"2013-06-14","76.17"
"2013-06-13","77.00"
"2013-06-12","75.65"
"2013-06-11","76.51"
"2013-06-10","77.98"
"2013-06-07","77.41"
"2013-06-06","76.81"
"2013-06-05","75.64"
"2013-06-04","77.00"
"2013-06-03","77.07"
"2013-05-31","76.59"
"2013-05-30","77.77"
"2013-05-29","76.89"
"2013-05-28","77.61"
"2013-05-24","77.64"
"2013-05-23","77.45"
"2013-05-22","77.83"
"2013-05-21","79.98"
"2013-05-20","80.25"
"2013-05-17","80.23"
"2013-05-16","79.33"
"2013-05-15","80.36"
"2013-05-14","80.05"
"2013-05-13","78.40"
"2013-05-10","79.01"
"2013-05-09","78.59"
"2013-05-08","79.10"
"2013-05-07","78.41"
"2013-05-06","77.82"
"2013-05-03","77.81"
"2013-05-02","76.47"
"2013-05-01","75.20"
"2013-04-30","77.42"
"2013-04-29","76.60"
"2013-04-26","75.56"
"2013-04-25","75.84"
"2013-04-24","74.92"
"2013-04-23","75.84"
"2013-04-22","75.06"
"2013-04-19","74.75"
"2013-04-18","73.86"
"2013-04-17","73.71"
"2013-04-16","75.87"
"2013-04-15","74.11"
"2013-04-12","76.81"
"2013-04-11","76.19"
"2013-04-10","75.83"
"2013-04-09","74.38"
"2013-04-08","75.36"
"2013-04-05","74.52"
"2013-04-04","73.86"
"2013-04-03","75.16"
"2013-04-02","76.25"
"2013-04-01","76.12"
"2013-03-28","77.08"
"2013-03-27","76.28"
"2013-03-26","75.75"
"2013-03-25","74.38"
"2013-03-22","74.65"
"2013-03-21","74.86"
"2013-03-20","76.02"
"2013-03-19","75.45"
"2013-03-18","75.11"
"2013-03-15","75.62"
"2013-03-14","75.06"
"2013-03-13","74.30"
"2013-03-12","74.48"
"2013-03-11","75.02"
"2013-03-08","74.77"
"2013-03-07","73.39"
"2013-03-06","74.40"
"2013-03-05","75.29"
"2013-03-04","74.27"
"2013-03-01","73.75"
"2013-02-28","73.05"
"2013-02-27","72.70"
"2013-02-26","71.34"
"2013-02-25","71.44"
"2013-02-22","73.11"
"2013-02-21","71.55"
"2013-02-20","72.25"
"2013-02-19","73.20"
"2013-02-15","71.50"
"2013-02-14","71.97"
"2013-02-13","71.88"
"2013-02-12","71.64"
"2013-02-11","70.57"
"2013-02-08","69.00"
"2013-02-07","68.78"
"2013-02-06","69.15"
"2013-02-05","68.86"
"2013-02-04","68.62"
"2013-02-01","69.60"
"2013-01-31","68.87"
"2013-01-30","68.89"
"2013-01-29","70.73"
"2013-01-28","69.95"
"2013-01-25","69.69"
"2013-01-24","69.83"
"2013-01-23","68.41"
"2013-01-22","66.94"
"2013-01-18","66.70"
"2013-01-17","65.95"
"2013-01-16","65.45"
"2013-01-15","65.46"
"2013-01-14","64.87"
"2013-01-11","64.04"
"2013-01-10","64.67"
"2013-01-09","64.75"
"2013-01-08","63.99"
"2013-01-07","64.83"
"2013-01-04","65.37"
"2013-01-03","63.46"
"2013-01-02","63.29"
"2012-12-31","61.84"
"2012-12-28","61.07"
"2012-12-27","61.22"
"2012-12-26","61.60"
"2012-12-24","61.99"
"2012-12-21","62.55"
"2012-12-20","62.97"
"2012-12-19","62.15"
"2012-12-18","62.44"
"2012-12-17","61.62"
"2012-12-14","61.36"
"2012-12-13","61.24"
"2012-12-12","61.53"
"2012-12-11","61.55"
"2012-12-10","62.08"
"2012-12-07","61.51"
"2012-12-06","61.38"
"2012-12-05","61.59"
"2012-12-04","60.21"
"2012-12-03","59.43"
"2012-11-30","60.38"
"2012-11-29","60.48"
"2012-11-28","59.71"
"2012-11-27","58.94"
"2012-11-26","58.25"
"2012-11-23","57.76"
"2012-11-21","57.03"
"2012-11-20","56.91"
"2012-11-19","58.03"
"2012-11-16","56.34"
"2012-11-15","57.02"
"2012-11-14","57.51"
"2012-11-13","58.51"
"2012-11-12","58.06"
"2012-11-09","58.00"
"2012-11-08","59.14"
"2012-11-07","59.98"
"2012-11-06","61.50"
"2012-11-05","60.99"
"2012-11-02","61.13"
"2012-11-01","61.77"
"2012-10-31","61.35"
"2012-10-26","62.77"
"2012-10-25","62.57"
"2012-10-24","61.09"
"2012-10-23","66.01"
"2012-10-22","66.83"
"2012-10-19","65.64"
"2012-10-18","66.70"
"2012-10-17","67.21"
"2012-10-16","67.71"
"2012-10-15","67.61"
"2012-10-12","67.28"
"2012-10-11","65.96"
"2012-10-10","66.40"
"2012-10-09","66.95"
"2012-10-08","67.28"
"2012-10-05","66.90"
"2012-10-04","66.18"
"2012-10-03","65.60"
"2012-10-02","65.02"
"2012-10-01","64.45"
"2012-09-28","63.63"
"2012-09-27","64.18"
"2012-09-26","64.57"
"2012-09-25","65.07"
"2012-09-24","66.28"
"2012-09-21","65.00"
"2012-09-20","66.11"
"2012-09-19","72.69"
"2012-09-18","73.93"
"2012-09-17","74.23"
"2012-09-14","74.69"
"2012-09-13","74.53"
"2012-09-12","74.02"
"2012-09-11","73.52"
"2012-09-10","72.40"
"2012-09-07","71.92"
"2012-09-06","72.02"
"2012-09-05","70.08"
"2012-09-04","71.06"
"2012-08-31","72.46"
"2012-08-30","72.64"
"2012-08-29","73.66"
"2012-08-28","73.66"
"2012-08-27","73.37"
"2012-08-24","73.60"
"2012-08-23","73.58"
"2012-08-22","74.67"
"2012-08-21","74.88"
"2012-08-20","74.83"
"2012-08-17","75.10"
"2012-08-16","74.69"
"2012-08-15","74.72"
"2012-08-14","74.09"
"2012-08-13","74.28"
"2012-08-10","74.56"
"2012-08-09","73.69"
"2012-08-08","74.81"
"2012-08-07","74.97"
"2012-08-06","74.72"
"2012-08-03","74.94"
"2012-08-02","73.40"
"2012-08-01","73.31"
"2012-07-31","74.05"
"2012-07-30","74.18"
"2012-07-27","74.69"
"2012-07-26","73.00"
"2012-07-25","71.70"
"2012-07-24","71.96"
"2012-07-23","72.19"
"2012-07-20","72.99"
"2012-07-19","74.18"
"2012-07-18","73.80"
"2012-07-17","73.89"
"2012-07-16","73.75"
"2012-07-13","73.69"
"2012-07-12","71.84"
"2012-07-11","71.27"
"2012-07-10","70.99"
"2012-07-09","72.07"
"2012-07-06","72.20"
"2012-07-05","71.91"
"2012-07-03","71.91"
"2012-07-02","71.42"
"2012-06-29","71.77"
"2012-06-28","70.07"
"2012-06-27","69.76"
"2012-06-26","69.31"
"2012-06-25","68.74"
"2012-06-22","70.00"
"2012-06-21","71.14"
"2012-06-20","71.69"
"2012-06-19","71.31"
"2012-06-18","71.07"
"2012-06-15","68.97"
"2012-06-14","68.20"
"2012-06-13","67.17"
"2012-06-12","67.19"
"2012-06-11","65.92"
"2012-06-08","66.44"
"2012-06-07","66.00"
"2012-06-06","65.55"
"2012-06-05","63.67"
"2012-06-04","63.69"
"2012-06-01","64.29"
"2012-05-31","65.52"
"2012-05-30","65.34"
"2012-05-29","66.50"
"2012-05-25","66.43"
"2012-05-24","67.44"
"2012-05-23","68.09"
"2012-05-22","67.28"
"2012-05-21","67.41"
"2012-05-18","65.34"
"2012-05-17","66.21"
"2012-05-16","67.94"
"2012-05-15","67.89"
"2012-05-14","68.01"
"2012-05-11","68.44"
"2012-05-10","68.17"
"2012-05-09","68.39"
"2012-05-08","70.23"
"2012-05-07","71.99"
"2012-05-04","71.63"
"2012-05-03","72.97"
"2012-05-02","73.72"
"2012-05-01","74.41"
"2012-04-30","72.93"
"2012-04-27","73.37"
"2012-04-26","73.23"
"2012-04-25","72.91"
"2012-04-24","70.22"
"2012-04-23","69.40"
"2012-04-20","69.53"
"2012-04-19","68.70"
"2012-04-18","69.67"
"2012-04-17","69.05"
"2012-04-16","68.24"
"2012-04-13","67.44"
"2012-04-12","67.91"
"2012-04-11","66.17"
