"Date","Close"
"2013-12-31","41.14"
"2013-12-30","40.98"
"2013-12-27","40.70"
"2013-12-26","40.31"
"2013-12-24","40.38"
"2013-12-23","40.38"
"2013-12-20","40.49"
"2013-12-19","40.64"
"2013-12-18","40.04"
"2013-12-17","39.95"
"2013-12-16","40.03"
"2013-12-13","39.77"
"2013-12-12","39.60"
"2013-12-11","40.06"
"2013-12-10","41.46"
"2013-12-09","41.26"
"2013-12-06","41.57"
"2013-12-05","41.45"
"2013-12-04","40.67"
"2013-12-03","40.74"
"2013-12-02","41.00"
"2013-11-29","41.25"
"2013-11-27","41.24"
"2013-11-26","40.89"
"2013-11-25","40.77"
"2013-11-22","40.64"
"2013-11-21","40.39"
"2013-11-20","40.36"
"2013-11-19","40.59"
"2013-11-18","40.57"
"2013-11-15","41.42"
"2013-11-14","41.07"
"2013-11-13","41.29"
"2013-11-12","40.20"
"2013-11-11","39.87"
"2013-11-08","39.91"
"2013-11-07","39.45"
"2013-11-06","38.77"
"2013-11-05","38.51"
"2013-11-04","38.75"
"2013-11-01","39.14"
"2013-10-31","38.81"
"2013-10-30","38.93"
"2013-10-29","39.77"
"2013-10-28","39.69"
"2013-10-25","39.39"
"2013-10-24","39.29"
"2013-10-23","39.06"
"2013-10-22","40.71"
"2013-10-21","41.65"
"2013-10-18","41.37"
"2013-10-17","40.64"
"2013-10-16","40.44"
"2013-10-15","40.70"
"2013-10-14","41.73"
"2013-10-11","41.57"
"2013-10-10","41.60"
"2013-10-09","41.41"
"2013-10-08","41.65"
"2013-10-07","41.92"
"2013-10-04","42.27"
"2013-10-03","42.10"
"2013-10-02","42.84"
"2013-10-01","43.05"
"2013-09-30","42.62"
"2013-09-27","42.58"
"2013-09-26","43.13"
"2013-09-25","42.73"
"2013-09-24","42.88"
"2013-09-23","43.26"
"2013-09-20","43.20"
"2013-09-19","44.32"
"2013-09-18","43.99"
"2013-09-17","43.82"
"2013-09-16","43.55"
"2013-09-13","43.77"
"2013-09-12","43.65"
"2013-09-11","43.43"
"2013-09-10","43.09"
"2013-09-09","42.76"
"2013-09-06","42.24"
"2013-09-05","42.11"
"2013-09-04","42.07"
"2013-09-03","41.82"
"2013-08-30","41.54"
"2013-08-29","41.60"
"2013-08-28","41.43"
"2013-08-27","41.47"
"2013-08-26","41.85"
"2013-08-23","41.95"
"2013-08-22","41.82"
"2013-08-21","41.54"
"2013-08-20","41.75"
"2013-08-19","41.89"
"2013-08-16","42.20"
"2013-08-15","42.03"
"2013-08-14","42.33"
"2013-08-13","42.29"
"2013-08-12","42.53"
"2013-08-09","42.52"
"2013-08-08","42.45"
"2013-08-07","41.70"
"2013-08-06","41.50"
"2013-08-05","41.68"
"2013-08-02","41.24"
"2013-08-01","41.48"
"2013-07-31","41.12"
"2013-07-30","41.07"
"2013-07-29","40.86"
"2013-07-26","41.35"
"2013-07-25","41.54"
"2013-07-24","41.27"
"2013-07-23","40.91"
"2013-07-22","41.28"
"2013-07-19","41.33"
"2013-07-18","40.98"
"2013-07-17","40.52"
"2013-07-16","40.07"
"2013-07-15","40.10"
"2013-07-12","39.30"
"2013-07-11","39.03"
"2013-07-10","38.75"
"2013-07-09","38.67"
"2013-07-08","38.53"
"2013-07-05","38.77"
"2013-07-03","38.31"
"2013-07-02","38.29"
"2013-07-01","37.84"
"2013-06-28","37.78"
"2013-06-27","37.96"
"2013-06-26","37.83"
"2013-06-25","37.45"
"2013-06-24","37.39"
