"Date","Close"
"2013-12-31","42.39"
"2013-12-30","42.38"
"2013-12-27","42.20"
"2013-12-26","42.24"
"2013-12-24","42.25"
"2013-12-23","42.16"
"2013-12-20","42.11"
"2013-12-19","41.88"
"2013-12-18","42.01"
"2013-12-17","41.51"
"2013-12-16","41.74"
"2013-12-13","41.59"
"2013-12-12","41.37"
"2013-12-11","40.96"
"2013-12-10","41.05"
"2013-12-09","41.34"
"2013-12-06","41.58"
"2013-12-05","40.91"
"2013-12-04","41.12"
"2013-12-03","40.96"
"2013-12-02","40.96"
"2013-11-29","41.08"
"2013-11-27","41.18"
"2013-11-26","41.22"
"2013-11-25","41.87"
"2013-11-22","42.18"
"2013-11-21","42.18"
"2013-11-20","42.04"
"2013-11-19","42.42"
"2013-11-18","42.85"
"2013-11-15","42.93"
"2013-11-14","42.76"
"2013-11-13","42.17"
"2013-11-12","41.95"
"2013-11-11","42.37"
"2013-11-08","42.27"
"2013-11-07","42.40"
"2013-11-06","42.95"
"2013-11-05","42.46"
"2013-11-04","42.67"
"2013-11-01","42.50"
"2013-10-31","42.89"
"2013-10-30","43.12"
"2013-10-29","43.46"
"2013-10-28","43.32"
"2013-10-25","43.41"
"2013-10-24","42.88"
"2013-10-23","42.91"
"2013-10-22","42.60"
"2013-10-21","42.23"
"2013-10-18","42.34"
"2013-10-17","42.29"
"2013-10-16","41.53"
"2013-10-15","41.12"
"2013-10-14","41.73"
"2013-10-11","42.16"
"2013-10-10","41.95"
"2013-10-09","41.20"
"2013-10-08","41.02"
"2013-10-07","40.68"
"2013-10-04","41.02"
"2013-10-03","41.03"
"2013-10-02","41.47"
"2013-10-01","41.37"
"2013-09-30","41.25"
"2013-09-27","41.44"
"2013-09-26","41.44"
"2013-09-25","41.34"
"2013-09-24","41.54"
"2013-09-23","41.63"
"2013-09-20","41.19"
"2013-09-19","41.70"
"2013-09-18","41.89"
"2013-09-17","40.52"
"2013-09-16","40.40"
"2013-09-13","40.29"
"2013-09-12","40.09"
"2013-09-11","40.70"
"2013-09-10","40.96"
"2013-09-09","40.66"
"2013-09-06","40.25"
"2013-09-05","40.26"
"2013-09-04","40.51"
"2013-09-03","40.34"
"2013-08-30","40.97"
"2013-08-29","40.97"
"2013-08-28","41.16"
"2013-08-27","41.29"
"2013-08-26","41.33"
"2013-08-23","41.71"
"2013-08-22","41.24"
"2013-08-21","41.01"
"2013-08-20","41.57"
"2013-08-19","41.22"
"2013-08-16","41.30"
"2013-08-15","41.87"
