"Date","Close"
"2013-12-31","16.02"
"2013-12-30","15.97"
"2013-12-27","15.76"
"2013-12-26","15.67"
"2013-12-24","15.82"
"2013-12-23","15.78"
"2013-12-20","15.69"
"2013-12-19","15.38"
"2013-12-18","15.32"
"2013-12-17","15.11"
"2013-12-16","15.04"
"2013-12-13","15.02"
"2013-12-12","15.11"
"2013-12-11","15.41"
"2013-12-10","15.56"
"2013-12-09","15.21"
"2013-12-06","15.47"
"2013-12-05","15.70"
"2013-12-04","15.96"
"2013-12-03","15.74"
"2013-12-02","15.75"
"2013-11-29","15.60"
"2013-11-27","15.70"
"2013-11-26","15.64"
"2013-11-25","15.51"
"2013-11-22","15.18"
"2013-11-21","15.33"
"2013-11-20","15.21"
"2013-11-19","15.44"
"2013-11-18","15.78"
"2013-11-15","16.17"
"2013-11-14","16.22"
"2013-11-13","16.15"
"2013-11-12","15.72"
"2013-11-11","15.69"
"2013-11-08","15.56"
"2013-11-07","14.55"
"2013-11-06","14.90"
"2013-11-05","14.80"
"2013-11-04","14.82"
"2013-11-01","15.26"
"2013-10-31","15.19"
"2013-10-30","15.22"
"2013-10-29","15.23"
"2013-10-28","15.21"
"2013-10-25","15.24"
"2013-10-24","15.39"
"2013-10-23","15.50"
"2013-10-22","15.77"
"2013-10-21","15.85"
"2013-10-18","15.81"
"2013-10-17","15.63"
"2013-10-16","15.60"
"2013-10-15","15.41"
"2013-10-14","15.49"
"2013-10-11","15.26"
"2013-10-10","15.39"
"2013-10-09","15.22"
"2013-10-08","15.46"
"2013-10-07","15.59"
"2013-10-04","15.59"
"2013-10-03","15.38"
"2013-10-02","15.54"
"2013-10-01","15.55"
"2013-09-30","15.56"
"2013-09-27","15.58"
"2013-09-26","15.67"
"2013-09-25","15.72"
"2013-09-24","15.70"
"2013-09-23","15.64"
"2013-09-20","15.79"
"2013-09-19","15.93"
"2013-09-18","16.00"
"2013-09-17","15.86"
"2013-09-16","15.81"
"2013-09-13","15.80"
"2013-09-12","15.70"
"2013-09-11","15.71"
"2013-09-10","15.45"
"2013-09-09","15.13"
"2013-09-06","14.88"
"2013-09-05","14.94"
"2013-09-04","14.90"
"2013-09-03","14.76"
"2013-08-30","14.75"
"2013-08-29","14.77"
"2013-08-28","14.80"
"2013-08-27","14.80"
"2013-08-26","14.99"
"2013-08-23","14.96"
"2013-08-22","14.96"
"2013-08-21","14.88"
"2013-08-20","14.95"
"2013-08-19","14.95"
"2013-08-16","15.19"
"2013-08-15","15.13"
"2013-08-14","15.03"
"2013-08-13","14.42"
"2013-08-12","14.37"
"2013-08-09","14.49"
"2013-08-08","14.70"
"2013-08-07","14.60"
"2013-08-06","14.61"
"2013-08-05","14.83"
"2013-08-02","14.76"
"2013-08-01","14.64"
"2013-07-31","14.44"
"2013-07-30","14.41"
"2013-07-29","14.17"
"2013-07-26","14.20"
"2013-07-25","14.26"
"2013-07-24","14.21"
"2013-07-23","14.21"
"2013-07-22","14.23"
"2013-07-19","14.24"
"2013-07-18","14.55"
"2013-07-17","14.61"
"2013-07-16","14.69"
"2013-07-15","14.61"
"2013-07-12","14.64"
"2013-07-11","14.63"
"2013-07-10","14.43"
"2013-07-09","14.24"
"2013-07-08","14.17"
"2013-07-05","14.24"
"2013-07-03","14.13"
"2013-07-02","14.09"
"2013-07-01","14.10"
"2013-06-28","14.04"
"2013-06-27","14.01"
"2013-06-26","14.14"
"2013-06-25","14.22"
"2013-06-24","14.12"
"2013-06-21","14.42"
"2013-06-20","14.44"
"2013-06-19","14.84"
"2013-06-18","14.40"
"2013-06-17","14.49"
"2013-06-14","14.35"
"2013-06-13","14.37"
"2013-06-12","14.05"
"2013-06-11","14.17"
"2013-06-10","14.44"
"2013-06-07","14.45"
"2013-06-06","14.25"
"2013-06-05","14.16"
"2013-06-04","14.47"
"2013-06-03","14.45"
"2013-05-31","14.47"
"2013-05-30","14.63"
"2013-05-29","14.44"
"2013-05-28","14.53"
"2013-05-24","14.54"
"2013-05-23","14.63"
"2013-05-22","14.40"
"2013-05-21","14.92"
"2013-05-20","14.84"
