"Date","Close"
"2013-12-31","74.37"
"2013-12-30","73.99"
"2013-12-27","73.42"
"2013-12-26","72.74"
"2013-12-24","71.83"
"2013-12-23","71.21"
"2013-12-20","71.48"
"2013-12-19","72.60"
"2013-12-18","70.55"
"2013-12-17","69.84"
"2013-12-16","69.63"
"2013-12-13","68.82"
"2013-12-12","68.90"
"2013-12-11","69.81"
"2013-12-10","70.65"
"2013-12-09","71.11"
"2013-12-06","71.30"
"2013-12-05","70.42"
"2013-12-04","69.43"
"2013-12-03","70.68"
"2013-12-02","71.98"
"2013-11-29","71.45"
"2013-11-27","71.52"
"2013-11-26","71.76"
"2013-11-25","70.91"
"2013-11-22","71.74"
"2013-11-21","70.74"
"2013-11-20","70.35"
"2013-11-19","70.16"
"2013-11-18","69.93"
"2013-11-15","69.95"
"2013-11-14","69.08"
"2013-11-13","69.77"
"2013-11-12","69.99"
"2013-11-11","70.56"
"2013-11-08","70.40"
"2013-11-07","70.38"
"2013-11-06","70.51"
"2013-11-05","70.28"
"2013-11-04","69.91"
"2013-11-01","68.98"
"2013-10-31","68.11"
"2013-10-30","67.99"
"2013-10-29","68.88"
"2013-10-28","68.37"
"2013-10-25","67.46"
"2013-10-24","66.49"
"2013-10-23","66.00"
"2013-10-22","67.84"
"2013-10-21","66.16"
"2013-10-18","65.66"
"2013-10-17","65.16"
"2013-10-16","64.61"
"2013-10-15","64.96"
"2013-10-14","63.95"
"2013-10-11","63.70"
"2013-10-10","63.40"
"2013-10-09","61.76"
"2013-10-08","61.99"
"2013-10-07","62.70"
"2013-10-04","63.13"
"2013-10-03","63.10"
"2013-10-02","63.17"
"2013-10-01","63.56"
"2013-09-30","63.44"
"2013-09-27","64.32"
"2013-09-26","64.40"
"2013-09-25","64.58"
"2013-09-24","64.69"
"2013-09-23","64.65"
"2013-09-20","65.19"
"2013-09-19","65.60"
"2013-09-18","66.04"
"2013-09-17","66.34"
"2013-09-16","65.66"
"2013-09-13","65.01"
"2013-09-12","64.59"
"2013-09-11","64.59"
"2013-09-10","63.88"
"2013-09-09","63.49"
"2013-09-06","62.60"
"2013-09-05","62.52"
"2013-09-04","61.70"
"2013-09-03","60.66"
"2013-08-30","60.65"
"2013-08-29","60.90"
"2013-08-28","60.22"
"2013-08-27","60.42"
"2013-08-26","61.38"
"2013-08-23","61.76"
"2013-08-22","62.00"
"2013-08-21","61.46"
"2013-08-20","62.37"
"2013-08-19","62.06"
"2013-08-16","61.48"
"2013-08-15","60.69"
"2013-08-14","62.18"
"2013-08-13","62.26"
"2013-08-12","62.68"
"2013-08-09","62.68"
"2013-08-08","63.48"
"2013-08-07","63.40"
"2013-08-06","63.48"
"2013-08-05","63.50"
"2013-08-02","63.49"
"2013-08-01","64.80"
"2013-07-31","64.27"
"2013-07-30","63.63"
"2013-07-29","64.75"
"2013-07-26","65.11"
"2013-07-25","64.30"
"2013-07-24","64.62"
"2013-07-23","64.51"
"2013-07-22","64.97"
"2013-07-19","65.40"
"2013-07-18","65.83"
"2013-07-17","66.77"
"2013-07-16","66.42"
"2013-07-15","66.40"
"2013-07-12","66.34"
"2013-07-11","66.14"
"2013-07-10","64.99"
"2013-07-09","64.74"
"2013-07-08","64.15"
"2013-07-05","63.50"
"2013-07-03","62.48"
"2013-07-02","62.69"
"2013-07-01","62.72"
"2013-06-28","62.87"
"2013-06-27","63.18"
"2013-06-26","62.45"
"2013-06-25","61.60"
"2013-06-24","61.23"
"2013-06-21","62.03"
"2013-06-20","61.66"
"2013-06-19","62.92"
"2013-06-18","63.82"
"2013-06-17","63.29"
"2013-06-14","62.76"
"2013-06-13","62.94"
"2013-06-12","61.43"
"2013-06-11","62.20"
"2013-06-10","63.11"
"2013-06-07","63.93"
"2013-06-06","61.00"
"2013-06-05","60.51"
"2013-06-04","61.93"
"2013-06-03","62.04"
"2013-05-31","62.13"
"2013-05-30","63.03"
"2013-05-29","62.62"
"2013-05-28","63.79"
"2013-05-24","63.58"
"2013-05-23","61.52"
"2013-05-22","62.10"
"2013-05-21","63.00"
"2013-05-20","63.36"
"2013-05-17","63.31"
"2013-05-16","62.99"
"2013-05-15","63.70"
"2013-05-14","63.36"
"2013-05-13","62.88"
"2013-05-10","63.32"
"2013-05-09","62.45"
"2013-05-08","62.04"
"2013-05-07","61.85"
"2013-05-06","61.09"
"2013-05-03","60.80"
"2013-05-02","59.76"
"2013-05-01","59.30"
"2013-04-30","59.77"
"2013-04-29","59.67"
"2013-04-26","60.02"
