"Date","Close"
"2013-12-31","38.26"
"2013-12-30","37.99"
"2013-12-27","37.98"
"2013-12-26","37.69"
"2013-12-24","37.32"
"2013-12-23","36.93"
"2013-12-20","36.37"
"2013-12-19","36.60"
"2013-12-18","34.60"
"2013-12-17","33.63"
"2013-12-16","33.54"
"2013-12-13","33.23"
"2013-12-12","33.60"
"2013-12-11","34.56"
"2013-12-10","34.80"
"2013-12-09","35.60"
"2013-12-06","35.48"
"2013-12-05","34.85"
"2013-12-04","35.07"
"2013-12-03","35.07"
"2013-12-02","35.08"
"2013-11-29","35.29"
"2013-11-27","35.29"
"2013-11-26","34.93"
"2013-11-25","34.78"
"2013-11-22","34.83"
"2013-11-21","34.94"
"2013-11-20","34.75"
"2013-11-19","34.76"
"2013-11-18","34.93"
"2013-11-15","34.92"
"2013-11-14","34.38"
"2013-11-13","35.00"
"2013-11-12","34.70"
"2013-11-11","34.37"
"2013-11-08","34.35"
"2013-11-07","34.00"
"2013-11-06","34.07"
"2013-11-05","33.50"
"2013-11-04","33.71"
"2013-11-01","33.53"
"2013-10-31","33.50"
"2013-10-30","33.53"
"2013-10-29","33.71"
"2013-10-28","33.14"
"2013-10-25","33.15"
"2013-10-24","33.07"
"2013-10-23","32.70"
"2013-10-22","32.90"
"2013-10-21","32.95"
"2013-10-18","32.90"
"2013-10-17","32.87"
"2013-10-16","33.02"
"2013-10-15","32.75"
"2013-10-14","33.28"
"2013-10-11","33.26"
"2013-10-10","32.99"
"2013-10-09","32.19"
"2013-10-08","32.37"
"2013-10-07","32.84"
"2013-10-04","33.21"
"2013-10-03","33.24"
"2013-10-02","33.68"
"2013-10-01","33.50"
"2013-09-30","33.17"
"2013-09-27","33.78"
"2013-09-26","33.81"
"2013-09-25","33.87"
"2013-09-24","33.64"
"2013-09-23","33.94"
"2013-09-20","34.05"
"2013-09-19","33.89"
"2013-09-18","33.87"
"2013-09-17","33.26"
"2013-09-16","32.97"
"2013-09-13","32.46"
"2013-09-12","32.79"
"2013-09-11","33.02"
"2013-09-10","32.86"
"2013-09-09","32.75"
