"Date","Close"
"2013-12-31","95.10"
"2013-12-30","94.55"
"2013-12-27","94.85"
"2013-12-26","94.03"
"2013-12-24","93.48"
"2013-12-23","93.23"
"2013-12-20","92.80"
"2013-12-19","92.93"
"2013-12-18","92.26"
"2013-12-17","90.21"
"2013-12-16","90.95"
"2013-12-13","91.11"
"2013-12-12","91.24"
"2013-12-11","91.54"
"2013-12-10","92.49"
"2013-12-09","93.14"
"2013-12-06","92.65"
"2013-12-05","93.43"
"2013-12-04","94.59"
"2013-12-03","94.30"
"2013-12-02","94.76"
"2013-11-29","94.96"
"2013-11-27","95.20"
"2013-11-26","97.63"
"2013-11-25","97.47"
"2013-11-22","99.37"
"2013-11-21","98.65"
"2013-11-20","97.18"
"2013-11-19","96.90"
"2013-11-18","97.08"
"2013-11-15","97.54"
"2013-11-14","97.48"
"2013-11-13","97.00"
"2013-11-12","95.64"
"2013-11-11","97.01"
"2013-11-08","96.33"
"2013-11-07","95.85"
"2013-11-06","97.01"
"2013-11-05","96.69"
"2013-11-04","97.73"
"2013-11-01","95.65"
"2013-10-31","96.08"
"2013-10-30","96.06"
"2013-10-29","96.48"
"2013-10-28","97.54"
"2013-10-25","96.88"
"2013-10-24","97.03"
"2013-10-23","95.66"
"2013-10-22","97.82"
"2013-10-21","97.05"
"2013-10-18","98.29"
"2013-10-17","98.08"
"2013-10-16","96.97"
"2013-10-15","95.23"
"2013-10-14","95.71"
"2013-10-11","95.49"
"2013-10-10","95.10"
"2013-10-09","93.96"
"2013-10-08","93.56"
"2013-10-07","95.28"
"2013-10-04","95.41"
"2013-10-03","94.40"
"2013-10-02","94.81"
"2013-10-01","94.39"
"2013-09-30","93.54"
"2013-09-27","94.46"
"2013-09-26","93.58"
"2013-09-25","92.91"
"2013-09-24","92.80"
"2013-09-23","91.37"
"2013-09-20","91.56"
"2013-09-19","92.11"
"2013-09-18","92.31"
"2013-09-17","90.98"
"2013-09-16","89.68"
"2013-09-13","89.49"
"2013-09-12","91.01"
"2013-09-11","90.82"
"2013-09-10","89.66"
"2013-09-09","89.70"
"2013-09-06","89.00"
"2013-09-05","89.74"
"2013-09-04","89.77"
"2013-09-03","88.47"
"2013-08-30","88.21"
"2013-08-29","88.21"
"2013-08-28","88.17"
"2013-08-27","87.35"
"2013-08-26","87.92"
"2013-08-23","88.17"
"2013-08-22","86.12"
"2013-08-21","85.38"
"2013-08-20","85.95"
"2013-08-19","86.11"
"2013-08-16","86.51"
"2013-08-15","86.99"
"2013-08-14","87.68"
"2013-08-13","87.87"
"2013-08-12","88.29"
"2013-08-09","88.28"
"2013-08-08","88.48"
"2013-08-07","87.88"
"2013-08-06","88.18"
"2013-08-05","88.15"
"2013-08-02","88.92"
"2013-08-01","89.85"
"2013-07-31","89.05"
"2013-07-30","88.32"
"2013-07-29","90.48"
"2013-07-26","90.75"
"2013-07-25","91.05"
"2013-07-24","91.00"
"2013-07-23","92.03"
"2013-07-22","91.97"
"2013-07-19","92.09"
"2013-07-18","91.27"
"2013-07-17","89.94"
"2013-07-16","89.66"
"2013-07-15","90.51"
"2013-07-12","90.22"
"2013-07-11","90.42"
"2013-07-10","89.28"
"2013-07-09","89.94"
"2013-07-08","90.84"
"2013-07-05","90.83"
"2013-07-03","89.76"
"2013-07-02","90.57"
"2013-07-01","90.02"
"2013-06-28","89.23"
"2013-06-27","90.31"
"2013-06-26","89.25"
"2013-06-25","88.67"
"2013-06-24","88.63"
"2013-06-21","89.92"
"2013-06-20","88.94"
"2013-06-19","91.76"
"2013-06-18","92.43"
"2013-06-17","92.61"
"2013-06-14","91.89"
"2013-06-13","93.04"
"2013-06-12","90.95"
"2013-06-11","91.25"
"2013-06-10","92.29"
"2013-06-07","93.12"
"2013-06-06","92.55"
"2013-06-05","93.38"
"2013-06-04","94.26"
"2013-06-03","94.27"
"2013-05-31","92.07"
"2013-05-30","94.75"
"2013-05-29","94.55"
"2013-05-28","92.65"
"2013-05-24","90.78"
"2013-05-23","90.53"
"2013-05-22","91.10"
"2013-05-21","93.06"
"2013-05-20","93.69"
"2013-05-17","92.84"
"2013-05-16","91.03"
"2013-05-15","90.93"
"2013-05-14","91.03"
"2013-05-13","90.53"
"2013-05-10","89.17"
"2013-05-09","88.20"
"2013-05-08","89.28"
"2013-05-07","89.25"
"2013-05-06","89.36"
"2013-05-03","90.76"
"2013-05-02","88.09"
"2013-05-01","87.55"
"2013-04-30","89.26"
"2013-04-29","87.86"
"2013-04-26","86.66"
"2013-04-25","85.55"
"2013-04-24","84.33"
"2013-04-23","81.69"
"2013-04-22","80.56"
"2013-04-19","79.61"
"2013-04-18","79.91"
"2013-04-17","80.45"
"2013-04-16","81.60"
"2013-04-15","80.70"
"2013-04-12","83.39"
"2013-04-11","84.20"
"2013-04-10","81.36"
"2013-04-09","81.57"
"2013-04-08","81.12"
"2013-04-05","81.85"
"2013-04-04","81.82"
"2013-04-03","81.06"
"2013-04-02","80.68"
"2013-04-01","78.95"
"2013-03-28","78.37"
"2013-03-27","78.13"
"2013-03-26","78.01"
"2013-03-25","78.05"
"2013-03-22","78.66"
"2013-03-21","78.36"
"2013-03-20","78.63"
"2013-03-19","80.18"
"2013-03-18","82.50"
"2013-03-15","83.67"
"2013-03-14","84.40"
"2013-03-13","83.28"
"2013-03-12","83.59"
"2013-03-11","82.88"
"2013-03-08","82.40"
"2013-03-07","81.69"
"2013-03-06","81.89"
"2013-03-05","82.45"
"2013-03-04","81.64"
"2013-03-01","82.65"
"2013-02-28","82.33"
"2013-02-27","82.23"
"2013-02-26","81.78"
"2013-02-25","82.13"
"2013-02-22","83.61"
"2013-02-21","83.43"
"2013-02-20","84.51"
"2013-02-19","85.80"
"2013-02-15","84.71"
"2013-02-14","86.91"
"2013-02-13","86.94"
"2013-02-12","86.93"
"2013-02-11","87.21"
"2013-02-08","88.36"
"2013-02-07","88.17"
"2013-02-06","88.68"
"2013-02-05","88.41"
"2013-02-04","87.99"
"2013-02-01","87.68"
"2013-01-31","88.27"
"2013-01-30","85.32"
"2013-01-29","85.11"
"2013-01-28","83.84"
"2013-01-25","84.06"
"2013-01-24","83.40"
"2013-01-23","82.92"
"2013-01-22","83.60"
"2013-01-18","82.58"
"2013-01-17","82.39"
"2013-01-16","82.29"
"2013-01-15","82.49"
"2013-01-14","82.67"
"2013-01-11","83.08"
"2013-01-10","83.01"
"2013-01-09","82.11"
"2013-01-08","81.72"
"2013-01-07","79.88"
"2013-01-04","79.84"
"2013-01-03","78.47"
"2013-01-02","78.16"
"2012-12-31","76.61"
"2012-12-28","75.38"
"2012-12-27","76.94"
"2012-12-26","76.89"
"2012-12-24","77.52"
"2012-12-21","78.14"
"2012-12-20","79.02"
"2012-12-19","78.24"
"2012-12-18","78.47"
"2012-12-17","76.52"
"2012-12-14","76.17"
"2012-12-13","75.43"
"2012-12-12","76.42"
"2012-12-11","76.01"
"2012-12-10","75.35"
"2012-12-07","75.37"
"2012-12-06","74.52"
"2012-12-05","74.49"
"2012-12-04","73.69"
"2012-12-03","73.58"
"2012-11-30","75.21"
"2012-11-29","76.26"
"2012-11-28","76.20"
"2012-11-27","75.48"
"2012-11-26","75.24"
"2012-11-23","76.17"
"2012-11-21","75.11"
"2012-11-20","74.87"
"2012-11-19","75.46"
"2012-11-16","73.81"
"2012-11-15","73.92"
"2012-11-14","73.97"
"2012-11-13","74.86"
"2012-11-12","76.53"
"2012-11-09","76.65"
"2012-11-08","76.41"
"2012-11-07","77.45"
"2012-11-06","79.58"
"2012-11-05","77.83"
"2012-11-02","78.33"
"2012-11-01","79.06"
"2012-10-31","78.96"
"2012-10-26","80.44"
"2012-10-25","82.52"
"2012-10-24","80.68"
"2012-10-23","81.28"
"2012-10-22","82.81"
"2012-10-19","84.35"
"2012-10-18","85.52"
"2012-10-17","84.60"
"2012-10-16","83.17"
"2012-10-15","81.70"
"2012-10-12","81.93"
"2012-10-11","82.62"
"2012-10-10","82.22"
"2012-10-09","83.41"
"2012-10-08","84.20"
"2012-10-05","85.01"
"2012-10-04","85.39"
"2012-10-03","83.68"
"2012-10-02","85.15"
"2012-10-01","86.38"
"2012-09-28","86.06"
"2012-09-27","86.26"
"2012-09-26","85.01"
"2012-09-25","85.33"
"2012-09-24","86.81"
"2012-09-21","87.39"
"2012-09-20","87.60"
"2012-09-19","87.47"
"2012-09-18","89.25"
"2012-09-17","90.06"
"2012-09-14","91.95"
"2012-09-13","90.46"
"2012-09-12","86.86"
"2012-09-11","86.44"
"2012-09-10","86.32"
"2012-09-07","87.15"
"2012-09-06","84.30"
"2012-09-05","82.65"
"2012-09-04","83.11"
"2012-08-31","85.01"
"2012-08-30","84.28"
"2012-08-29","86.23"
"2012-08-28","87.45"
"2012-08-27","87.50"
"2012-08-24","87.90"
"2012-08-23","87.26"
"2012-08-22","88.83"
"2012-08-21","88.13"
"2012-08-20","88.62"
"2012-08-17","88.71"
"2012-08-16","89.26"
"2012-08-15","89.03"
"2012-08-14","89.89"
"2012-08-13","90.05"
"2012-08-10","91.40"
"2012-08-09","90.51"
"2012-08-08","91.14"
"2012-08-07","90.74"
"2012-08-06","88.26"
"2012-08-03","88.57"
"2012-08-02","85.65"
"2012-08-01","87.82"
