"Date","Close"
"2013-12-31","23.30"
"2013-12-30","23.38"
"2013-12-27","23.56"
"2013-12-26","23.77"
"2013-12-24","23.05"
"2013-12-23","22.96"
"2013-12-20","22.40"
"2013-12-19","22.06"
"2013-12-18","22.13"
"2013-12-17","22.06"
"2013-12-16","22.20"
"2013-12-13","22.24"
"2013-12-12","21.97"
"2013-12-11","22.04"
"2013-12-10","22.51"
"2013-12-09","22.23"
"2013-12-06","22.24"
"2013-12-05","21.55"
"2013-12-04","22.52"
"2013-12-03","22.37"
"2013-12-02","23.38"
"2013-11-29","23.17"
"2013-11-27","23.39"
"2013-11-26","23.33"
"2013-11-25","23.63"
"2013-11-22","24.09"
"2013-11-21","23.67"
"2013-11-20","23.21"
"2013-11-19","23.40"
"2013-11-18","23.34"
"2013-11-15","23.82"
"2013-11-14","22.85"
"2013-11-13","22.27"
"2013-11-12","21.89"
"2013-11-11","21.75"
"2013-11-08","21.41"
"2013-11-07","21.32"
"2013-11-06","21.81"
"2013-11-05","21.80"
"2013-11-04","21.88"
"2013-11-01","21.48"
"2013-10-31","21.34"
"2013-10-30","20.84"
"2013-10-29","20.77"
"2013-10-28","19.24"
"2013-10-25","19.45"
"2013-10-24","19.73"
"2013-10-23","19.95"
"2013-10-22","20.10"
"2013-10-21","19.96"
"2013-10-18","19.90"
"2013-10-17","19.62"
"2013-10-16","19.57"
"2013-10-15","19.22"
"2013-10-14","19.29"
"2013-10-11","19.17"
"2013-10-10","19.12"
"2013-10-09","18.50"
"2013-10-08","18.48"
"2013-10-07","18.73"
"2013-10-04","18.90"
"2013-10-03","19.07"
"2013-10-02","19.24"
"2013-10-01","18.93"
"2013-09-30","18.19"
"2013-09-27","18.06"
"2013-09-26","18.00"
"2013-09-25","18.00"
"2013-09-24","18.11"
"2013-09-23","17.98"
"2013-09-20","18.16"
"2013-09-19","18.50"
"2013-09-18","17.68"
"2013-09-17","17.45"
"2013-09-16","17.17"
"2013-09-13","17.22"
"2013-09-12","16.95"
"2013-09-11","17.14"
"2013-09-10","17.14"
"2013-09-09","17.00"
"2013-09-06","16.82"
"2013-09-05","16.65"
"2013-09-04","16.66"
"2013-09-03","16.34"
"2013-08-30","16.32"
"2013-08-29","16.67"
"2013-08-28","16.85"
"2013-08-27","16.84"
"2013-08-26","17.19"
"2013-08-23","17.33"
"2013-08-22","17.19"
"2013-08-21","17.40"
"2013-08-20","17.72"
"2013-08-19","17.56"
"2013-08-16","17.49"
"2013-08-15","17.44"
"2013-08-14","17.66"
"2013-08-13","17.79"
"2013-08-12","17.28"
"2013-08-09","17.31"
"2013-08-08","17.63"
"2013-08-07","17.71"
"2013-08-06","17.89"
"2013-08-05","17.58"
"2013-08-02","17.46"
"2013-08-01","16.91"
"2013-07-31","16.51"
"2013-07-30","16.60"
"2013-07-29","14.72"
"2013-07-26","14.42"
"2013-07-25","14.59"
"2013-07-24","14.54"
"2013-07-23","14.52"
"2013-07-22","14.61"
"2013-07-19","14.06"
"2013-07-18","14.18"
"2013-07-17","14.16"
"2013-07-16","14.00"
"2013-07-15","13.92"
"2013-07-12","13.96"
"2013-07-11","14.12"
"2013-07-10","14.29"
"2013-07-09","14.25"
"2013-07-08","14.33"
"2013-07-05","14.38"
"2013-07-03","14.20"
"2013-07-02","14.08"
"2013-07-01","14.96"
"2013-06-28","14.68"
"2013-06-27","15.19"
"2013-06-26","14.75"
"2013-06-25","14.41"
"2013-06-24","13.95"
"2013-06-21","14.10"
"2013-06-20","13.78"
"2013-06-19","14.25"
"2013-06-18","14.69"
"2013-06-17","14.51"
"2013-06-14","14.59"
"2013-06-13","14.59"
"2013-06-12","14.31"
"2013-06-11","14.77"
"2013-06-10","14.79"
"2013-06-07","14.64"
"2013-06-06","14.07"
"2013-06-05","14.49"
"2013-06-04","14.99"
"2013-06-03","14.45"
"2013-05-31","14.68"
"2013-05-30","15.01"
"2013-05-29","15.01"
"2013-05-28","15.08"
"2013-05-24","15.12"
"2013-05-23","15.06"
"2013-05-22","15.05"
"2013-05-21","15.19"
"2013-05-20","15.20"
"2013-05-17","14.79"
"2013-05-16","14.71"
"2013-05-15","14.78"
"2013-05-14","15.05"
"2013-05-13","15.01"
"2013-05-10","15.44"
"2013-05-09","15.67"
"2013-05-08","15.45"
"2013-05-07","15.41"
"2013-05-06","15.15"
"2013-05-03","15.39"
"2013-05-02","14.55"
"2013-05-01","14.28"
"2013-04-30","13.67"
"2013-04-29","16.20"
"2013-04-26","15.90"
"2013-04-25","15.07"
"2013-04-24","14.76"
"2013-04-23","14.71"
"2013-04-22","14.41"
"2013-04-19","14.31"
"2013-04-18","14.24"
"2013-04-17","14.44"
"2013-04-16","14.67"
"2013-04-15","14.42"
"2013-04-12","15.09"
"2013-04-11","15.18"
"2013-04-10","15.01"
"2013-04-09","14.95"
"2013-04-08","14.72"
"2013-04-05","14.60"
"2013-04-04","14.48"
"2013-04-03","14.37"
"2013-04-02","14.42"
"2013-04-01","14.47"
"2013-03-28","14.86"
"2013-03-27","14.93"
"2013-03-26","15.12"
"2013-03-25","15.00"
"2013-03-22","15.03"
"2013-03-21","15.17"
"2013-03-20","15.20"
"2013-03-19","15.29"
"2013-03-18","15.29"
"2013-03-15","15.24"
"2013-03-14","15.51"
"2013-03-13","14.88"
"2013-03-12","14.66"
"2013-03-11","14.23"
