"Date","Close"
"2013-12-31","46.51"
"2013-12-30","46.49"
"2013-12-27","46.40"
"2013-12-26","46.24"
"2013-12-24","46.53"
"2013-12-23","46.53"
"2013-12-20","46.37"
"2013-12-19","46.06"
"2013-12-18","46.17"
"2013-12-17","45.32"
"2013-12-16","45.21"
"2013-12-13","44.44"
"2013-12-12","44.18"
"2013-12-11","44.40"
"2013-12-10","44.70"
"2013-12-09","44.84"
"2013-12-06","44.78"
"2013-12-05","44.02"
"2013-12-04","44.00"
"2013-12-03","43.75"
"2013-12-02","43.74"
"2013-11-29","43.74"
"2013-11-27","44.36"
"2013-11-26","43.01"
"2013-11-25","43.17"
"2013-11-22","43.43"
"2013-11-21","43.66"
"2013-11-20","43.49"
"2013-11-19","43.54"
"2013-11-18","43.67"
"2013-11-15","44.06"
"2013-11-14","43.43"
"2013-11-13","43.56"
"2013-11-12","44.22"
"2013-11-11","44.81"
"2013-11-08","44.62"
"2013-11-07","44.62"
"2013-11-06","44.94"
"2013-11-05","45.02"
"2013-11-04","45.97"
"2013-11-01","46.00"
"2013-10-31","45.40"
"2013-10-30","45.40"
"2013-10-29","46.37"
"2013-10-28","49.63"
"2013-10-25","49.91"
"2013-10-24","49.48"
"2013-10-23","49.27"
"2013-10-22","49.35"
"2013-10-21","48.82"
"2013-10-18","48.82"
"2013-10-17","49.09"
"2013-10-16","48.53"
"2013-10-15","47.41"
"2013-10-14","47.74"
"2013-10-11","47.55"
"2013-10-10","47.00"
"2013-10-09","45.59"
"2013-10-08","45.40"
"2013-10-07","46.14"
"2013-10-04","46.38"
"2013-10-03","46.58"
"2013-10-02","47.45"
"2013-10-01","47.74"
"2013-09-30","46.83"
"2013-09-27","47.07"
"2013-09-26","47.30"
"2013-09-25","46.68"
"2013-09-24","47.05"
"2013-09-23","46.94"
"2013-09-20","47.78"
"2013-09-19","48.85"
"2013-09-18","47.87"
"2013-09-17","46.33"
"2013-09-16","46.59"
"2013-09-13","46.05"
"2013-09-12","45.94"
"2013-09-11","46.04"
"2013-09-10","45.73"
"2013-09-09","45.75"
"2013-09-06","44.66"
"2013-09-05","44.01"
"2013-09-04","43.82"
"2013-09-03","43.72"
"2013-08-30","44.31"
"2013-08-29","44.55"
"2013-08-28","44.16"
"2013-08-27","44.47"
"2013-08-26","44.87"
"2013-08-23","45.11"
"2013-08-22","44.74"
"2013-08-21","44.51"
"2013-08-20","44.59"
"2013-08-19","43.74"
"2013-08-16","44.50"
"2013-08-15","44.90"
"2013-08-14","46.28"
"2013-08-13","46.34"
"2013-08-12","47.18"
"2013-08-09","47.73"
"2013-08-08","47.16"
"2013-08-07","47.35"
"2013-08-06","47.66"
"2013-08-05","48.06"
"2013-08-02","48.48"
"2013-08-01","48.65"
"2013-07-31","48.78"
"2013-07-30","49.20"
"2013-07-29","48.69"
"2013-07-26","49.11"
"2013-07-25","48.98"
"2013-07-24","48.75"
"2013-07-23","49.53"
"2013-07-22","49.69"
"2013-07-19","49.70"
"2013-07-18","49.74"
"2013-07-17","48.99"
"2013-07-16","48.90"
"2013-07-15","48.64"
"2013-07-12","48.48"
"2013-07-11","48.53"
"2013-07-10","47.41"
"2013-07-09","47.48"
"2013-07-08","46.98"
"2013-07-05","46.48"
"2013-07-03","46.39"
"2013-07-02","46.65"
"2013-07-01","46.12"
"2013-06-28","46.67"
"2013-06-27","46.64"
"2013-06-26","46.07"
"2013-06-25","45.84"
"2013-06-24","45.01"
"2013-06-21","45.29"
"2013-06-20","44.51"
"2013-06-19","45.23"
"2013-06-18","47.44"
"2013-06-17","47.55"
"2013-06-14","47.28"
"2013-06-13","47.79"
"2013-06-12","46.70"
"2013-06-11","47.52"
"2013-06-10","47.71"
"2013-06-07","48.32"
"2013-06-06","47.56"
"2013-06-05","46.97"
"2013-06-04","47.51"
"2013-06-03","48.35"
"2013-05-31","47.70"
"2013-05-30","47.77"
"2013-05-29","49.01"
"2013-05-28","50.76"
"2013-05-24","51.83"
"2013-05-23","52.29"
"2013-05-22","53.25"
"2013-05-21","54.32"
"2013-05-20","54.40"
"2013-05-17","54.04"
"2013-05-16","53.17"
"2013-05-15","53.25"
"2013-05-14","53.00"
"2013-05-13","52.48"
"2013-05-10","52.21"
"2013-05-09","52.07"
"2013-05-08","52.12"
"2013-05-07","51.50"
"2013-05-06","51.35"
"2013-05-03","51.13"
"2013-05-02","50.93"
"2013-05-01","50.82"
"2013-04-30","51.54"
"2013-04-29","53.30"
"2013-04-26","53.14"
"2013-04-25","53.40"
"2013-04-24","53.38"
"2013-04-23","52.95"
"2013-04-22","52.51"
"2013-04-19","52.29"
"2013-04-18","51.28"
"2013-04-17","50.67"
"2013-04-16","51.41"
"2013-04-15","50.31"
"2013-04-12","51.99"
"2013-04-11","51.88"
"2013-04-10","51.80"
"2013-04-09","51.48"
"2013-04-08","51.88"
"2013-04-05","51.23"
"2013-04-04","51.60"
"2013-04-03","51.05"
"2013-04-02","51.99"
"2013-04-01","51.78"
"2013-03-28","52.20"
"2013-03-27","51.60"
"2013-03-26","51.10"
"2013-03-25","50.33"
"2013-03-22","50.48"
"2013-03-21","50.19"
"2013-03-20","50.12"
"2013-03-19","49.66"
"2013-03-18","49.63"
"2013-03-15","49.77"
"2013-03-14","49.88"
"2013-03-13","49.60"
"2013-03-12","49.70"
"2013-03-11","49.94"
"2013-03-08","49.18"
"2013-03-07","49.02"
"2013-03-06","48.80"
"2013-03-05","49.46"
"2013-03-04","49.11"
"2013-03-01","48.69"
"2013-02-28","48.50"
"2013-02-27","48.69"
"2013-02-26","47.86"
"2013-02-25","47.27"
"2013-02-22","48.18"
"2013-02-21","47.59"
"2013-02-20","47.71"
"2013-02-19","48.24"
"2013-02-15","47.88"
"2013-02-14","47.80"
"2013-02-13","47.86"
"2013-02-12","48.36"
"2013-02-11","48.30"
"2013-02-08","48.44"
"2013-02-07","48.20"
"2013-02-06","48.54"
"2013-02-05","48.30"
"2013-02-04","48.14"
"2013-02-01","48.19"
"2013-01-31","48.18"
"2013-01-30","48.35"
"2013-01-29","49.09"
"2013-01-28","47.31"
"2013-01-25","47.31"
"2013-01-24","48.00"
"2013-01-23","47.63"
"2013-01-22","47.56"
"2013-01-18","47.32"
"2013-01-17","47.04"
"2013-01-16","46.74"
"2013-01-15","47.01"
"2013-01-14","46.67"
"2013-01-11","46.39"
"2013-01-10","46.60"
"2013-01-09","46.27"
"2013-01-08","45.94"
"2013-01-07","45.98"
"2013-01-04","45.99"
"2013-01-03","45.51"
"2013-01-02","45.40"
"2012-12-31","44.37"
"2012-12-28","43.86"
"2012-12-27","44.39"
"2012-12-26","44.29"
"2012-12-24","44.54"
"2012-12-21","44.25"
"2012-12-20","44.82"
"2012-12-19","44.23"
"2012-12-18","44.33"
"2012-12-17","43.48"
"2012-12-14","42.54"
"2012-12-13","42.85"
"2012-12-12","42.94"
"2012-12-11","42.80"
"2012-12-10","42.75"
"2012-12-07","43.20"
"2012-12-06","42.57"
"2012-12-05","42.29"
"2012-12-04","42.39"
"2012-12-03","42.52"
"2012-11-30","42.85"
"2012-11-29","42.39"
"2012-11-28","42.19"
"2012-11-27","41.74"
"2012-11-26","42.03"
"2012-11-23","42.04"
"2012-11-21","41.82"
"2012-11-20","41.94"
"2012-11-19","41.64"
"2012-11-16","41.31"
"2012-11-15","40.85"
"2012-11-14","41.20"
"2012-11-13","42.67"
"2012-11-12","42.68"
"2012-11-09","42.62"
"2012-11-08","42.85"
"2012-11-07","43.32"
"2012-11-06","43.62"
"2012-11-05","43.07"
"2012-11-02","43.11"
"2012-11-01","42.79"
"2012-10-31","43.90"
"2012-10-26","43.81"
"2012-10-25","44.01"
"2012-10-24","44.19"
"2012-10-23","43.94"
"2012-10-22","44.23"
"2012-10-19","44.08"
"2012-10-18","44.51"
"2012-10-17","44.15"
"2012-10-16","43.88"
"2012-10-15","43.54"
"2012-10-12","42.94"
"2012-10-11","42.46"
"2012-10-10","42.31"
"2012-10-09","42.44"
"2012-10-08","42.62"
"2012-10-05","42.60"
"2012-10-04","42.39"
"2012-10-03","42.51"
"2012-10-02","42.94"
"2012-10-01","42.99"
"2012-09-28","43.84"
"2012-09-27","44.16"
"2012-09-26","44.07"
"2012-09-25","44.34"
"2012-09-24","44.66"
"2012-09-21","44.76"
"2012-09-20","44.29"
"2012-09-19","43.97"
"2012-09-18","43.74"
"2012-09-17","43.67"
"2012-09-14","43.68"
"2012-09-13","42.65"
"2012-09-12","41.77"
"2012-09-11","41.01"
"2012-09-10","41.13"
"2012-09-07","41.23"
"2012-09-06","41.22"
"2012-09-05","40.98"
"2012-09-04","41.10"
"2012-08-31","40.93"
"2012-08-30","40.70"
"2012-08-29","40.85"
"2012-08-28","40.72"
"2012-08-27","40.78"
"2012-08-24","40.53"
"2012-08-23","40.34"
"2012-08-22","40.61"
"2012-08-21","40.63"
"2012-08-20","40.62"
"2012-08-17","40.55"
"2012-08-16","40.40"
"2012-08-15","40.20"
"2012-08-14","40.64"
"2012-08-13","40.40"
"2012-08-10","40.27"
"2012-08-09","40.15"
"2012-08-08","40.33"
"2012-08-07","40.41"
"2012-08-06","40.29"
"2012-08-03","40.62"
"2012-08-02","40.25"
"2012-08-01","40.41"
"2012-07-31","40.59"
"2012-07-30","40.63"
"2012-07-27","40.52"
"2012-07-26","39.94"
"2012-07-25","39.50"
"2012-07-24","39.45"
"2012-07-23","39.99"
"2012-07-20","39.96"
"2012-07-19","40.46"
"2012-07-18","40.79"
"2012-07-17","41.20"
"2012-07-16","40.76"
"2012-07-13","40.56"
"2012-07-12","39.98"
"2012-07-11","39.92"
"2012-07-10","39.52"
"2012-07-09","40.03"
"2012-07-06","40.00"
"2012-07-05","39.80"
"2012-07-03","40.34"
"2012-07-02","39.92"
"2012-06-29","39.70"
"2012-06-28","38.88"
"2012-06-27","38.60"
"2012-06-26","37.94"
"2012-06-25","37.80"
"2012-06-22","38.23"
"2012-06-21","38.04"
"2012-06-20","38.60"
"2012-06-19","38.55"
"2012-06-18","37.87"
"2012-06-15","37.62"
"2012-06-14","37.40"
"2012-06-13","37.18"
"2012-06-12","37.25"
"2012-06-11","36.83"
"2012-06-08","37.36"
"2012-06-07","36.96"
"2012-06-06","37.06"
"2012-06-05","36.36"
"2012-06-04","35.78"
"2012-06-01","36.00"
"2012-05-31","36.50"
"2012-05-30","36.29"
"2012-05-29","37.10"
"2012-05-25","36.71"
"2012-05-24","37.02"
"2012-05-23","37.26"
"2012-05-22","36.95"
"2012-05-21","36.96"
"2012-05-18","36.39"
"2012-05-17","36.65"
"2012-05-16","37.65"
"2012-05-15","38.25"
"2012-05-14","38.34"
"2012-05-11","38.64"
"2012-05-10","38.67"
"2012-05-09","38.81"
"2012-05-08","39.00"
"2012-05-07","39.17"
"2012-05-04","38.75"
"2012-05-03","39.12"
"2012-05-02","39.23"
"2012-05-01","39.97"
"2012-04-30","42.04"
"2012-04-27","41.89"
"2012-04-26","41.90"
"2012-04-25","41.74"
"2012-04-24","41.48"
"2012-04-23","40.79"
"2012-04-20","41.38"
"2012-04-19","41.03"
"2012-04-18","41.16"
"2012-04-17","41.43"
"2012-04-16","41.10"
"2012-04-13","40.84"
"2012-04-12","41.43"
"2012-04-11","40.81"
"2012-04-10","40.40"
"2012-04-09","41.07"
"2012-04-05","41.55"
"2012-04-04","41.49"
"2012-04-03","41.64"
"2012-04-02","41.94"
"2012-03-30","41.56"
"2012-03-29","41.52"
"2012-03-28","41.68"
"2012-03-27","41.45"
"2012-03-26","41.51"
"2012-03-23","41.20"
"2012-03-22","41.36"
"2012-03-21","41.42"
"2012-03-20","41.52"
"2012-03-19","41.56"
"2012-03-16","41.43"
"2012-03-15","41.44"
"2012-03-14","41.34"
"2012-03-13","41.30"
"2012-03-12","40.55"
"2012-03-09","40.20"
"2012-03-08","39.79"
"2012-03-07","39.52"
"2012-03-06","39.46"
"2012-03-05","39.78"
"2012-03-02","39.62"
"2012-03-01","39.44"
"2012-02-29","39.16"
"2012-02-28","39.15"
"2012-02-27","39.20"
"2012-02-24","39.05"
"2012-02-23","38.92"
"2012-02-22","38.45"
"2012-02-21","38.60"
"2012-02-17","38.90"
"2012-02-16","38.85"
"2012-02-15","38.48"
"2012-02-14","39.47"
"2012-02-13","39.66"
"2012-02-10","39.18"
"2012-02-09","39.35"
"2012-02-08","39.56"
"2012-02-07","39.51"
"2012-02-06","39.88"
"2012-02-03","39.68"
"2012-02-02","39.04"
"2012-02-01","38.94"
"2012-01-31","38.78"
"2012-01-30","40.08"
"2012-01-27","40.47"
"2012-01-26","40.36"
"2012-01-25","40.03"
"2012-01-24","39.73"
"2012-01-23","39.67"
"2012-01-20","39.80"
"2012-01-19","39.86"
"2012-01-18","39.32"
"2012-01-17","38.82"
"2012-01-13","38.81"
"2012-01-12","38.79"
"2012-01-11","38.49"
"2012-01-10","37.89"
"2012-01-09","37.51"
"2012-01-06","37.47"
"2012-01-05","37.39"
"2012-01-04","36.64"
"2012-01-03","36.86"
"2011-12-30","36.56"
"2011-12-29","37.05"
"2011-12-28","36.62"
"2011-12-27","36.89"
"2011-12-23","36.90"
"2011-12-22","36.51"
"2011-12-21","36.08"
"2011-12-20","35.79"
"2011-12-19","34.80"
"2011-12-16","35.25"
"2011-12-15","35.35"
"2011-12-14","34.85"
"2011-12-13","34.69"
"2011-12-12","35.24"
"2011-12-09","35.99"
"2011-12-08","35.29"
"2011-12-07","36.44"
"2011-12-06","36.11"
"2011-12-05","36.31"
"2011-12-02","36.37"
"2011-12-01","36.52"
"2011-11-30","36.84"
"2011-11-29","35.17"
"2011-11-28","35.17"
"2011-11-25","34.64"
"2011-11-23","34.31"
"2011-11-22","34.97"
"2011-11-21","35.27"
"2011-11-18","36.15"
"2011-11-17","35.93"
"2011-11-16","36.26"
"2011-11-15","36.22"
"2011-11-14","36.12"
"2011-11-11","36.79"
"2011-11-10","36.15"
"2011-11-09","36.60"
"2011-11-08","37.66"
"2011-11-07","37.20"
"2011-11-04","37.27"
"2011-11-03","37.50"
"2011-11-02","36.89"
"2011-11-01","36.63"
"2011-10-31","37.66"
"2011-10-28","38.47"
"2011-10-27","38.28"
"2011-10-26","37.15"
"2011-10-25","36.93"
"2011-10-24","36.66"
"2011-10-21","36.05"
"2011-10-20","35.22"
"2011-10-19","35.06"
"2011-10-18","35.58"
"2011-10-17","35.03"
"2011-10-14","35.77"
"2011-10-13","35.03"
"2011-10-12","35.80"
"2011-10-11","35.74"
"2011-10-10","36.34"
"2011-10-07","34.77"
"2011-10-06","35.60"
"2011-10-05","35.12"
"2011-10-04","35.22"
"2011-10-03","33.75"
"2011-09-30","34.71"
"2011-09-29","35.60"
"2011-09-28","34.72"
"2011-09-27","35.44"
"2011-09-26","35.30"
"2011-09-23","34.83"
"2011-09-22","34.80"
"2011-09-21","35.45"
"2011-09-20","36.72"
"2011-09-19","36.65"
"2011-09-16","37.33"
"2011-09-15","36.94"
"2011-09-14","36.48"
"2011-09-13","35.60"
"2011-09-12","35.39"
"2011-09-09","35.48"
"2011-09-08","36.42"
"2011-09-07","36.73"
"2011-09-06","35.56"
"2011-09-02","35.82"
"2011-09-01","36.95"
"2011-08-31","37.97"
"2011-08-30","37.52"
"2011-08-29","37.43"
"2011-08-26","36.34"
"2011-08-25","35.54"
"2011-08-24","36.15"
"2011-08-23","35.72"
"2011-08-22","34.79"
"2011-08-19","34.62"
"2011-08-18","34.98"
"2011-08-17","36.32"
"2011-08-16","36.16"
"2011-08-15","36.72"
"2011-08-12","35.95"
"2011-08-11","36.98"
"2011-08-10","35.25"
"2011-08-09","36.43"
"2011-08-08","34.88"
"2011-08-05","36.51"
"2011-08-04","36.19"
"2011-08-03","37.49"
"2011-08-02","37.52"
"2011-08-01","38.04"
"2011-07-29","38.22"
"2011-07-28","38.41"
"2011-07-27","38.50"
"2011-07-26","39.03"
"2011-07-25","40.46"
"2011-07-22","40.68"
"2011-07-21","41.19"
"2011-07-20","40.87"
"2011-07-19","40.88"
"2011-07-18","40.20"
"2011-07-15","40.50"
"2011-07-14","40.14"
"2011-07-13","40.63"
"2011-07-12","40.68"
"2011-07-11","40.69"
"2011-07-08","41.15"
"2011-07-07","41.39"
"2011-07-06","41.11"
"2011-07-05","41.08"
"2011-07-01","41.31"
"2011-06-30","40.54"
