"Date","Close"
"2013-12-31","41.20"
"2013-12-30","41.18"
"2013-12-27","41.09"
"2013-12-26","40.89"
"2013-12-24","40.89"
"2013-12-23","40.78"
"2013-12-20","40.50"
"2013-12-19","40.52"
"2013-12-18","40.63"
"2013-12-17","40.15"
"2013-12-16","40.36"
"2013-12-13","40.34"
"2013-12-12","40.50"
"2013-12-11","40.79"
"2013-12-10","41.80"
"2013-12-09","41.53"
"2013-12-06","41.76"
"2013-12-05","40.97"
"2013-12-04","41.02"
"2013-12-03","41.32"
"2013-12-02","41.34"
"2013-11-29","41.49"
"2013-11-27","41.35"
"2013-11-26","41.57"
"2013-11-25","41.95"
"2013-11-22","41.73"
"2013-11-21","41.11"
"2013-11-20","42.60"
"2013-11-19","42.88"
"2013-11-18","43.14"
"2013-11-15","43.68"
"2013-11-14","44.27"
"2013-11-13","43.71"
"2013-11-12","43.24"
"2013-11-11","43.24"
"2013-11-08","43.25"
"2013-11-07","42.82"
"2013-11-06","43.10"
"2013-11-05","42.79"
"2013-11-04","43.17"
"2013-11-01","42.64"
"2013-10-31","42.51"
"2013-10-30","42.32"
"2013-10-29","42.30"
"2013-10-28","41.73"
"2013-10-25","41.58"
"2013-10-24","41.48"
"2013-10-23","41.45"
"2013-10-22","41.42"
"2013-10-21","41.40"
"2013-10-18","41.48"
"2013-10-17","40.97"
"2013-10-16","40.46"
"2013-10-15","39.82"
"2013-10-14","40.46"
"2013-10-11","40.39"
"2013-10-10","40.47"
"2013-10-09","40.44"
"2013-10-08","39.59"
"2013-10-07","39.91"
"2013-10-04","40.17"
"2013-10-03","39.88"
"2013-10-02","40.00"
"2013-10-01","40.36"
"2013-09-30","40.19"
"2013-09-27","39.97"
"2013-09-26","40.30"
"2013-09-25","40.14"
"2013-09-24","40.35"
"2013-09-23","40.73"
"2013-09-20","40.78"
"2013-09-19","41.20"
"2013-09-18","41.31"
"2013-09-17","41.28"
"2013-09-16","41.24"
"2013-09-13","40.93"
"2013-09-12","41.00"
"2013-09-11","40.99"
"2013-09-10","40.65"
"2013-09-09","40.26"
"2013-09-06","40.03"
"2013-09-05","40.07"
"2013-09-04","40.01"
"2013-09-03","39.83"
"2013-08-30","39.88"
"2013-08-29","39.98"
"2013-08-28","39.80"
"2013-08-27","39.96"
"2013-08-26","40.45"
"2013-08-23","41.01"
"2013-08-22","40.65"
"2013-08-21","41.65"
"2013-08-20","41.87"
"2013-08-19","41.47"
"2013-08-16","41.52"
"2013-08-15","41.59"
"2013-08-14","42.35"
"2013-08-13","42.60"
"2013-08-12","42.32"
"2013-08-09","42.09"
"2013-08-08","42.27"
"2013-08-07","41.79"
"2013-08-06","41.80"
"2013-08-05","41.77"
"2013-08-02","41.84"
"2013-08-01","41.64"
"2013-07-31","40.89"
"2013-07-30","40.74"
"2013-07-29","40.52"
"2013-07-26","40.59"
"2013-07-25","40.55"
"2013-07-24","40.13"
"2013-07-23","40.40"
"2013-07-22","40.47"
"2013-07-19","40.35"
"2013-07-18","40.27"
"2013-07-17","39.83"
"2013-07-16","39.75"
"2013-07-15","39.85"
"2013-07-12","39.65"
"2013-07-11","39.38"
"2013-07-10","39.10"
"2013-07-09","38.57"
"2013-07-08","38.32"
"2013-07-05","37.97"
"2013-07-03","37.74"
"2013-07-02","37.86"
"2013-07-01","37.73"
"2013-06-28","37.60"
"2013-06-27","37.58"
"2013-06-26","37.20"
"2013-06-25","37.30"
"2013-06-24","37.24"
"2013-06-21","37.42"
"2013-06-20","37.31"
"2013-06-19","38.31"
"2013-06-18","39.08"
"2013-06-17","39.21"
"2013-06-14","38.76"
"2013-06-13","39.05"
"2013-06-12","38.67"
"2013-06-11","39.07"
"2013-06-10","39.24"
"2013-06-07","38.98"
"2013-06-06","38.41"
"2013-06-05","38.40"
"2013-06-04","38.99"
"2013-06-03","39.21"
"2013-05-31","39.08"
"2013-05-30","39.08"
"2013-05-29","38.93"
"2013-05-28","39.70"
"2013-05-24","39.20"
"2013-05-23","39.55"
"2013-05-22","39.00"
"2013-05-21","39.23"
"2013-05-20","38.79"
"2013-05-17","38.68"
"2013-05-16","38.72"
"2013-05-15","38.91"
"2013-05-14","38.67"
"2013-05-13","38.45"
"2013-05-10","38.79"
"2013-05-09","38.79"
"2013-05-08","38.86"
"2013-05-07","38.54"
"2013-05-06","38.49"
"2013-05-03","38.44"
"2013-05-02","38.16"
"2013-05-01","37.67"
"2013-04-30","37.95"
"2013-04-29","37.70"
"2013-04-26","37.47"
"2013-04-25","37.73"
"2013-04-24","37.65"
"2013-04-23","37.28"
"2013-04-22","37.07"
"2013-04-19","37.20"
"2013-04-18","36.47"
"2013-04-17","36.73"
"2013-04-16","37.28"
"2013-04-15","36.67"
"2013-04-12","37.28"
"2013-04-11","37.29"
"2013-04-10","36.72"
"2013-04-09","36.59"
"2013-04-08","37.29"
"2013-04-05","36.86"
"2013-04-04","37.22"
"2013-04-03","37.01"
"2013-04-02","37.67"
"2013-04-01","37.79"
"2013-03-28","38.04"
"2013-03-27","37.65"
"2013-03-26","37.49"
"2013-03-25","37.50"
"2013-03-22","37.74"
"2013-03-21","37.61"
"2013-03-20","37.99"
"2013-03-19","37.57"
"2013-03-18","37.02"
"2013-03-15","37.21"
"2013-03-14","37.45"
"2013-03-13","37.38"
"2013-03-12","37.18"
"2013-03-11","37.17"
"2013-03-08","36.85"
"2013-03-07","36.56"
"2013-03-06","36.44"
"2013-03-05","36.48"
"2013-03-04","36.32"
"2013-03-01","36.45"
"2013-02-28","36.34"
"2013-02-27","36.18"
"2013-02-26","35.79"
"2013-02-25","35.78"
"2013-02-22","36.04"
"2013-02-21","35.69"
"2013-02-20","37.05"
"2013-02-19","37.22"
"2013-02-15","37.22"
"2013-02-14","37.08"
"2013-02-13","37.15"
"2013-02-12","37.34"
"2013-02-11","37.07"
"2013-02-08","37.31"
"2013-02-07","37.26"
"2013-02-06","37.14"
"2013-02-05","36.81"
"2013-02-04","36.66"
"2013-02-01","36.86"
"2013-01-31","36.13"
"2013-01-30","36.22"
"2013-01-29","36.36"
"2013-01-28","36.45"
"2013-01-25","36.64"
"2013-01-24","36.51"
