"Date","Close"
"2013-12-31","72.75"
"2013-12-30","73.17"
"2013-12-27","72.93"
"2013-12-26","73.27"
"2013-12-24","73.30"
"2013-12-23","72.68"
"2013-12-20","72.55"
"2013-12-19","72.19"
"2013-12-18","72.10"
"2013-12-17","71.47"
"2013-12-16","72.42"
"2013-12-13","72.36"
"2013-12-12","72.61"
"2013-12-11","72.92"
"2013-12-10","73.14"
"2013-12-09","72.84"
"2013-12-06","73.38"
"2013-12-05","72.96"
"2013-12-04","72.57"
"2013-12-03","72.69"
"2013-12-02","72.52"
"2013-11-29","74.11"
"2013-11-27","73.52"
"2013-11-26","74.04"
"2013-11-25","74.07"
"2013-11-22","73.53"
"2013-11-21","74.60"
"2013-11-20","73.54"
"2013-11-19","74.00"
"2013-11-18","74.50"
"2013-11-15","74.64"
"2013-11-14","73.32"
"2013-11-13","72.94"
"2013-11-12","73.02"
"2013-11-11","73.08"
"2013-11-08","72.54"
"2013-11-07","72.54"
"2013-11-06","73.08"
"2013-11-05","72.32"
"2013-11-04","71.98"
"2013-11-01","71.94"
"2013-10-31","72.75"
"2013-10-30","72.80"
"2013-10-29","73.40"
"2013-10-28","73.40"
"2013-10-25","73.00"
"2013-10-24","72.64"
"2013-10-23","72.73"
"2013-10-22","72.45"
"2013-10-21","71.49"
"2013-10-18","72.20"
"2013-10-17","71.86"
"2013-10-16","72.59"
"2013-10-15","72.00"
"2013-10-14","72.78"
"2013-10-11","73.73"
"2013-10-10","72.92"
"2013-10-09","71.91"
"2013-10-08","74.10"
"2013-10-07","75.49"
"2013-10-04","75.90"
"2013-10-03","76.15"
"2013-10-02","76.80"
"2013-10-01","77.32"
"2013-09-30","76.26"
"2013-09-27","76.62"
"2013-09-26","74.54"
"2013-09-25","73.98"
"2013-09-24","74.33"
"2013-09-23","73.79"
"2013-09-20","73.74"
"2013-09-19","74.09"
"2013-09-18","73.76"
"2013-09-17","73.52"
"2013-09-16","72.95"
"2013-09-13","72.65"
"2013-09-12","72.37"
"2013-09-11","73.05"
"2013-09-10","71.71"
"2013-09-09","70.72"
"2013-09-06","69.65"
"2013-09-05","69.87"
"2013-09-04","69.92"
"2013-09-03","70.28"
"2013-08-30","70.43"
"2013-08-29","71.00"
"2013-08-28","70.30"
"2013-08-27","70.05"
"2013-08-26","70.39"
"2013-08-23","70.95"
"2013-08-22","71.99"
"2013-08-21","71.00"
"2013-08-20","75.00"
"2013-08-19","74.42"
"2013-08-16","73.46"
"2013-08-15","74.00"
"2013-08-14","74.51"
"2013-08-13","74.60"
"2013-08-12","74.76"
"2013-08-09","74.02"
"2013-08-08","73.76"
"2013-08-07","73.25"
"2013-08-06","73.78"
"2013-08-05","74.91"
"2013-08-02","74.66"
"2013-08-01","74.29"
"2013-07-31","73.22"
"2013-07-30","72.69"
"2013-07-29","72.31"
"2013-07-26","71.96"
"2013-07-25","72.05"
"2013-07-24","71.15"
"2013-07-23","71.77"
