"Date","Close"
"2013-12-31","27.27"
"2013-12-30","27.16"
"2013-12-27","27.07"
"2013-12-26","27.07"
"2013-12-24","26.93"
"2013-12-23","26.83"
"2013-12-20","26.82"
"2013-12-19","26.70"
"2013-12-18","26.51"
"2013-12-17","26.16"
"2013-12-16","26.32"
"2013-12-13","26.24"
"2013-12-12","26.52"
"2013-12-11","27.00"
"2013-12-10","27.34"
"2013-12-09","27.51"
"2013-12-06","27.53"
"2013-12-05","27.14"
"2013-12-04","27.45"
"2013-12-03","27.90"
"2013-12-02","28.14"
"2013-11-29","27.93"
"2013-11-27","27.97"
"2013-11-26","28.02"
"2013-11-25","27.75"
"2013-11-22","27.67"
"2013-11-21","27.63"
"2013-11-20","27.30"
"2013-11-19","27.31"
"2013-11-18","27.26"
"2013-11-15","27.40"
"2013-11-14","27.39"
"2013-11-13","27.07"
"2013-11-12","26.52"
"2013-11-11","26.52"
"2013-11-08","26.58"
"2013-11-07","26.16"
"2013-11-06","26.52"
"2013-11-05","26.24"
"2013-11-04","26.19"
"2013-11-01","26.02"
"2013-10-31","25.97"
"2013-10-30","26.16"
"2013-10-29","26.25"
"2013-10-28","26.24"
"2013-10-25","26.45"
"2013-10-24","26.84"
"2013-10-23","26.96"
"2013-10-22","26.76"
"2013-10-21","27.16"
"2013-10-18","27.14"
"2013-10-17","27.13"
"2013-10-16","27.09"
"2013-10-15","26.62"
"2013-10-14","26.76"
"2013-10-11","26.74"
"2013-10-10","26.94"
"2013-10-09","26.53"
"2013-10-08","26.60"
"2013-10-07","27.04"
"2013-10-04","27.35"
"2013-10-03","27.18"
"2013-10-02","27.28"
"2013-10-01","27.35"
"2013-09-30","27.23"
"2013-09-27","27.32"
"2013-09-26","27.35"
"2013-09-25","27.27"
"2013-09-24","27.06"
"2013-09-23","26.98"
"2013-09-20","26.98"
"2013-09-19","27.00"
"2013-09-18","26.72"
"2013-09-17","26.32"
"2013-09-16","26.23"
"2013-09-13","25.93"
"2013-09-12","25.95"
"2013-09-11","26.51"
"2013-09-10","25.98"
"2013-09-09","25.91"
"2013-09-06","25.49"
"2013-09-05","25.38"
"2013-09-04","25.32"
"2013-09-03","25.25"
"2013-08-30","25.07"
"2013-08-29","25.19"
"2013-08-28","25.00"
"2013-08-27","24.99"
"2013-08-26","25.51"
"2013-08-23","25.49"
"2013-08-22","25.46"
"2013-08-21","25.21"
"2013-08-20","25.25"
"2013-08-19","25.02"
"2013-08-16","25.14"
"2013-08-15","25.35"
"2013-08-14","25.74"
"2013-08-13","25.74"
"2013-08-12","25.53"
"2013-08-09","25.72"
"2013-08-08","25.66"
"2013-08-07","25.64"
"2013-08-06","25.96"
"2013-08-05","26.01"
"2013-08-02","26.20"
"2013-08-01","26.43"
"2013-07-31","26.01"
"2013-07-30","25.91"
"2013-07-29","25.96"
"2013-07-26","26.00"
"2013-07-25","25.91"
"2013-07-24","25.85"
"2013-07-23","26.09"
"2013-07-22","26.38"
"2013-07-19","26.30"
"2013-07-18","25.97"
"2013-07-17","25.73"
"2013-07-16","25.69"
"2013-07-15","25.78"
"2013-07-12","25.97"
"2013-07-11","25.74"
"2013-07-10","26.02"
"2013-07-09","26.11"
"2013-07-08","26.16"
"2013-07-05","25.94"
"2013-07-03","25.45"
"2013-07-02","25.46"
"2013-07-01","25.59"
"2013-06-28","25.42"
"2013-06-27","25.25"
"2013-06-26","24.92"
"2013-06-25","24.34"
"2013-06-24","24.10"
"2013-06-21","24.55"
"2013-06-20","24.61"
"2013-06-19","25.01"
"2013-06-18","25.30"
"2013-06-17","25.02"
"2013-06-14","24.70"
"2013-06-13","24.83"
"2013-06-12","24.65"
"2013-06-11","24.65"
"2013-06-10","24.78"
"2013-06-07","24.79"
"2013-06-06","24.48"
"2013-06-05","24.53"
"2013-06-04","25.02"
"2013-06-03","25.14"
"2013-05-31","25.49"
"2013-05-30","25.78"
"2013-05-29","25.87"
"2013-05-28","25.96"
"2013-05-24","25.81"
"2013-05-23","25.83"
"2013-05-22","25.88"
"2013-05-21","26.13"
"2013-05-20","26.20"
"2013-05-17","26.19"
"2013-05-16","26.16"
"2013-05-15","26.32"
"2013-05-14","26.09"
"2013-05-13","25.70"
"2013-05-10","25.72"
"2013-05-09","25.58"
"2013-05-08","25.60"
"2013-05-07","25.42"
"2013-05-06","25.28"
"2013-05-03","25.05"
"2013-05-02","25.12"
"2013-05-01","25.09"
"2013-04-30","25.29"
"2013-04-29","25.24"
"2013-04-26","25.19"
"2013-04-25","25.40"
"2013-04-24","25.33"
"2013-04-23","25.31"
"2013-04-22","24.95"
"2013-04-19","24.74"
"2013-04-18","24.47"
"2013-04-17","24.68"
"2013-04-16","24.99"
"2013-04-15","24.94"
"2013-04-12","25.59"
"2013-04-11","25.72"
"2013-04-10","25.42"
"2013-04-09","25.76"
"2013-04-08","25.63"
