"Date","Close"
"2013-12-31","128.64"
"2013-12-30","128.88"
"2013-12-27","128.11"
"2013-12-26","127.88"
"2013-12-24","127.21"
"2013-12-23","126.20"
"2013-12-20","126.21"
"2013-12-19","123.87"
"2013-12-18","122.50"
"2013-12-17","119.92"
"2013-12-16","120.48"
"2013-12-13","118.97"
"2013-12-12","118.27"
"2013-12-11","117.99"
"2013-12-10","119.69"
"2013-12-09","120.79"
"2013-12-06","121.10"
"2013-12-05","116.51"
"2013-12-04","116.71"
"2013-12-03","116.54"
"2013-12-02","117.24"
"2013-11-29","117.84"
"2013-11-27","118.25"
"2013-11-26","117.78"
"2013-11-25","118.68"
"2013-11-22","118.62"
"2013-11-21","116.71"
"2013-11-20","114.83"
"2013-11-19","115.36"
"2013-11-18","116.92"
"2013-11-15","117.61"
"2013-11-14","116.83"
"2013-11-13","117.00"
"2013-11-12","116.11"
"2013-11-11","116.50"
"2013-11-08","116.13"
"2013-11-07","114.53"
"2013-11-06","115.94"
"2013-11-05","115.94"
"2013-11-04","116.31"
"2013-11-01","115.99"
"2013-10-31","116.72"
"2013-10-30","115.62"
"2013-10-29","116.85"
"2013-10-28","116.47"
"2013-10-25","116.42"
"2013-10-24","114.41"
"2013-10-23","113.57"
"2013-10-22","114.31"
"2013-10-21","115.06"
"2013-10-18","112.41"
"2013-10-17","106.82"
"2013-10-16","105.64"
"2013-10-15","105.64"
"2013-10-14","107.96"
"2013-10-11","107.78"
"2013-10-10","107.06"
"2013-10-09","103.97"
"2013-10-08","104.28"
"2013-10-07","106.26"
"2013-10-04","107.58"
"2013-10-03","106.97"
"2013-10-02","108.84"
"2013-10-01","109.35"
"2013-09-30","108.72"
"2013-09-27","108.95"
"2013-09-26","109.92"
"2013-09-25","109.14"
"2013-09-24","108.71"
"2013-09-23","106.35"
"2013-09-20","107.54"
"2013-09-19","108.16"
"2013-09-18","107.59"
"2013-09-17","105.22"
"2013-09-16","104.98"
"2013-09-13","104.36"
"2013-09-12","104.53"
"2013-09-11","105.00"
"2013-09-10","105.81"
"2013-09-09","104.76"
"2013-09-06","103.22"
"2013-09-05","103.07"
"2013-09-04","102.10"
"2013-09-03","100.99"
"2013-08-30","99.95"
"2013-08-29","100.80"
"2013-08-28","100.63"
"2013-08-27","100.52"
"2013-08-26","102.50"
"2013-08-23","103.09"
"2013-08-22","103.70"
"2013-08-21","101.78"
"2013-08-20","102.39"
