"Date","Close"
"2013-12-31","20.37"
"2013-12-30","20.13"
"2013-12-27","20.07"
"2013-12-26","19.98"
"2013-12-24","19.73"
"2013-12-23","19.71"
"2013-12-20","18.62"
"2013-12-19","18.25"
"2013-12-18","18.41"
"2013-12-17","18.02"
"2013-12-16","18.11"
"2013-12-13","18.03"
"2013-12-12","18.06"
"2013-12-11","18.07"
"2013-12-10","18.43"
"2013-12-09","18.33"
"2013-12-06","18.18"
"2013-12-05","17.99"
"2013-12-04","18.35"
"2013-12-03","18.43"
"2013-12-02","18.50"
"2013-11-29","18.76"
"2013-11-27","18.85"
"2013-11-26","18.95"
"2013-11-25","18.15"
"2013-11-22","18.22"
"2013-11-21","18.38"
"2013-11-20","18.12"
"2013-11-19","18.21"
"2013-11-18","18.28"
"2013-11-15","18.10"
"2013-11-14","17.86"
"2013-11-13","17.03"
"2013-11-12","16.76"
"2013-11-11","16.71"
"2013-11-08","16.85"
"2013-11-07","17.51"
"2013-11-06","17.77"
"2013-11-05","17.53"
"2013-11-04","17.83"
"2013-11-01","17.55"
"2013-10-31","17.65"
"2013-10-30","18.00"
"2013-10-29","18.21"
"2013-10-28","18.02"
"2013-10-25","18.04"
"2013-10-24","17.85"
"2013-10-23","16.68"
"2013-10-22","16.53"
"2013-10-21","16.38"
"2013-10-18","16.58"
"2013-10-17","16.66"
"2013-10-16","16.02"
"2013-10-15","15.54"
"2013-10-14","15.99"
"2013-10-11","16.11"
"2013-10-10","15.86"
"2013-10-09","15.58"
"2013-10-08","15.59"
"2013-10-07","16.02"
"2013-10-04","16.20"
"2013-10-03","16.50"
"2013-10-02","16.91"
"2013-10-01","16.67"
"2013-09-30","16.50"
"2013-09-27","16.57"
"2013-09-26","16.98"
"2013-09-25","17.18"
"2013-09-24","17.10"
"2013-09-23","16.75"
"2013-09-20","17.12"
"2013-09-19","17.62"
"2013-09-18","17.93"
"2013-09-17","17.00"
"2013-09-16","17.14"
"2013-09-13","16.52"
"2013-09-12","16.53"
"2013-09-11","16.59"
"2013-09-10","16.29"
"2013-09-09","16.63"
"2013-09-06","15.47"
"2013-09-05","15.25"
"2013-09-04","15.32"
"2013-09-03","15.39"
"2013-08-30","15.39"
"2013-08-29","15.86"
"2013-08-28","15.38"
"2013-08-27","15.59"
"2013-08-26","16.15"
"2013-08-23","16.06"
"2013-08-22","16.32"
"2013-08-21","16.10"
"2013-08-20","16.19"
"2013-08-19","15.65"
"2013-08-16","16.28"
"2013-08-15","15.91"
"2013-08-14","15.11"
"2013-08-13","15.37"
"2013-08-12","15.73"
"2013-08-09","15.67"
"2013-08-08","15.76"
"2013-08-07","15.78"
"2013-08-06","16.19"
"2013-08-05","16.86"
"2013-08-02","17.22"
"2013-08-01","16.72"
"2013-07-31","16.63"
"2013-07-30","16.18"
"2013-07-29","16.39"
"2013-07-26","16.36"
"2013-07-25","16.55"
"2013-07-24","18.45"
"2013-07-23","19.34"
"2013-07-22","19.14"
"2013-07-19","19.36"
"2013-07-18","19.11"
"2013-07-17","19.49"
"2013-07-16","19.28"
"2013-07-15","19.54"
"2013-07-12","20.22"
