"Date","Close"
"2013-12-31","85.35"
"2013-12-30","85.05"
"2013-12-27","84.99"
"2013-12-26","85.49"
"2013-12-24","85.21"
"2013-12-23","84.91"
"2013-12-20","85.00"
"2013-12-19","84.52"
"2013-12-18","84.58"
"2013-12-17","83.04"
"2013-12-16","83.43"
"2013-12-13","81.65"
"2013-12-12","81.96"
"2013-12-11","82.47"
"2013-12-10","83.54"
"2013-12-09","83.85"
"2013-12-06","83.87"
"2013-12-05","82.29"
"2013-12-04","81.94"
"2013-12-03","82.78"
"2013-12-02","83.34"
"2013-11-29","83.70"
"2013-11-27","83.73"
"2013-11-26","83.49"
"2013-11-25","81.70"
"2013-11-22","82.75"
"2013-11-21","82.52"
"2013-11-20","80.91"
"2013-11-19","82.16"
"2013-11-18","82.79"
"2013-11-15","82.36"
"2013-11-14","82.56"
"2013-11-13","82.96"
"2013-11-12","81.87"
"2013-11-11","81.86"
"2013-11-08","81.87"
"2013-11-07","80.80"
"2013-11-06","82.38"
"2013-11-05","81.88"
"2013-11-04","81.96"
"2013-11-01","81.47"
"2013-10-31","80.52"
"2013-10-30","80.53"
"2013-10-29","80.92"
"2013-10-28","80.66"
"2013-10-25","80.27"
"2013-10-24","79.40"
"2013-10-23","79.17"
"2013-10-22","79.52"
"2013-10-21","78.84"
"2013-10-18","78.60"
"2013-10-17","77.25"
"2013-10-16","76.35"
"2013-10-15","76.11"
"2013-10-14","77.42"
"2013-10-11","77.11"
"2013-10-10","76.65"
"2013-10-09","75.07"
"2013-10-08","75.50"
"2013-10-07","77.14"
"2013-10-04","77.50"
"2013-10-03","76.41"
"2013-10-02","77.23"
"2013-10-01","77.70"
"2013-09-30","77.04"
"2013-09-27","77.50"
"2013-09-26","77.46"
"2013-09-25","77.44"
"2013-09-24","77.17"
"2013-09-23","77.22"
"2013-09-20","77.23"
"2013-09-19","77.35"
"2013-09-18","76.02"
"2013-09-17","74.69"
"2013-09-16","73.83"
"2013-09-13","73.30"
"2013-09-12","73.97"
"2013-09-11","74.65"
"2013-09-10","73.84"
"2013-09-09","72.19"
"2013-09-06","71.47"
"2013-09-05","71.59"
"2013-09-04","70.87"
"2013-09-03","69.99"
"2013-08-30","69.14"
"2013-08-29","69.74"
"2013-08-28","69.20"
"2013-08-27","68.82"
"2013-08-26","70.78"
"2013-08-23","70.90"
"2013-08-22","70.80"
"2013-08-21","70.35"
"2013-08-20","70.75"
"2013-08-19","70.50"
"2013-08-16","70.38"
"2013-08-15","70.36"
"2013-08-14","71.11"
"2013-08-13","71.94"
"2013-08-12","71.98"
"2013-08-09","71.56"
"2013-08-08","71.50"
"2013-08-07","71.49"
"2013-08-06","71.67"
"2013-08-05","71.58"
"2013-08-02","71.41"
"2013-08-01","71.22"
"2013-07-31","69.96"
"2013-07-30","69.65"
"2013-07-29","69.71"
"2013-07-26","70.37"
"2013-07-25","70.77"
"2013-07-24","70.36"
"2013-07-23","70.72"
"2013-07-22","71.03"
"2013-07-19","70.78"
"2013-07-18","70.75"
"2013-07-17","70.43"
"2013-07-16","70.05"
"2013-07-15","70.35"
"2013-07-12","70.62"
"2013-07-11","70.56"
"2013-07-10","69.54"
"2013-07-09","69.35"
"2013-07-08","68.52"
"2013-07-05","67.74"
"2013-07-03","66.98"
"2013-07-02","67.29"
"2013-07-01","67.10"
"2013-06-28","66.43"
"2013-06-27","66.19"
"2013-06-26","65.53"
"2013-06-25","64.92"
"2013-06-24","64.72"
"2013-06-21","65.94"
"2013-06-20","66.10"
"2013-06-19","67.43"
"2013-06-18","69.58"
"2013-06-17","69.15"
"2013-06-14","68.28"
"2013-06-13","68.05"
"2013-06-12","66.60"
"2013-06-11","67.36"
"2013-06-10","67.82"
"2013-06-07","67.89"
"2013-06-06","66.57"
"2013-06-05","66.35"
"2013-06-04","67.61"
"2013-06-03","68.33"
"2013-05-31","68.20"
"2013-05-30","71.85"
"2013-05-29","71.07"
"2013-05-28","71.48"
"2013-05-24","70.98"
"2013-05-23","71.72"
"2013-05-22","71.63"
"2013-05-21","72.50"
"2013-05-20","71.93"
"2013-05-17","71.37"
"2013-05-16","70.05"
"2013-05-15","70.36"
"2013-05-14","69.50"
"2013-05-13","68.37"
"2013-05-10","68.73"
"2013-05-09","68.27"
"2013-05-08","68.50"
"2013-05-07","68.61"
"2013-05-06","67.96"
"2013-05-03","68.08"
"2013-05-02","66.77"
"2013-05-01","66.12"
"2013-04-30","66.71"
"2013-04-29","66.46"
"2013-04-26","65.65"
"2013-04-25","66.74"
"2013-04-24","65.81"
"2013-04-23","65.61"
"2013-04-22","64.26"
"2013-04-19","63.50"
"2013-04-18","64.01"
"2013-04-17","64.62"
"2013-04-16","65.71"
"2013-04-15","64.31"
"2013-04-12","67.05"
"2013-04-11","67.93"
"2013-04-10","67.34"
"2013-04-09","66.10"
"2013-04-08","66.84"
"2013-04-05","66.81"
"2013-04-04","67.16"
"2013-04-03","66.68"
"2013-04-02","67.16"
"2013-04-01","67.16"
"2013-03-28","68.37"
"2013-03-27","67.01"
"2013-03-26","67.46"
"2013-03-25","67.27"
"2013-03-22","68.62"
"2013-03-21","68.33"
"2013-03-20","68.94"
"2013-03-19","68.50"
"2013-03-18","68.53"
"2013-03-15","68.59"
"2013-03-14","68.78"
"2013-03-13","68.67"
"2013-03-12","68.26"
"2013-03-11","68.84"
"2013-03-08","69.00"
"2013-03-07","67.86"
"2013-03-06","67.68"
"2013-03-05","67.95"
"2013-03-04","67.19"
"2013-03-01","67.61"
"2013-02-28","68.18"
"2013-02-27","67.66"
"2013-02-26","66.60"
"2013-02-25","65.97"
"2013-02-22","67.70"
"2013-02-21","67.21"
"2013-02-20","67.65"
"2013-02-19","68.70"
"2013-02-15","68.51"
"2013-02-14","68.22"
"2013-02-13","68.17"
"2013-02-12","67.89"
"2013-02-11","67.95"
"2013-02-08","68.23"
"2013-02-07","67.80"
"2013-02-06","68.55"
"2013-02-05","68.27"
"2013-02-04","67.88"
"2013-02-01","68.51"
"2013-01-31","68.30"
"2013-01-30","67.92"
"2013-01-29","69.04"
"2013-01-28","67.72"
"2013-01-25","67.99"
"2013-01-24","67.99"
"2013-01-23","67.52"
"2013-01-22","67.56"
"2013-01-18","67.40"
"2013-01-17","66.34"
"2013-01-16","64.80"
"2013-01-15","64.86"
"2013-01-14","64.96"
"2013-01-11","64.29"
"2013-01-10","64.26"
"2013-01-09","63.91"
"2013-01-08","62.99"
"2013-01-07","63.34"
"2013-01-04","62.65"
"2013-01-03","62.59"
"2013-01-02","62.19"
"2012-12-31","60.26"
"2012-12-28","59.67"
"2012-12-27","60.23"
"2012-12-26","60.32"
"2012-12-24","61.02"
"2012-12-21","60.68"
"2012-12-20","60.85"
"2012-12-19","60.69"
"2012-12-18","61.16"
"2012-12-17","60.33"
"2012-12-14","60.24"
"2012-12-13","61.60"
"2012-12-12","61.28"
"2012-12-11","61.61"
"2012-12-10","61.50"
"2012-12-07","60.46"
"2012-12-06","60.48"
"2012-12-05","60.26"
"2012-12-04","59.61"
"2012-12-03","59.49"
"2012-11-30","59.48"
"2012-11-29","59.38"
"2012-11-28","60.16"
"2012-11-27","59.45"
"2012-11-26","61.00"
"2012-11-23","61.56"
"2012-11-21","60.52"
"2012-11-20","60.43"
"2012-11-19","60.41"
"2012-11-16","59.27"
"2012-11-15","58.47"
"2012-11-14","58.68"
"2012-11-13","59.50"
"2012-11-12","59.43"
"2012-11-09","59.13"
"2012-11-08","59.21"
"2012-11-07","59.93"
"2012-11-06","61.07"
"2012-11-05","60.81"
"2012-11-02","63.95"
"2012-11-01","64.54"
"2012-10-31","62.96"
"2012-10-26","62.31"
"2012-10-25","62.28"
"2012-10-24","62.07"
"2012-10-23","62.55"
"2012-10-22","63.65"
"2012-10-19","63.28"
"2012-10-18","63.54"
"2012-10-17","63.80"
"2012-10-16","63.35"
"2012-10-15","63.30"
"2012-10-12","63.36"
"2012-10-11","63.21"
"2012-10-10","63.18"
"2012-10-09","64.06"
"2012-10-08","64.50"
"2012-10-05","64.61"
"2012-10-04","64.71"
"2012-10-03","64.45"
"2012-10-02","64.15"
"2012-10-01","64.34"
"2012-09-28","63.49"
"2012-09-27","63.89"
"2012-09-26","63.08"
"2012-09-25","63.85"
"2012-09-24","64.32"
"2012-09-21","65.02"
"2012-09-20","64.58"
"2012-09-19","64.92"
"2012-09-18","63.92"
"2012-09-17","63.25"
"2012-09-14","64.08"
"2012-09-13","62.80"
"2012-09-12","58.17"
"2012-09-11","57.61"
"2012-09-10","56.93"
"2012-09-07","57.18"
"2012-09-06","56.69"
"2012-09-05","55.26"
"2012-09-04","55.75"
"2012-08-31","55.51"
"2012-08-30","55.09"
"2012-08-29","55.50"
"2012-08-28","54.78"
"2012-08-27","55.02"
"2012-08-24","55.09"
"2012-08-23","55.19"
"2012-08-22","55.45"
"2012-08-21","54.83"
"2012-08-20","55.29"
"2012-08-17","55.78"
"2012-08-16","55.00"
"2012-08-15","54.79"
"2012-08-14","54.25"
"2012-08-13","54.98"
"2012-08-10","55.16"
"2012-08-09","54.85"
"2012-08-08","55.29"
"2012-08-07","54.83"
"2012-08-06","54.04"
"2012-08-03","54.31"
"2012-08-02","52.81"
"2012-08-01","53.00"
"2012-07-31","53.41"
"2012-07-30","53.43"
"2012-07-27","53.47"
"2012-07-26","51.89"
"2012-07-25","50.74"
"2012-07-24","50.22"
"2012-07-23","51.28"
"2012-07-20","52.04"
"2012-07-19","52.84"
"2012-07-18","52.82"
"2012-07-17","52.21"
"2012-07-16","51.96"
"2012-07-13","52.84"
"2012-07-12","52.13"
"2012-07-11","51.85"
"2012-07-10","52.44"
"2012-07-09","53.35"
"2012-07-06","53.51"
"2012-07-05","54.39"
"2012-07-03","54.77"
"2012-07-02","54.17"
"2012-06-29","54.81"
"2012-06-28","53.06"
"2012-06-27","52.67"
"2012-06-26","52.41"
"2012-06-25","52.12"
"2012-06-22","52.63"
"2012-06-21","52.42"
"2012-06-20","53.75"
"2012-06-19","54.32"
"2012-06-18","53.94"
"2012-06-15","53.89"
"2012-06-14","53.54"
"2012-06-13","52.92"
"2012-06-12","53.40"
"2012-06-11","52.35"
"2012-06-08","52.98"
"2012-06-07","52.29"
"2012-06-06","54.63"
"2012-06-05","54.55"
"2012-06-04","53.87"
"2012-06-01","54.39"
"2012-05-31","55.66"
"2012-05-30","56.41"
"2012-05-29","57.51"
"2012-05-25","56.95"
"2012-05-24","58.36"
"2012-05-23","58.53"
"2012-05-22","57.87"
"2012-05-21","57.16"
"2012-05-18","55.08"
"2012-05-17","55.45"
"2012-05-16","57.27"
"2012-05-15","57.43"
"2012-05-14","57.95"
"2012-05-11","58.44"
"2012-05-10","57.91"
"2012-05-09","57.65"
"2012-05-08","57.43"
"2012-05-07","57.31"
"2012-05-04","57.46"
"2012-05-03","58.69"
"2012-05-02","59.17"
"2012-05-01","59.67"
"2012-04-30","59.61"
"2012-04-27","60.41"
"2012-04-26","59.45"
"2012-04-25","59.17"
"2012-04-24","58.98"
"2012-04-23","58.75"
"2012-04-20","59.48"
"2012-04-19","58.70"
"2012-04-18","59.23"
"2012-04-17","59.71"
"2012-04-16","59.10"
"2012-04-13","59.12"
"2012-04-12","58.92"
"2012-04-11","57.78"
"2012-04-10","57.19"
"2012-04-09","58.07"
"2012-04-05","58.91"
"2012-04-04","59.11"
"2012-04-03","59.76"
"2012-04-02","60.01"
"2012-03-30","59.63"
"2012-03-29","58.91"
"2012-03-28","59.39"
"2012-03-27","60.18"
"2012-03-26","59.84"
"2012-03-23","59.31"
"2012-03-22","59.27"
"2012-03-21","59.86"
"2012-03-20","59.70"
"2012-03-19","60.07"
"2012-03-16","60.02"
"2012-03-15","60.09"
"2012-03-14","59.33"
"2012-03-13","58.99"
"2012-03-12","59.26"
"2012-03-09","59.30"
"2012-03-08","61.20"
"2012-03-07","61.15"
"2012-03-06","60.09"
"2012-03-05","62.10"
"2012-03-02","62.98"
"2012-03-01","63.28"
"2012-02-29","63.45"
"2012-02-28","63.48"
"2012-02-27","63.77"
"2012-02-24","63.41"
"2012-02-23","63.05"
"2012-02-22","63.21"
"2012-02-21","63.57"
"2012-02-17","63.66"
"2012-02-16","63.81"
"2012-02-15","63.26"
"2012-02-14","64.12"
"2012-02-13","64.24"
"2012-02-10","63.27"
"2012-02-09","63.73"
"2012-02-08","62.96"
"2012-02-07","62.53"
"2012-02-06","62.33"
"2012-02-03","62.19"
"2012-02-02","61.04"
"2012-02-01","60.47"
"2012-01-31","59.68"
"2012-01-30","59.42"
"2012-01-27","59.06"
"2012-01-26","59.24"
"2012-01-25","60.52"
"2012-01-24","59.20"
"2012-01-23","59.51"
"2012-01-20","60.02"
"2012-01-19","60.22"
"2012-01-18","59.75"
"2012-01-17","59.95"
"2012-01-13","59.86"
"2012-01-12","59.92"
"2012-01-11","57.90"
"2012-01-10","58.02"
"2012-01-09","56.65"
"2012-01-06","56.18"
"2012-01-05","57.08"
"2012-01-04","57.30"
"2012-01-03","57.86"
"2011-12-30","57.15"
"2011-12-29","57.43"
"2011-12-28","56.66"
"2011-12-27","57.55"
"2011-12-23","57.56"
"2011-12-22","57.22"
"2011-12-21","57.18"
"2011-12-20","57.02"
"2011-12-19","55.47"
"2011-12-16","56.60"
"2011-12-15","55.90"
"2011-12-14","56.31"
"2011-12-13","56.76"
"2011-12-12","57.96"
"2011-12-09","56.66"
"2011-12-08","52.50"
"2011-12-07","53.88"
"2011-12-06","54.88"
"2011-12-05","54.50"
"2011-12-02","53.54"
"2011-12-01","54.23"
"2011-11-30","54.49"
"2011-11-29","51.95"
"2011-11-28","51.72"
"2011-11-25","49.92"
"2011-11-23","50.15"
"2011-11-22","51.61"
"2011-11-21","51.98"
"2011-11-18","52.33"
"2011-11-17","52.34"
"2011-11-16","53.22"
"2011-11-15","53.64"
"2011-11-14","52.71"
"2011-11-11","52.56"
"2011-11-10","50.62"
"2011-11-09","50.12"
"2011-11-08","52.32"
"2011-11-07","51.84"
"2011-11-04","52.18"
"2011-11-03","52.24"
"2011-11-02","50.43"
"2011-11-01","49.64"
"2011-10-31","51.17"
"2011-10-28","52.57"
"2011-10-27","53.37"
"2011-10-26","51.18"
"2011-10-25","50.64"
"2011-10-24","51.30"
"2011-10-21","49.79"
"2011-10-20","47.72"
"2011-10-19","48.13"
"2011-10-18","48.96"
"2011-10-17","47.81"
"2011-10-14","49.00"
"2011-10-13","47.93"
"2011-10-12","47.72"
"2011-10-11","46.72"
"2011-10-10","47.01"
"2011-10-07","46.04"
"2011-10-06","45.02"
"2011-10-05","43.22"
"2011-10-04","42.47"
"2011-10-03","41.00"
"2011-09-30","42.40"
"2011-09-29","43.93"
"2011-09-28","43.02"
"2011-09-27","44.22"
"2011-09-26","43.48"
"2011-09-23","42.20"
"2011-09-22","41.38"
"2011-09-21","42.14"
"2011-09-20","43.90"
"2011-09-19","44.59"
"2011-09-16","44.85"
"2011-09-15","44.25"
"2011-09-14","43.51"
"2011-09-13","42.96"
"2011-09-12","42.19"
"2011-09-09","42.47"
"2011-09-08","44.03"
"2011-09-07","48.82"
"2011-09-06","47.76"
"2011-09-02","48.11"
"2011-09-01","49.69"
"2011-08-31","51.13"
"2011-08-30","51.46"
"2011-08-29","51.02"
"2011-08-26","49.01"
"2011-08-25","47.40"
"2011-08-24","47.95"
"2011-08-23","46.61"
"2011-08-22","44.60"
"2011-08-19","44.08"
"2011-08-18","44.16"
"2011-08-17","47.34"
"2011-08-16","47.31"
"2011-08-15","48.82"
"2011-08-12","48.19"
"2011-08-11","46.12"
"2011-08-10","43.35"
"2011-08-09","45.32"
"2011-08-08","41.38"
"2011-08-05","44.54"
"2011-08-04","44.99"
"2011-08-03","47.80"
"2011-08-02","47.18"
"2011-08-01","48.93"
"2011-07-29","49.58"
"2011-07-28","51.27"
"2011-07-27","51.90"
"2011-07-26","54.07"
"2011-07-25","54.83"
"2011-07-22","55.05"
"2011-07-21","55.01"
"2011-07-20","54.44"
"2011-07-19","54.12"
"2011-07-18","52.92"
"2011-07-15","54.49"
"2011-07-14","54.47"
"2011-07-13","55.67"
"2011-07-12","55.60"
"2011-07-11","55.96"
"2011-07-08","57.17"
"2011-07-07","57.62"
"2011-07-06","57.32"
"2011-07-05","57.36"
"2011-07-01","57.79"
"2011-06-30","56.23"
"2011-06-29","55.49"
"2011-06-28","55.41"
"2011-06-27","54.42"
"2011-06-24","54.17"
"2011-06-23","54.63"
"2011-06-22","55.01"
"2011-06-21","55.06"
"2011-06-20","54.02"
"2011-06-17","53.59"
"2011-06-16","52.97"
"2011-06-15","53.39"
"2011-06-14","54.52"
"2011-06-13","53.31"
"2011-06-10","52.85"
"2011-06-09","53.32"
"2011-06-08","52.92"
"2011-06-07","53.32"
"2011-06-06","53.18"
"2011-06-03","53.56"
"2011-06-02","54.19"
"2011-06-01","54.22"
"2011-05-31","56.10"
"2011-05-27","55.06"
"2011-05-26","54.70"
"2011-05-25","54.24"
"2011-05-24","53.74"
"2011-05-23","53.77"
"2011-05-20","54.86"
"2011-05-19","55.50"
"2011-05-18","55.13"
"2011-05-17","54.16"
"2011-05-16","54.80"
"2011-05-13","55.37"
"2011-05-12","55.81"
"2011-05-11","55.87"
"2011-05-10","56.59"
"2011-05-09","55.86"
"2011-05-06","54.99"
"2011-05-05","55.44"
"2011-05-04","56.19"
"2011-05-03","57.42"
"2011-05-02","58.34"
"2011-04-29","58.44"
"2011-04-28","58.32"
"2011-04-27","58.27"
"2011-04-26","58.01"
"2011-04-25","56.87"
"2011-04-21","57.53"
"2011-04-20","57.06"
"2011-04-19","55.85"
"2011-04-18","55.40"
"2011-04-15","57.28"
"2011-04-14","57.05"
"2011-04-13","57.03"
"2011-04-12","57.14"
"2011-04-11","57.98"
"2011-04-08","58.73"
