"Date","Close"
"2013-12-31","77.58"
"2013-12-30","77.51"
"2013-12-27","78.20"
"2013-12-26","77.26"
"2013-12-24","77.13"
"2013-12-23","77.02"
"2013-12-20","76.37"
"2013-12-19","76.00"
"2013-12-18","75.64"
"2013-12-17","74.65"
"2013-12-16","75.48"
"2013-12-13","75.38"
"2013-12-12","75.82"
"2013-12-11","75.48"
"2013-12-10","76.56"
"2013-12-09","76.28"
"2013-12-06","76.17"
"2013-12-05","75.02"
"2013-12-04","75.72"
"2013-12-03","75.62"
"2013-12-02","77.50"
"2013-11-29","76.95"
"2013-11-27","77.41"
"2013-11-26","76.61"
"2013-11-25","76.32"
"2013-11-22","76.82"
"2013-11-21","76.33"
"2013-11-20","75.20"
"2013-11-19","75.50"
"2013-11-18","75.31"
"2013-11-15","75.14"
"2013-11-14","74.68"
"2013-11-13","74.27"
"2013-11-12","74.18"
"2013-11-11","75.42"
"2013-11-08","75.52"
"2013-11-07","72.90"
"2013-11-06","73.88"
"2013-11-05","73.29"
"2013-11-04","73.17"
"2013-11-01","73.37"
"2013-10-31","73.53"
"2013-10-30","74.81"
"2013-10-29","75.20"
"2013-10-28","75.50"
"2013-10-25","75.36"
"2013-10-24","74.82"
"2013-10-23","75.24"
"2013-10-22","75.56"
"2013-10-21","75.12"
"2013-10-18","75.04"
"2013-10-17","74.68"
"2013-10-16","73.87"
"2013-10-15","72.51"
"2013-10-14","72.98"
"2013-10-11","72.96"
"2013-10-10","72.62"
"2013-10-09","70.87"
"2013-10-08","70.94"
"2013-10-07","71.88"
"2013-10-04","72.97"
"2013-10-03","72.42"
"2013-10-02","72.68"
"2013-10-01","72.67"
"2013-09-30","72.45"
"2013-09-27","72.63"
"2013-09-26","72.44"
"2013-09-25","73.05"
"2013-09-24","72.72"
"2013-09-23","72.96"
"2013-09-20","74.05"
"2013-09-19","74.05"
"2013-09-18","74.40"
"2013-09-17","74.77"
"2013-09-16","74.19"
"2013-09-13","73.25"
"2013-09-12","73.11"
"2013-09-11","73.56"
"2013-09-10","73.65"
"2013-09-09","72.95"
"2013-09-06","73.19"
"2013-09-05","73.35"
"2013-09-04","72.54"
"2013-09-03","72.48"
"2013-08-30","72.27"
"2013-08-29","72.58"
"2013-08-28","72.55"
"2013-08-27","72.24"
"2013-08-26","74.21"
"2013-08-23","75.02"
"2013-08-22","74.99"
"2013-08-21","74.40"
"2013-08-20","74.59"
"2013-08-19","73.93"
"2013-08-16","74.91"
"2013-08-15","74.92"
"2013-08-14","75.88"
"2013-08-13","75.98"
"2013-08-12","76.11"
"2013-08-09","75.96"
"2013-08-08","76.22"
"2013-08-07","75.79"
"2013-08-06","76.53"
"2013-08-05","77.16"
"2013-08-02","77.43"
"2013-08-01","77.65"
"2013-07-31","76.05"
"2013-07-30","75.54"
"2013-07-29","75.87"
"2013-07-26","75.90"
"2013-07-25","76.00"
"2013-07-24","77.10"
"2013-07-23","77.14"
"2013-07-22","77.18"
"2013-07-19","77.19"
"2013-07-18","75.91"
"2013-07-17","73.55"
"2013-07-16","74.50"
"2013-07-15","75.06"
"2013-07-12","74.91"
"2013-07-11","74.10"
"2013-07-10","74.59"
"2013-07-09","76.26"
"2013-07-08","76.35"
"2013-07-05","75.92"
"2013-07-03","73.97"
"2013-07-02","73.85"
"2013-07-01","73.49"
"2013-06-28","72.92"
"2013-06-27","73.63"
"2013-06-26","73.18"
"2013-06-25","72.70"
