"Date","Close"
"2013-12-31","77.67"
"2013-12-30","77.39"
"2013-12-27","77.57"
"2013-12-26","77.39"
"2013-12-24","76.55"
"2013-12-23","75.92"
"2013-12-20","75.40"
"2013-12-19","74.89"
"2013-12-18","75.09"
"2013-12-17","72.83"
"2013-12-16","71.60"
"2013-12-13","70.01"
"2013-12-12","69.97"
"2013-12-11","70.25"
"2013-12-10","71.64"
"2013-12-09","71.24"
"2013-12-06","70.95"
"2013-12-05","69.75"
"2013-12-04","69.78"
"2013-12-03","69.99"
"2013-12-02","70.43"
"2013-11-29","70.72"
"2013-11-27","71.27"
"2013-11-26","70.94"
"2013-11-25","70.80"
"2013-11-22","70.37"
"2013-11-21","70.42"
"2013-11-20","69.64"
"2013-11-19","69.60"
"2013-11-18","70.29"
"2013-11-15","70.48"
"2013-11-14","69.74"
"2013-11-13","68.45"
"2013-11-12","68.05"
"2013-11-11","67.90"
"2013-11-08","67.36"
"2013-11-07","66.34"
"2013-11-06","68.02"
"2013-11-05","68.16"
"2013-11-04","67.85"
"2013-11-01","67.48"
"2013-10-31","67.09"
"2013-10-30","67.15"
"2013-10-29","67.64"
"2013-10-28","66.37"
"2013-10-25","66.67"
"2013-10-24","65.78"
"2013-10-23","65.11"
"2013-10-22","64.68"
"2013-10-21","65.70"
"2013-10-18","65.24"
"2013-10-17","64.56"
"2013-10-16","65.16"
"2013-10-15","64.74"
"2013-10-14","65.99"
"2013-10-11","66.39"
"2013-10-10","65.42"
"2013-10-09","63.80"
"2013-10-08","63.83"
"2013-10-07","65.25"
"2013-10-04","66.31"
"2013-10-03","65.58"
"2013-10-02","66.27"
"2013-10-01","65.98"
"2013-09-30","64.94"
"2013-09-27","65.52"
"2013-09-26","65.92"
"2013-09-25","65.50"
"2013-09-24","65.08"
"2013-09-23","64.67"
"2013-09-20","65.82"
"2013-09-19","65.43"
"2013-09-18","65.13"
"2013-09-17","64.58"
"2013-09-16","64.35"
"2013-09-13","64.09"
"2013-09-12","64.11"
"2013-09-11","64.45"
"2013-09-10","64.32"
"2013-09-09","62.80"
"2013-09-06","61.64"
"2013-09-05","62.24"
"2013-09-04","61.63"
"2013-09-03","60.63"
"2013-08-30","60.11"
"2013-08-29","60.98"
"2013-08-28","60.58"
"2013-08-27","60.39"
"2013-08-26","61.65"
"2013-08-23","61.77"
"2013-08-22","62.11"
"2013-08-21","61.24"
"2013-08-20","61.92"
"2013-08-19","61.69"
"2013-08-16","62.11"
"2013-08-15","62.43"
"2013-08-14","63.46"
"2013-08-13","64.17"
"2013-08-12","63.86"
"2013-08-09","63.43"
"2013-08-08","63.61"
"2013-08-07","63.26"
"2013-08-06","63.23"
"2013-08-05","63.21"
"2013-08-02","62.53"
"2013-08-01","62.46"
"2013-07-31","61.08"
"2013-07-30","60.88"
"2013-07-29","60.36"
"2013-07-26","60.63"
"2013-07-25","60.79"
"2013-07-24","59.88"
"2013-07-23","59.92"
"2013-07-22","60.43"
"2013-07-19","60.74"
"2013-07-18","60.45"
"2013-07-17","60.23"
"2013-07-16","60.19"
"2013-07-15","60.88"
"2013-07-12","60.97"
"2013-07-11","60.65"
"2013-07-10","58.85"
"2013-07-09","58.89"
"2013-07-08","58.81"
"2013-07-05","58.78"
"2013-07-03","57.93"
"2013-07-02","57.94"
"2013-07-01","58.25"
"2013-06-28","57.69"
"2013-06-27","58.45"
"2013-06-26","57.22"
"2013-06-25","56.60"
"2013-06-24","55.80"
"2013-06-21","56.87"
"2013-06-20","56.71"
"2013-06-19","58.67"
"2013-06-18","59.57"
"2013-06-17","58.81"
"2013-06-14","59.72"
"2013-06-13","59.39"
"2013-06-12","58.05"
"2013-06-11","58.65"
"2013-06-10","59.46"
"2013-06-07","59.05"
"2013-06-06","58.21"
"2013-06-05","57.17"
"2013-06-04","57.77"
"2013-06-03","58.26"
"2013-05-31","58.24"
"2013-05-30","58.64"
"2013-05-29","57.88"
"2013-05-28","57.70"
"2013-05-24","57.47"
"2013-05-23","56.43"
