"Date","Close"
"2013-12-31","52.92"
"2013-12-30","53.01"
"2013-12-27","53.25"
"2013-12-26","53.00"
"2013-12-24","53.20"
"2013-12-23","53.08"
"2013-12-20","53.08"
"2013-12-19","53.10"
"2013-12-18","53.78"
"2013-12-17","52.88"
"2013-12-16","53.22"
"2013-12-13","52.80"
"2013-12-12","52.79"
"2013-12-11","52.55"
"2013-12-10","52.87"
"2013-12-09","53.35"
"2013-12-06","53.86"
"2013-12-05","53.08"
"2013-12-04","53.24"
"2013-12-03","53.04"
"2013-12-02","53.01"
"2013-11-29","53.36"
"2013-11-27","53.14"
"2013-11-26","53.11"
"2013-11-25","53.95"
"2013-11-22","54.32"
"2013-11-21","54.54"
"2013-11-20","54.02"
"2013-11-19","54.70"
"2013-11-18","55.40"
"2013-11-15","55.60"
"2013-11-14","55.72"
"2013-11-13","54.33"
"2013-11-12","54.67"
"2013-11-11","55.29"
"2013-11-08","55.73"
"2013-11-07","55.66"
"2013-11-06","56.12"
"2013-11-05","55.63"
"2013-11-04","56.32"
"2013-11-01","56.24"
"2013-10-31","56.03"
"2013-10-30","57.64"
"2013-10-29","58.24"
"2013-10-28","58.32"
"2013-10-25","58.43"
"2013-10-24","57.79"
"2013-10-23","57.58"
"2013-10-22","57.55"
"2013-10-21","56.81"
"2013-10-18","56.93"
"2013-10-17","56.67"
"2013-10-16","55.63"
"2013-10-15","54.78"
"2013-10-14","55.54"
"2013-10-11","56.03"
"2013-10-10","55.77"
"2013-10-09","54.88"
"2013-10-08","54.82"
"2013-10-07","54.46"
"2013-10-04","54.42"
"2013-10-03","54.48"
"2013-10-02","55.06"
"2013-10-01","55.07"
"2013-09-30","54.74"
"2013-09-27","54.93"
"2013-09-26","55.06"
"2013-09-25","55.17"
"2013-09-24","55.64"
"2013-09-23","55.79"
"2013-09-20","55.18"
"2013-09-19","55.81"
"2013-09-18","55.73"
"2013-09-17","53.98"
"2013-09-16","53.75"
"2013-09-13","53.85"
"2013-09-12","53.45"
"2013-09-11","52.32"
"2013-09-10","52.92"
"2013-09-09","52.72"
"2013-09-06","52.49"
"2013-09-05","52.27"
"2013-09-04","52.82"
"2013-09-03","53.12"
"2013-08-30","54.27"
"2013-08-29","54.35"
"2013-08-28","54.65"
"2013-08-27","54.39"
"2013-08-26","54.47"
"2013-08-23","54.77"
"2013-08-22","54.36"
"2013-08-21","54.14"
"2013-08-20","55.11"
"2013-08-19","54.54"
"2013-08-16","55.12"
"2013-08-15","55.66"
"2013-08-14","56.65"
"2013-08-13","57.12"
"2013-08-12","57.31"
"2013-08-09","57.74"
"2013-08-08","58.00"
"2013-08-07","57.61"
"2013-08-06","57.57"
"2013-08-05","58.36"
"2013-08-02","59.05"
"2013-08-01","59.00"
"2013-07-31","58.90"
"2013-07-30","59.26"
"2013-07-29","59.61"
"2013-07-26","59.67"
"2013-07-25","59.50"
"2013-07-24","58.80"
"2013-07-23","59.97"
"2013-07-22","59.97"
"2013-07-19","59.97"
"2013-07-18","59.82"
"2013-07-17","58.96"
"2013-07-16","58.58"
"2013-07-15","59.05"
"2013-07-12","57.85"
"2013-07-11","57.97"
"2013-07-10","57.09"
"2013-07-09","56.78"
"2013-07-08","56.13"
"2013-07-05","54.84"
"2013-07-03","54.79"
"2013-07-02","55.07"
"2013-07-01","54.95"
"2013-06-28","55.47"
"2013-06-27","55.13"
"2013-06-26","54.65"
"2013-06-25","53.41"
"2013-06-24","52.48"
"2013-06-21","52.76"
"2013-06-20","52.25"
"2013-06-19","54.33"
"2013-06-18","56.20"
"2013-06-17","57.40"
"2013-06-14","57.55"
"2013-06-13","57.32"
"2013-06-12","56.18"
"2013-06-11","56.66"
"2013-06-10","56.73"
"2013-06-07","56.67"
"2013-06-06","56.38"
"2013-06-05","55.57"
"2013-06-04","55.88"
"2013-06-03","56.53"
"2013-05-31","56.48"
"2013-05-30","56.90"
"2013-05-29","55.96"
"2013-05-28","57.41"
"2013-05-24","57.67"
"2013-05-23","58.48"
"2013-05-22","59.15"
"2013-05-21","60.09"
"2013-05-20","60.18"
"2013-05-17","60.57"
"2013-05-16","60.06"
"2013-05-15","60.22"
"2013-05-14","59.38"
"2013-05-13","59.01"
"2013-05-10","59.33"
"2013-05-09","59.48"
"2013-05-08","60.80"
"2013-05-07","61.41"
"2013-05-06","60.67"
"2013-05-03","61.48"
"2013-05-02","60.52"
"2013-05-01","60.58"
"2013-04-30","60.90"
"2013-04-29","60.88"
"2013-04-26","60.70"
"2013-04-25","60.76"
"2013-04-24","60.33"
"2013-04-23","59.91"
"2013-04-22","59.95"
"2013-04-19","59.41"
"2013-04-18","58.54"
"2013-04-17","58.36"
"2013-04-16","58.88"
"2013-04-15","58.33"
"2013-04-12","59.49"
"2013-04-11","59.27"
"2013-04-10","58.78"
"2013-04-09","58.16"
"2013-04-08","58.65"
"2013-04-05","58.12"
"2013-04-04","57.97"
"2013-04-03","57.60"
"2013-04-02","57.70"
"2013-04-01","57.66"
"2013-03-28","57.89"
"2013-03-27","57.21"
"2013-03-26","57.07"
"2013-03-25","56.64"
"2013-03-22","56.74"
"2013-03-21","56.71"
"2013-03-20","57.09"
"2013-03-19","56.66"
"2013-03-18","56.60"
"2013-03-15","56.98"
"2013-03-14","57.00"
"2013-03-13","56.98"
"2013-03-12","56.92"
"2013-03-11","57.06"
"2013-03-08","57.05"
"2013-03-07","57.03"
"2013-03-06","57.31"
"2013-03-05","57.22"
"2013-03-04","56.87"
"2013-03-01","56.04"
"2013-02-28","55.94"
"2013-02-27","55.24"
"2013-02-26","54.79"
"2013-02-25","54.38"
"2013-02-22","55.40"
"2013-02-21","54.59"
"2013-02-20","54.80"
"2013-02-19","54.98"
"2013-02-15","54.34"
"2013-02-14","54.33"
"2013-02-13","54.56"
"2013-02-12","54.49"
"2013-02-11","54.13"
"2013-02-08","53.95"
"2013-02-07","53.58"
"2013-02-06","53.62"
"2013-02-05","53.36"
"2013-02-04","53.31"
"2013-02-01","53.43"
"2013-01-31","53.38"
"2013-01-30","53.36"
"2013-01-29","53.49"
"2013-01-28","53.25"
"2013-01-25","53.32"
"2013-01-24","53.10"
"2013-01-23","52.60"
"2013-01-22","52.85"
"2013-01-18","52.44"
"2013-01-17","52.13"
"2013-01-16","51.90"
"2013-01-15","52.14"
"2013-01-14","51.97"
"2013-01-11","51.91"
"2013-01-10","52.18"
"2013-01-09","51.93"
"2013-01-08","51.94"
"2013-01-07","51.89"
"2013-01-04","52.40"
"2013-01-03","52.36"
"2013-01-02","52.40"
"2012-12-31","50.98"
"2012-12-28","50.52"
"2012-12-27","51.03"
"2012-12-26","51.33"
"2012-12-24","51.93"
"2012-12-21","52.14"
"2012-12-20","52.23"
"2012-12-19","51.86"
"2012-12-18","52.11"
"2012-12-17","51.69"
"2012-12-14","50.75"
"2012-12-13","50.75"
"2012-12-12","51.24"
"2012-12-11","51.49"
"2012-12-10","51.53"
"2012-12-07","51.34"
"2012-12-06","51.44"
"2012-12-05","51.71"
"2012-12-04","51.38"
"2012-12-03","51.46"
"2012-11-30","51.46"
"2012-11-29","50.83"
"2012-11-28","50.47"
"2012-11-27","49.90"
"2012-11-26","49.78"
"2012-11-23","49.28"
"2012-11-21","49.48"
"2012-11-20","49.65"
"2012-11-19","49.58"
"2012-11-16","49.81"
"2012-11-15","49.16"
"2012-11-14","49.33"
"2012-11-13","49.58"
"2012-11-12","49.28"
"2012-11-09","49.36"
"2012-11-08","50.11"
"2012-11-07","50.31"
"2012-11-06","51.59"
"2012-11-05","51.80"
"2012-11-02","52.17"
"2012-11-01","52.93"
"2012-10-31","52.97"
"2012-10-26","52.86"
"2012-10-25","53.08"
"2012-10-24","52.78"
"2012-10-23","52.86"
"2012-10-22","53.71"
"2012-10-19","53.63"
"2012-10-18","54.17"
"2012-10-17","53.89"
"2012-10-16","53.13"
"2012-10-15","53.04"
"2012-10-12","52.71"
"2012-10-11","52.84"
"2012-10-10","52.88"
"2012-10-09","53.17"
"2012-10-08","53.27"
"2012-10-05","53.25"
"2012-10-04","53.30"
"2012-10-03","53.10"
"2012-10-02","52.65"
"2012-10-01","52.49"
"2012-09-28","52.80"
"2012-09-27","52.64"
"2012-09-26","53.48"
"2012-09-25","53.19"
"2012-09-24","53.40"
"2012-09-21","52.56"
"2012-09-20","52.42"
"2012-09-19","52.37"
"2012-09-18","52.05"
"2012-09-17","52.74"
"2012-09-14","53.55"
"2012-09-13","53.66"
"2012-09-12","52.27"
"2012-09-11","52.38"
"2012-09-10","52.41"
"2012-09-07","52.41"
"2012-09-06","52.56"
"2012-09-05","51.88"
"2012-09-04","52.20"
"2012-08-31","51.37"
"2012-08-30","51.52"
"2012-08-29","51.69"
"2012-08-28","51.61"
"2012-08-27","51.69"
"2012-08-24","51.72"
"2012-08-23","51.49"
"2012-08-22","52.31"
"2012-08-21","52.58"
"2012-08-20","52.67"
"2012-08-17","52.80"
"2012-08-16","53.34"
"2012-08-15","53.26"
"2012-08-14","53.26"
"2012-08-13","53.18"
"2012-08-10","53.42"
"2012-08-09","53.35"
"2012-08-08","53.37"
"2012-08-07","53.38"
"2012-08-06","54.01"
"2012-08-03","54.09"
"2012-08-02","53.23"
"2012-08-01","53.40"
"2012-07-31","53.54"
"2012-07-30","53.97"
"2012-07-27","54.32"
"2012-07-26","53.47"
"2012-07-25","52.67"
"2012-07-24","52.86"
"2012-07-23","53.22"
"2012-07-20","53.76"
"2012-07-19","53.30"
"2012-07-18","53.31"
"2012-07-17","53.28"
"2012-07-16","52.87"
"2012-07-13","53.05"
"2012-07-12","52.21"
"2012-07-11","52.13"
"2012-07-10","52.19"
"2012-07-09","52.05"
"2012-07-06","52.08"
"2012-07-05","52.01"
"2012-07-03","52.13"
"2012-07-02","52.25"
"2012-06-29","51.74"
"2012-06-28","51.42"
"2012-06-27","51.24"
"2012-06-26","50.67"
"2012-06-25","50.64"
"2012-06-22","50.56"
"2012-06-21","50.81"
"2012-06-20","51.19"
"2012-06-19","51.80"
"2012-06-18","52.05"
"2012-06-15","52.01"
"2012-06-14","51.58"
"2012-06-13","51.20"
"2012-06-12","51.27"
"2012-06-11","50.76"
"2012-06-08","51.07"
"2012-06-07","50.85"
"2012-06-06","50.91"
"2012-06-05","50.34"
"2012-06-04","49.84"
"2012-06-01","49.43"
"2012-05-31","49.38"
"2012-05-30","48.85"
"2012-05-29","49.35"
"2012-05-25","49.11"
"2012-05-24","48.88"
"2012-05-23","48.64"
"2012-05-22","48.70"
"2012-05-21","48.20"
"2012-05-18","47.80"
"2012-05-17","48.11"
"2012-05-16","48.35"
"2012-05-15","47.97"
"2012-05-14","48.45"
"2012-05-11","48.60"
"2012-05-10","48.97"
"2012-05-09","48.06"
"2012-05-08","47.84"
"2012-05-07","47.75"
"2012-05-04","47.82"
"2012-05-03","47.62"
"2012-05-02","47.79"
"2012-05-01","48.23"
"2012-04-30","48.35"
"2012-04-27","48.21"
"2012-04-26","48.41"
"2012-04-25","48.42"
"2012-04-24","48.11"
"2012-04-23","47.45"
"2012-04-20","47.77"
"2012-04-19","47.06"
"2012-04-18","47.20"
"2012-04-17","47.20"
"2012-04-16","46.68"
"2012-04-13","46.23"
"2012-04-12","46.34"
"2012-04-11","46.12"
"2012-04-10","46.06"
"2012-04-09","46.83"
"2012-04-05","47.14"
"2012-04-04","47.71"
"2012-04-03","48.18"
"2012-04-02","48.12"
"2012-03-30","47.90"
"2012-03-29","47.63"
"2012-03-28","47.52"
"2012-03-27","47.90"
"2012-03-26","47.71"
"2012-03-23","47.24"
"2012-03-22","47.08"
"2012-03-21","47.04"
"2012-03-20","46.98"
"2012-03-19","46.84"
"2012-03-16","47.02"
"2012-03-15","46.90"
"2012-03-14","47.18"
"2012-03-13","48.08"
"2012-03-12","48.02"
"2012-03-09","47.45"
"2012-03-08","47.12"
"2012-03-07","46.77"
"2012-03-06","46.39"
"2012-03-05","46.41"
"2012-03-02","46.59"
"2012-03-01","46.88"
"2012-02-29","47.03"
"2012-02-28","47.16"
"2012-02-27","47.50"
"2012-02-24","47.51"
"2012-02-23","47.48"
"2012-02-22","47.40"
"2012-02-21","47.40"
"2012-02-17","47.86"
"2012-02-16","47.91"
"2012-02-15","47.43"
"2012-02-14","47.32"
"2012-02-13","47.55"
"2012-02-10","47.49"
"2012-02-09","47.96"
"2012-02-08","48.08"
"2012-02-07","48.19"
"2012-02-06","47.31"
"2012-02-03","47.50"
"2012-02-02","47.56"
"2012-02-01","47.66"
