"Date","Close"
"2013-12-31","30.09"
"2013-12-30","29.95"
"2013-12-27","29.85"
"2013-12-26","29.75"
"2013-12-24","29.86"
"2013-12-23","29.76"
"2013-12-20","29.68"
"2013-12-19","29.33"
"2013-12-18","29.68"
"2013-12-17","29.29"
"2013-12-16","29.41"
"2013-12-13","29.25"
"2013-12-12","29.27"
"2013-12-11","29.31"
"2013-12-10","29.64"
"2013-12-09","30.06"
"2013-12-06","29.98"
"2013-12-05","30.29"
"2013-12-04","30.85"
"2013-12-03","30.74"
"2013-12-02","30.42"
"2013-11-29","30.71"
"2013-11-27","30.50"
"2013-11-26","30.38"
"2013-11-25","30.72"
"2013-11-22","30.70"
"2013-11-21","30.57"
"2013-11-20","30.39"
"2013-11-19","30.68"
"2013-11-18","30.90"
"2013-11-15","31.08"
"2013-11-14","30.84"
"2013-11-13","30.33"
"2013-11-12","30.20"
"2013-11-11","30.48"
"2013-11-08","30.51"
"2013-11-07","30.66"
"2013-11-06","30.68"
"2013-11-05","30.40"
"2013-11-04","30.83"
"2013-11-01","30.73"
"2013-10-31","30.63"
"2013-10-30","30.77"
"2013-10-29","30.91"
"2013-10-28","30.78"
"2013-10-25","30.79"
"2013-10-24","30.60"
"2013-10-23","30.65"
"2013-10-22","30.57"
"2013-10-21","30.29"
"2013-10-18","30.30"
"2013-10-17","30.47"
"2013-10-16","29.79"
"2013-10-15","29.57"
"2013-10-14","30.16"
"2013-10-11","30.50"
"2013-10-10","30.53"
"2013-10-09","30.00"
"2013-10-08","30.03"
"2013-10-07","29.98"
"2013-10-04","30.13"
"2013-10-03","30.24"
"2013-10-02","30.69"
"2013-10-01","30.65"
"2013-09-30","30.38"
"2013-09-27","30.34"
"2013-09-26","30.47"
"2013-09-25","30.49"
"2013-09-24","30.76"
"2013-09-23","30.63"
"2013-09-20","30.11"
"2013-09-19","30.68"
"2013-09-18","30.94"
"2013-09-17","30.21"
"2013-09-16","29.92"
"2013-09-13","30.00"
"2013-09-12","29.94"
"2013-09-11","30.16"
"2013-09-10","30.34"
"2013-09-09","30.27"
"2013-09-06","30.07"
"2013-09-05","30.48"
"2013-09-04","30.72"
"2013-09-03","30.61"
"2013-08-30","30.70"
"2013-08-29","30.81"
"2013-08-28","31.04"
"2013-08-27","30.75"
"2013-08-26","30.63"
"2013-08-23","30.88"
"2013-08-22","30.56"
"2013-08-21","30.38"
"2013-08-20","30.75"
"2013-08-19","30.55"
"2013-08-16","30.55"
"2013-08-15","30.88"
"2013-08-14","31.29"
"2013-08-13","31.46"
"2013-08-12","31.73"
"2013-08-09","31.90"
"2013-08-08","31.85"
"2013-08-07","31.87"
"2013-08-06","31.66"
"2013-08-05","32.01"
"2013-08-02","31.93"
"2013-08-01","31.98"
"2013-07-31","31.77"
"2013-07-30","31.73"
"2013-07-29","31.69"
"2013-07-26","31.33"
"2013-07-25","31.26"
"2013-07-24","31.16"
"2013-07-23","31.61"
"2013-07-22","31.54"
"2013-07-19","31.55"
"2013-07-18","31.56"
"2013-07-17","31.08"
"2013-07-16","30.86"
"2013-07-15","30.89"
"2013-07-12","30.45"
"2013-07-11","30.41"
"2013-07-10","30.00"
"2013-07-09","29.90"
"2013-07-08","29.85"
"2013-07-05","29.35"
"2013-07-03","29.59"
"2013-07-02","29.75"
"2013-07-01","29.90"
"2013-06-28","30.26"
"2013-06-27","29.69"
"2013-06-26","29.71"
"2013-06-25","29.50"
"2013-06-24","29.08"
"2013-06-21","28.98"
"2013-06-20","28.52"
"2013-06-19","29.05"
"2013-06-18","29.46"
"2013-06-17","29.13"
"2013-06-14","29.13"
"2013-06-13","28.99"
"2013-06-12","28.45"
"2013-06-11","28.98"
"2013-06-10","29.13"
"2013-06-07","29.29"
"2013-06-06","29.40"
"2013-06-05","29.45"
"2013-06-04","29.70"
"2013-06-03","29.66"
"2013-05-31","29.70"
"2013-05-30","29.90"
"2013-05-29","30.04"
"2013-05-28","30.06"
"2013-05-24","30.59"
"2013-05-23","31.00"
"2013-05-22","31.27"
"2013-05-21","31.82"
"2013-05-20","31.81"
"2013-05-17","32.15"
"2013-05-16","31.94"
"2013-05-15","32.01"
"2013-05-14","31.88"
"2013-05-13","31.73"
"2013-05-10","31.84"
"2013-05-09","31.81"
"2013-05-08","31.99"
"2013-05-07","32.40"
"2013-05-06","31.98"
"2013-05-03","32.73"
"2013-05-02","32.94"
"2013-05-01","33.26"
"2013-04-30","33.38"
"2013-04-29","33.31"
"2013-04-26","33.03"
"2013-04-25","32.83"
"2013-04-24","32.80"
"2013-04-23","32.70"
"2013-04-22","32.54"
"2013-04-19","32.57"
"2013-04-18","32.06"
"2013-04-17","31.83"
"2013-04-16","31.86"
"2013-04-15","31.50"
"2013-04-12","31.99"
"2013-04-11","31.90"
"2013-04-10","31.66"
"2013-04-09","31.48"
"2013-04-08","31.67"
"2013-04-05","31.44"
"2013-04-04","31.29"
"2013-04-03","30.88"
"2013-04-02","31.16"
"2013-04-01","31.25"
"2013-03-28","31.31"
"2013-03-27","30.77"
"2013-03-26","30.59"
"2013-03-25","30.12"
"2013-03-22","30.09"
"2013-03-21","30.16"
"2013-03-20","30.26"
"2013-03-19","30.16"
"2013-03-18","30.17"
"2013-03-15","30.49"
"2013-03-14","30.21"
"2013-03-13","30.53"
"2013-03-12","30.39"
"2013-03-11","30.27"
"2013-03-08","30.64"
"2013-03-07","30.52"
"2013-03-06","30.77"
"2013-03-05","31.31"
"2013-03-04","31.05"
"2013-03-01","30.82"
"2013-02-28","30.82"
"2013-02-27","30.71"
"2013-02-26","30.50"
"2013-02-25","30.35"
"2013-02-22","30.79"
"2013-02-21","30.42"
"2013-02-20","30.48"
"2013-02-19","30.47"
"2013-02-15","30.41"
"2013-02-14","30.53"
"2013-02-13","30.47"
"2013-02-12","30.52"
"2013-02-11","30.39"
"2013-02-08","30.31"
"2013-02-07","30.30"
"2013-02-06","30.27"
"2013-02-05","30.16"
"2013-02-04","30.13"
"2013-02-01","30.37"
"2013-01-31","30.29"
"2013-01-30","29.80"
"2013-01-29","29.87"
"2013-01-28","29.60"
"2013-01-25","29.60"
"2013-01-24","29.51"
"2013-01-23","29.39"
"2013-01-22","29.60"
"2013-01-18","29.38"
"2013-01-17","28.99"
"2013-01-16","28.71"
"2013-01-15","28.91"
"2013-01-14","28.95"
"2013-01-11","28.95"
"2013-01-10","29.00"
"2013-01-09","28.96"
"2013-01-08","28.79"
"2013-01-07","28.92"
"2013-01-04","29.21"
"2013-01-03","29.20"
"2013-01-02","29.09"
"2012-12-31","28.63"
"2012-12-28","28.18"
"2012-12-27","28.52"
"2012-12-26","28.62"
"2012-12-24","28.92"
"2012-12-21","28.92"
"2012-12-20","29.11"
"2012-12-19","29.14"
"2012-12-18","29.45"
"2012-12-17","29.27"
"2012-12-14","28.79"
"2012-12-13","29.10"
"2012-12-12","29.06"
"2012-12-11","28.98"
"2012-12-10","29.00"
"2012-12-07","28.98"
"2012-12-06","29.00"
"2012-12-05","29.35"
"2012-12-04","28.96"
"2012-12-03","29.07"
"2012-11-30","29.35"
"2012-11-29","29.06"
"2012-11-28","28.94"
"2012-11-27","28.81"
"2012-11-26","28.44"
"2012-11-23","28.08"
"2012-11-21","28.23"
"2012-11-20","28.33"
"2012-11-19","28.37"
"2012-11-16","28.54"
"2012-11-15","27.95"
"2012-11-14","27.98"
"2012-11-13","28.32"
"2012-11-12","28.26"
"2012-11-09","28.68"
"2012-11-08","28.73"
"2012-11-07","28.30"
"2012-11-06","28.81"
"2012-11-05","28.78"
"2012-11-02","29.19"
"2012-11-01","29.43"
"2012-10-31","29.57"
"2012-10-26","29.49"
"2012-10-25","29.55"
"2012-10-24","29.37"
"2012-10-23","29.56"
"2012-10-22","29.74"
"2012-10-19","29.78"
"2012-10-18","30.15"
"2012-10-17","29.86"
"2012-10-16","29.52"
"2012-10-15","29.45"
"2012-10-12","29.44"
"2012-10-11","29.47"
"2012-10-10","29.30"
"2012-10-09","29.32"
"2012-10-08","29.24"
"2012-10-05","29.12"
"2012-10-04","29.36"
"2012-10-03","29.19"
"2012-10-02","28.96"
"2012-10-01","28.80"
"2012-09-28","29.05"
"2012-09-27","28.64"
"2012-09-26","28.87"
"2012-09-25","28.98"
"2012-09-24","29.07"
"2012-09-21","28.73"
"2012-09-20","28.70"
"2012-09-19","28.77"
"2012-09-18","28.83"
"2012-09-17","28.97"
"2012-09-14","29.07"
"2012-09-13","29.24"
"2012-09-12","28.81"
"2012-09-11","28.93"
"2012-09-10","29.13"
"2012-09-07","29.24"
"2012-09-06","29.21"
"2012-09-05","29.64"
"2012-09-04","29.61"
"2012-08-31","29.33"
"2012-08-30","29.36"
"2012-08-29","29.40"
"2012-08-28","29.30"
"2012-08-27","29.28"
"2012-08-24","29.28"
"2012-08-23","29.07"
"2012-08-22","29.29"
"2012-08-21","29.31"
"2012-08-20","29.49"
"2012-08-17","29.41"
"2012-08-16","29.50"
"2012-08-15","29.70"
"2012-08-14","29.74"
"2012-08-13","29.93"
"2012-08-10","29.92"
"2012-08-09","29.56"
"2012-08-08","29.13"
"2012-08-07","28.49"
"2012-08-06","28.74"
"2012-08-03","28.68"
"2012-08-02","28.59"
"2012-08-01","28.87"
"2012-07-31","28.90"
"2012-07-30","29.20"
"2012-07-27","29.17"
"2012-07-26","28.79"
"2012-07-25","28.53"
"2012-07-24","28.63"
"2012-07-23","28.86"
"2012-07-20","29.03"
"2012-07-19","28.94"
"2012-07-18","28.76"
"2012-07-17","28.76"
"2012-07-16","28.60"
"2012-07-13","28.47"
"2012-07-12","28.14"
