"Date","Close"
"2013-12-31","136.02"
"2013-12-30","134.69"
"2013-12-27","134.50"
"2013-12-26","134.97"
"2013-12-24","134.44"
"2013-12-23","134.39"
"2013-12-20","130.88"
"2013-12-19","130.98"
"2013-12-18","132.63"
"2013-12-17","131.41"
"2013-12-16","130.48"
"2013-12-13","129.06"
"2013-12-12","128.00"
"2013-12-11","130.69"
"2013-12-10","131.87"
"2013-12-09","127.43"
"2013-12-06","130.11"
"2013-12-05","130.76"
"2013-12-04","132.11"
"2013-12-03","131.92"
"2013-12-02","132.00"
"2013-11-29","133.92"
"2013-11-27","134.84"
"2013-11-26","134.49"
"2013-11-25","132.80"
"2013-11-22","132.01"
"2013-11-21","131.27"
"2013-11-20","130.71"
"2013-11-19","131.71"
"2013-11-18","132.03"
"2013-11-15","133.05"
"2013-11-14","133.43"
"2013-11-13","132.90"
"2013-11-12","127.19"
"2013-11-11","126.81"
"2013-11-08","125.57"
"2013-11-07","124.64"
"2013-11-06","126.07"
"2013-11-05","124.84"
"2013-11-04","125.68"
"2013-11-01","124.53"
"2013-10-31","124.57"
"2013-10-30","124.75"
"2013-10-29","123.23"
"2013-10-28","120.89"
"2013-10-25","118.55"
"2013-10-24","119.05"
"2013-10-23","121.36"
"2013-10-22","122.95"
"2013-10-21","123.15"
"2013-10-18","122.42"
"2013-10-17","120.20"
"2013-10-16","120.84"
"2013-10-15","119.13"
"2013-10-14","119.04"
"2013-10-11","118.92"
"2013-10-10","119.88"
"2013-10-09","117.97"
"2013-10-08","117.69"
"2013-10-07","121.73"
"2013-10-04","123.95"
"2013-10-03","122.69"
"2013-10-02","117.55"
"2013-10-01","115.21"
"2013-09-30","118.69"
"2013-09-27","118.51"
"2013-09-26","119.81"
"2013-09-25","119.75"
"2013-09-24","123.10"
"2013-09-23","122.57"
"2013-09-20","125.09"
"2013-09-19","127.00"
"2013-09-18","126.44"
"2013-09-17","122.71"
"2013-09-16","123.74"
"2013-09-13","124.45"
"2013-09-12","123.76"
"2013-09-11","122.80"
"2013-09-10","124.66"
"2013-09-09","132.11"
"2013-09-06","129.97"
"2013-09-05","129.30"
"2013-09-04","130.51"
"2013-09-03","129.34"
"2013-08-30","128.75"
"2013-08-29","128.93"
"2013-08-28","127.41"
"2013-08-27","128.01"
