"Date","Close"
"2013-12-31","31.56"
"2013-12-30","31.21"
"2013-12-27","31.33"
"2013-12-26","31.29"
"2013-12-24","31.16"
"2013-12-23","31.00"
"2013-12-20","30.66"
"2013-12-19","30.28"
"2013-12-18","30.64"
"2013-12-17","29.17"
"2013-12-16","29.04"
"2013-12-13","28.73"
"2013-12-12","28.82"
"2013-12-11","29.01"
"2013-12-10","29.38"
"2013-12-09","29.67"
"2013-12-06","29.54"
"2013-12-05","29.12"
"2013-12-04","29.36"
"2013-12-03","29.49"
"2013-12-02","29.37"
"2013-11-29","29.61"
"2013-11-27","29.62"
"2013-11-26","29.49"
"2013-11-25","29.40"
"2013-11-22","29.12"
"2013-11-21","29.36"
"2013-11-20","29.27"
"2013-11-19","29.46"
"2013-11-18","29.74"
"2013-11-15","30.02"
"2013-11-14","30.07"
"2013-11-13","29.96"
"2013-11-12","29.84"
"2013-11-11","29.84"
"2013-11-08","29.86"
"2013-11-07","29.87"
"2013-11-06","30.31"
"2013-11-05","30.27"
"2013-11-04","30.55"
"2013-11-01","30.59"
"2013-10-31","30.21"
"2013-10-30","29.77"
"2013-10-29","29.56"
"2013-10-28","29.22"
"2013-10-25","29.15"
"2013-10-24","29.22"
"2013-10-23","29.18"
"2013-10-22","29.28"
"2013-10-21","28.72"
"2013-10-18","28.75"
"2013-10-17","28.61"
"2013-10-16","28.08"
"2013-10-15","27.83"
"2013-10-14","28.37"
"2013-10-11","28.36"
"2013-10-10","27.68"
"2013-10-09","27.03"
"2013-10-08","27.05"
"2013-10-07","27.51"
"2013-10-04","27.80"
"2013-10-03","27.74"
"2013-10-02","27.91"
"2013-10-01","27.81"
"2013-09-30","27.51"
"2013-09-27","27.64"
"2013-09-26","28.21"
"2013-09-25","27.99"
"2013-09-24","27.66"
"2013-09-23","27.24"
"2013-09-20","27.37"
"2013-09-19","27.75"
"2013-09-18","27.58"
"2013-09-17","27.13"
"2013-09-16","26.59"
"2013-09-13","26.02"
"2013-09-12","26.20"
"2013-09-11","25.96"
"2013-09-10","26.08"
"2013-09-09","25.78"
"2013-09-06","25.78"
"2013-09-05","26.08"
"2013-09-04","25.96"
"2013-09-03","25.93"
"2013-08-30","26.14"
"2013-08-29","26.34"
"2013-08-28","26.24"
"2013-08-27","26.46"
"2013-08-26","26.93"
"2013-08-23","27.13"
"2013-08-22","26.87"
"2013-08-21","26.29"
"2013-08-20","26.22"
"2013-08-19","26.01"
"2013-08-16","26.54"
"2013-08-15","26.73"
"2013-08-14","27.14"
"2013-08-13","27.37"
"2013-08-12","27.62"
"2013-08-09","27.60"
"2013-08-08","27.35"
"2013-08-07","27.13"
"2013-08-06","27.55"
"2013-08-05","28.00"
"2013-08-02","28.16"
"2013-08-01","28.14"
"2013-07-31","26.81"
"2013-07-30","26.55"
"2013-07-29","26.59"
"2013-07-26","27.53"
"2013-07-25","27.77"
"2013-07-24","27.85"
"2013-07-23","28.31"
"2013-07-22","28.49"
"2013-07-19","28.27"
"2013-07-18","27.82"
"2013-07-17","27.79"
"2013-07-16","27.93"
"2013-07-15","27.79"
"2013-07-12","27.74"
"2013-07-11","27.34"
"2013-07-10","27.18"
"2013-07-09","27.16"
"2013-07-08","26.77"
"2013-07-05","26.40"
"2013-07-03","26.19"
"2013-07-02","26.12"
"2013-07-01","26.46"
"2013-06-28","26.46"
"2013-06-27","26.70"
"2013-06-26","26.18"
"2013-06-25","26.20"
"2013-06-24","25.74"
"2013-06-21","25.81"
"2013-06-20","26.17"
"2013-06-19","26.94"
"2013-06-18","27.11"
"2013-06-17","26.58"
"2013-06-14","26.27"
"2013-06-13","26.26"
"2013-06-12","26.24"
"2013-06-11","26.76"
"2013-06-10","27.25"
"2013-06-07","27.66"
"2013-06-06","27.29"
"2013-06-05","26.91"
"2013-06-04","27.14"
"2013-06-03","28.15"
"2013-05-31","28.37"
"2013-05-30","28.57"
"2013-05-29","28.51"
"2013-05-28","28.88"
"2013-05-24","28.86"
"2013-05-23","29.30"
"2013-05-22","29.40"
"2013-05-21","30.06"
"2013-05-20","30.29"
"2013-05-17","30.20"
"2013-05-16","29.74"
"2013-05-15","29.80"
"2013-05-14","29.41"
"2013-05-13","28.72"
"2013-05-10","29.14"
"2013-05-09","28.79"
"2013-05-08","29.02"
"2013-05-07","29.09"
"2013-05-06","29.29"
"2013-05-03","28.92"
"2013-05-02","28.63"
"2013-05-01","27.02"
"2013-04-30","27.48"
"2013-04-29","27.58"
"2013-04-26","27.56"
"2013-04-25","27.78"
"2013-04-24","27.37"
"2013-04-23","27.57"
"2013-04-22","27.42"
"2013-04-19","27.31"
"2013-04-18","26.70"
"2013-04-17","26.98"
"2013-04-16","27.31"
"2013-04-15","26.71"
"2013-04-12","28.06"
"2013-04-11","27.94"
"2013-04-10","28.11"
"2013-04-09","27.91"
"2013-04-08","27.98"
"2013-04-05","26.93"
"2013-04-04","26.63"
"2013-04-03","26.39"
"2013-04-02","27.02"
"2013-04-01","27.91"
"2013-03-28","28.58"
"2013-03-27","28.33"
"2013-03-26","28.45"
"2013-03-25","28.44"
"2013-03-22","28.75"
"2013-03-21","28.61"
"2013-03-20","29.45"
"2013-03-19","29.27"
"2013-03-18","29.32"
"2013-03-15","29.43"
"2013-03-14","29.73"
"2013-03-13","29.58"
"2013-03-12","29.51"
"2013-03-11","29.85"
"2013-03-08","29.49"
"2013-03-07","29.26"
"2013-03-06","29.26"
"2013-03-05","29.04"
"2013-03-04","28.39"
"2013-03-01","28.19"
"2013-02-28","28.40"
"2013-02-27","28.04"
"2013-02-26","27.89"
"2013-02-25","28.16"
"2013-02-22","28.70"
"2013-02-21","28.44"
"2013-02-20","28.14"
"2013-02-19","28.89"
"2013-02-15","28.74"
"2013-02-14","29.11"
"2013-02-13","28.99"
"2013-02-12","28.61"
"2013-02-11","28.19"
"2013-02-08","28.42"
"2013-02-07","28.56"
"2013-02-06","28.53"
"2013-02-05","28.17"
"2013-02-04","28.17"
"2013-02-01","28.66"
"2013-01-31","28.97"
"2013-01-30","29.01"
"2013-01-29","29.91"
"2013-01-28","29.73"
"2013-01-25","29.72"
"2013-01-24","29.59"
"2013-01-23","29.18"
"2013-01-22","29.43"
"2013-01-18","28.84"
"2013-01-17","28.61"
"2013-01-16","28.58"
"2013-01-15","28.88"
"2013-01-14","28.66"
"2013-01-11","29.02"
"2013-01-10","29.19"
"2013-01-09","28.82"
"2013-01-08","28.47"
"2013-01-07","28.25"
"2013-01-04","27.96"
"2013-01-03","27.67"
"2013-01-02","27.91"
"2012-12-31","27.29"
"2012-12-28","26.48"
"2012-12-27","26.99"
"2012-12-26","27.04"
"2012-12-24","27.19"
"2012-12-21","27.21"
"2012-12-20","27.60"
"2012-12-19","27.27"
"2012-12-18","27.59"
"2012-12-17","27.26"
"2012-12-14","27.09"
"2012-12-13","27.05"
"2012-12-12","27.38"
"2012-12-11","26.97"
"2012-12-10","26.92"
"2012-12-07","26.02"
"2012-12-06","25.70"
"2012-12-05","25.93"
"2012-12-04","26.11"
"2012-12-03","25.81"
"2012-11-30","25.86"
"2012-11-29","25.40"
"2012-11-28","25.10"
"2012-11-27","25.11"
"2012-11-26","25.65"
"2012-11-23","25.47"
"2012-11-21","25.20"
"2012-11-20","25.14"
"2012-11-19","25.29"
"2012-11-16","25.10"
"2012-11-15","24.98"
"2012-11-14","25.03"
"2012-11-13","25.50"
"2012-11-12","25.85"
"2012-11-09","26.09"
"2012-11-08","26.04"
"2012-11-07","26.65"
"2012-11-06","26.40"
"2012-11-05","25.98"
"2012-11-02","25.45"
"2012-11-01","25.72"
"2012-10-31","25.93"
"2012-10-26","23.60"
"2012-10-25","23.55"
"2012-10-24","23.28"
"2012-10-23","23.25"
"2012-10-22","23.33"
"2012-10-19","23.55"
"2012-10-18","24.14"
"2012-10-17","24.24"
"2012-10-16","24.50"
"2012-10-15","24.11"
"2012-10-12","24.30"
"2012-10-11","24.07"
"2012-10-10","23.93"
"2012-10-09","24.18"
"2012-10-08","24.63"
"2012-10-05","24.75"
"2012-10-04","24.83"
"2012-10-03","24.88"
"2012-10-02","24.82"
"2012-10-01","24.69"
"2012-09-28","24.70"
"2012-09-27","24.73"
"2012-09-26","24.73"
"2012-09-25","24.72"
"2012-09-24","25.05"
"2012-09-21","24.90"
"2012-09-20","24.93"
"2012-09-19","25.34"
"2012-09-18","25.50"
"2012-09-17","25.54"
"2012-09-14","25.82"
"2012-09-13","25.70"
"2012-09-12","24.87"
"2012-09-11","24.54"
"2012-09-10","24.46"
"2012-09-07","24.75"
"2012-09-06","24.78"
"2012-09-05","24.02"
"2012-09-04","24.07"
"2012-08-31","24.00"
"2012-08-30","23.62"
"2012-08-29","23.92"
"2012-08-28","24.23"
"2012-08-27","24.13"
"2012-08-24","24.20"
"2012-08-23","24.31"
"2012-08-22","24.34"
"2012-08-21","24.76"
"2012-08-20","24.68"
"2012-08-17","24.96"
"2012-08-16","25.08"
"2012-08-15","24.77"
"2012-08-14","24.55"
"2012-08-13","24.56"
"2012-08-10","24.78"
"2012-08-09","24.58"
"2012-08-08","24.76"
"2012-08-07","24.56"
"2012-08-06","24.48"
"2012-08-03","24.71"
"2012-08-02","23.93"
"2012-08-01","22.47"
"2012-07-31","22.99"
"2012-07-30","23.27"
"2012-07-27","23.14"
"2012-07-26","22.69"
"2012-07-25","22.11"
"2012-07-24","22.05"
"2012-07-23","22.22"
"2012-07-20","22.01"
"2012-07-19","22.71"
"2012-07-18","23.50"
"2012-07-17","23.51"
"2012-07-16","23.28"
"2012-07-13","23.39"
"2012-07-12","23.11"
"2012-07-11","22.73"
"2012-07-10","23.09"
"2012-07-09","23.50"
"2012-07-06","23.50"
"2012-07-05","23.83"
"2012-07-03","23.65"
"2012-07-02","23.89"
"2012-06-29","24.07"
"2012-06-28","23.54"
"2012-06-27","22.91"
"2012-06-26","22.57"
"2012-06-25","22.34"
"2012-06-22","22.83"
"2012-06-21","22.73"
"2012-06-20","23.15"
"2012-06-19","23.24"
"2012-06-18","23.33"
"2012-06-15","22.81"
"2012-06-14","22.88"
"2012-06-13","22.29"
"2012-06-12","22.39"
"2012-06-11","22.18"
"2012-06-08","22.54"
"2012-06-07","22.27"
"2012-06-06","21.93"
"2012-06-05","21.29"
"2012-06-04","21.37"
"2012-06-01","21.60"
"2012-05-31","22.58"
"2012-05-30","22.14"
"2012-05-29","22.53"
"2012-05-25","22.70"
"2012-05-24","22.91"
"2012-05-23","22.60"
"2012-05-22","22.23"
"2012-05-21","22.13"
"2012-05-18","21.66"
"2012-05-17","22.01"
"2012-05-16","22.74"
"2012-05-15","22.60"
"2012-05-14","22.90"
"2012-05-11","23.13"
"2012-05-10","23.04"
"2012-05-09","23.11"
"2012-05-08","23.37"
"2012-05-07","23.50"
"2012-05-04","23.16"
"2012-05-03","23.50"
"2012-05-02","22.63"
"2012-05-01","22.31"
"2012-04-30","22.12"
"2012-04-27","22.06"
"2012-04-26","21.62"
"2012-04-25","21.43"
"2012-04-24","21.07"
"2012-04-23","20.82"
"2012-04-20","21.23"
"2012-04-19","20.78"
"2012-04-18","21.13"
"2012-04-17","21.35"
"2012-04-16","20.89"
"2012-04-13","20.74"
"2012-04-12","20.98"
"2012-04-11","20.73"
"2012-04-10","20.34"
"2012-04-09","20.89"
"2012-04-05","21.65"
"2012-04-04","21.56"
"2012-04-03","21.12"
"2012-04-02","21.03"
"2012-03-30","20.90"
"2012-03-29","20.94"
"2012-03-28","21.06"
"2012-03-27","21.36"
"2012-03-26","21.64"
"2012-03-23","21.41"
"2012-03-22","21.25"
"2012-03-21","21.31"
"2012-03-20","21.39"
"2012-03-19","21.78"
"2012-03-16","21.94"
"2012-03-15","21.89"
"2012-03-14","21.65"
"2012-03-13","21.78"
"2012-03-12","21.60"
"2012-03-09","21.66"
"2012-03-08","21.42"
"2012-03-07","21.03"
"2012-03-06","20.72"
"2012-03-05","21.25"
"2012-03-02","20.98"
"2012-03-01","21.18"
"2012-02-29","20.90"
"2012-02-28","21.30"
"2012-02-27","21.34"
"2012-02-24","21.07"
"2012-02-23","21.28"
"2012-02-22","21.27"
"2012-02-21","21.79"
"2012-02-17","21.74"
"2012-02-16","21.88"
"2012-02-15","21.92"
"2012-02-14","22.20"
"2012-02-13","21.95"
"2012-02-10","21.88"
"2012-02-09","22.46"
"2012-02-08","22.20"
"2012-02-07","22.44"
"2012-02-06","22.44"
"2012-02-03","22.30"
"2012-02-02","22.21"
"2012-02-01","22.08"
"2012-01-31","21.60"
"2012-01-30","21.80"
"2012-01-27","21.67"
"2012-01-26","21.47"
"2012-01-25","21.48"
"2012-01-24","20.89"
"2012-01-23","20.86"
"2012-01-20","21.40"
"2012-01-19","21.69"
"2012-01-18","21.55"
"2012-01-17","21.66"
"2012-01-13","22.04"
"2012-01-12","22.14"
"2012-01-11","22.05"
"2012-01-10","22.03"
"2012-01-09","21.61"
"2012-01-06","21.72"
"2012-01-05","21.88"
"2012-01-04","21.61"
"2012-01-03","21.56"
"2011-12-30","21.54"
"2011-12-29","21.58"
"2011-12-28","21.43"
"2011-12-27","21.76"
"2011-12-23","21.86"
"2011-12-22","21.68"
"2011-12-21","21.10"
"2011-12-20","21.19"
"2011-12-19","20.50"
"2011-12-16","20.91"
"2011-12-15","20.27"
"2011-12-14","19.93"
"2011-12-13","20.23"
"2011-12-12","20.68"
"2011-12-09","20.89"
"2011-12-08","20.18"
"2011-12-07","20.84"
"2011-12-06","20.88"
"2011-12-05","20.99"
"2011-12-02","20.65"
"2011-12-01","20.67"
"2011-11-30","20.59"
"2011-11-29","19.44"
"2011-11-28","19.79"
"2011-11-25","18.87"
"2011-11-23","18.75"
"2011-11-22","19.16"
"2011-11-21","19.06"
"2011-11-18","19.36"
"2011-11-17","19.44"
"2011-11-16","19.71"
"2011-11-15","19.19"
"2011-11-14","18.77"
"2011-11-11","19.16"
"2011-11-10","18.94"
"2011-11-09","19.64"
"2011-11-08","20.95"
"2011-11-07","21.02"
"2011-11-04","21.91"
"2011-11-03","22.44"
"2011-11-02","22.15"
"2011-11-01","19.84"
"2011-10-31","20.89"
"2011-10-28","21.69"
"2011-10-27","21.61"
"2011-10-26","20.57"
"2011-10-25","20.30"
"2011-10-24","20.80"
"2011-10-21","20.39"
"2011-10-20","19.71"
"2011-10-19","19.73"
"2011-10-18","20.04"
"2011-10-17","19.54"
"2011-10-14","20.06"
"2011-10-13","19.71"
"2011-10-12","20.07"
"2011-10-11","19.68"
"2011-10-10","19.82"
"2011-10-07","19.22"
"2011-10-06","19.63"
"2011-10-05","18.96"
"2011-10-04","18.07"
"2011-10-03","17.37"
"2011-09-30","18.79"
"2011-09-29","19.44"
"2011-09-28","18.66"
"2011-09-27","19.43"
"2011-09-26","19.03"
"2011-09-23","19.03"
"2011-09-22","18.32"
"2011-09-21","18.91"
"2011-09-20","18.90"
"2011-09-19","19.04"
"2011-09-16","18.83"
"2011-09-15","18.91"
"2011-09-14","18.53"
"2011-09-13","18.20"
"2011-09-12","17.79"
"2011-09-09","17.78"
"2011-09-08","18.42"
"2011-09-07","18.61"
"2011-09-06","18.00"
"2011-09-02","17.94"
"2011-09-01","18.78"
"2011-08-31","19.19"
"2011-08-30","19.18"
"2011-08-29","18.36"
"2011-08-26","18.12"
"2011-08-25","17.21"
"2011-08-24","17.49"
"2011-08-23","16.96"
"2011-08-22","16.19"
"2011-08-19","16.26"
"2011-08-18","16.27"
