"Date","Close"
"2013-12-31","74.25"
"2013-12-30","73.57"
"2013-12-27","73.80"
"2013-12-26","73.48"
"2013-12-24","73.04"
"2013-12-23","72.84"
"2013-12-20","72.91"
"2013-12-19","72.43"
"2013-12-18","73.18"
"2013-12-17","72.92"
"2013-12-16","72.79"
"2013-12-13","72.58"
"2013-12-12","72.73"
"2013-12-11","73.01"
"2013-12-10","73.38"
"2013-12-09","73.37"
"2013-12-06","73.76"
"2013-12-05","73.23"
"2013-12-04","73.18"
"2013-12-03","73.31"
"2013-12-02","73.44"
"2013-11-29","73.58"
"2013-11-27","73.56"
"2013-11-26","73.65"
"2013-11-25","72.49"
"2013-11-22","72.96"
"2013-11-21","71.71"
"2013-11-20","71.03"
"2013-11-19","71.84"
"2013-11-18","71.94"
"2013-11-15","72.17"
"2013-11-14","71.22"
"2013-11-13","70.03"
"2013-11-12","68.51"
"2013-11-11","67.62"
"2013-11-08","67.45"
"2013-11-07","67.09"
"2013-11-06","69.74"
"2013-11-05","69.01"
"2013-11-04","69.57"
"2013-11-01","69.90"
"2013-10-31","69.49"
"2013-10-30","69.04"
"2013-10-29","68.93"
"2013-10-28","68.54"
"2013-10-25","68.27"
"2013-10-24","66.94"
"2013-10-23","67.04"
"2013-10-22","68.92"
"2013-10-21","68.77"
"2013-10-18","68.40"
"2013-10-17","68.70"
"2013-10-16","68.87"
"2013-10-15","68.17"
"2013-10-14","67.75"
"2013-10-11","67.55"
"2013-10-10","66.84"
"2013-10-09","65.71"
"2013-10-08","66.35"
"2013-10-07","67.19"
"2013-10-04","68.02"
"2013-10-03","67.11"
"2013-10-02","67.68"
"2013-10-01","67.49"
"2013-09-30","67.32"
"2013-09-27","67.38"
"2013-09-26","68.87"
"2013-09-25","68.75"
"2013-09-24","68.51"
"2013-09-23","68.98"
"2013-09-20","69.06"
"2013-09-19","69.46"
"2013-09-18","69.64"
"2013-09-17","69.42"
"2013-09-16","68.09"
"2013-09-13","68.58"
"2013-09-12","68.81"
"2013-09-11","68.09"
"2013-09-10","70.09"
"2013-09-09","69.30"
"2013-09-06","68.02"
"2013-09-05","67.83"
"2013-09-04","67.28"
"2013-09-03","66.75"
"2013-08-30","66.28"
"2013-08-29","66.71"
"2013-08-28","66.56"
"2013-08-27","66.02"
"2013-08-26","66.95"
"2013-08-23","67.15"
"2013-08-22","67.13"
"2013-08-21","66.57"
"2013-08-20","66.71"
"2013-08-19","66.33"
"2013-08-16","66.90"
"2013-08-15","66.95"
"2013-08-14","66.96"
"2013-08-13","67.25"
"2013-08-12","66.46"
"2013-08-09","66.27"
"2013-08-08","66.35"
"2013-08-07","65.21"
"2013-08-06","65.59"
"2013-08-05","66.25"
"2013-08-02","66.75"
"2013-08-01","65.27"
"2013-07-31","64.56"
"2013-07-30","64.51"
"2013-07-29","64.24"
"2013-07-26","64.61"
"2013-07-25","63.42"
"2013-07-24","61.39"
"2013-07-23","62.30"
"2013-07-22","62.21"
"2013-07-19","61.46"
"2013-07-18","61.12"
"2013-07-17","62.65"
"2013-07-16","61.85"
"2013-07-15","61.28"
"2013-07-12","62.02"
"2013-07-11","61.30"
"2013-07-10","60.44"
"2013-07-09","59.39"
"2013-07-08","59.99"
"2013-07-05","60.95"
"2013-07-03","60.91"
"2013-07-02","60.92"
"2013-07-01","60.96"
"2013-06-28","61.09"
"2013-06-27","61.08"
"2013-06-26","61.27"
"2013-06-25","61.81"
"2013-06-24","59.88"
"2013-06-21","60.67"
"2013-06-20","60.92"
"2013-06-19","61.91"
"2013-06-18","62.38"
"2013-06-17","62.07"
"2013-06-14","61.38"
"2013-06-13","61.96"
"2013-06-12","61.11"
"2013-06-11","61.66"
"2013-06-10","62.03"
"2013-06-07","62.10"
"2013-06-06","62.97"
"2013-06-05","63.15"
"2013-06-04","63.71"
"2013-06-03","63.23"
"2013-05-31","63.48"
"2013-05-30","64.18"
"2013-05-29","64.11"
"2013-05-28","64.07"
"2013-05-24","64.26"
"2013-05-23","63.91"
"2013-05-22","65.23"
"2013-05-21","65.76"
"2013-05-20","66.10"
"2013-05-17","66.61"
"2013-05-16","65.64"
"2013-05-15","65.54"
"2013-05-14","65.32"
"2013-05-13","64.82"
"2013-05-10","64.64"
"2013-05-09","64.11"
"2013-05-08","64.12"
"2013-05-07","63.97"
"2013-05-06","63.86"
"2013-05-03","63.77"
"2013-05-02","62.89"
"2013-05-01","61.92"
"2013-04-30","61.60"
"2013-04-29","61.61"
"2013-04-26","61.52"
"2013-04-25","62.44"
"2013-04-24","66.00"
"2013-04-23","65.35"
"2013-04-22","64.58"
"2013-04-19","63.93"
"2013-04-18","63.64"
"2013-04-17","64.23"
"2013-04-16","65.81"
"2013-04-15","65.49"
"2013-04-12","66.68"
"2013-04-11","67.03"
"2013-04-10","67.29"
"2013-04-09","65.96"
"2013-04-08","65.86"
"2013-04-05","65.16"
"2013-04-04","65.81"
"2013-04-03","65.97"
"2013-04-02","66.25"
"2013-04-01","66.00"
"2013-03-28","66.94"
"2013-03-27","66.68"
"2013-03-26","66.62"
"2013-03-25","65.67"
"2013-03-22","65.92"
"2013-03-21","65.35"
"2013-03-20","65.74"
"2013-03-19","64.72"
"2013-03-18","64.56"
"2013-03-15","64.97"
"2013-03-14","66.57"
"2013-03-13","66.75"
"2013-03-12","67.04"
"2013-03-11","66.70"
"2013-03-08","66.65"
"2013-03-07","66.79"
"2013-03-06","66.67"
"2013-03-05","67.97"
"2013-03-04","66.63"
"2013-03-01","66.30"
"2013-02-28","65.64"
"2013-02-27","65.64"
"2013-02-26","65.27"
"2013-02-25","64.80"
"2013-02-22","64.94"
"2013-02-21","64.82"
"2013-02-20","65.27"
"2013-02-19","65.67"
"2013-02-15","65.43"
"2013-02-14","65.53"
"2013-02-13","65.45"
"2013-02-12","65.89"
"2013-02-11","67.18"
"2013-02-08","66.95"
"2013-02-07","66.54"
"2013-02-06","67.18"
"2013-02-05","66.95"
"2013-02-04","65.64"
"2013-02-01","66.73"
"2013-01-31","66.02"
"2013-01-30","63.53"
"2013-01-29","63.45"
"2013-01-28","63.67"
"2013-01-25","63.66"
"2013-01-24","64.40"
"2013-01-23","64.89"
"2013-01-22","64.68"
"2013-01-18","64.68"
"2013-01-17","65.14"
"2013-01-16","64.79"
"2013-01-15","64.44"
"2013-01-14","64.24"
"2013-01-11","64.90"
"2013-01-10","64.78"
"2013-01-09","64.88"
"2013-01-08","63.91"
"2013-01-07","64.01"
"2013-01-04","63.50"
"2013-01-03","64.45"
"2013-01-02","64.75"
"2012-12-31","61.86"
"2012-12-28","60.64"
"2012-12-27","61.51"
"2012-12-26","61.59"
"2012-12-24","61.90"
"2012-12-21","61.61"
"2012-12-20","62.86"
"2012-12-19","62.55"
"2012-12-18","63.36"
"2012-12-17","62.04"
"2012-12-14","59.83"
"2012-12-13","62.76"
"2012-12-12","63.49"
"2012-12-11","64.35"
"2012-12-10","63.93"
"2012-12-07","63.86"
"2012-12-06","64.20"
"2012-12-05","63.63"
"2012-12-04","63.47"
"2012-12-03","63.37"
"2012-11-30","63.62"
"2012-11-29","63.35"
"2012-11-28","62.65"
"2012-11-27","62.26"
"2012-11-26","62.49"
"2012-11-23","63.13"
"2012-11-21","62.14"
"2012-11-20","62.14"
"2012-11-19","62.09"
"2012-11-16","61.93"
"2012-11-15","61.28"
"2012-11-14","61.73"
"2012-11-13","62.13"
"2012-11-12","61.62"
"2012-11-09","61.62"
"2012-11-08","60.67"
"2012-11-07","58.12"
"2012-11-06","60.37"
"2012-11-05","60.43"
"2012-11-02","59.30"
"2012-11-01","59.73"
"2012-10-31","58.61"
"2012-10-26","59.04"
"2012-10-25","57.43"
"2012-10-24","57.63"
"2012-10-23","58.31"
"2012-10-22","58.68"
"2012-10-19","58.75"
"2012-10-18","59.96"
"2012-10-17","60.98"
"2012-10-16","60.36"
"2012-10-15","59.29"
"2012-10-12","58.89"
"2012-10-11","59.21"
"2012-10-10","59.78"
"2012-10-09","60.39"
"2012-10-08","61.40"
"2012-10-05","62.64"
"2012-10-04","62.65"
"2012-10-03","62.07"
"2012-10-02","61.79"
"2012-10-01","61.91"
"2012-09-28","62.47"
"2012-09-27","63.49"
"2012-09-26","62.32"
"2012-09-25","62.73"
"2012-09-24","63.67"
"2012-09-21","64.27"
"2012-09-20","64.35"
"2012-09-19","65.08"
"2012-09-18","65.08"
"2012-09-17","64.81"
"2012-09-14","64.88"
"2012-09-13","63.85"
"2012-09-12","62.44"
"2012-09-11","61.85"
"2012-09-10","61.29"
"2012-09-07","61.93"
"2012-09-06","62.62"
"2012-09-05","60.68"
"2012-09-04","60.81"
"2012-08-31","61.46"
"2012-08-30","61.20"
"2012-08-29","62.11"
"2012-08-28","62.01"
"2012-08-27","62.37"
"2012-08-24","62.43"
"2012-08-23","62.04"
"2012-08-22","62.17"
"2012-08-21","62.08"
"2012-08-20","62.80"
"2012-08-17","63.29"
"2012-08-16","62.57"
"2012-08-15","62.52"
"2012-08-14","62.39"
"2012-08-13","62.10"
"2012-08-10","61.98"
"2012-08-09","62.00"
"2012-08-08","61.45"
"2012-08-07","61.34"
"2012-08-06","60.13"
"2012-08-03","60.24"
"2012-08-02","58.88"
"2012-08-01","59.52"
"2012-07-31","59.68"
"2012-07-30","59.15"
"2012-07-27","59.34"
"2012-07-26","58.21"
"2012-07-25","57.28"
"2012-07-24","56.79"
"2012-07-23","57.32"
"2012-07-20","57.68"
"2012-07-19","58.44"
"2012-07-18","56.05"
"2012-07-17","54.46"
"2012-07-16","54.36"
"2012-07-13","54.98"
"2012-07-12","53.73"
"2012-07-11","54.37"
"2012-07-10","55.17"
"2012-07-09","55.32"
"2012-07-06","55.31"
"2012-07-05","56.25"
"2012-07-03","56.26"
"2012-07-02","55.67"
"2012-06-29","55.68"
"2012-06-28","54.30"
"2012-06-27","54.91"
"2012-06-26","53.92"
"2012-06-25","53.56"
"2012-06-22","55.64"
"2012-06-21","55.13"
"2012-06-20","57.00"
"2012-06-19","57.02"
"2012-06-18","56.77"
"2012-06-15","56.50"
"2012-06-14","56.79"
"2012-06-13","58.94"
"2012-06-12","59.40"
"2012-06-11","57.79"
"2012-06-08","58.76"
"2012-06-07","58.00"
"2012-06-06","58.40"
"2012-06-05","57.18"
"2012-06-04","55.85"
"2012-06-01","55.12"
"2012-05-31","57.31"
"2012-05-30","57.45"
"2012-05-29","58.39"
"2012-05-25","57.32"
"2012-05-24","57.15"
"2012-05-23","58.14"
"2012-05-22","57.93"
"2012-05-21","57.22"
"2012-05-18","55.98"
"2012-05-17","57.16"
"2012-05-16","59.11"
"2012-05-15","61.44"
"2012-05-14","61.46"
"2012-05-11","61.86"
"2012-05-10","62.48"
"2012-05-09","62.01"
"2012-05-08","62.67"
"2012-05-07","61.92"
"2012-05-04","61.91"
