"Date","Close"
"2013-12-31","73.78"
"2013-12-30","73.67"
"2013-12-27","73.40"
"2013-12-26","73.30"
"2013-12-24","73.31"
"2013-12-23","73.07"
"2013-12-20","71.39"
"2013-12-19","71.49"
"2013-12-18","70.69"
"2013-12-17","69.80"
"2013-12-16","69.76"
"2013-12-13","67.69"
"2013-12-12","66.80"
"2013-12-11","67.17"
"2013-12-10","67.86"
"2013-12-09","68.24"
"2013-12-06","68.75"
"2013-12-05","68.46"
"2013-12-04","68.81"
"2013-12-03","69.09"
"2013-12-02","69.60"
"2013-11-29","69.84"
"2013-11-27","69.55"
"2013-11-26","68.97"
"2013-11-25","68.78"
"2013-11-22","69.01"
"2013-11-21","68.87"
"2013-11-20","67.80"
"2013-11-19","68.00"
"2013-11-18","68.16"
"2013-11-15","68.04"
"2013-11-14","66.12"
"2013-11-13","65.99"
"2013-11-12","65.43"
"2013-11-11","65.20"
"2013-11-08","64.58"
"2013-11-07","64.47"
"2013-11-06","66.23"
"2013-11-05","66.45"
"2013-11-04","67.00"
"2013-11-01","66.28"
"2013-10-31","65.83"
"2013-10-30","65.84"
"2013-10-29","66.50"
"2013-10-28","66.19"
"2013-10-25","65.34"
"2013-10-24","65.28"
"2013-10-23","64.07"
"2013-10-22","63.24"
"2013-10-21","61.77"
"2013-10-18","62.04"
"2013-10-17","60.71"
"2013-10-16","59.87"
"2013-10-15","59.44"
"2013-10-14","60.31"
"2013-10-11","59.62"
"2013-10-10","59.38"
"2013-10-09","57.43"
"2013-10-08","57.57"
"2013-10-07","58.83"
"2013-10-04","59.93"
"2013-10-03","59.35"
"2013-10-02","60.77"
"2013-10-01","60.97"
"2013-09-30","59.70"
"2013-09-27","59.70"
"2013-09-26","59.94"
"2013-09-25","59.57"
"2013-09-24","59.27"
"2013-09-23","59.60"
"2013-09-20","60.40"
"2013-09-19","61.42"
"2013-09-18","61.06"
"2013-09-17","60.11"
"2013-09-16","60.41"
"2013-09-13","59.46"
"2013-09-12","59.58"
"2013-09-11","60.25"
"2013-09-10","58.81"
"2013-09-09","57.73"
"2013-09-06","56.98"
"2013-09-05","56.50"
"2013-09-04","56.24"
"2013-09-03","55.46"
"2013-08-30","55.61"
"2013-08-29","56.71"
"2013-08-28","56.28"
"2013-08-27","57.09"
"2013-08-26","58.97"
"2013-08-23","59.30"
"2013-08-22","59.52"
"2013-08-21","58.15"
"2013-08-20","58.76"
"2013-08-19","57.99"
"2013-08-16","58.89"
"2013-08-15","58.98"
"2013-08-14","59.85"
"2013-08-13","59.85"
"2013-08-12","60.60"
"2013-08-09","60.64"
"2013-08-08","60.95"
"2013-08-07","60.98"
"2013-08-06","62.18"
"2013-08-05","63.99"
"2013-08-02","64.79"
"2013-08-01","64.67"
"2013-07-31","61.84"
"2013-07-30","60.90"
"2013-07-29","60.54"
"2013-07-26","61.64"
"2013-07-25","61.65"
"2013-07-24","61.66"
"2013-07-23","62.62"
"2013-07-22","63.03"
"2013-07-19","62.67"
"2013-07-18","62.15"
"2013-07-17","60.93"
"2013-07-16","60.39"
"2013-07-15","61.37"
"2013-07-12","60.82"
"2013-07-11","60.91"
"2013-07-10","60.24"
"2013-07-09","60.69"
"2013-07-08","60.12"
"2013-07-05","60.24"
"2013-07-03","59.81"
"2013-07-02","60.05"
"2013-07-01","60.54"
"2013-06-28","60.79"
"2013-06-27","61.49"
"2013-06-26","60.74"
"2013-06-25","60.36"
"2013-06-24","58.85"
"2013-06-21","60.49"
"2013-06-20","60.10"
"2013-06-19","61.52"
"2013-06-18","62.14"
"2013-06-17","61.83"
"2013-06-14","62.09"
"2013-06-13","62.30"
"2013-06-12","61.35"
"2013-06-11","61.53"
"2013-06-10","62.67"
"2013-06-07","62.78"
"2013-06-06","61.16"
"2013-06-05","60.22"
"2013-06-04","61.76"
"2013-06-03","62.52"
"2013-05-31","63.04"
"2013-05-30","63.35"
"2013-05-29","63.15"
"2013-05-28","63.56"
"2013-05-24","62.59"
"2013-05-23","63.09"
"2013-05-22","62.81"
"2013-05-21","64.02"
"2013-05-20","63.75"
"2013-05-17","62.52"
"2013-05-16","61.13"
"2013-05-15","62.29"
"2013-05-14","61.54"
"2013-05-13","60.28"
"2013-05-10","61.20"
"2013-05-09","60.80"
"2013-05-08","61.00"
"2013-05-07","60.89"
"2013-05-06","59.75"
"2013-05-03","58.46"
"2013-05-02","56.77"
"2013-05-01","56.68"
"2013-04-30","58.07"
"2013-04-29","57.50"
"2013-04-26","56.87"
"2013-04-25","57.12"
"2013-04-24","56.94"
"2013-04-23","53.31"
"2013-04-22","57.27"
"2013-04-19","57.15"
"2013-04-18","56.08"
"2013-04-17","56.61"
"2013-04-16","58.64"
"2013-04-15","56.83"
"2013-04-12","61.37"
"2013-04-11","60.55"
"2013-04-10","61.47"
"2013-04-09","58.85"
"2013-04-08","59.19"
"2013-04-05","57.83"
"2013-04-04","57.50"
"2013-04-03","57.91"
"2013-04-02","58.30"
"2013-04-01","58.67"
"2013-03-28","59.75"
"2013-03-27","59.40"
"2013-03-26","60.19"
"2013-03-25","60.11"
"2013-03-22","60.08"
"2013-03-21","58.21"
"2013-03-20","59.59"
"2013-03-19","59.85"
"2013-03-18","60.80"
"2013-03-15","61.00"
"2013-03-14","61.42"
"2013-03-13","60.36"
"2013-03-12","58.61"
"2013-03-11","59.32"
