"Date","Close"
"2013-12-31","56.04"
"2013-12-30","56.07"
"2013-12-27","56.24"
"2013-12-26","55.87"
"2013-12-24","55.98"
"2013-12-23","56.07"
"2013-12-20","56.10"
"2013-12-19","49.00"
"2013-12-18","48.91"
"2013-12-17","48.22"
"2013-12-16","47.54"
"2013-12-13","46.77"
"2013-12-12","46.35"
"2013-12-11","46.15"
"2013-12-10","46.69"
"2013-12-09","47.47"
"2013-12-06","46.77"
"2013-12-05","46.67"
"2013-12-04","46.66"
"2013-12-03","45.93"
"2013-12-02","46.18"
"2013-11-29","46.85"
"2013-11-27","46.90"
"2013-11-26","46.54"
"2013-11-25","46.87"
"2013-11-22","47.11"
"2013-11-21","47.11"
"2013-11-20","46.53"
"2013-11-19","46.42"
"2013-11-18","46.56"
"2013-11-15","47.10"
"2013-11-14","46.32"
"2013-11-13","46.37"
"2013-11-12","44.60"
"2013-11-11","44.27"
"2013-11-08","43.32"
"2013-11-07","43.20"
"2013-11-06","44.07"
"2013-11-05","42.93"
"2013-11-04","43.10"
"2013-11-01","43.23"
"2013-10-31","43.27"
"2013-10-30","43.39"
"2013-10-29","44.07"
"2013-10-28","43.59"
"2013-10-25","43.40"
"2013-10-24","43.75"
"2013-10-23","42.35"
"2013-10-22","42.91"
"2013-10-21","42.59"
"2013-10-18","43.29"
"2013-10-17","43.53"
"2013-10-16","43.60"
"2013-10-15","42.61"
"2013-10-14","42.84"
"2013-10-11","42.82"
"2013-10-10","42.87"
"2013-10-09","43.10"
"2013-10-08","43.30"
"2013-10-07","45.45"
"2013-10-04","45.05"
"2013-10-03","44.91"
"2013-10-02","45.27"
"2013-10-01","45.74"
"2013-09-30","46.14"
"2013-09-27","45.95"
"2013-09-26","46.62"
"2013-09-25","46.89"
"2013-09-24","46.73"
"2013-09-23","52.93"
"2013-09-20","53.22"
"2013-09-19","53.59"
"2013-09-18","53.58"
"2013-09-17","52.57"
"2013-09-16","53.02"
"2013-09-13","52.43"
"2013-09-12","52.85"
"2013-09-11","53.47"
"2013-09-10","52.84"
"2013-09-09","52.19"
"2013-09-06","51.06"
"2013-09-05","50.86"
"2013-09-04","51.15"
"2013-09-03","50.85"
"2013-08-30","50.52"
"2013-08-29","50.85"
"2013-08-28","50.32"
"2013-08-27","50.17"
"2013-08-26","51.70"
"2013-08-23","51.57"
"2013-08-22","51.96"
"2013-08-21","51.10"
"2013-08-20","51.32"
"2013-08-19","51.25"
"2013-08-16","51.51"
"2013-08-15","51.97"
"2013-08-14","53.08"
"2013-08-13","53.52"
"2013-08-12","52.28"
"2013-08-09","52.46"
"2013-08-08","52.04"
"2013-08-07","51.25"
"2013-08-06","51.66"
"2013-08-05","52.24"
"2013-08-02","52.44"
"2013-08-01","52.48"
"2013-07-31","51.77"
"2013-07-30","51.08"
"2013-07-29","50.77"
"2013-07-26","50.83"
"2013-07-25","51.75"
"2013-07-24","50.54"
"2013-07-23","48.79"
"2013-07-22","48.96"
"2013-07-19","49.38"
"2013-07-18","50.21"
"2013-07-17","49.68"
"2013-07-16","49.59"
"2013-07-15","49.85"
"2013-07-12","50.26"
"2013-07-11","50.57"
"2013-07-10","48.33"
"2013-07-09","48.14"
"2013-07-08","47.94"
"2013-07-05","48.34"
"2013-07-03","47.85"
"2013-07-02","47.41"
"2013-07-01","47.41"
"2013-06-28","47.82"
"2013-06-27","48.47"
"2013-06-26","46.79"
"2013-06-25","45.86"
"2013-06-24","45.91"
"2013-06-21","46.45"
"2013-06-20","45.88"
"2013-06-19","46.22"
"2013-06-18","46.63"
"2013-06-17","45.68"
"2013-06-14","45.81"
"2013-06-13","45.85"
"2013-06-12","46.40"
"2013-06-11","46.24"
"2013-06-10","46.40"
"2013-06-07","46.24"
"2013-06-06","45.48"
"2013-06-05","45.70"
"2013-06-04","46.18"
"2013-06-03","47.16"
"2013-05-31","48.23"
"2013-05-30","47.86"
"2013-05-29","48.18"
"2013-05-28","48.64"
"2013-05-24","48.49"
"2013-05-23","49.36"
"2013-05-22","50.02"
"2013-05-21","51.86"
"2013-05-20","52.65"
"2013-05-17","54.99"
"2013-05-16","54.71"
"2013-05-15","54.16"
"2013-05-14","52.72"
"2013-05-13","51.96"
"2013-05-10","51.90"
"2013-05-09","50.94"
"2013-05-08","50.82"
"2013-05-07","50.65"
"2013-05-06","50.30"
"2013-05-03","49.65"
"2013-05-02","48.51"
"2013-05-01","47.73"
"2013-04-30","47.93"
"2013-04-29","48.81"
"2013-04-26","48.53"
"2013-04-25","49.08"
"2013-04-24","48.65"
"2013-04-23","49.11"
"2013-04-22","48.61"
"2013-04-19","49.25"
"2013-04-18","49.10"
"2013-04-17","50.27"
"2013-04-16","51.28"
"2013-04-15","49.26"
"2013-04-12","50.55"
"2013-04-11","49.99"
"2013-04-10","49.52"
"2013-04-09","48.27"
"2013-04-08","47.96"
"2013-04-05","47.47"
"2013-04-04","48.05"
"2013-04-03","47.70"
"2013-04-02","48.84"
"2013-04-01","48.32"
"2013-03-28","50.56"
"2013-03-27","49.97"
"2013-03-26","49.25"
"2013-03-25","48.99"
"2013-03-22","50.80"
"2013-03-21","50.94"
"2013-03-20","51.18"
"2013-03-19","49.79"
"2013-03-18","50.13"
"2013-03-15","50.44"
"2013-03-14","50.66"
"2013-03-13","50.80"
"2013-03-12","50.60"
"2013-03-11","53.14"
"2013-03-08","53.00"
"2013-03-07","53.47"
