"Date","Close"
"2013-12-31","49.42"
"2013-12-30","48.84"
"2013-12-27","48.86"
"2013-12-26","48.17"
"2013-12-24","48.12"
"2013-12-23","47.19"
"2013-12-20","47.00"
"2013-12-19","47.15"
"2013-12-18","48.02"
"2013-12-17","48.13"
"2013-12-16","48.21"
"2013-12-13","48.22"
"2013-12-12","48.63"
"2013-12-11","48.55"
"2013-12-10","49.25"
"2013-12-09","49.57"
"2013-12-06","49.77"
"2013-12-05","49.71"
"2013-12-04","50.29"
"2013-12-03","50.10"
"2013-12-02","50.22"
"2013-11-29","50.38"
"2013-11-27","50.54"
"2013-11-26","50.40"
"2013-11-25","51.00"
"2013-11-22","52.09"
"2013-11-21","52.38"
"2013-11-20","53.94"
"2013-11-19","53.97"
"2013-11-18","54.23"
"2013-11-15","54.44"
"2013-11-14","54.67"
"2013-11-13","55.30"
"2013-11-12","55.14"
"2013-11-11","55.37"
"2013-11-08","53.45"
"2013-11-07","52.45"
"2013-11-06","49.03"
"2013-11-05","48.21"
"2013-11-04","48.38"
"2013-11-01","47.56"
"2013-10-31","47.07"
"2013-10-30","47.29"
"2013-10-29","48.22"
"2013-10-28","48.60"
"2013-10-25","49.50"
"2013-10-24","49.02"
"2013-10-23","48.96"
"2013-10-22","49.35"
"2013-10-21","46.57"
"2013-10-18","45.89"
"2013-10-17","45.29"
"2013-10-16","45.22"
"2013-10-15","45.01"
"2013-10-14","45.42"
"2013-10-11","45.19"
"2013-10-10","44.83"
"2013-10-09","44.38"
"2013-10-08","44.40"
"2013-10-07","45.01"
"2013-10-04","45.45"
"2013-10-03","45.18"
"2013-10-02","45.03"
"2013-10-01","44.98"
"2013-09-30","44.50"
"2013-09-27","44.92"
"2013-09-26","45.05"
"2013-09-25","45.08"
"2013-09-24","45.01"
"2013-09-23","45.07"
"2013-09-20","45.06"
"2013-09-19","45.87"
"2013-09-18","47.24"
"2013-09-17","46.77"
"2013-09-16","46.68"
"2013-09-13","46.79"
"2013-09-12","47.39"
"2013-09-11","47.58"
"2013-09-10","47.30"
"2013-09-09","47.03"
"2013-09-06","46.47"
"2013-09-05","46.45"
"2013-09-04","45.39"
"2013-09-03","45.32"
"2013-08-30","45.13"
"2013-08-29","45.52"
"2013-08-28","45.68"
"2013-08-27","45.78"
"2013-08-26","46.56"
"2013-08-23","46.87"
"2013-08-22","46.18"
"2013-08-21","45.91"
"2013-08-20","46.74"
"2013-08-19","46.53"
"2013-08-16","47.00"
"2013-08-15","47.35"
"2013-08-14","46.98"
"2013-08-13","47.52"
"2013-08-12","47.62"
"2013-08-09","47.51"
"2013-08-08","48.58"
"2013-08-07","48.48"
"2013-08-06","48.42"
"2013-08-05","48.47"
"2013-08-02","48.35"
"2013-08-01","48.00"
"2013-07-31","47.16"
"2013-07-30","47.10"
"2013-07-29","47.03"
"2013-07-26","47.69"
"2013-07-25","48.49"
"2013-07-24","49.20"
"2013-07-23","50.06"
"2013-07-22","49.60"
"2013-07-19","49.74"
"2013-07-18","49.31"
"2013-07-17","49.04"
"2013-07-16","49.22"
"2013-07-15","49.80"
"2013-07-12","49.99"
"2013-07-11","49.39"
"2013-07-10","48.92"
"2013-07-09","49.09"
"2013-07-08","48.39"
"2013-07-05","47.79"
"2013-07-03","47.39"
"2013-07-02","47.45"
"2013-07-01","48.24"
"2013-06-28","47.95"
"2013-06-27","48.44"
"2013-06-26","48.02"
"2013-06-25","47.53"
"2013-06-24","46.86"
"2013-06-21","47.97"
"2013-06-20","48.40"
"2013-06-19","49.50"
"2013-06-18","49.75"
"2013-06-17","49.65"
"2013-06-14","49.29"
"2013-06-13","48.74"
"2013-06-12","48.32"
"2013-06-11","49.51"
"2013-06-10","50.44"
"2013-06-07","50.68"
"2013-06-06","50.44"
"2013-06-05","50.28"
"2013-06-04","51.12"
"2013-06-03","50.84"
"2013-05-31","50.23"
"2013-05-30","51.72"
"2013-05-29","52.05"
"2013-05-28","52.31"
"2013-05-24","52.06"
"2013-05-23","51.96"
"2013-05-22","52.31"
"2013-05-21","53.40"
"2013-05-20","53.60"
"2013-05-17","54.03"
"2013-05-16","54.73"
"2013-05-15","55.11"
"2013-05-14","55.07"
"2013-05-13","54.50"
"2013-05-10","54.64"
"2013-05-09","54.91"
"2013-05-08","55.26"
"2013-05-07","54.75"
"2013-05-06","54.32"
"2013-05-03","53.24"
"2013-05-02","52.33"
"2013-05-01","51.75"
"2013-04-30","51.47"
"2013-04-29","51.28"
"2013-04-26","51.16"
"2013-04-25","50.84"
"2013-04-24","50.81"
"2013-04-23","49.36"
"2013-04-22","48.85"
"2013-04-19","48.53"
"2013-04-18","48.38"
"2013-04-17","48.00"
