"Date","Close"
"2013-12-31","118.16"
"2013-12-30","117.70"
"2013-12-27","117.98"
"2013-12-26","117.81"
"2013-12-24","117.10"
"2013-12-23","116.35"
"2013-12-20","116.51"
"2013-12-19","114.03"
"2013-12-18","113.11"
"2013-12-17","110.53"
"2013-12-16","110.96"
"2013-12-13","110.52"
"2013-12-12","110.53"
"2013-12-11","109.67"
"2013-12-10","111.88"
"2013-12-09","111.96"
"2013-12-06","111.70"
"2013-12-05","109.21"
"2013-12-04","108.89"
"2013-12-03","111.16"
"2013-12-02","111.85"
"2013-11-29","113.58"
"2013-11-27","114.36"
"2013-11-26","113.90"
"2013-11-25","113.29"
"2013-11-22","114.07"
"2013-11-21","111.44"
"2013-11-20","110.96"
"2013-11-19","111.12"
"2013-11-18","111.45"
"2013-11-15","111.98"
"2013-11-14","112.60"
"2013-11-13","113.75"
"2013-11-12","112.95"
"2013-11-11","112.69"
"2013-11-08","111.72"
"2013-11-07","111.56"
"2013-11-06","109.03"
"2013-11-05","108.79"
"2013-11-04","109.77"
"2013-11-01","109.43"
"2013-10-31","110.41"
"2013-10-30","110.06"
"2013-10-29","110.91"
"2013-10-28","109.69"
"2013-10-25","110.60"
"2013-10-24","111.75"
"2013-10-23","110.43"
"2013-10-22","110.26"
"2013-10-21","110.13"
"2013-10-18","110.42"
"2013-10-17","108.08"
"2013-10-16","106.37"
"2013-10-15","106.35"
"2013-10-14","108.77"
"2013-10-11","108.59"
"2013-10-10","108.36"
"2013-10-09","104.39"
"2013-10-08","105.76"
"2013-10-07","106.68"
"2013-10-04","107.13"
"2013-10-03","106.24"
"2013-10-02","106.96"
"2013-10-01","107.96"
"2013-09-30","106.94"
"2013-09-27","107.18"
"2013-09-26","108.15"
"2013-09-25","107.35"
"2013-09-24","107.20"
"2013-09-23","106.93"
"2013-09-20","107.40"
"2013-09-19","109.13"
"2013-09-18","108.47"
"2013-09-17","106.35"
"2013-09-16","106.97"
"2013-09-13","105.04"
"2013-09-12","104.50"
"2013-09-11","103.74"
"2013-09-10","104.02"
"2013-09-09","102.25"
"2013-09-06","100.04"
"2013-09-05","99.77"
"2013-09-04","99.08"
"2013-09-03","98.00"
"2013-08-30","97.23"
"2013-08-29","97.77"
"2013-08-28","97.04"
"2013-08-27","97.06"
"2013-08-26","99.03"
"2013-08-23","98.80"
"2013-08-22","99.80"
"2013-08-21","97.22"
"2013-08-20","97.31"
"2013-08-19","96.86"
"2013-08-16","97.04"
"2013-08-15","96.70"
"2013-08-14","98.80"
"2013-08-13","99.14"
"2013-08-12","98.88"
"2013-08-09","98.72"
"2013-08-08","99.52"
"2013-08-07","98.70"
"2013-08-06","99.39"
"2013-08-05","100.10"
"2013-08-02","100.10"
"2013-08-01","99.18"
"2013-07-31","96.85"
"2013-07-30","95.63"
"2013-07-29","90.55"
"2013-07-26","90.81"
"2013-07-25","91.39"
"2013-07-24","92.02"
"2013-07-23","93.04"
"2013-07-22","92.70"
"2013-07-19","92.82"
"2013-07-18","93.29"
"2013-07-17","92.22"
"2013-07-16","91.01"
"2013-07-15","91.35"
"2013-07-12","90.91"
"2013-07-11","89.96"
"2013-07-10","87.50"
"2013-07-09","88.16"
"2013-07-08","87.48"
"2013-07-05","86.74"
"2013-07-03","84.79"
"2013-07-02","84.81"
"2013-07-01","84.99"
"2013-06-28","83.14"
"2013-06-27","84.21"
"2013-06-26","83.48"
"2013-06-25","83.27"
"2013-06-24","81.81"
"2013-06-21","83.85"
"2013-06-20","83.59"
"2013-06-19","86.88"
"2013-06-18","88.11"
"2013-06-17","86.87"
"2013-06-14","86.69"
"2013-06-13","86.64"
