"Date","Close"
"2013-12-31","138.68"
"2013-12-30","138.56"
"2013-12-27","138.43"
"2013-12-26","138.10"
"2013-12-24","137.00"
"2013-12-23","136.79"
"2013-12-20","135.41"
"2013-12-19","133.94"
"2013-12-18","133.38"
"2013-12-17","131.70"
"2013-12-16","132.05"
"2013-12-13","129.90"
"2013-12-12","129.47"
"2013-12-11","129.48"
"2013-12-10","129.67"
"2013-12-09","130.15"
"2013-12-06","129.34"
"2013-12-05","127.13"
"2013-12-04","127.57"
"2013-12-03","128.20"
"2013-12-02","129.85"
"2013-11-29","129.70"
"2013-11-27","130.00"
"2013-11-26","129.67"
"2013-11-25","129.01"
"2013-11-22","128.94"
"2013-11-21","128.18"
"2013-11-20","126.62"
"2013-11-19","125.68"
"2013-11-18","126.32"
"2013-11-15","126.99"
"2013-11-14","126.47"
"2013-11-13","126.26"
"2013-11-12","125.63"
"2013-11-11","126.36"
"2013-11-08","125.93"
"2013-11-07","123.57"
"2013-11-06","126.12"
"2013-11-05","124.76"
"2013-11-04","126.31"
"2013-11-01","127.25"
"2013-10-31","126.81"
"2013-10-30","125.69"
"2013-10-29","128.15"
"2013-10-28","124.26"
"2013-10-25","133.04"
"2013-10-24","131.57"
"2013-10-23","132.61"
"2013-10-22","133.64"
"2013-10-21","132.02"
"2013-10-18","132.07"
"2013-10-17","131.31"
"2013-10-16","130.00"
"2013-10-15","129.72"
"2013-10-14","130.88"
"2013-10-11","130.87"
"2013-10-10","130.21"
"2013-10-09","126.99"
"2013-10-08","127.99"
"2013-10-07","130.01"
"2013-10-04","129.92"
"2013-10-03","130.51"
"2013-10-02","132.06"
"2013-10-01","133.57"
"2013-09-30","132.87"
"2013-09-27","133.43"
"2013-09-26","135.01"
"2013-09-25","133.69"
"2013-09-24","134.30"
"2013-09-23","133.51"
"2013-09-20","133.99"
"2013-09-19","134.61"
"2013-09-18","133.83"
"2013-09-17","131.93"
"2013-09-16","131.81"
"2013-09-13","130.72"
"2013-09-12","130.05"
"2013-09-11","129.81"
"2013-09-10","129.70"
"2013-09-09","128.06"
"2013-09-06","126.44"
"2013-09-05","126.44"
"2013-09-04","126.27"
"2013-09-03","124.62"
"2013-08-30","123.70"
"2013-08-29","124.01"
"2013-08-28","123.75"
"2013-08-27","123.15"
"2013-08-26","125.48"
"2013-08-23","126.00"
"2013-08-22","125.49"
"2013-08-21","124.12"
"2013-08-20","124.93"
"2013-08-19","124.61"
"2013-08-16","125.49"
"2013-08-15","125.05"
"2013-08-14","126.66"
"2013-08-13","127.55"
"2013-08-12","127.18"
"2013-08-09","125.75"
"2013-08-08","125.83"
"2013-08-07","126.02"
"2013-08-06","126.34"
"2013-08-05","126.68"
"2013-08-02","127.41"
"2013-08-01","127.97"
"2013-07-31","125.96"
"2013-07-30","126.70"
"2013-07-29","126.82"
"2013-07-26","131.21"
"2013-07-25","131.56"
"2013-07-24","131.76"
"2013-07-23","132.00"
"2013-07-22","132.29"
"2013-07-19","131.70"
"2013-07-18","130.64"
"2013-07-17","129.23"
"2013-07-16","128.95"
"2013-07-15","130.45"
"2013-07-12","130.41"
"2013-07-11","130.19"
"2013-07-10","128.18"
"2013-07-09","128.46"
"2013-07-08","126.92"
"2013-07-05","127.84"
"2013-07-03","124.55"
"2013-07-02","124.68"
"2013-07-01","125.43"
"2013-06-28","124.22"
"2013-06-27","124.00"
"2013-06-26","120.39"
"2013-06-25","120.27"
"2013-06-24","120.02"
"2013-06-21","122.08"
"2013-06-20","121.27"
"2013-06-19","123.76"
"2013-06-18","124.82"
"2013-06-17","123.53"
"2013-06-14","120.47"
"2013-06-13","121.50"
"2013-06-12","119.57"
"2013-06-11","121.30"
"2013-06-10","123.81"
"2013-06-07","123.75"
"2013-06-06","122.12"
"2013-06-05","122.11"
"2013-06-04","123.96"
"2013-06-03","125.48"
"2013-05-31","124.22"
"2013-05-30","125.25"
"2013-05-29","124.29"
"2013-05-28","126.33"
"2013-05-24","123.06"
"2013-05-23","123.13"
"2013-05-22","123.21"
"2013-05-21","124.80"
"2013-05-20","123.92"
"2013-05-17","123.79"
"2013-05-16","121.27"
"2013-05-15","122.03"
"2013-05-14","122.31"
"2013-05-13","121.00"
"2013-05-10","121.63"
"2013-05-09","120.88"
"2013-05-08","121.08"
"2013-05-07","121.04"
"2013-05-06","120.20"
"2013-05-03","119.77"
"2013-05-02","118.53"
"2013-05-01","118.12"
"2013-04-30","119.65"
"2013-04-29","118.68"
"2013-04-26","123.31"
"2013-04-25","123.66"
"2013-04-24","123.96"
"2013-04-23","123.95"
"2013-04-22","122.49"
"2013-04-19","122.50"
"2013-04-18","122.35"
"2013-04-17","120.54"
"2013-04-16","121.26"
"2013-04-15","119.08"
"2013-04-12","123.36"
"2013-04-11","124.35"
"2013-04-10","124.39"
"2013-04-09","122.79"
