"Date","Close"
"2013-12-31","74.93"
"2013-12-30","74.35"
"2013-12-27","73.75"
"2013-12-26","74.50"
"2013-12-24","73.99"
"2013-12-23","73.95"
"2013-12-20","74.02"
"2013-12-19","73.32"
"2013-12-18","73.37"
"2013-12-17","71.97"
"2013-12-16","72.61"
"2013-12-13","71.74"
"2013-12-12","70.62"
"2013-12-11","70.39"
"2013-12-10","71.47"
"2013-12-09","71.88"
"2013-12-06","72.14"
"2013-12-05","72.25"
"2013-12-04","72.68"
"2013-12-03","73.25"
"2013-12-02","74.69"
"2013-11-29","76.46"
"2013-11-27","76.68"
"2013-11-26","76.69"
"2013-11-25","75.51"
"2013-11-22","75.67"
"2013-11-21","80.26"
"2013-11-20","81.32"
"2013-11-19","80.95"
"2013-11-18","80.87"
"2013-11-15","81.64"
"2013-11-14","81.09"
"2013-11-13","80.06"
"2013-11-12","78.77"
"2013-11-11","78.50"
"2013-11-08","78.09"
"2013-11-07","76.92"
"2013-11-06","77.74"
"2013-11-05","77.58"
"2013-11-04","77.36"
"2013-11-01","77.63"
"2013-10-31","77.35"
"2013-10-30","77.16"
"2013-10-29","76.76"
"2013-10-28","76.13"
"2013-10-25","75.87"
"2013-10-24","75.30"
"2013-10-23","75.68"
"2013-10-22","74.71"
"2013-10-21","74.50"
"2013-10-18","74.30"
"2013-10-17","73.72"
"2013-10-16","73.86"
"2013-10-15","72.49"
"2013-10-14","72.98"
"2013-10-11","72.75"
"2013-10-10","72.36"
"2013-10-09","71.27"
"2013-10-08","71.45"
"2013-10-07","72.41"
"2013-10-04","73.48"
"2013-10-03","73.16"
"2013-10-02","74.01"
"2013-10-01","73.74"
"2013-09-30","72.80"
"2013-09-27","72.55"
"2013-09-26","72.36"
"2013-09-25","71.74"
"2013-09-24","71.61"
"2013-09-23","71.67"
"2013-09-20","71.58"
"2013-09-19","72.34"
"2013-09-18","72.22"
"2013-09-17","71.17"
"2013-09-16","70.89"
"2013-09-13","70.15"
"2013-09-12","70.37"
"2013-09-11","70.66"
"2013-09-10","69.87"
"2013-09-09","69.09"
"2013-09-06","68.76"
"2013-09-05","69.56"
"2013-09-04","69.09"
"2013-09-03","68.15"
"2013-08-30","67.26"
"2013-08-29","67.79"
"2013-08-28","67.77"
"2013-08-27","67.73"
"2013-08-26","69.06"
"2013-08-23","69.86"
"2013-08-22","68.52"
"2013-08-21","67.56"
"2013-08-20","67.38"
"2013-08-19","65.18"
"2013-08-16","64.76"
"2013-08-15","64.89"
"2013-08-14","66.64"
"2013-08-13","67.85"
"2013-08-12","67.72"
"2013-08-09","67.01"
"2013-08-08","67.13"
"2013-08-07","66.88"
"2013-08-06","67.75"
"2013-08-05","68.81"
"2013-08-02","68.93"
"2013-08-01","69.20"
"2013-07-31","67.49"
"2013-07-30","67.18"
"2013-07-29","67.09"
"2013-07-26","67.14"
"2013-07-25","67.17"
"2013-07-24","66.63"
"2013-07-23","67.05"
"2013-07-22","67.49"
"2013-07-19","66.79"
"2013-07-18","66.57"
"2013-07-17","66.06"
"2013-07-16","66.22"
"2013-07-15","66.68"
"2013-07-12","67.05"
"2013-07-11","67.24"
"2013-07-10","67.00"
"2013-07-09","66.45"
"2013-07-08","66.50"
"2013-07-05","66.12"
"2013-07-03","65.39"
"2013-07-02","65.45"
"2013-07-01","65.40"
"2013-06-28","64.81"
"2013-06-27","64.80"
"2013-06-26","63.72"
"2013-06-25","63.83"
"2013-06-24","63.29"
"2013-06-21","63.80"
"2013-06-20","63.40"
"2013-06-19","64.24"
"2013-06-18","65.31"
"2013-06-17","64.54"
"2013-06-14","64.86"
"2013-06-13","65.34"
"2013-06-12","63.53"
"2013-06-11","63.84"
"2013-06-10","64.78"
"2013-06-07","64.87"
"2013-06-06","63.66"
"2013-06-05","63.95"
"2013-06-04","64.65"
"2013-06-03","64.81"
"2013-05-31","64.32"
"2013-05-30","64.67"
"2013-05-29","65.13"
"2013-05-28","66.23"
"2013-05-24","65.84"
"2013-05-23","65.08"
"2013-05-22","65.20"
"2013-05-21","66.17"
"2013-05-20","65.12"
"2013-05-17","65.59"
"2013-05-16","64.88"
"2013-05-15","66.21"
"2013-05-14","65.73"
"2013-05-13","64.95"
"2013-05-10","65.85"
"2013-05-09","65.73"
"2013-05-08","66.13"
"2013-05-07","66.50"
"2013-05-06","65.20"
"2013-05-03","65.70"
"2013-05-02","64.66"
"2013-05-01","64.99"
"2013-04-30","66.07"
"2013-04-29","65.72"
"2013-04-26","65.12"
"2013-04-25","65.03"
"2013-04-24","63.62"
"2013-04-23","63.70"
"2013-04-22","63.00"
"2013-04-19","62.86"
"2013-04-18","62.51"
"2013-04-17","62.99"
"2013-04-16","63.80"
"2013-04-15","63.07"
"2013-04-12","64.67"
"2013-04-11","63.80"
"2013-04-10","60.24"
"2013-04-09","59.61"
"2013-04-08","59.32"
"2013-04-05","59.32"
"2013-04-04","60.08"
"2013-04-03","59.26"
"2013-04-02","59.41"
"2013-04-01","59.83"
"2013-03-28","60.62"
"2013-03-27","60.05"
"2013-03-26","59.43"
"2013-03-25","59.04"
"2013-03-22","59.21"
"2013-03-21","58.06"
"2013-03-20","56.17"
"2013-03-19","55.46"
"2013-03-18","56.04"
"2013-03-15","56.28"
"2013-03-14","55.87"
"2013-03-13","55.29"
"2013-03-12","55.90"
"2013-03-11","56.18"
"2013-03-08","56.20"
"2013-03-07","55.23"
"2013-03-06","59.70"
"2013-03-05","59.36"
"2013-03-04","58.90"
"2013-03-01","58.13"
"2013-02-28","58.00"
"2013-02-27","57.56"
"2013-02-26","56.23"
"2013-02-25","56.56"
"2013-02-22","58.16"
"2013-02-21","57.74"
"2013-02-20","58.70"
"2013-02-19","59.93"
"2013-02-15","59.91"
"2013-02-14","60.38"
"2013-02-13","60.44"
"2013-02-12","60.66"
"2013-02-11","60.86"
"2013-02-08","61.06"
"2013-02-07","60.29"
"2013-02-06","59.11"
"2013-02-05","59.60"
"2013-02-04","58.59"
"2013-02-01","59.43"
"2013-01-31","59.70"
"2013-01-30","59.88"
"2013-01-29","59.41"
"2013-01-28","60.31"
"2013-01-25","61.09"
"2013-01-24","61.15"
"2013-01-23","59.09"
"2013-01-22","58.87"
"2013-01-18","58.22"
"2013-01-17","58.27"
"2013-01-16","57.57"
"2013-01-15","58.00"
"2013-01-14","56.25"
"2013-01-11","56.57"
"2013-01-10","57.30"
"2013-01-09","56.90"
"2013-01-08","56.82"
"2013-01-07","57.57"
"2013-01-04","57.95"
"2013-01-03","58.78"
"2013-01-02","54.44"
"2012-12-31","54.09"
"2012-12-28","53.21"
"2012-12-27","53.14"
"2012-12-26","52.39"
"2012-12-24","53.77"
"2012-12-21","53.93"
"2012-12-20","53.26"
"2012-12-19","53.79"
"2012-12-18","54.41"
"2012-12-17","54.66"
"2012-12-14","53.20"
"2012-12-13","53.54"
"2012-12-12","54.41"
"2012-12-11","54.70"
"2012-12-10","55.28"
"2012-12-07","55.49"
"2012-12-06","55.22"
"2012-12-05","55.35"
"2012-12-04","55.41"
"2012-12-03","56.37"
"2012-11-30","57.08"
"2012-11-29","57.57"
"2012-11-28","57.57"
"2012-11-27","57.05"
"2012-11-26","56.84"
"2012-11-23","55.91"
"2012-11-21","55.59"
"2012-11-20","55.32"
"2012-11-19","55.55"
"2012-11-16","53.74"
"2012-11-15","54.44"
"2012-11-14","55.13"
"2012-11-13","56.58"
"2012-11-12","55.19"
"2012-11-09","55.22"
"2012-11-08","55.67"
"2012-11-07","56.26"
"2012-11-06","57.35"
"2012-11-05","57.83"
"2012-11-02","56.87"
"2012-11-01","57.13"
"2012-10-31","60.95"
"2012-10-26","60.92"
"2012-10-25","60.65"
"2012-10-24","61.00"
"2012-10-23","61.35"
"2012-10-22","60.32"
"2012-10-19","61.88"
"2012-10-18","62.62"
"2012-10-17","61.81"
"2012-10-16","63.03"
"2012-10-15","62.28"
"2012-10-12","61.73"
"2012-10-11","62.17"
"2012-10-10","64.18"
"2012-10-09","63.78"
"2012-10-08","65.27"
"2012-10-05","66.10"
"2012-10-04","65.40"
"2012-10-03","66.68"
"2012-10-02","65.95"
"2012-10-01","66.15"
"2012-09-28","64.59"
"2012-09-27","64.90"
"2012-09-26","64.77"
"2012-09-25","64.73"
"2012-09-24","65.85"
"2012-09-21","65.91"
"2012-09-20","67.06"
"2012-09-19","65.70"
"2012-09-18","65.77"
"2012-09-17","67.35"
"2012-09-14","68.04"
"2012-09-13","67.85"
"2012-09-12","66.69"
"2012-09-11","66.27"
"2012-09-10","66.88"
"2012-09-07","68.13"
"2012-09-06","69.25"
"2012-09-05","68.27"
"2012-09-04","69.47"
"2012-08-31","69.19"
"2012-08-30","69.41"
"2012-08-29","69.98"
"2012-08-28","69.57"
"2012-08-27","69.66"
"2012-08-24","69.89"
"2012-08-23","69.18"
"2012-08-22","69.75"
"2012-08-21","69.61"
