"Date","Close"
"2013-12-31","33.20"
"2013-12-30","33.29"
"2013-12-27","33.58"
"2013-12-26","33.67"
"2013-12-24","33.69"
"2013-12-23","33.35"
"2013-12-20","33.29"
"2013-12-19","33.00"
"2013-12-18","32.98"
"2013-12-17","33.27"
"2013-12-16","33.88"
"2013-12-13","33.94"
"2013-12-12","33.73"
"2013-12-11","33.91"
"2013-12-10","34.53"
"2013-12-09","34.54"
"2013-12-06","34.90"
"2013-12-05","34.47"
"2013-12-04","34.51"
"2013-12-03","34.61"
"2013-12-02","34.94"
"2013-11-29","34.91"
"2013-11-27","34.82"
"2013-11-26","34.94"
"2013-11-25","34.84"
"2013-11-22","35.02"
"2013-11-21","34.73"
"2013-11-20","34.94"
"2013-11-19","35.00"
"2013-11-18","35.15"
"2013-11-15","35.11"
"2013-11-14","34.99"
"2013-11-13","34.61"
"2013-11-12","34.11"
"2013-11-11","34.10"
"2013-11-08","34.32"
"2013-11-07","34.10"
"2013-11-06","34.28"
"2013-11-05","34.13"
"2013-11-04","34.14"
"2013-11-01","34.34"
"2013-10-31","33.47"
"2013-10-30","33.35"
"2013-10-29","33.84"
"2013-10-28","33.71"
"2013-10-25","33.74"
"2013-10-24","33.58"
"2013-10-23","33.69"
"2013-10-22","33.70"
"2013-10-21","33.25"
"2013-10-18","33.12"
"2013-10-17","33.15"
"2013-10-16","33.15"
"2013-10-15","32.99"
"2013-10-14","33.19"
"2013-10-11","33.05"
"2013-10-10","32.63"
"2013-10-09","32.37"
"2013-10-08","32.64"
"2013-10-07","32.93"
"2013-10-04","33.03"
"2013-10-03","32.83"
"2013-10-02","33.28"
"2013-10-01","33.54"
"2013-09-30","33.36"
"2013-09-27","33.75"
"2013-09-26","34.08"
"2013-09-25","33.96"
"2013-09-24","34.14"
"2013-09-23","34.07"
"2013-09-20","34.18"
"2013-09-19","34.05"
"2013-09-18","33.93"
"2013-09-17","33.35"
"2013-09-16","33.47"
"2013-09-13","33.00"
"2013-09-12","33.25"
"2013-09-11","33.19"
"2013-09-10","32.73"
"2013-09-09","32.49"
"2013-09-06","32.17"
"2013-09-05","32.38"
"2013-09-04","32.46"
"2013-09-03","32.16"
"2013-08-30","32.51"
"2013-08-29","32.95"
"2013-08-28","33.24"
"2013-08-27","33.30"
"2013-08-26","33.85"
"2013-08-23","33.78"
"2013-08-22","33.56"
"2013-08-21","33.36"
"2013-08-20","33.65"
"2013-08-19","33.36"
"2013-08-16","33.49"
"2013-08-15","33.75"
"2013-08-14","34.84"
"2013-08-13","34.89"
"2013-08-12","34.74"
"2013-08-09","34.83"
"2013-08-08","34.93"
"2013-08-07","34.44"
"2013-08-06","34.43"
"2013-08-05","34.55"
"2013-08-02","34.54"
"2013-08-01","34.41"
"2013-07-31","33.91"
"2013-07-30","34.18"
"2013-07-29","33.80"
"2013-07-26","34.27"
"2013-07-25","35.14"
"2013-07-24","35.11"
"2013-07-23","35.00"
"2013-07-22","35.13"
"2013-07-19","35.30"
"2013-07-18","35.44"
"2013-07-17","35.13"
"2013-07-16","35.14"
"2013-07-15","35.31"
"2013-07-12","35.26"
"2013-07-11","35.33"
"2013-07-10","34.72"
"2013-07-09","34.78"
"2013-07-08","34.27"
"2013-07-05","34.15"
"2013-07-03","33.71"
"2013-07-02","33.79"
"2013-07-01","34.14"
"2013-06-28","33.94"
"2013-06-27","33.95"
"2013-06-26","34.03"
"2013-06-25","33.48"
"2013-06-24","32.75"
"2013-06-21","33.45"
"2013-06-20","33.39"
"2013-06-19","34.10"
"2013-06-18","34.75"
"2013-06-17","34.17"
"2013-06-14","34.06"
"2013-06-13","33.98"
"2013-06-12","33.59"
"2013-06-11","33.72"
"2013-06-10","33.72"
"2013-06-07","33.92"
"2013-06-06","33.66"
"2013-06-05","33.82"
"2013-06-04","34.15"
"2013-06-03","34.37"
"2013-05-31","34.10"
"2013-05-30","34.65"
"2013-05-29","34.06"
"2013-05-28","34.65"
"2013-05-24","34.62"
"2013-05-23","34.71"
"2013-05-22","34.55"
"2013-05-21","35.09"
"2013-05-20","34.96"
"2013-05-17","34.89"
"2013-05-16","34.54"
"2013-05-15","34.41"
"2013-05-14","33.90"
"2013-05-13","33.79"
"2013-05-10","33.95"
"2013-05-09","34.56"
"2013-05-08","34.83"
"2013-05-07","34.98"
"2013-05-06","34.67"
"2013-05-03","34.48"
"2013-05-02","34.12"
"2013-05-01","34.10"
"2013-04-30","34.08"
"2013-04-29","33.67"
"2013-04-26","34.31"
"2013-04-25","33.25"
"2013-04-24","33.21"
"2013-04-23","32.81"
"2013-04-22","32.53"
"2013-04-19","32.68"
"2013-04-18","32.26"
"2013-04-17","32.43"
"2013-04-16","33.06"
"2013-04-15","32.80"
"2013-04-12","33.52"
"2013-04-11","33.74"
"2013-04-10","33.36"
"2013-04-09","32.70"
"2013-04-08","32.49"
"2013-04-05","32.38"
"2013-04-04","32.50"
"2013-04-03","32.34"
"2013-04-02","32.60"
"2013-04-01","32.48"
"2013-03-28","33.00"
"2013-03-27","32.56"
"2013-03-26","32.59"
"2013-03-25","32.64"
"2013-03-22","32.65"
"2013-03-21","32.48"
"2013-03-20","32.50"
"2013-03-19","32.10"
"2013-03-18","32.07"
"2013-03-15","31.97"
"2013-03-14","31.90"
"2013-03-13","31.87"
"2013-03-12","31.54"
"2013-03-11","31.72"
"2013-03-08","31.30"
"2013-03-07","30.87"
"2013-03-06","31.04"
"2013-03-05","31.28"
"2013-03-04","31.20"
"2013-03-01","31.09"
"2013-02-28","31.44"
"2013-02-27","31.30"
"2013-02-26","30.90"
"2013-02-25","30.95"
"2013-02-22","31.34"
"2013-02-21","30.97"
"2013-02-20","31.19"
"2013-02-19","31.17"
"2013-02-15","31.31"
"2013-02-14","31.30"
"2013-02-13","31.22"
"2013-02-12","31.19"
"2013-02-11","31.27"
"2013-02-08","31.12"
"2013-02-07","31.84"
"2013-02-06","31.55"
"2013-02-05","31.39"
"2013-02-04","31.38"
"2013-02-01","31.82"
"2013-01-31","31.89"
"2013-01-30","31.54"
"2013-01-29","31.82"
"2013-01-28","31.78"
"2013-01-25","31.11"
"2013-01-24","30.80"
"2013-01-23","30.87"
"2013-01-22","30.87"
"2013-01-18","30.60"
"2013-01-17","30.39"
"2013-01-16","30.25"
"2013-01-15","30.31"
"2013-01-14","30.24"
"2013-01-11","30.19"
"2013-01-10","30.19"
"2013-01-09","30.00"
"2013-01-08","29.78"
"2013-01-07","29.72"
"2013-01-04","29.86"
"2013-01-03","29.73"
"2013-01-02","29.53"
"2012-12-31","29.33"
"2012-12-28","29.01"
"2012-12-27","29.51"
"2012-12-26","29.56"
"2012-12-24","29.74"
"2012-12-21","29.79"
"2012-12-20","29.92"
"2012-12-19","29.96"
"2012-12-18","29.74"
"2012-12-17","29.28"
"2012-12-14","29.13"
"2012-12-13","29.13"
"2012-12-12","28.91"
"2012-12-11","28.86"
"2012-12-10","29.03"
"2012-12-07","29.10"
"2012-12-06","29.11"
"2012-12-05","29.13"
"2012-12-04","28.59"
"2012-12-03","28.41"
"2012-11-30","28.47"
"2012-11-29","28.24"
"2012-11-28","28.25"
"2012-11-27","28.07"
"2012-11-26","28.10"
"2012-11-23","27.93"
"2012-11-21","27.65"
"2012-11-20","27.48"
"2012-11-19","27.32"
"2012-11-16","27.01"
"2012-11-15","26.62"
"2012-11-14","26.54"
"2012-11-13","26.73"
"2012-11-12","26.75"
"2012-11-09","26.75"
"2012-11-08","26.84"
"2012-11-07","26.90"
"2012-11-06","27.04"
"2012-11-05","26.85"
"2012-11-02","26.48"
"2012-11-01","28.31"
"2012-10-31","28.35"
"2012-10-26","28.22"
"2012-10-25","28.49"
"2012-10-24","28.07"
"2012-10-23","28.28"
"2012-10-22","28.36"
"2012-10-19","28.34"
"2012-10-18","28.62"
"2012-10-17","28.44"
"2012-10-16","27.94"
"2012-10-15","28.03"
"2012-10-12","27.80"
"2012-10-11","27.66"
"2012-10-10","27.56"
"2012-10-09","27.64"
"2012-10-08","27.91"
"2012-10-05","27.86"
"2012-10-04","27.62"
"2012-10-03","27.48"
"2012-10-02","27.40"
"2012-10-01","27.29"
"2012-09-28","27.51"
"2012-09-27","27.33"
"2012-09-26","27.37"
"2012-09-25","27.70"
"2012-09-24","27.99"
"2012-09-21","28.01"
