"Date","Close"
"2013-12-31","90.70"
"2013-12-30","90.43"
"2013-12-27","90.85"
"2013-12-26","91.04"
"2013-12-24","89.60"
"2013-12-23","89.09"
"2013-12-20","88.39"
"2013-12-19","88.49"
"2013-12-18","88.73"
"2013-12-17","86.79"
"2013-12-16","86.63"
"2013-12-13","86.44"
"2013-12-12","85.71"
"2013-12-11","85.40"
"2013-12-10","87.01"
"2013-12-09","86.85"
"2013-12-06","86.68"
"2013-12-05","86.00"
"2013-12-04","86.05"
"2013-12-03","88.78"
"2013-12-02","87.67"
"2013-11-29","88.68"
"2013-11-27","89.15"
"2013-11-26","88.39"
"2013-11-25","87.34"
"2013-11-22","87.36"
"2013-11-21","86.84"
"2013-11-20","85.50"
"2013-11-19","85.59"
"2013-11-18","85.66"
"2013-11-15","85.28"
"2013-11-14","85.68"
"2013-11-13","85.46"
"2013-11-12","84.85"
"2013-11-11","85.04"
"2013-11-08","85.36"
"2013-11-07","84.27"
"2013-11-06","84.94"
"2013-11-05","84.49"
"2013-11-04","84.12"
"2013-11-01","83.75"
"2013-10-31","82.37"
"2013-10-30","82.10"
"2013-10-29","81.87"
"2013-10-28","81.09"
"2013-10-25","79.96"
"2013-10-24","78.08"
"2013-10-23","78.49"
"2013-10-22","76.21"
"2013-10-21","75.07"
"2013-10-18","76.86"
"2013-10-17","77.63"
"2013-10-16","76.26"
"2013-10-15","75.68"
"2013-10-14","76.38"
"2013-10-11","76.23"
"2013-10-10","76.26"
"2013-10-09","73.97"
"2013-10-08","74.05"
"2013-10-07","75.22"
"2013-10-04","74.25"
"2013-10-03","74.92"
"2013-10-02","76.08"
"2013-10-01","77.81"
"2013-09-30","77.07"
"2013-09-27","78.74"
"2013-09-26","79.80"
"2013-09-25","78.72"
"2013-09-24","78.71"
"2013-09-23","78.69"
"2013-09-20","79.00"
"2013-09-19","80.69"
"2013-09-18","80.62"
"2013-09-17","80.26"
"2013-09-16","79.66"
"2013-09-13","78.48"
"2013-09-12","77.57"
"2013-09-11","77.43"
"2013-09-10","76.89"
"2013-09-09","75.85"
"2013-09-06","75.61"
"2013-09-05","75.80"
"2013-09-04","76.08"
"2013-09-03","75.69"
"2013-08-30","75.41"
"2013-08-29","75.68"
"2013-08-28","75.52"
"2013-08-27","75.26"
"2013-08-26","77.02"
"2013-08-23","77.65"
"2013-08-22","76.65"
"2013-08-21","75.88"
"2013-08-20","76.05"
"2013-08-19","76.35"
"2013-08-16","76.74"
"2013-08-15","75.60"
"2013-08-14","76.40"
"2013-08-13","76.80"
"2013-08-12","76.02"
"2013-08-09","76.98"
"2013-08-08","76.80"
"2013-08-07","76.38"
"2013-08-06","75.79"
"2013-08-05","76.08"
"2013-08-02","75.65"
"2013-08-01","73.77"
"2013-07-31","71.84"
"2013-07-30","71.22"
"2013-07-29","70.95"
"2013-07-26","70.01"
"2013-07-25","69.75"
"2013-07-24","69.75"
"2013-07-23","69.71"
"2013-07-22","69.37"
"2013-07-19","69.80"
"2013-07-18","69.70"
"2013-07-17","69.46"
"2013-07-16","69.56"
"2013-07-15","70.04"
"2013-07-12","69.47"
"2013-07-11","69.38"
"2013-07-10","68.18"
"2013-07-09","67.44"
"2013-07-08","66.84"
"2013-07-05","65.84"
"2013-07-03","65.15"
"2013-07-02","64.82"
"2013-07-01","66.10"
"2013-06-28","66.12"
"2013-06-27","66.44"
"2013-06-26","65.93"
"2013-06-25","65.32"
"2013-06-24","65.51"
"2013-06-21","66.11"
"2013-06-20","66.11"
"2013-06-19","66.90"
"2013-06-18","68.07"
"2013-06-17","67.78"
"2013-06-14","67.41"
"2013-06-13","67.67"
"2013-06-12","66.71"
"2013-06-11","66.54"
"2013-06-10","66.95"
"2013-06-07","67.41"
"2013-06-06","65.98"
"2013-06-05","65.50"
"2013-06-04","66.35"
"2013-06-03","66.24"
"2013-05-31","66.64"
"2013-05-30","67.33"
"2013-05-29","67.10"
"2013-05-28","67.75"
"2013-05-24","66.73"
"2013-05-23","66.75"
"2013-05-22","66.24"
"2013-05-21","66.76"
"2013-05-20","66.78"
"2013-05-17","66.89"
"2013-05-16","65.64"
"2013-05-15","65.77"
"2013-05-14","64.64"
"2013-05-13","63.93"
"2013-05-10","64.27"
"2013-05-09","63.46"
"2013-05-08","63.16"
"2013-05-07","63.46"
"2013-05-06","62.98"
"2013-05-03","63.04"
"2013-05-02","62.50"
"2013-05-01","61.66"
"2013-04-30","61.38"
"2013-04-29","60.72"
"2013-04-26","60.20"
"2013-04-25","59.30"
"2013-04-24","58.13"
"2013-04-23","57.39"
"2013-04-22","56.94"
"2013-04-19","57.15"
"2013-04-18","56.22"
"2013-04-17","56.68"
"2013-04-16","57.39"
"2013-04-15","57.44"
"2013-04-12","58.34"
"2013-04-11","58.41"
"2013-04-10","58.22"
"2013-04-09","57.96"
"2013-04-08","58.25"
"2013-04-05","58.18"
"2013-04-04","58.54"
"2013-04-03","58.02"
"2013-04-02","57.54"
"2013-04-01","57.89"
"2013-03-28","58.79"
"2013-03-27","58.41"
"2013-03-26","57.81"
"2013-03-25","56.76"
"2013-03-22","57.04"
"2013-03-21","56.86"
"2013-03-20","57.00"
"2013-03-19","57.10"
"2013-03-18","57.03"
"2013-03-15","57.93"
"2013-03-14","57.32"
"2013-03-13","57.18"
"2013-03-12","56.13"
"2013-03-11","55.98"
"2013-03-08","56.03"
"2013-03-07","55.64"
"2013-03-06","55.36"
"2013-03-05","54.85"
"2013-03-04","54.24"
"2013-03-01","54.67"
"2013-02-28","54.57"
"2013-02-27","55.06"
"2013-02-26","54.21"
"2013-02-25","54.03"
"2013-02-22","54.44"
"2013-02-21","53.94"
"2013-02-20","54.05"
"2013-02-19","54.29"
"2013-02-15","53.98"
"2013-02-14","53.76"
"2013-02-13","53.97"
"2013-02-12","54.36"
"2013-02-11","54.55"
"2013-02-08","54.16"
"2013-02-07","54.11"
"2013-02-06","53.42"
"2013-02-05","53.51"
"2013-02-04","53.02"
"2013-02-01","52.67"
"2013-01-31","52.68"
"2013-01-30","54.15"
"2013-01-29","54.90"
"2013-01-28","54.87"
"2013-01-25","55.88"
"2013-01-24","56.54"
"2013-01-23","58.20"
"2013-01-22","58.37"
"2013-01-18","58.10"
"2013-01-17","58.25"
"2013-01-16","57.77"
"2013-01-15","58.15"
"2013-01-14","57.87"
"2013-01-11","57.99"
"2013-01-10","58.58"
"2013-01-09","58.21"
"2013-01-08","57.74"
"2013-01-07","58.35"
"2013-01-04","59.01"
"2013-01-03","58.64"
"2013-01-02","58.62"
"2012-12-31","57.56"
