"Date","Close"
"2013-12-31","26.00"
"2013-12-30","25.58"
"2013-12-27","25.66"
"2013-12-26","25.74"
"2013-12-24","25.71"
"2013-12-23","25.69"
"2013-12-20","25.61"
"2013-12-19","25.58"
"2013-12-18","25.70"
"2013-12-17","24.76"
"2013-12-16","25.09"
"2013-12-13","24.79"
"2013-12-12","24.80"
"2013-12-11","24.86"
"2013-12-10","24.83"
"2013-12-09","25.04"
"2013-12-06","24.83"
"2013-12-05","24.41"
"2013-12-04","24.62"
"2013-12-03","24.67"
"2013-12-02","24.83"
"2013-11-29","24.48"
"2013-11-27","24.78"
"2013-11-26","24.67"
"2013-11-25","24.68"
"2013-11-22","24.92"
"2013-11-21","25.00"
"2013-11-20","24.46"
"2013-11-19","24.50"
"2013-11-18","24.42"
"2013-11-15","24.42"
"2013-11-14","24.24"
"2013-11-13","23.98"
"2013-11-12","23.71"
"2013-11-11","24.00"
"2013-11-08","24.02"
"2013-11-07","22.76"
"2013-11-06","23.21"
"2013-11-05","23.29"
"2013-11-04","23.23"
"2013-11-01","23.12"
"2013-10-31","22.65"
"2013-10-30","22.86"
"2013-10-29","23.10"
"2013-10-28","23.01"
"2013-10-25","23.56"
"2013-10-24","23.40"
"2013-10-23","23.30"
"2013-10-22","23.35"
"2013-10-21","23.56"
"2013-10-18","23.77"
"2013-10-17","23.62"
"2013-10-16","23.43"
"2013-10-15","23.03"
"2013-10-14","22.01"
"2013-10-11","21.78"
"2013-10-10","21.39"
"2013-10-09","20.75"
"2013-10-08","20.57"
"2013-10-07","21.07"
"2013-10-04","21.58"
"2013-10-03","21.15"
"2013-10-02","21.29"
"2013-10-01","21.38"
"2013-09-30","21.14"
"2013-09-27","21.19"
"2013-09-26","21.33"
"2013-09-25","21.24"
"2013-09-24","21.14"
"2013-09-23","20.84"
"2013-09-20","21.27"
"2013-09-19","21.04"
"2013-09-18","21.36"
"2013-09-17","22.64"
"2013-09-16","22.08"
"2013-09-13","22.03"
"2013-09-12","22.07"
"2013-09-11","22.24"
"2013-09-10","22.37"
"2013-09-09","21.82"
"2013-09-06","21.58"
"2013-09-05","21.84"
"2013-09-04","21.86"
"2013-09-03","21.15"
"2013-08-30","20.88"
"2013-08-29","21.29"
"2013-08-28","20.96"
"2013-08-27","20.74"
"2013-08-26","21.61"
"2013-08-23","21.53"
"2013-08-22","21.44"
"2013-08-21","21.48"
"2013-08-20","21.69"
"2013-08-19","21.41"
"2013-08-16","21.56"
"2013-08-15","21.40"
"2013-08-14","22.00"
"2013-08-13","22.28"
"2013-08-12","21.76"
"2013-08-09","22.29"
"2013-08-08","22.31"
"2013-08-07","22.54"
"2013-08-06","22.42"
"2013-08-05","22.69"
"2013-08-02","22.65"
"2013-08-01","22.67"
"2013-07-31","22.09"
"2013-07-30","22.19"
"2013-07-29","21.99"
"2013-07-26","22.12"
"2013-07-25","22.28"
"2013-07-24","22.11"
"2013-07-23","22.48"
"2013-07-22","22.02"
"2013-07-19","21.68"
"2013-07-18","21.46"
"2013-07-17","20.95"
"2013-07-16","21.00"
"2013-07-15","21.71"
"2013-07-12","21.69"
"2013-07-11","21.47"
"2013-07-10","21.94"
"2013-07-09","22.20"
"2013-07-08","22.19"
"2013-07-05","22.01"
"2013-07-03","21.40"
"2013-07-02","21.30"
"2013-07-01","21.38"
"2013-06-28","21.23"
"2013-06-27","20.94"
"2013-06-26","20.96"
"2013-06-25","21.04"
"2013-06-24","20.64"
"2013-06-21","20.64"
"2013-06-20","20.48"
"2013-06-19","20.47"
"2013-06-18","20.54"
"2013-06-17","20.32"
"2013-06-14","19.71"
"2013-06-13","20.04"
"2013-06-12","19.59"
"2013-06-11","19.72"
"2013-06-10","20.22"
"2013-06-07","20.12"
"2013-06-06","19.46"
"2013-06-05","19.01"
"2013-06-04","19.58"
"2013-06-03","19.68"
"2013-05-31","19.86"
"2013-05-30","20.16"
"2013-05-29","19.91"
"2013-05-28","19.77"
"2013-05-24","19.16"
"2013-05-23","18.99"
"2013-05-22","19.06"
"2013-05-21","19.17"
"2013-05-20","19.21"
"2013-05-17","19.34"
"2013-05-16","18.91"
"2013-05-15","18.98"
"2013-05-14","18.75"
"2013-05-13","18.15"
"2013-05-10","18.09"
"2013-05-09","17.51"
"2013-05-08","17.38"
"2013-05-07","17.44"
"2013-05-06","17.55"
"2013-05-03","17.47"
"2013-05-02","16.44"
"2013-05-01","16.21"
"2013-04-30","16.96"
"2013-04-29","16.94"
"2013-04-26","16.73"
"2013-04-25","16.75"
"2013-04-24","16.64"
"2013-04-23","16.59"
"2013-04-22","16.42"
"2013-04-19","16.39"
"2013-04-18","16.39"
"2013-04-17","16.47"
"2013-04-16","16.96"
"2013-04-15","16.62"
"2013-04-12","17.28"
"2013-04-11","17.54"
"2013-04-10","17.39"
"2013-04-09","16.97"
"2013-04-08","16.82"
"2013-04-05","16.55"
"2013-04-04","16.72"
"2013-04-03","16.75"
"2013-04-02","17.31"
"2013-04-01","17.38"
"2013-03-28","17.69"
"2013-03-27","17.50"
"2013-03-26","17.63"
"2013-03-25","17.52"
"2013-03-22","17.54"
"2013-03-21","17.46"
"2013-03-20","17.75"
"2013-03-19","17.55"
"2013-03-18","17.66"
"2013-03-15","17.86"
"2013-03-14","17.98"
"2013-03-13","18.11"
"2013-03-12","17.74"
"2013-03-11","17.71"
"2013-03-08","17.66"
"2013-03-07","17.58"
"2013-03-06","17.35"
"2013-03-05","16.98"
"2013-03-04","16.78"
"2013-03-01","16.40"
"2013-02-28","16.24"
"2013-02-27","16.41"
"2013-02-26","16.21"
"2013-02-25","16.32"
"2013-02-22","16.73"
"2013-02-21","16.37"
"2013-02-20","16.69"
"2013-02-19","17.10"
"2013-02-15","16.90"
"2013-02-14","16.92"
"2013-02-13","16.92"
"2013-02-12","16.86"
"2013-02-11","16.73"
"2013-02-08","16.89"
"2013-02-07","17.11"
"2013-02-06","16.79"
"2013-02-05","16.65"
"2013-02-04","16.39"
"2013-02-01","16.75"
"2013-01-31","16.53"
"2013-01-30","16.51"
"2013-01-29","16.47"
"2013-01-28","16.10"
"2013-01-25","16.05"
"2013-01-24","15.81"
"2013-01-23","15.64"
"2013-01-22","15.71"
"2013-01-18","15.45"
"2013-01-17","15.25"
"2013-01-16","15.05"
"2013-01-15","15.29"
"2013-01-14","15.27"
"2013-01-11","15.39"
"2013-01-10","15.33"
"2013-01-09","15.13"
"2013-01-08","15.22"
"2013-01-07","15.27"
"2013-01-04","15.46"
"2013-01-03","15.06"
"2013-01-02","15.08"
"2012-12-31","14.36"
"2012-12-28","14.14"
"2012-12-27","14.21"
"2012-12-26","14.26"
"2012-12-24","14.33"
"2012-12-21","14.32"
"2012-12-20","14.46"
"2012-12-19","14.47"
"2012-12-18","14.21"
"2012-12-17","13.87"
"2012-12-14","13.70"
"2012-12-13","13.75"
"2012-12-12","13.67"
"2012-12-11","13.67"
"2012-12-10","13.37"
"2012-12-07","13.42"
"2012-12-06","13.06"
"2012-12-05","12.93"
"2012-12-04","12.88"
"2012-12-03","12.99"
"2012-11-30","13.10"
"2012-11-29","13.09"
"2012-11-28","13.14"
"2012-11-27","13.03"
"2012-11-26","13.15"
"2012-11-23","13.23"
"2012-11-21","13.06"
"2012-11-20","12.97"
"2012-11-19","12.89"
"2012-11-16","12.78"
"2012-11-15","12.73"
"2012-11-14","12.50"
"2012-11-13","12.68"
"2012-11-12","12.95"
"2012-11-09","13.06"
"2012-11-08","13.20"
"2012-11-07","13.32"
"2012-11-06","13.89"
"2012-11-05","13.89"
"2012-11-02","13.74"
"2012-11-01","13.64"
"2012-10-31","13.58"
"2012-10-26","13.47"
"2012-10-25","13.51"
"2012-10-24","13.32"
"2012-10-23","13.22"
"2012-10-22","13.35"
"2012-10-19","13.32"
"2012-10-18","13.64"
"2012-10-17","13.62"
"2012-10-16","13.32"
"2012-10-15","13.03"
"2012-10-12","12.95"
"2012-10-11","13.17"
"2012-10-10","12.97"
"2012-10-09","12.93"
"2012-10-08","13.15"
"2012-10-05","13.25"
"2012-10-04","13.09"
"2012-10-03","12.76"
"2012-10-02","12.90"
"2012-10-01","12.88"
"2012-09-28","12.79"
"2012-09-27","12.88"
"2012-09-26","12.90"
"2012-09-25","12.89"
"2012-09-24","13.43"
"2012-09-21","13.58"
"2012-09-20","13.44"
"2012-09-19","13.65"
"2012-09-18","13.94"
"2012-09-17","14.19"
"2012-09-14","14.43"
"2012-09-13","14.31"
"2012-09-12","14.01"
"2012-09-11","13.92"
"2012-09-10","13.92"
"2012-09-07","14.03"
"2012-09-06","13.96"
"2012-09-05","13.34"
"2012-09-04","13.33"
"2012-08-31","13.49"
"2012-08-30","13.42"
"2012-08-29","13.39"
"2012-08-28","13.14"
"2012-08-27","13.10"
"2012-08-24","13.27"
"2012-08-23","13.00"
"2012-08-22","13.12"
"2012-08-21","13.20"
"2012-08-20","13.14"
"2012-08-17","13.20"
"2012-08-16","13.31"
"2012-08-15","13.05"
"2012-08-14","12.85"
"2012-08-13","12.90"
"2012-08-10","12.88"
"2012-08-09","13.01"
"2012-08-08","13.02"
"2012-08-07","13.20"
"2012-08-06","12.88"
"2012-08-03","12.80"
"2012-08-02","12.22"
"2012-08-01","12.45"
"2012-07-31","12.63"
"2012-07-30","12.78"
"2012-07-27","12.92"
"2012-07-26","12.62"
"2012-07-25","12.32"
"2012-07-24","12.14"
"2012-07-23","12.22"
"2012-07-20","12.49"
"2012-07-19","12.93"
"2012-07-18","13.00"
"2012-07-17","13.01"
"2012-07-16","12.67"
"2012-07-13","12.69"
"2012-07-12","12.39"
"2012-07-11","12.57"
"2012-07-10","12.41"
"2012-07-09","12.50"
"2012-07-06","12.64"
"2012-07-05","12.82"
"2012-07-03","13.03"
"2012-07-02","12.93"
"2012-06-29","12.93"
"2012-06-28","12.54"
"2012-06-27","12.40"
"2012-06-26","12.21"
"2012-06-25","12.07"
"2012-06-22","12.37"
"2012-06-21","12.25"
"2012-06-20","12.73"
"2012-06-19","12.70"
"2012-06-18","12.58"
"2012-06-15","12.67"
"2012-06-14","12.36"
"2012-06-13","12.14"
"2012-06-12","12.24"
"2012-06-11","12.14"
"2012-06-08","12.30"
"2012-06-07","12.25"
"2012-06-06","12.42"
"2012-06-05","12.14"
"2012-06-04","11.83"
"2012-06-01","12.10"
"2012-05-31","12.46"
"2012-05-30","12.52"
"2012-05-29","13.00"
"2012-05-25","12.80"
"2012-05-24","12.63"
"2012-05-23","12.61"
"2012-05-22","12.73"
"2012-05-21","12.66"
"2012-05-18","12.33"
"2012-05-17","12.57"
"2012-05-16","12.75"
"2012-05-15","12.87"
"2012-05-14","12.91"
"2012-05-11","13.11"
"2012-05-10","13.04"
"2012-05-09","13.15"
"2012-05-08","13.35"
"2012-05-07","13.52"
"2012-05-04","13.53"
"2012-05-03","13.70"
"2012-05-02","13.72"
"2012-05-01","14.14"
"2012-04-30","14.28"
"2012-04-27","14.31"
"2012-04-26","14.34"
"2012-04-25","14.09"
"2012-04-24","13.85"
"2012-04-23","13.82"
"2012-04-20","14.02"
