"Date","Close"
"2013-12-31","34.05"
"2013-12-30","34.13"
"2013-12-27","33.82"
"2013-12-26","33.96"
"2013-12-24","33.99"
"2013-12-23","33.09"
"2013-12-20","32.95"
"2013-12-19","32.55"
"2013-12-18","32.38"
"2013-12-17","31.73"
"2013-12-16","31.98"
"2013-12-13","31.85"
"2013-12-12","31.55"
"2013-12-11","31.39"
"2013-12-10","32.52"
"2013-12-09","32.13"
"2013-12-06","32.52"
"2013-12-05","31.46"
"2013-12-04","31.93"
"2013-12-03","31.91"
"2013-12-02","31.81"
"2013-11-29","32.11"
"2013-11-27","32.34"
"2013-11-26","32.28"
"2013-11-25","32.17"
"2013-11-22","31.78"
"2013-11-21","32.11"
"2013-11-20","30.81"
"2013-11-19","31.44"
"2013-11-18","31.69"
"2013-11-15","31.73"
"2013-11-14","30.96"
"2013-11-13","30.81"
"2013-11-12","30.90"
"2013-11-11","31.10"
"2013-11-08","30.82"
"2013-11-07","30.50"
"2013-11-06","31.10"
"2013-11-05","31.11"
"2013-11-04","31.55"
"2013-11-01","31.21"
"2013-10-31","30.18"
"2013-10-30","30.35"
"2013-10-29","28.52"
"2013-10-28","28.08"
"2013-10-25","28.33"
"2013-10-24","28.45"
"2013-10-23","28.04"
"2013-10-22","28.40"
"2013-10-21","27.94"
"2013-10-18","27.93"
"2013-10-17","27.88"
"2013-10-16","27.09"
"2013-10-15","27.16"
"2013-10-14","27.32"
"2013-10-11","27.44"
"2013-10-10","27.39"
"2013-10-09","26.59"
"2013-10-08","26.72"
"2013-10-07","26.56"
"2013-10-04","27.07"
"2013-10-03","26.81"
"2013-10-02","27.12"
"2013-10-01","27.48"
"2013-09-30","27.19"
"2013-09-27","27.49"
"2013-09-26","27.62"
"2013-09-25","27.15"
"2013-09-24","27.25"
"2013-09-23","27.01"
"2013-09-20","28.56"
"2013-09-19","29.83"
"2013-09-18","30.32"
"2013-09-17","29.81"
"2013-09-16","30.37"
"2013-09-13","30.04"
"2013-09-12","29.82"
"2013-09-11","30.14"
"2013-09-10","30.57"
"2013-09-09","30.26"
"2013-09-06","29.52"
"2013-09-05","29.53"
"2013-09-04","29.39"
"2013-09-03","28.54"
"2013-08-30","28.40"
"2013-08-29","28.41"
"2013-08-28","28.11"
"2013-08-27","28.14"
"2013-08-26","29.31"
"2013-08-23","29.41"
"2013-08-22","28.95"
"2013-08-21","28.97"
"2013-08-20","28.88"
"2013-08-19","28.69"
"2013-08-16","29.16"
"2013-08-15","29.58"
"2013-08-14","30.31"
"2013-08-13","30.27"
"2013-08-12","30.19"
"2013-08-09","30.09"
"2013-08-08","30.07"
"2013-08-07","30.05"
"2013-08-06","30.04"
"2013-08-05","30.16"
"2013-08-02","30.36"
"2013-08-01","27.88"
"2013-07-31","27.24"
"2013-07-30","27.17"
"2013-07-29","26.90"
"2013-07-26","27.12"
"2013-07-25","27.07"
"2013-07-24","26.73"
"2013-07-23","27.03"
"2013-07-22","27.33"
"2013-07-19","27.55"
"2013-07-18","27.34"
"2013-07-17","27.54"
"2013-07-16","27.51"
"2013-07-15","27.61"
"2013-07-12","27.51"
"2013-07-11","27.26"
"2013-07-10","26.77"
"2013-07-09","26.09"
"2013-07-08","25.84"
"2013-07-05","25.56"
"2013-07-03","24.96"
"2013-07-02","24.65"
"2013-07-01","24.45"
"2013-06-28","23.95"
"2013-06-27","24.04"
"2013-06-26","23.58"
"2013-06-25","23.26"
"2013-06-24","22.80"
"2013-06-21","23.47"
"2013-06-20","23.53"
"2013-06-19","24.29"
"2013-06-18","24.64"
"2013-06-17","24.30"
"2013-06-14","23.88"
"2013-06-13","23.86"
"2013-06-12","23.45"
"2013-06-11","23.85"
"2013-06-10","24.14"
"2013-06-07","24.41"
"2013-06-06","23.60"
"2013-06-05","23.60"
"2013-06-04","24.56"
"2013-06-03","24.52"
"2013-05-31","24.02"
"2013-05-30","24.24"
"2013-05-29","24.37"
"2013-05-28","24.34"
"2013-05-24","23.76"
"2013-05-23","23.81"
"2013-05-22","23.65"
"2013-05-21","23.84"
"2013-05-20","23.79"
"2013-05-17","23.86"
"2013-05-16","23.62"
"2013-05-15","23.33"
"2013-05-14","23.19"
"2013-05-13","22.85"
"2013-05-10","23.10"
"2013-05-09","22.74"
"2013-05-08","22.82"
"2013-05-07","22.84"
"2013-05-06","22.77"
"2013-05-03","22.51"
"2013-05-02","21.77"
"2013-05-01","22.20"
"2013-04-30","22.12"
"2013-04-29","22.09"
"2013-04-26","21.79"
"2013-04-25","22.31"
"2013-04-24","22.07"
"2013-04-23","21.90"
"2013-04-22","21.59"
"2013-04-19","21.48"
"2013-04-18","21.15"
"2013-04-17","21.39"
"2013-04-16","21.87"
"2013-04-15","21.46"
"2013-04-12","22.65"
"2013-04-11","22.90"
"2013-04-10","22.69"
"2013-04-09","22.09"
"2013-04-08","22.24"
"2013-04-05","21.90"
"2013-04-04","22.04"
"2013-04-03","22.23"
"2013-04-02","23.05"
"2013-04-01","23.82"
"2013-03-28","24.11"
"2013-03-27","24.23"
"2013-03-26","24.20"
"2013-03-25","23.74"
"2013-03-22","23.71"
"2013-03-21","23.58"
"2013-03-20","24.28"
"2013-03-19","24.00"
"2013-03-18","24.02"
"2013-03-15","24.27"
"2013-03-14","24.15"
"2013-03-13","23.32"
"2013-03-12","22.77"
"2013-03-11","22.83"
"2013-03-08","22.50"
"2013-03-07","22.36"
"2013-03-06","22.34"
"2013-03-05","22.73"
"2013-03-04","22.43"
"2013-03-01","22.38"
"2013-02-28","22.21"
"2013-02-27","21.84"
"2013-02-26","21.58"
"2013-02-25","21.08"
"2013-02-22","21.02"
"2013-02-21","20.66"
"2013-02-20","20.54"
"2013-02-19","21.15"
"2013-02-15","19.40"
"2013-02-14","18.97"
"2013-02-13","18.98"
"2013-02-12","18.95"
"2013-02-11","19.11"
"2013-02-08","19.25"
"2013-02-07","19.23"
"2013-02-06","19.52"
"2013-02-05","19.42"
"2013-02-04","18.90"
"2013-02-01","19.08"
"2013-01-31","18.72"
"2013-01-30","18.66"
"2013-01-29","18.69"
"2013-01-28","18.64"
"2013-01-25","18.62"
"2013-01-24","18.93"
"2013-01-23","18.93"
"2013-01-22","18.86"
"2013-01-18","18.80"
"2013-01-17","18.83"
"2013-01-16","18.59"
"2013-01-15","18.28"
"2013-01-14","18.33"
"2013-01-11","18.22"
"2013-01-10","18.29"
"2013-01-09","18.22"
"2013-01-08","18.20"
"2013-01-07","18.16"
"2013-01-04","18.11"
"2013-01-03","18.00"
"2013-01-02","17.94"
"2012-12-31","17.51"
"2012-12-28","17.09"
"2012-12-27","17.37"
"2012-12-26","17.45"
"2012-12-24","17.55"
"2012-12-21","17.35"
"2012-12-20","17.35"
"2012-12-19","17.23"
"2012-12-18","16.65"
"2012-12-17","16.30"
"2012-12-14","16.13"
"2012-12-13","16.43"
"2012-12-12","16.36"
"2012-12-11","16.49"
"2012-12-10","16.57"
"2012-12-07","16.51"
"2012-12-06","16.70"
"2012-12-05","16.44"
"2012-12-04","16.45"
"2012-12-03","16.54"
"2012-11-30","16.82"
"2012-11-29","16.80"
"2012-11-28","16.94"
"2012-11-27","16.91"
"2012-11-26","17.18"
"2012-11-23","17.16"
"2012-11-21","16.79"
"2012-11-20","16.74"
"2012-11-19","16.75"
"2012-11-16","16.39"
"2012-11-15","16.49"
"2012-11-14","16.63"
"2012-11-13","17.20"
"2012-11-12","16.77"
"2012-11-09","16.68"
"2012-11-08","16.57"
"2012-11-07","16.64"
"2012-11-06","16.85"
"2012-11-05","16.85"
"2012-11-02","16.67"
"2012-11-01","16.68"
"2012-10-31","16.22"
"2012-10-26","15.84"
"2012-10-25","15.92"
"2012-10-24","15.74"
"2012-10-23","15.72"
"2012-10-22","16.04"
"2012-10-19","15.95"
"2012-10-18","16.51"
"2012-10-17","16.28"
"2012-10-16","15.96"
"2012-10-15","15.50"
"2012-10-12","15.35"
"2012-10-11","15.48"
"2012-10-10","15.40"
"2012-10-09","15.59"
"2012-10-08","15.71"
"2012-10-05","15.91"
"2012-10-04","15.43"
"2012-10-03","15.24"
"2012-10-02","15.35"
"2012-10-01","15.68"
"2012-09-28","15.46"
"2012-09-27","15.59"
"2012-09-26","15.57"
"2012-09-25","15.67"
"2012-09-24","16.35"
"2012-09-21","16.67"
"2012-09-20","16.57"
"2012-09-19","16.11"
"2012-09-18","16.09"
"2012-09-17","16.00"
"2012-09-14","16.30"
"2012-09-13","16.22"
"2012-09-12","15.80"
"2012-09-11","15.60"
"2012-09-10","15.65"
"2012-09-07","15.06"
"2012-09-06","14.99"
"2012-09-05","14.96"
"2012-09-04","14.12"
"2012-08-31","14.27"
"2012-08-30","14.31"
"2012-08-29","14.58"
"2012-08-28","13.13"
"2012-08-27","13.12"
"2012-08-24","13.26"
"2012-08-23","13.11"
"2012-08-22","13.47"
"2012-08-21","13.34"
"2012-08-20","13.35"
"2012-08-17","13.58"
"2012-08-16","13.84"
"2012-08-15","13.55"
"2012-08-14","13.67"
"2012-08-13","13.68"
"2012-08-10","13.99"
"2012-08-09","14.01"
"2012-08-08","13.91"
"2012-08-07","13.93"
"2012-08-06","13.80"
"2012-08-03","13.82"
"2012-08-02","13.15"
"2012-08-01","15.80"
"2012-07-31","16.20"
"2012-07-30","16.11"
"2012-07-27","15.94"
"2012-07-26","15.33"
"2012-07-25","15.28"
"2012-07-24","15.39"
"2012-07-23","15.41"
"2012-07-20","15.58"
"2012-07-19","15.67"
"2012-07-18","15.44"
"2012-07-17","15.47"
"2012-07-16","15.29"
"2012-07-13","15.36"
"2012-07-12","15.08"
"2012-07-11","15.55"
"2012-07-10","15.64"
"2012-07-09","15.68"
"2012-07-06","15.82"
"2012-07-05","15.95"
"2012-07-03","15.95"
"2012-07-02","15.54"
"2012-06-29","15.44"
"2012-06-28","14.95"
"2012-06-27","14.90"
"2012-06-26","15.27"
"2012-06-25","15.30"
"2012-06-22","15.58"
"2012-06-21","15.44"
"2012-06-20","15.81"
"2012-06-19","15.88"
"2012-06-18","15.61"
"2012-06-15","15.54"
"2012-06-14","15.52"
"2012-06-13","15.33"
"2012-06-12","15.65"
"2012-06-11","15.40"
"2012-06-08","15.63"
"2012-06-07","15.54"
"2012-06-06","15.66"
"2012-06-05","15.25"
"2012-06-04","14.94"
"2012-06-01","15.26"
"2012-05-31","15.65"
"2012-05-30","15.72"
"2012-05-29","16.23"
"2012-05-25","16.00"
"2012-05-24","16.08"
"2012-05-23","16.26"
"2012-05-22","16.07"
"2012-05-21","16.20"
"2012-05-18","16.03"
"2012-05-17","16.26"
"2012-05-16","16.86"
"2012-05-15","17.21"
"2012-05-14","17.54"
"2012-05-11","17.80"
"2012-05-10","18.12"
"2012-05-09","18.15"
"2012-05-08","17.96"
"2012-05-07","17.60"
"2012-05-04","17.69"
"2012-05-03","18.31"
"2012-05-02","18.95"
"2012-05-01","19.28"
"2012-04-30","19.18"
"2012-04-27","19.24"
"2012-04-26","19.17"
"2012-04-25","18.92"
"2012-04-24","18.46"
"2012-04-23","18.67"
"2012-04-20","19.11"
"2012-04-19","19.12"
"2012-04-18","19.12"
"2012-04-17","19.03"
"2012-04-16","18.57"
"2012-04-13","18.73"
"2012-04-12","18.77"
"2012-04-11","18.37"
"2012-04-10","18.23"
"2012-04-09","18.82"
"2012-04-05","19.43"
"2012-04-04","19.95"
"2012-04-03","19.92"
"2012-04-02","19.42"
"2012-03-30","19.31"
"2012-03-29","19.46"
"2012-03-28","19.50"
"2012-03-27","19.72"
"2012-03-26","19.61"
"2012-03-23","19.56"
"2012-03-22","19.66"
"2012-03-21","19.91"
"2012-03-20","19.90"
"2012-03-19","20.16"
"2012-03-16","20.32"
"2012-03-15","20.07"
"2012-03-14","19.88"
"2012-03-13","19.74"
"2012-03-12","19.23"
"2012-03-09","19.50"
"2012-03-08","19.46"
"2012-03-07","19.57"
"2012-03-06","19.60"
