"Date","Close"
"2013-12-31","103.62"
"2013-12-30","103.65"
"2013-12-27","103.18"
"2013-12-26","102.99"
"2013-12-24","102.36"
"2013-12-23","101.64"
"2013-12-20","102.12"
"2013-12-19","101.95"
"2013-12-18","101.86"
"2013-12-17","101.10"
"2013-12-16","101.60"
"2013-12-13","100.41"
"2013-12-12","101.38"
"2013-12-11","103.99"
"2013-12-10","103.20"
"2013-12-09","104.88"
"2013-12-06","104.32"
"2013-12-05","102.29"
"2013-12-04","104.75"
"2013-12-03","104.98"
"2013-12-02","104.45"
"2013-11-29","104.24"
"2013-11-27","105.61"
"2013-11-26","105.62"
"2013-11-25","104.31"
"2013-11-22","103.95"
"2013-11-21","103.02"
"2013-11-20","101.49"
"2013-11-19","108.59"
"2013-11-18","108.91"
"2013-11-15","109.35"
"2013-11-14","108.93"
"2013-11-13","107.93"
"2013-11-12","107.41"
"2013-11-11","107.64"
"2013-11-08","108.61"
"2013-11-07","107.61"
"2013-11-06","111.87"
"2013-11-05","110.69"
"2013-11-04","110.62"
"2013-11-01","111.01"
"2013-10-31","111.21"
"2013-10-30","111.50"
"2013-10-29","112.90"
"2013-10-28","112.20"
"2013-10-25","110.36"
"2013-10-24","109.60"
"2013-10-23","108.85"
"2013-10-22","108.73"
"2013-10-21","106.86"
"2013-10-18","107.88"
"2013-10-17","108.44"
"2013-10-16","107.50"
"2013-10-15","105.97"
"2013-10-14","106.73"
"2013-10-11","106.60"
"2013-10-10","106.51"
"2013-10-09","104.38"
"2013-10-08","105.58"
"2013-10-07","105.78"
"2013-10-04","105.93"
"2013-10-03","104.97"
"2013-10-02","104.95"
"2013-10-01","105.41"
"2013-09-30","105.04"
"2013-09-27","104.79"
"2013-09-26","105.69"
"2013-09-25","105.86"
"2013-09-24","106.39"
"2013-09-23","106.56"
"2013-09-20","107.14"
"2013-09-19","107.68"
"2013-09-18","108.48"
"2013-09-17","108.30"
"2013-09-16","107.92"
"2013-09-13","107.87"
"2013-09-12","107.27"
"2013-09-11","107.78"
"2013-09-10","108.91"
"2013-09-09","108.14"
"2013-09-06","105.99"
"2013-09-05","106.78"
"2013-09-04","106.25"
"2013-09-03","105.39"
"2013-08-30","106.14"
"2013-08-29","105.80"
"2013-08-28","105.32"
"2013-08-27","106.57"
"2013-08-26","107.50"
"2013-08-23","108.46"
"2013-08-22","107.49"
"2013-08-21","107.79"
"2013-08-20","109.10"
"2013-08-19","109.06"
"2013-08-16","110.32"
"2013-08-15","110.43"
"2013-08-14","112.57"
"2013-08-13","113.91"
"2013-08-12","113.51"
"2013-08-09","113.30"
