"Date","Close"
"2013-12-31","26.28"
"2013-12-30","26.07"
"2013-12-27","26.01"
"2013-12-26","26.05"
"2013-12-24","26.05"
"2013-12-23","25.95"
"2013-12-20","25.95"
"2013-12-19","25.94"
"2013-12-18","26.00"
"2013-12-17","25.58"
"2013-12-16","25.76"
"2013-12-13","25.76"
"2013-12-12","25.58"
"2013-12-11","25.79"
"2013-12-10","26.35"
"2013-12-09","26.66"
"2013-12-06","26.44"
"2013-12-05","26.15"
"2013-12-04","26.55"
"2013-12-03","26.52"
"2013-12-02","26.46"
"2013-11-29","26.65"
"2013-11-27","26.60"
"2013-11-26","26.45"
"2013-11-25","26.36"
"2013-11-22","26.25"
"2013-11-21","26.12"
"2013-11-20","25.90"
"2013-11-19","25.98"
"2013-11-18","26.09"
"2013-11-15","26.27"
"2013-11-14","26.28"
"2013-11-13","25.85"
"2013-11-12","25.68"
"2013-11-11","25.39"
"2013-11-08","25.10"
"2013-11-07","24.93"
"2013-11-06","25.36"
"2013-11-05","25.24"
"2013-11-04","25.19"
"2013-11-01","25.25"
"2013-10-31","25.37"
"2013-10-30","25.62"
"2013-10-29","25.89"
"2013-10-28","25.72"
"2013-10-25","25.73"
"2013-10-24","25.70"
"2013-10-23","25.67"
"2013-10-22","26.13"
"2013-10-21","25.95"
"2013-10-18","25.79"
"2013-10-17","25.71"
"2013-10-16","25.73"
"2013-10-15","25.17"
"2013-10-14","25.21"
"2013-10-11","25.09"
"2013-10-10","24.72"
"2013-10-09","24.17"
"2013-10-08","24.28"
"2013-10-07","24.70"
"2013-10-04","25.06"
"2013-10-03","24.60"
"2013-10-02","24.81"
"2013-10-01","24.88"
"2013-09-30","24.90"
"2013-09-27","25.14"
"2013-09-26","25.20"
"2013-09-25","25.09"
"2013-09-24","24.98"
"2013-09-23","24.82"
"2013-09-20","25.07"
"2013-09-19","25.31"
"2013-09-18","25.29"
"2013-09-17","24.93"
"2013-09-16","24.83"
"2013-09-13","24.77"
"2013-09-12","24.90"
"2013-09-11","24.94"
"2013-09-10","24.76"
"2013-09-09","24.69"
"2013-09-06","24.15"
"2013-09-05","24.17"
"2013-09-04","24.20"
"2013-09-03","24.33"
"2013-08-30","23.99"
"2013-08-29","24.08"
"2013-08-28","23.98"
"2013-08-27","23.98"
"2013-08-26","24.76"
"2013-08-23","25.00"
"2013-08-22","24.96"
"2013-08-21","24.72"
"2013-08-20","24.84"
"2013-08-19","24.50"
"2013-08-16","24.82"
"2013-08-15","24.64"
"2013-08-14","24.98"
"2013-08-13","25.00"
"2013-08-12","24.79"
"2013-08-09","24.73"
"2013-08-08","24.84"
"2013-08-07","24.49"
"2013-08-06","24.76"
"2013-08-05","25.06"
"2013-08-02","24.99"
"2013-08-01","24.98"
"2013-07-31","24.71"
"2013-07-30","24.53"
"2013-07-29","24.00"
"2013-07-26","24.16"
"2013-07-25","24.43"
"2013-07-24","24.56"
"2013-07-23","24.79"
"2013-07-22","24.86"
"2013-07-19","24.54"
"2013-07-18","24.44"
"2013-07-17","23.41"
"2013-07-16","23.41"
"2013-07-15","23.54"
"2013-07-12","23.40"
"2013-07-11","23.35"
"2013-07-10","23.25"
"2013-07-09","23.27"
"2013-07-08","23.07"
"2013-07-05","22.99"
"2013-07-03","22.89"
"2013-07-02","22.99"
"2013-07-01","23.00"
"2013-06-28","22.86"
"2013-06-27","22.99"
"2013-06-26","22.97"
"2013-06-25","22.92"
"2013-06-24","22.05"
"2013-06-21","22.36"
"2013-06-20","22.48"
"2013-06-19","22.91"
"2013-06-18","23.13"
"2013-06-17","23.01"
"2013-06-14","22.98"
"2013-06-13","23.26"
"2013-06-12","23.34"
"2013-06-11","23.36"
"2013-06-10","23.49"
"2013-06-07","23.56"
"2013-06-06","23.75"
"2013-06-05","23.54"
"2013-06-04","23.84"
"2013-06-03","23.96"
"2013-05-31","23.74"
"2013-05-30","24.04"
