"Date","Close"
"2013-12-31","41.11"
"2013-12-30","41.00"
"2013-12-27","40.86"
"2013-12-26","40.75"
"2013-12-24","40.96"
"2013-12-23","40.88"
"2013-12-20","41.06"
"2013-12-19","40.79"
"2013-12-18","41.01"
"2013-12-17","40.31"
"2013-12-16","40.38"
"2013-12-13","40.12"
"2013-12-12","40.20"
"2013-12-11","40.28"
"2013-12-10","40.46"
"2013-12-09","41.04"
"2013-12-06","41.43"
"2013-12-05","40.94"
"2013-12-04","41.09"
"2013-12-03","40.88"
"2013-12-02","40.74"
"2013-11-29","40.63"
"2013-11-27","40.68"
"2013-11-26","40.73"
"2013-11-25","41.00"
"2013-11-22","41.23"
"2013-11-21","41.37"
"2013-11-20","41.40"
"2013-11-19","42.07"
"2013-11-18","42.33"
"2013-11-15","42.42"
"2013-11-14","42.36"
"2013-11-13","41.74"
"2013-11-12","41.39"
"2013-11-11","41.50"
"2013-11-08","41.21"
"2013-11-07","41.52"
"2013-11-06","41.77"
"2013-11-05","41.10"
"2013-11-04","41.49"
"2013-11-01","41.02"
"2013-10-31","40.91"
"2013-10-30","41.90"
"2013-10-29","42.39"
"2013-10-28","42.44"
"2013-10-25","42.46"
"2013-10-24","42.01"
"2013-10-23","42.29"
"2013-10-22","42.28"
"2013-10-21","41.76"
"2013-10-18","41.94"
"2013-10-17","41.91"
"2013-10-16","41.28"
"2013-10-15","40.85"
"2013-10-14","41.35"
"2013-10-11","41.69"
"2013-10-10","41.57"
"2013-10-09","41.27"
"2013-10-08","41.01"
"2013-10-07","40.49"
"2013-10-04","40.66"
"2013-10-03","40.56"
"2013-10-02","41.33"
"2013-10-01","41.28"
"2013-09-30","41.18"
"2013-09-27","41.23"
"2013-09-26","41.53"
"2013-09-25","41.72"
"2013-09-24","42.08"
"2013-09-23","42.17"
"2013-09-20","41.78"
"2013-09-19","42.30"
"2013-09-18","42.63"
"2013-09-17","41.15"
"2013-09-16","40.94"
"2013-09-13","40.96"
"2013-09-12","40.76"
"2013-09-11","41.02"
"2013-09-10","41.41"
"2013-09-09","41.23"
"2013-09-06","41.12"
"2013-09-05","40.75"
"2013-09-04","40.89"
"2013-09-03","41.09"
"2013-08-30","41.62"
"2013-08-29","41.44"
"2013-08-28","41.64"
"2013-08-27","41.68"
"2013-08-26","41.90"
"2013-08-23","42.23"
"2013-08-22","41.93"
"2013-08-21","41.67"
"2013-08-20","42.25"
"2013-08-19","42.05"
"2013-08-16","42.39"
"2013-08-15","42.90"
"2013-08-14","43.61"
"2013-08-13","43.78"
"2013-08-12","43.56"
"2013-08-09","43.87"
"2013-08-08","44.04"
"2013-08-07","44.14"
"2013-08-06","43.77"
"2013-08-05","44.07"
"2013-08-02","44.34"
"2013-08-01","44.35"
"2013-07-31","44.84"
"2013-07-30","45.42"
"2013-07-29","45.40"
"2013-07-26","45.34"
"2013-07-25","45.14"
"2013-07-24","45.04"
"2013-07-23","45.62"
"2013-07-22","45.51"
"2013-07-19","45.56"
"2013-07-18","45.62"
"2013-07-17","45.26"
"2013-07-16","45.25"
"2013-07-15","45.55"
"2013-07-12","44.99"
"2013-07-11","44.96"
"2013-07-10","44.23"
"2013-07-09","44.12"
"2013-07-08","43.85"
"2013-07-05","43.14"
"2013-07-03","43.40"
"2013-07-02","43.61"
"2013-07-01","43.81"
"2013-06-28","44.13"
"2013-06-27","44.00"
"2013-06-26","44.03"
"2013-06-25","43.56"
"2013-06-24","42.94"
"2013-06-21","43.10"
"2013-06-20","42.48"
"2013-06-19","43.57"
"2013-06-18","44.75"
"2013-06-17","44.52"
"2013-06-14","44.49"
"2013-06-13","44.65"
"2013-06-12","43.92"
"2013-06-11","44.26"
"2013-06-10","44.40"
"2013-06-07","44.44"
"2013-06-06","44.43"
"2013-06-05","43.69"
"2013-06-04","43.95"
"2013-06-03","44.09"
"2013-05-31","43.90"
"2013-05-30","44.13"
"2013-05-29","44.26"
"2013-05-28","44.89"
"2013-05-24","45.20"
"2013-05-23","45.52"
"2013-05-22","45.76"
"2013-05-21","46.44"
"2013-05-20","46.40"
"2013-05-17","46.60"
"2013-05-16","46.30"
"2013-05-15","46.66"
"2013-05-14","46.26"
"2013-05-13","45.84"
"2013-05-10","46.10"
"2013-05-09","46.22"
"2013-05-08","46.93"
"2013-05-07","47.27"
"2013-05-06","46.76"
"2013-05-03","47.26"
"2013-05-02","47.23"
"2013-05-01","47.84"
"2013-04-30","48.23"
"2013-04-29","48.14"
"2013-04-26","47.95"
"2013-04-25","48.09"
"2013-04-24","48.03"
"2013-04-23","48.65"
"2013-04-22","48.47"
"2013-04-19","48.51"
"2013-04-18","47.87"
"2013-04-17","47.96"
"2013-04-16","48.13"
"2013-04-15","47.36"
"2013-04-12","47.88"
"2013-04-11","47.62"
"2013-04-10","47.45"
"2013-04-09","47.31"
"2013-04-08","47.49"
"2013-04-05","47.19"
"2013-04-04","47.23"
"2013-04-03","46.69"
"2013-04-02","46.82"
"2013-04-01","46.74"
"2013-03-28","46.92"
"2013-03-27","46.36"
"2013-03-26","46.14"
"2013-03-25","45.63"
"2013-03-22","45.66"
"2013-03-21","45.43"
"2013-03-20","45.79"
"2013-03-19","45.47"
