"Date","Close"
"2013-12-31","89.76"
"2013-12-30","89.49"
"2013-12-27","89.19"
"2013-12-26","89.45"
"2013-12-24","89.46"
"2013-12-23","88.97"
"2013-12-20","89.80"
"2013-12-19","88.31"
"2013-12-18","88.44"
"2013-12-17","87.25"
"2013-12-16","86.90"
"2013-12-13","86.49"
"2013-12-12","86.61"
"2013-12-11","86.84"
"2013-12-10","87.88"
"2013-12-09","87.74"
"2013-12-06","88.07"
"2013-12-05","87.38"
"2013-12-04","87.99"
"2013-12-03","88.30"
"2013-12-02","88.06"
"2013-11-29","88.44"
"2013-11-27","88.52"
"2013-11-26","88.36"
"2013-11-25","89.33"
"2013-11-22","89.49"
"2013-11-21","89.81"
"2013-11-20","89.32"
"2013-11-19","90.51"
"2013-11-18","90.99"
"2013-11-15","91.16"
"2013-11-14","90.00"
"2013-11-13","89.49"
"2013-11-12","88.83"
"2013-11-11","89.64"
"2013-11-08","89.63"
"2013-11-07","90.14"
"2013-11-06","91.97"
"2013-11-05","90.48"
"2013-11-04","91.93"
"2013-11-01","91.72"
"2013-10-31","91.14"
"2013-10-30","91.82"
"2013-10-29","92.10"
"2013-10-28","91.16"
"2013-10-25","91.21"
"2013-10-24","90.07"
"2013-10-23","90.62"
"2013-10-22","90.76"
"2013-10-21","89.76"
"2013-10-18","90.43"
"2013-10-17","89.51"
"2013-10-16","87.69"
"2013-10-15","85.66"
"2013-10-14","87.05"
"2013-10-11","87.51"
"2013-10-10","87.25"
"2013-10-09","85.23"
"2013-10-08","85.43"
"2013-10-07","85.46"
"2013-10-04","85.49"
"2013-10-03","85.41"
"2013-10-02","85.62"
"2013-10-01","85.35"
"2013-09-30","85.60"
"2013-09-27","86.62"
"2013-09-26","87.04"
"2013-09-25","86.72"
"2013-09-24","87.71"
"2013-09-23","88.03"
"2013-09-20","86.75"
"2013-09-19","87.83"
"2013-09-18","88.77"
"2013-09-17","86.08"
"2013-09-16","85.22"
"2013-09-13","84.68"
"2013-09-12","84.36"
"2013-09-11","83.95"
"2013-09-10","83.62"
"2013-09-09","83.52"
"2013-09-06","83.60"
"2013-09-05","82.80"
"2013-09-04","83.26"
"2013-09-03","83.40"
"2013-08-30","84.42"
"2013-08-29","83.97"
"2013-08-28","84.43"
"2013-08-27","83.76"
"2013-08-26","83.54"
"2013-08-23","84.00"
"2013-08-22","83.34"
"2013-08-21","82.46"
"2013-08-20","83.21"
"2013-08-19","82.10"
"2013-08-16","82.87"
"2013-08-15","83.79"
"2013-08-14","85.49"
"2013-08-13","85.90"
"2013-08-12","86.15"
"2013-08-09","86.43"
"2013-08-08","87.50"
"2013-08-07","87.87"
"2013-08-06","87.66"
"2013-08-05","87.45"
"2013-08-02","88.60"
"2013-08-01","88.49"
"2013-07-31","87.63"
"2013-07-30","87.16"
"2013-07-29","87.08"
"2013-07-26","87.24"
"2013-07-25","87.11"
"2013-07-24","85.96"
"2013-07-23","86.85"
"2013-07-22","86.13"
"2013-07-19","86.85"
"2013-07-18","85.95"
"2013-07-17","84.83"
"2013-07-16","84.35"
"2013-07-15","85.46"
"2013-07-12","83.78"
"2013-07-11","83.09"
"2013-07-10","81.65"
"2013-07-09","80.96"
"2013-07-08","80.38"
"2013-07-05","79.73"
"2013-07-03","80.33"
"2013-07-02","80.40"
"2013-07-01","80.55"
"2013-06-28","81.76"
"2013-06-27","82.44"
"2013-06-26","82.37"
"2013-06-25","80.99"
"2013-06-24","80.23"
"2013-06-21","79.59"
"2013-06-20","78.71"
"2013-06-19","81.03"
"2013-06-18","82.06"
"2013-06-17","80.69"
"2013-06-14","80.35"
"2013-06-13","79.98"
"2013-06-12","78.36"
"2013-06-11","79.54"
"2013-06-10","79.78"
"2013-06-07","80.19"
"2013-06-06","80.05"
"2013-06-05","78.91"
"2013-06-04","80.12"
"2013-06-03","81.36"
"2013-05-31","81.30"
"2013-05-30","81.68"
"2013-05-29","80.76"
"2013-05-28","82.11"
"2013-05-24","79.60"
"2013-05-23","79.47"
"2013-05-22","81.65"
"2013-05-21","83.82"
"2013-05-20","84.60"
"2013-05-17","84.45"
"2013-05-16","82.99"
"2013-05-15","83.54"
"2013-05-14","82.30"
"2013-05-13","81.55"
"2013-05-10","81.60"
"2013-05-09","81.88"
"2013-05-08","82.82"
"2013-05-07","83.33"
"2013-05-06","82.75"
"2013-05-03","83.90"
"2013-05-02","83.26"
"2013-05-01","82.10"
"2013-04-30","82.85"
"2013-04-29","82.48"
"2013-04-26","81.78"
"2013-04-25","81.52"
"2013-04-24","81.56"
"2013-04-23","81.56"
"2013-04-22","82.08"
"2013-04-19","82.55"
"2013-04-18","81.25"
"2013-04-17","81.23"
"2013-04-16","81.30"
"2013-04-15","80.98"
"2013-04-12","82.43"
"2013-04-11","82.43"
"2013-04-10","82.08"
"2013-04-09","81.79"
"2013-04-08","82.53"
"2013-04-05","81.56"
"2013-04-04","81.16"
"2013-04-03","80.38"
"2013-04-02","80.59"
"2013-04-01","79.93"
