"Date","Close"
"2013-12-31","73.39"
"2013-12-30","72.66"
"2013-12-27","72.96"
"2013-12-26","72.73"
"2013-12-24","72.23"
"2013-12-23","72.21"
"2013-12-20","71.55"
"2013-12-19","71.03"
"2013-12-18","71.43"
"2013-12-17","69.59"
"2013-12-16","70.02"
"2013-12-13","69.73"
"2013-12-12","70.21"
"2013-12-11","70.37"
"2013-12-10","71.35"
"2013-12-09","71.82"
"2013-12-06","71.23"
"2013-12-05","70.16"
"2013-12-04","70.83"
"2013-12-03","71.50"
"2013-12-02","72.89"
"2013-11-29","72.61"
"2013-11-27","72.34"
"2013-11-26","72.55"
"2013-11-25","72.11"
"2013-11-22","72.70"
"2013-11-21","72.05"
"2013-11-20","71.08"
"2013-11-19","70.90"
"2013-11-18","70.99"
"2013-11-15","70.64"
"2013-11-14","70.62"
"2013-11-13","70.88"
"2013-11-12","69.90"
"2013-11-11","71.81"
"2013-11-08","71.86"
"2013-11-07","69.85"
"2013-11-06","71.18"
"2013-11-05","70.80"
"2013-11-04","70.92"
"2013-11-01","70.35"
"2013-10-31","70.07"
"2013-10-30","70.23"
"2013-10-29","70.26"
"2013-10-28","68.58"
"2013-10-25","68.74"
"2013-10-24","67.94"
"2013-10-23","67.64"
"2013-10-22","67.54"
"2013-10-21","69.81"
"2013-10-18","69.77"
"2013-10-17","69.52"
"2013-10-16","68.53"
"2013-10-15","67.03"
"2013-10-14","67.27"
"2013-10-11","67.22"
"2013-10-10","67.11"
"2013-10-09","64.78"
"2013-10-08","64.71"
"2013-10-07","65.95"
"2013-10-04","66.42"
"2013-10-03","65.75"
"2013-10-02","65.94"
"2013-10-01","66.70"
"2013-09-30","65.75"
"2013-09-27","66.21"
"2013-09-26","66.97"
"2013-09-25","66.73"
"2013-09-24","66.49"
"2013-09-23","66.59"
"2013-09-20","67.64"
"2013-09-19","68.63"
"2013-09-18","69.03"
"2013-09-17","69.10"
"2013-09-16","68.83"
"2013-09-13","68.05"
"2013-09-12","67.80"
"2013-09-11","68.29"
"2013-09-10","68.65"
"2013-09-09","68.11"
"2013-09-06","67.63"
"2013-09-05","68.31"
"2013-09-04","68.26"
"2013-09-03","67.56"
"2013-08-30","66.72"
"2013-08-29","67.20"
"2013-08-28","66.79"
"2013-08-27","66.87"
"2013-08-26","69.52"
"2013-08-23","69.67"
"2013-08-22","69.73"
"2013-08-21","68.21"
"2013-08-20","68.26"
"2013-08-19","67.42"
"2013-08-16","67.85"
"2013-08-15","67.80"
"2013-08-14","69.26"
"2013-08-13","69.23"
"2013-08-12","68.55"
"2013-08-09","69.32"
"2013-08-08","69.51"
"2013-08-07","69.34"
"2013-08-06","70.65"
"2013-08-05","70.35"
"2013-08-02","70.57"
"2013-08-01","70.70"
"2013-07-31","69.67"
"2013-07-30","68.64"
"2013-07-29","68.53"
"2013-07-26","68.95"
"2013-07-25","69.35"
"2013-07-24","69.67"
"2013-07-23","71.20"
"2013-07-22","70.02"
"2013-07-19","69.28"
"2013-07-18","70.10"
"2013-07-17","69.40"
"2013-07-16","68.69"
"2013-07-15","69.25"
"2013-07-12","68.95"
"2013-07-11","68.50"
"2013-07-10","68.58"
"2013-07-09","68.83"
"2013-07-08","67.81"
"2013-07-05","67.76"
"2013-07-03","65.81"
"2013-07-02","65.87"
"2013-07-01","65.76"
"2013-06-28","65.21"
"2013-06-27","65.55"
"2013-06-26","64.99"
"2013-06-25","64.84"
"2013-06-24","64.09"
"2013-06-21","64.95"
"2013-06-20","65.97"
"2013-06-19","66.68"
"2013-06-18","67.32"
"2013-06-17","66.85"
"2013-06-14","66.06"
"2013-06-13","66.41"
"2013-06-12","64.91"
"2013-06-11","66.12"
"2013-06-10","67.36"
"2013-06-07","67.44"
"2013-06-06","65.53"
"2013-06-05","64.88"
"2013-06-04","66.15"
"2013-06-03","66.31"
"2013-05-31","66.18"
"2013-05-30","67.19"
"2013-05-29","66.85"
"2013-05-28","67.15"
"2013-05-24","64.49"
"2013-05-23","64.60"
"2013-05-22","65.16"
"2013-05-21","65.09"
"2013-05-20","65.19"
"2013-05-17","65.16"
"2013-05-16","63.81"
"2013-05-15","63.61"
"2013-05-14","63.59"
"2013-05-13","61.67"
"2013-05-10","60.33"
"2013-05-09","60.22"
"2013-05-08","60.56"
"2013-05-07","59.68"
"2013-05-06","59.53"
"2013-05-03","59.45"
"2013-05-02","57.60"
"2013-05-01","57.47"
"2013-04-30","58.47"
"2013-04-29","58.15"
"2013-04-26","57.86"
"2013-04-25","58.30"
