"Date","Close"
"2013-12-31","56.16"
"2013-12-30","56.53"
"2013-12-27","55.66"
"2013-12-26","56.02"
"2013-12-24","55.94"
"2013-12-23","56.01"
"2013-12-20","55.66"
"2013-12-19","52.49"
"2013-12-18","52.65"
"2013-12-17","52.95"
"2013-12-16","51.34"
"2013-12-13","50.00"
"2013-12-12","49.41"
"2013-12-11","49.57"
"2013-12-10","50.94"
"2013-12-09","50.71"
"2013-12-06","51.42"
"2013-12-05","49.84"
"2013-12-04","49.96"
"2013-12-03","49.64"
"2013-12-02","49.84"
"2013-11-29","49.04"
"2013-11-27","49.02"
"2013-11-26","48.80"
"2013-11-25","48.46"
"2013-11-22","48.34"
"2013-11-21","48.23"
"2013-11-20","47.72"
"2013-11-19","47.85"
"2013-11-18","48.50"
"2013-11-15","48.94"
"2013-11-14","50.11"
"2013-11-13","48.77"
"2013-11-12","47.81"
"2013-11-11","47.90"
"2013-11-08","48.18"
"2013-11-07","47.05"
"2013-11-06","48.47"
"2013-11-05","48.47"
"2013-11-04","49.26"
"2013-11-01","49.20"
"2013-10-31","48.69"
"2013-10-30","49.50"
"2013-10-29","48.25"
"2013-10-28","49.85"
"2013-10-25","49.80"
"2013-10-24","48.56"
"2013-10-23","48.08"
"2013-10-22","49.14"
"2013-10-21","50.49"
"2013-10-18","50.04"
"2013-10-17","48.46"
"2013-10-16","48.02"
"2013-10-15","46.98"
"2013-10-14","47.33"
"2013-10-11","46.27"
"2013-10-10","46.04"
"2013-10-09","44.88"
"2013-10-08","44.79"
"2013-10-07","45.16"
"2013-10-04","45.87"
"2013-10-03","45.56"
"2013-10-02","45.95"
"2013-10-01","44.70"
"2013-09-30","43.76"
"2013-09-27","43.51"
"2013-09-26","43.14"
"2013-09-25","43.87"
"2013-09-24","41.80"
"2013-09-23","40.94"
"2013-09-20","41.40"
"2013-09-19","41.36"
"2013-09-18","41.64"
"2013-09-17","41.26"
"2013-09-16","40.94"
"2013-09-13","40.25"
"2013-09-12","40.13"
"2013-09-11","40.59"
"2013-09-10","41.07"
"2013-09-09","40.16"
"2013-09-06","39.46"
"2013-09-05","39.52"
"2013-09-04","39.22"
"2013-09-03","38.67"
"2013-08-30","38.32"
"2013-08-29","38.09"
"2013-08-28","38.87"
"2013-08-27","38.51"
"2013-08-26","40.10"
"2013-08-23","40.13"
"2013-08-22","40.08"
"2013-08-21","39.51"
"2013-08-20","39.22"
"2013-08-19","38.77"
"2013-08-16","39.20"
"2013-08-15","39.52"
"2013-08-14","41.07"
"2013-08-13","41.17"
"2013-08-12","41.34"
"2013-08-09","40.86"
"2013-08-08","40.91"
"2013-08-07","40.09"
"2013-08-06","40.30"
"2013-08-05","40.43"
"2013-08-02","41.10"
"2013-08-01","41.79"
"2013-07-31","40.91"
"2013-07-30","41.25"
"2013-07-29","40.30"
"2013-07-26","41.05"
"2013-07-25","42.32"
"2013-07-24","44.19"
"2013-07-23","45.31"
"2013-07-22","46.82"
"2013-07-19","47.52"
"2013-07-18","46.90"
"2013-07-17","46.69"
"2013-07-16","46.56"
"2013-07-15","46.71"
"2013-07-12","46.68"
"2013-07-11","46.31"
"2013-07-10","45.83"
"2013-07-09","45.73"
"2013-07-08","45.45"
"2013-07-05","45.72"
"2013-07-03","45.10"
"2013-07-02","45.22"
"2013-07-01","45.47"
"2013-06-28","44.83"
"2013-06-27","44.69"
"2013-06-26","42.70"
"2013-06-25","42.40"
"2013-06-24","41.23"
"2013-06-21","42.25"
"2013-06-20","42.84"
"2013-06-19","44.38"
"2013-06-18","44.99"
"2013-06-17","44.01"
"2013-06-14","43.72"
"2013-06-13","43.98"
"2013-06-12","43.57"
"2013-06-11","43.94"
"2013-06-10","43.97"
"2013-06-07","44.01"
"2013-06-06","44.12"
"2013-06-05","43.69"
"2013-06-04","44.74"
"2013-06-03","43.96"
"2013-05-31","43.08"
"2013-05-30","43.67"
"2013-05-29","43.76"
"2013-05-28","43.11"
"2013-05-24","42.85"
"2013-05-23","42.99"
"2013-05-22","42.17"
"2013-05-21","41.52"
"2013-05-20","41.04"
"2013-05-17","41.47"
"2013-05-16","40.59"
"2013-05-15","40.61"
"2013-05-14","40.85"
"2013-05-13","40.27"
"2013-05-10","40.50"
"2013-05-09","40.33"
"2013-05-08","42.32"
"2013-05-07","42.32"
"2013-05-06","41.97"
"2013-05-03","41.23"
"2013-05-02","39.63"
"2013-05-01","36.94"
"2013-04-30","36.70"
"2013-04-29","36.22"
"2013-04-26","36.40"
"2013-04-25","36.54"
"2013-04-24","36.46"
"2013-04-23","36.03"
"2013-04-22","34.81"
"2013-04-19","34.44"
"2013-04-18","33.93"
"2013-04-17","34.72"
"2013-04-16","35.34"
"2013-04-15","34.80"
"2013-04-12","36.09"
"2013-04-11","36.53"
"2013-04-10","37.68"
"2013-04-09","36.96"
"2013-04-08","35.98"
"2013-04-05","35.51"
"2013-04-04","36.34"
"2013-04-03","36.06"
"2013-04-02","36.28"
"2013-04-01","36.72"
"2013-03-28","36.56"
"2013-03-27","36.68"
"2013-03-26","35.88"
"2013-03-25","34.72"
"2013-03-22","34.72"
"2013-03-21","34.52"
"2013-03-20","34.95"
"2013-03-19","34.39"
"2013-03-18","35.29"
"2013-03-15","35.35"
"2013-03-14","35.89"
"2013-03-13","35.31"
"2013-03-12","34.94"
"2013-03-11","33.33"
"2013-03-08","32.50"
"2013-03-07","32.22"
"2013-03-06","33.02"
"2013-03-05","32.34"
"2013-03-04","32.04"
"2013-03-01","32.32"
"2013-02-28","32.16"
"2013-02-27","31.97"
"2013-02-26","31.33"
"2013-02-25","30.84"
"2013-02-22","31.84"
"2013-02-21","31.72"
