"Date","Close"
"2013-12-31","80.69"
"2013-12-30","81.25"
"2013-12-27","81.01"
"2013-12-26","81.04"
"2013-12-24","80.65"
"2013-12-23","80.95"
"2013-12-20","80.56"
"2013-12-19","80.73"
"2013-12-18","80.55"
"2013-12-17","79.77"
"2013-12-16","80.03"
"2013-12-13","80.48"
"2013-12-12","80.55"
"2013-12-11","79.35"
"2013-12-10","80.71"
"2013-12-09","80.90"
"2013-12-06","80.71"
"2013-12-05","79.77"
"2013-12-04","79.59"
"2013-12-03","79.82"
"2013-12-02","79.53"
"2013-11-29","81.39"
"2013-11-27","81.03"
"2013-11-26","80.84"
"2013-11-25","80.65"
"2013-11-22","82.05"
"2013-11-21","81.42"
"2013-11-20","81.18"
"2013-11-19","81.79"
"2013-11-18","82.74"
"2013-11-15","82.64"
"2013-11-14","81.96"
"2013-11-13","82.37"
"2013-11-12","81.82"
"2013-11-11","81.61"
"2013-11-08","80.88"
"2013-11-07","81.05"
"2013-11-06","80.59"
"2013-11-05","78.54"
"2013-11-04","79.63"
"2013-11-01","79.05"
"2013-10-31","79.09"
"2013-10-30","78.73"
"2013-10-29","79.87"
"2013-10-28","78.39"
"2013-10-25","78.46"
"2013-10-24","77.75"
"2013-10-23","76.39"
"2013-10-22","77.36"
"2013-10-21","77.49"
"2013-10-18","77.16"
"2013-10-17","74.37"
"2013-10-16","76.75"
"2013-10-15","89.51"
"2013-10-14","91.58"
"2013-10-11","91.30"
"2013-10-10","90.25"
"2013-10-09","88.40"
"2013-10-08","88.88"
"2013-10-07","90.03"
"2013-10-04","91.14"
"2013-10-03","90.86"
"2013-10-02","91.31"
"2013-10-01","92.36"
"2013-09-30","90.57"
"2013-09-27","90.59"
"2013-09-26","90.51"
"2013-09-25","89.77"
"2013-09-24","89.59"
"2013-09-23","89.07"
"2013-09-20","90.13"
"2013-09-19","91.50"
"2013-09-18","91.49"
"2013-09-17","89.65"
"2013-09-16","89.66"
"2013-09-13","89.26"
"2013-09-12","89.24"
"2013-09-11","89.46"
