"Date","Close"
"2013-12-31","75.14"
"2013-12-30","75.02"
"2013-12-27","75.06"
"2013-12-26","75.39"
"2013-12-24","75.00"
"2013-12-23","75.01"
"2013-12-20","74.72"
"2013-12-19","73.85"
"2013-12-18","73.76"
"2013-12-17","71.65"
"2013-12-16","71.56"
"2013-12-13","71.56"
"2013-12-12","71.84"
"2013-12-11","72.73"
"2013-12-10","74.40"
"2013-12-09","74.61"
"2013-12-06","74.52"
"2013-12-05","73.16"
"2013-12-04","73.29"
"2013-12-03","73.93"
"2013-12-02","74.26"
"2013-11-29","74.42"
"2013-11-27","74.56"
"2013-11-26","74.82"
"2013-11-25","74.74"
"2013-11-22","74.28"
"2013-11-21","74.14"
"2013-11-20","73.79"
"2013-11-19","74.10"
"2013-11-18","73.51"
"2013-11-15","74.21"
"2013-11-14","74.48"
"2013-11-13","73.82"
"2013-11-12","73.23"
"2013-11-11","73.30"
"2013-11-08","73.33"
"2013-11-07","72.90"
"2013-11-06","73.71"
"2013-11-05","74.05"
"2013-11-04","74.29"
"2013-11-01","74.03"
"2013-10-31","73.86"
"2013-10-30","74.09"
"2013-10-29","74.53"
"2013-10-28","74.54"
"2013-10-25","74.61"
"2013-10-24","74.02"
"2013-10-23","73.97"
"2013-10-22","73.53"
"2013-10-21","73.16"
"2013-10-18","73.46"
"2013-10-17","72.55"
"2013-10-16","71.52"
"2013-10-15","70.14"
"2013-10-14","70.81"
"2013-10-11","70.22"
"2013-10-10","69.42"
"2013-10-09","68.44"
"2013-10-08","67.61"
"2013-10-07","67.54"
"2013-10-04","67.70"
"2013-10-03","67.34"
"2013-10-02","67.74"
"2013-10-01","67.96"
"2013-09-30","67.59"
"2013-09-27","67.65"
"2013-09-26","68.40"
"2013-09-25","68.79"
"2013-09-24","70.83"
"2013-09-23","71.20"
"2013-09-20","71.28"
"2013-09-19","71.63"
"2013-09-18","71.78"
"2013-09-17","71.35"
"2013-09-16","70.83"
"2013-09-13","70.12"
"2013-09-12","69.50"
"2013-09-11","69.58"
"2013-09-10","69.54"
"2013-09-09","69.16"
"2013-09-06","68.93"
"2013-09-05","67.79"
"2013-09-04","67.27"
"2013-09-03","67.22"
"2013-08-30","66.89"
"2013-08-29","66.91"
"2013-08-28","66.64"
"2013-08-27","67.08"
"2013-08-26","68.38"
"2013-08-23","68.29"
"2013-08-22","68.78"
"2013-08-21","67.93"
"2013-08-20","68.25"
"2013-08-19","68.06"
"2013-08-16","67.97"
"2013-08-15","68.91"
"2013-08-14","70.43"
"2013-08-13","70.88"
"2013-08-12","70.76"
"2013-08-09","71.01"
"2013-08-08","70.90"
"2013-08-07","70.79"
"2013-08-06","70.97"
"2013-08-05","71.20"
"2013-08-02","71.27"
"2013-08-01","71.22"
"2013-07-31","70.46"
"2013-07-30","70.42"
"2013-07-29","70.35"
"2013-07-26","70.94"
"2013-07-25","70.87"
"2013-07-24","70.83"
"2013-07-23","71.05"
"2013-07-22","70.96"
"2013-07-19","70.88"
"2013-07-18","70.00"
"2013-07-17","69.37"
"2013-07-16","68.67"
"2013-07-15","68.22"
"2013-07-12","67.43"
"2013-07-11","67.38"
"2013-07-10","66.35"
"2013-07-09","66.07"
"2013-07-08","66.17"
"2013-07-05","65.23"
"2013-07-03","64.20"
"2013-07-02","64.32"
"2013-07-01","64.43"
"2013-06-28","64.68"
"2013-06-27","64.72"
"2013-06-26","64.69"
"2013-06-25","64.89"
"2013-06-24","64.76"
"2013-06-21","65.60"
"2013-06-20","64.75"
"2013-06-19","66.45"
"2013-06-18","67.67"
"2013-06-17","67.81"
"2013-06-14","67.21"
"2013-06-13","67.72"
"2013-06-12","66.37"
"2013-06-11","66.83"
"2013-06-10","67.25"
"2013-06-07","67.15"
"2013-06-06","66.36"
"2013-06-05","65.73"
"2013-06-04","66.70"
"2013-06-03","67.31"
"2013-05-31","66.39"
"2013-05-30","67.35"
"2013-05-29","67.23"
"2013-05-28","67.91"
"2013-05-24","66.99"
"2013-05-23","67.24"
"2013-05-22","67.70"
"2013-05-21","69.24"
"2013-05-20","68.73"
"2013-05-17","68.90"
"2013-05-16","69.06"
"2013-05-15","69.43"
"2013-05-14","69.21"
"2013-05-13","68.60"
"2013-05-10","68.21"
"2013-05-09","67.01"
"2013-05-08","66.45"
"2013-05-07","66.39"
"2013-05-06","66.28"
"2013-05-03","66.33"
"2013-05-02","65.78"
"2013-05-01","65.30"
"2013-04-30","65.58"
"2013-04-29","65.66"
"2013-04-26","65.06"
"2013-04-25","65.64"
"2013-04-24","64.73"
"2013-04-23","64.94"
"2013-04-22","64.15"
"2013-04-19","64.68"
"2013-04-18","63.70"
"2013-04-17","64.40"
"2013-04-16","65.08"
"2013-04-15","65.29"
"2013-04-12","66.50"
"2013-04-11","66.85"
"2013-04-10","66.74"
"2013-04-09","66.34"
"2013-04-08","65.38"
"2013-04-05","65.00"
"2013-04-04","65.59"
"2013-04-03","65.25"
"2013-04-02","65.56"
"2013-04-01","65.33"
"2013-03-28","65.24"
"2013-03-27","64.87"
"2013-03-26","64.86"
"2013-03-25","64.54"
"2013-03-22","64.57"
"2013-03-21","64.54"
"2013-03-20","65.37"
"2013-03-19","64.77"
"2013-03-18","64.78"
"2013-03-15","65.93"
"2013-03-14","66.81"
"2013-03-13","66.68"
"2013-03-12","66.79"
"2013-03-11","66.22"
"2013-03-08","65.72"
"2013-03-07","65.40"
"2013-03-06","65.96"
"2013-03-05","66.00"
"2013-03-04","65.07"
"2013-03-01","64.90"
"2013-02-28","63.88"
"2013-02-27","63.66"
"2013-02-26","62.77"
"2013-02-25","62.09"
"2013-02-22","62.70"
"2013-02-21","62.17"
"2013-02-20","63.08"
"2013-02-19","63.69"
"2013-02-15","63.85"
"2013-02-14","64.02"
"2013-02-13","63.88"
"2013-02-12","64.01"
"2013-02-11","63.90"
"2013-02-08","63.78"
"2013-02-07","63.05"
"2013-02-06","63.06"
"2013-02-05","62.80"
"2013-02-04","62.30"
"2013-02-01","63.04"
"2013-01-31","62.65"
"2013-01-30","63.38"
"2013-01-29","63.80"
"2013-01-28","63.78"
"2013-01-25","63.55"
"2013-01-24","63.45"
"2013-01-23","61.87"
"2013-01-22","61.71"
"2013-01-18","61.55"
"2013-01-17","60.62"
"2013-01-16","59.43"
"2013-01-15","59.56"
"2013-01-14","58.87"
"2013-01-11","58.84"
"2013-01-10","58.84"
"2013-01-09","58.38"
"2013-01-08","56.97"
"2013-01-07","57.07"
"2013-01-04","56.73"
"2013-01-03","56.14"
"2013-01-02","55.88"
"2012-12-31","54.82"
"2012-12-28","54.45"
"2012-12-27","55.16"
"2012-12-26","55.43"
"2012-12-24","55.87"
"2012-12-21","55.87"
"2012-12-20","56.57"
"2012-12-19","55.96"
"2012-12-18","56.35"
"2012-12-17","56.16"
"2012-12-14","55.78"
"2012-12-13","56.19"
"2012-12-12","56.13"
"2012-12-11","55.81"
"2012-12-10","54.79"
"2012-12-07","54.57"
"2012-12-06","54.35"
"2012-12-05","54.36"
"2012-12-04","54.35"
"2012-12-03","54.44"
"2012-11-30","54.16"
"2012-11-29","54.05"
"2012-11-28","54.60"
"2012-11-27","54.22"
"2012-11-26","54.53"
"2012-11-23","54.52"
"2012-11-21","53.50"
"2012-11-20","53.60"
"2012-11-19","53.00"
"2012-11-16","52.10"
"2012-11-15","52.00"
"2012-11-14","52.32"
"2012-11-13","52.68"
"2012-11-12","53.05"
"2012-11-09","52.53"
"2012-11-08","52.42"
"2012-11-07","52.61"
"2012-11-06","53.46"
"2012-11-05","52.71"
"2012-11-02","52.64"
"2012-11-01","53.07"
"2012-10-31","52.60"
"2012-10-26","52.19"
"2012-10-25","52.40"
"2012-10-24","52.28"
"2012-10-23","52.25"
"2012-10-22","52.95"
"2012-10-19","52.64"
"2012-10-18","53.61"
"2012-10-17","52.82"
"2012-10-16","53.46"
"2012-10-15","52.30"
"2012-10-12","52.30"
